area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	160:DAVID CHIU	161:ALEJANDRO FERNANDEZ
PCT7045	ED	763	87	0	0	0	21	66	3	44	19
PCT7045	MV	763	282	1	0	0	63	218	3	165	50
PCT7046	ED	385	54	0	0	0	10	44	1	26	17
PCT7046	MV	385	136	-1	0	1	20	116	1	89	26
PCT7047	ED	781	68	-1	0	0	15	54	0	43	11
PCT7047	MV	781	298	2	0	0	46	250	1	189	60
PCT7048	ED	815	94	0	0	0	17	77	1	54	22
PCT7048	MV	815	248	1	0	0	47	200	3	163	34
PCT7049	ED	751	108	0	0	0	29	79	1	55	23
PCT7049	MV	751	241	0	0	0	48	193	0	141	52
PCT7051	ED	839	70	-1	0	0	11	60	1	41	18
PCT7051	MV	839	302	2	0	0	54	246	5	187	54
PCT7052	ED	806	120	-1	0	0	24	97	0	78	19
PCT7052	MV	806	278	1	0	0	54	223	0	180	43
PCT7053	ED	548	44	0	0	0	10	34	0	29	5
PCT7053	MV	548	205	3	0	0	36	166	0	149	17
PCT7054	ED	1024	141	0	0	0	31	110	3	76	31
PCT7054	MV	1024	275	1	0	0	47	227	2	170	55
PCT7055	ED	699	83	-1	0	0	29	55	1	48	6
PCT7055	MV	699	256	2	0	0	53	201	2	173	26
PCT7101	MV	141	83	0	0	0	7	76	1	69	6
PCT7201	ED	900	147	0	0	0	41	106	1	84	21
PCT7201	MV	900	333	0	0	0	88	245	2	206	37
PCT7202	ED	830	138	-1	0	0	37	102	1	88	13
PCT7202	MV	830	271	-2	0	0	66	207	1	165	41
PCT7203	ED	867	174	0	0	0	42	132	1	104	27
PCT7203	MV	867	243	1	0	0	53	189	3	158	28
PCT7204	ED	888	157	0	0	0	41	116	1	89	26
PCT7204	MV	888	340	2	0	0	67	271	3	227	41
PCT7205	ED	847	183	0	0	0	40	143	1	124	18
PCT7205	MV	847	309	0	0	0	68	241	1	202	38
PCT7206	ED	375	88	0	0	0	21	67	2	54	11
PCT7206	MV	375	124	1	0	0	29	94	0	81	13
PCT7207	ED	744	119	0	0	0	34	85	3	66	16
PCT7207	MV	744	231	2	0	0	53	176	2	135	39
PCT7208	ED	567	76	0	0	0	18	58	0	40	18
PCT7208	MV	567	206	1	0	0	42	163	1	130	32
PCT7209	ED	586	69	0	0	0	13	56	0	54	2
PCT7209	MV	586	326	3	0	0	67	256	1	232	23
PCT7301	ED	1002	150	0	0	0	35	115	2	85	28
PCT7301	MV	1002	299	3	0	0	60	236	2	194	40
PCT7302	ED	806	121	0	0	0	27	94	0	66	28
PCT7302	MV	806	352	0	0	0	73	279	1	234	44
PCT7303	ED	986	167	-1	0	0	40	128	0	109	19
PCT7303	MV	986	318	1	0	0	51	266	2	221	43
PCT7304	ED	972	203	1	0	0	32	170	1	137	32
PCT7304	MV	972	330	0	0	0	61	269	1	232	36
PCT7305	ED	851	171	0	0	0	38	133	1	96	36
PCT7305	MV	851	306	-1	0	1	54	252	5	201	46
PCT7306	ED	1014	179	0	0	0	51	128	1	99	28
PCT7306	MV	1014	302	-2	0	0	74	230	1	184	45
PCT7307	ED	726	143	0	0	0	29	114	0	93	21
PCT7307	MV	726	226	2	0	0	51	173	0	147	26
PCT7308	ED	598	133	0	0	0	22	111	0	88	23
PCT7308	MV	598	204	-1	0	0	38	167	1	142	24
PCT7309	ED	826	160	-2	0	0	43	119	2	95	22
PCT7309	MV	826	209	0	0	0	60	149	1	124	24
PCT7311	ED	901	175	-1	0	0	41	135	1	109	25
PCT7311	MV	901	266	0	0	0	53	213	0	191	22
PCT7312	ED	810	128	0	0	0	28	100	1	83	16
PCT7312	MV	810	332	3	0	0	65	264	2	228	34
PCT7313	ED	925	135	0	0	0	23	112	1	87	24
PCT7313	MV	925	315	-1	0	1	50	265	1	227	37
PCT7314	ED	760	92	0	0	0	30	62	2	40	20
PCT7314	MV	760	213	-1	0	0	63	151	0	135	16
PCT7315	ED	725	119	0	0	0	23	96	1	66	29
PCT7315	MV	725	178	1	0	0	33	144	0	119	25
PCT7316	ED	824	122	0	0	0	25	97	2	82	13
PCT7316	MV	824	266	0	0	0	56	210	1	173	36
PCT7317	ED	886	117	0	0	0	28	89	0	71	18
PCT7317	MV	886	340	2	0	0	66	272	2	222	48
PCT7318	ED	709	123	0	0	0	35	88	1	67	20
PCT7318	MV	709	243	-2	0	0	47	198	0	174	24
PCT7319	ED	1035	182	0	0	0	40	142	2	113	27
PCT7319	MV	1035	296	0	0	0	64	232	2	191	39
PCT7321	ED	644	100	0	0	0	32	68	0	57	11
PCT7321	MV	644	211	0	0	0	47	164	1	132	31
PCT7322	ED	859	60	0	0	0	22	38	1	27	10
PCT7322	MV	859	304	-1	0	0	68	237	1	215	21
PCT7323	ED	881	146	1	0	0	33	112	1	90	21
PCT7323	MV	881	273	0	0	0	69	204	2	169	33
PCT7324	ED	687	125	0	0	0	29	96	1	77	18
PCT7324	MV	687	198	0	0	1	43	154	0	142	12
PCT7325	ED	870	150	0	0	0	37	113	0	88	25
PCT7325	MV	870	276	0	0	0	55	221	2	186	33
PCT7326	ED	853	150	1	0	0	35	114	0	100	14
PCT7326	MV	853	256	-1	0	0	47	210	0	170	40
PCT7327	ED	684	62	0	0	0	18	44	0	33	11
PCT7327	MV	684	277	1	0	0	49	227	0	186	41
PCT7328	ED	950	70	0	0	0	18	52	0	42	10
PCT7328	MV	950	391	0	0	1	103	287	2	254	31
PCT7329	ED	610	71	-1	0	0	20	52	3	41	8
PCT7329	MV	610	205	-2	0	0	40	167	1	146	20
PCT7331	ED	860	130	0	0	0	26	104	3	83	18
PCT7331	MV	860	357	-1	0	0	72	286	2	244	40
PCT7332	ED	799	154	0	0	0	30	124	3	89	32
PCT7332	MV	799	209	0	0	0	43	166	3	133	30
PCT7333	ED	974	174	1	0	0	39	134	1	102	31
PCT7333	MV	974	323	0	0	0	75	248	2	209	37
PCT7334	ED	854	113	0	0	0	31	82	1	70	11
PCT7334	MV	854	275	-2	0	0	59	218	0	184	34
PCT7335	ED	936	144	0	0	1	34	109	1	88	20
PCT7335	MV	936	354	-2	0	0	73	283	2	232	49
PCT7336	ED	920	155	2	0	0	32	121	1	101	19
PCT7336	MV	920	324	0	0	0	81	243	2	198	43
PCT7337	ED	825	115	0	0	0	30	85	1	66	18
PCT7337	MV	825	305	0	0	0	62	243	3	211	29
PCT7338	ED	884	100	1	0	0	25	74	0	66	8
PCT7338	MV	884	364	-3	0	0	79	288	2	245	41
PCT7339	ED	618	111	-1	0	0	33	79	2	60	17
PCT7339	MV	618	181	1	0	0	33	147	3	118	26
PCT7341	ED	877	124	0	0	0	28	96	2	70	24
PCT7341	MV	877	246	-2	0	0	52	196	2	158	36
PCT7342	ED	911	234	3	0	1	51	179	1	146	32
PCT7342	MV	911	251	0	0	0	49	202	3	161	38
