area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	118:GERALD PLUMMER	119:TOM PALZER	120:JOHN THOMPSON PARKER	121:DOUGLAS HOWARD PIERCE	122:HERBERT G. PETERS	123:JAMES P BRADLEY	124:ARUN K. BHUMITRA	125:JERRY JOSEPH LAWS	126:PATRICK LITTLE	127:TIM GILDERSLEEVE	128:MICHAEL FAHMY GIRGIS	129:DON J. GRUNDMANN	130:RASH BIHARI GHOSH	131:LING LING SHI	132:JOHN ''JACK'' CREW	133:ERIN CRUZ	134:DERRICK MICHAEL REID	135:DIANNE FEINSTEIN	136:COLLEEN SHEA FERNALD	137:ADRIENNE NICOLE EDWARDS	138:PAUL A TAYLOR	139:DONNIE O. TURNER	140:PAT HARRIS	141:ALISON HARTSON	142:JASON M. HANANIA	143:DAVID HILDEBRAND	144:LEE OLSON	145:ROQUE ''ROCKY'' DE LA FUENTE	146:KEVIN DE LEON	147:KEVIN MOTTUS	148:DAVID MOORE	149:MARIO NABLIBA	195:SEELAM PRABHAKAR REDDY	196:MICHAEL V. ZIESING	197:URSULA M. SCHILLING
PCT7551	ED	705	199	-1	0	0	10	190	0	0	0	2	1	0	1	2	0	0	0	0	0	1	0	0	1	1	132	0	0	0	1	2	4	0	0	1	0	41	0	0	0	0	0	0
PCT7551	MV	705	240	2	0	1	9	228	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	2	147	0	1	0	0	0	3	2	2	0	1	65	0	0	0	0	0	0
PCT7552	ED	718	191	0	0	0	5	186	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	112	0	4	1	0	0	2	0	2	0	0	59	0	1	1	0	0	0
PCT7552	MV	718	232	0	0	3	5	224	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	151	1	0	0	0	0	3	0	0	1	0	61	1	0	0	0	0	0
PCT7553	MV	171	87	2	0	0	2	83	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	60	0	0	2	1	1	0	0	1	0	0	16	0	1	0	0	0	0
PCT7554	ED	785	179	-1	0	0	8	172	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	1	116	0	0	0	0	2	1	0	0	0	0	46	0	0	0	0	0	0
PCT7554	MV	785	323	0	0	3	11	309	0	0	0	0	0	0	7	1	0	1	0	0	0	1	1	1	2	3	213	0	0	2	0	4	2	0	1	1	0	68	0	1	0	0	0	0
PCT7555	ED	847	242	0	0	0	7	235	0	0	0	0	0	0	1	2	0	0	1	0	0	1	0	1	0	2	167	1	1	1	1	1	1	0	2	0	0	50	1	1	0	0	0	0
PCT7555	MV	847	304	1	0	1	11	291	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	1	1	200	1	1	1	0	1	4	0	0	1	0	75	0	0	1	0	0	0
PCT7556	ED	961	223	-3	0	1	7	218	0	0	0	0	0	0	3	2	0	1	0	0	1	0	0	1	0	0	153	0	1	1	0	3	3	1	1	0	5	41	1	0	0	0	0	0
