area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	RSWri	150:NANCY PELOSI	151:STEPHEN JAFFE	152:SHAHID BUTTAR	153:RYAN A. KHOJASTEH	154:MICHAEL GOLDSTEIN	155:LISA REMMER	156:BARRY HERMANSON
PCT7029	ED	855	115	1	0	0	18	96	0	72	10	4	4	2	3	1
PCT7029	MV	855	166	2	0	1	11	152	1	117	12	7	4	3	8	0
PCT7030	ED	729	94	0	0	0	5	89	0	50	11	6	3	1	16	2
PCT7030	MV	729	277	0	0	0	35	242	0	157	10	6	9	13	44	3
PCT7031	ED	611	50	0	0	0	5	45	0	39	2	2	1	0	1	0
PCT7031	MV	611	224	0	0	0	29	195	0	140	10	5	4	6	27	3
PCT7032	ED	867	126	-2	0	0	25	103	0	80	6	8	0	2	3	4
PCT7032	MV	867	238	1	0	0	20	217	0	160	11	8	7	4	25	2
PCT7033	ED	765	135	0	0	0	21	114	1	77	9	9	5	3	8	2
PCT7033	MV	765	181	0	0	1	10	170	0	140	3	8	3	2	13	1
PCT7034	ED	914	97	0	0	1	15	81	0	67	5	3	1	0	3	2
PCT7034	MV	914	154	-1	0	1	13	141	0	122	8	1	2	1	4	3
PCT7035	ED	553	73	-1	0	0	8	66	0	50	8	4	0	1	3	0
PCT7035	MV	553	170	1	0	0	8	161	0	122	7	11	4	1	14	2
PCT7036	ED	898	52	0	0	0	4	48	0	33	2	3	1	1	5	3
PCT7036	MV	898	265	0	0	1	18	246	2	165	8	5	10	4	49	3
PCT7037	ED	730	73	0	0	0	9	64	0	52	3	3	3	2	0	1
PCT7037	MV	730	64	1	0	0	3	60	0	42	1	1	1	0	11	4
PCT7038	ED	880	84	0	0	0	7	77	0	61	2	1	3	1	9	0
PCT7038	MV	880	255	0	0	3	23	229	0	167	10	10	8	7	23	4
PCT7039	ED	768	111	0	0	0	10	101	1	60	9	5	6	1	19	0
PCT7039	MV	768	225	3	0	0	25	197	1	128	9	5	4	6	37	7
PCT7041	MV	60	24	1	0	0	1	22	0	16	1	1	0	0	3	1
PCT7042	ED	632	75	0	0	0	9	66	0	44	4	10	2	0	5	1
PCT7042	MV	632	191	0	0	0	18	173	0	126	9	5	6	2	19	6
PCT7043	ED	915	97	0	0	1	10	86	0	63	4	12	4	0	3	0
PCT7043	MV	915	282	0	0	1	16	265	0	207	13	13	10	3	18	1
PCT7044	ED	805	86	-1	0	0	21	66	1	57	4	2	0	0	2	0
PCT7044	MV	805	125	-1	0	2	11	113	1	72	7	7	3	2	21	0
PCT7045	ED	763	87	0	0	0	10	77	0	49	2	6	5	0	12	3
PCT7045	MV	763	282	1	0	1	40	240	1	167	6	8	5	3	41	9
PCT7046	ED	385	54	0	0	0	3	51	0	39	5	0	1	0	5	1
PCT7046	MV	385	136	-1	0	0	11	126	0	92	6	8	0	4	16	0
PCT7047	ED	781	68	-1	0	0	8	61	0	44	3	4	5	0	3	2
PCT7047	MV	781	298	2	0	0	26	270	1	198	12	10	5	3	36	5
PCT7048	ED	815	94	0	0	0	12	82	0	69	6	0	0	1	4	2
PCT7048	MV	815	248	1	0	0	22	225	1	171	8	3	8	4	24	6
PCT7049	ED	751	108	0	0	0	18	90	1	67	3	3	3	0	12	1
PCT7049	MV	751	241	0	0	0	33	208	0	135	16	2	10	5	34	6
PCT7051	ED	839	70	-1	0	0	9	62	0	45	3	6	2	0	5	1
PCT7051	MV	839	302	2	0	1	37	262	0	164	18	6	15	8	49	2
PCT7052	ED	806	120	-1	0	0	16	105	0	78	10	7	2	0	8	0
PCT7052	MV	806	278	1	0	0	33	244	0	164	19	10	5	1	44	1
PCT7053	ED	548	44	0	0	0	4	40	0	31	1	4	2	0	2	0
PCT7053	MV	548	205	3	0	0	17	185	0	137	6	3	7	3	23	6
PCT7054	ED	1024	141	0	0	0	14	127	0	96	5	10	5	1	3	7
PCT7054	MV	1024	275	1	0	1	24	249	0	200	10	7	14	1	13	4
PCT7055	ED	699	83	-1	0	0	12	72	0	47	6	8	5	0	4	2
PCT7055	MV	699	256	2	0	0	26	228	0	165	7	12	11	3	24	6
PCT7101	MV	141	83	0	0	0	1	82	0	65	3	9	3	0	1	1
PCT7201	ED	900	147	0	0	0	15	132	0	102	8	6	0	2	10	4
PCT7201	MV	900	333	0	0	0	23	310	0	213	17	16	11	3	47	3
PCT7202	ED	830	138	-1	0	0	11	128	0	89	10	10	2	1	15	1
PCT7202	MV	830	271	-2	0	0	21	252	0	172	5	6	2	3	63	1
PCT7203	ED	867	174	0	0	0	16	158	0	103	20	16	1	2	15	1
PCT7203	MV	867	243	1	0	0	21	221	0	165	11	11	6	3	22	3
PCT7204	ED	888	157	0	0	0	13	144	0	104	8	9	2	6	14	1
PCT7204	MV	888	340	2	0	1	26	311	1	241	15	9	6	3	35	1
PCT7205	ED	847	183	0	0	0	7	176	0	126	7	14	3	2	17	7
PCT7205	MV	847	309	0	0	1	16	292	0	198	21	13	2	7	47	4
