area_id	registration	total_ballots	ed_ballots	mv_ballots
ALLPCTS	481991	253583	89756	163827
PCT1101	544	281	83	198
PCT1102	964	525	188	337
PCT1103	914	511	163	348
PCT1104	953	459	167	292
PCT1106	740	344	113	231
PCT1107	721	341	101	240
PCT1108	882	484	156	328
PCT1109	758	389	124	265
PCT1111	938	462	132	330
PCT1112	702	317	96	221
PCT1113	701	354	82	272
PCT1114	915	419	139	280
PCT1115	835	376	97	279
PCT1116	842	416	141	275
PCT1117	827	378	138	240
PCT1118	974	493	158	335
PCT1119	745	371	97	274
PCT1121	653	325	104	221
PCT1122	607	282	69	213
PCT1123	876	372	118	254
PCT1124	773	309	109	200
PCT1125	987	409	80	329
PCT1126	900	384	92	292
PCT1127	875	418	141	277
PCT1128	813	350	104	246
PCT1129	924	394	120	274
PCT1131	783	373	85	288
PCT1132	910	436	112	324
PCT1133	826	391	99	292
PCT1134	727	367	126	241
PCT1135	511	288	71	217
PCT1136	807	384	97	287
PCT1141	998	517	149	368
PCT1142	822	386	120	266
PCT1143	989	458	147	311
PCT1144	870	412	148	264
PCT1145	879	506	136	370
PCT1146	971	450	124	326
PCT1147	853	445	166	279
PCT1148	918	435	121	314
PCT1149	873	433	148	285
PCT1151	0	0	0	0
PCT1152	838	411	125	286
PCT1153	909	445	139	306
PCT1154	0	0	0	0
PCT7001	735	385	119	266
PCT7002	641	305	132	173
PCT7003	864	528	188	340
PCT7004	835	481	175	306
PCT7005	812	475	180	295
PCT7006	884	503	213	290
PCT7007	916	556	233	323
PCT7008	861	532	187	345
PCT7009	864	445	133	312
PCT7011	976	346	141	205
PCT7012	1061	607	224	383
PCT7013	805	383	132	251
PCT7014	1213	622	188	434
PCT7015	93	34	0	34
PCT7016	891	333	112	221
PCT7017	734	246	79	167
PCT7018	908	431	88	343
PCT7019	864	460	111	349
PCT7021	927	349	129	220
PCT7022	923	434	164	270
PCT7023	906	432	131	301
PCT7024	386	77	30	47
PCT7025	448	144	66	78
PCT7026	971	440	90	350
PCT7027	845	407	136	271
PCT7028	835	337	157	180
PCT7029	855	281	115	166
PCT7030	729	371	94	277
PCT7031	611	274	50	224
PCT7032	867	364	126	238
PCT7033	765	316	135	181
PCT7034	914	251	97	154
PCT7035	553	243	73	170
PCT7036	898	317	52	265
PCT7037	730	137	73	64
PCT7038	880	339	84	255
PCT7039	768	336	111	225
PCT7041	60	24	0	24
PCT7042	632	266	75	191
PCT7043	915	379	97	282
PCT7044	805	211	86	125
PCT7045	763	369	87	282
PCT7046	385	190	54	136
PCT7047	781	366	68	298
PCT7048	815	342	94	248
PCT7049	751	349	108	241
PCT7051	839	372	70	302
PCT7052	806	398	120	278
PCT7053	548	249	44	205
PCT7054	1024	416	141	275
PCT7055	699	339	83	256
PCT7101	141	85	2	83
PCT7201	900	480	147	333
PCT7202	830	409	138	271
PCT7203	867	417	174	243
PCT7204	888	497	157	340
PCT7205	847	492	183	309
PCT7206	375	212	88	124
PCT7207	744	350	119	231
PCT7208	567	282	76	206
PCT7209	586	395	69	326
PCT7301	1002	449	150	299
PCT7302	806	473	121	352
PCT7303	986	485	167	318
PCT7304	972	533	203	330
PCT7305	851	477	171	306
PCT7306	1014	481	179	302
PCT7307	726	369	143	226
PCT7308	598	337	133	204
PCT7309	826	369	160	209
PCT7311	901	441	175	266
PCT7312	810	460	128	332
PCT7313	925	450	135	315
PCT7314	760	305	92	213
PCT7315	725	297	119	178
PCT7316	824	388	122	266
PCT7317	886	457	117	340
PCT7318	709	366	123	243
PCT7319	1035	478	182	296
PCT7321	644	311	100	211
PCT7322	859	364	60	304
PCT7323	881	419	146	273
PCT7324	687	323	125	198
PCT7325	870	426	150	276
PCT7326	853	406	150	256
PCT7327	684	339	62	277
PCT7328	950	461	70	391
PCT7329	610	276	71	205
PCT7331	860	487	130	357
PCT7332	799	363	154	209
PCT7333	974	497	174	323
PCT7334	854	388	113	275
PCT7335	936	498	144	354
PCT7336	920	479	155	324
PCT7337	825	420	115	305
PCT7338	884	464	100	364
PCT7339	618	292	111	181
PCT7341	877	370	124	246
PCT7342	911	485	234	251
PCT7343	707	330	144	186
PCT7344	1039	513	179	334
PCT7345	1077	466	183	283
PCT7346	877	389	168	221
PCT7347	968	416	137	279
PCT7348	832	341	139	202
PCT7349	921	429	147	282
PCT7501	554	286	118	168
PCT7502	741	462	113	349
PCT7503	727	358	132	226
PCT7504	484	234	76	158
PCT7505	871	548	131	417
PCT7506	920	385	133	252
PCT7507	919	413	158	255
PCT7508	702	446	106	340
PCT7509	909	490	171	319
PCT7512	604	292	96	196
PCT7513	790	350	142	208
PCT7514	863	330	95	235
PCT7515	845	439	150	289
PCT7516	886	523	145	378
PCT7517	863	479	228	251
PCT7518	939	533	235	298
PCT7519	726	364	179	185
PCT7521	802	426	211	215
PCT7522	743	415	175	240
PCT7523	737	431	208	223
PCT7524	646	308	143	165
PCT7525	779	359	145	214
PCT7526	947	510	197	313
PCT7527	729	399	162	237
PCT7529	925	514	214	300
PCT7531	847	442	179	263
PCT7532	823	398	172	226
PCT7533	951	565	268	297
PCT7534	883	481	241	240
PCT7535	743	452	201	251
PCT7536	856	485	206	279
PCT7537	734	412	187	225
PCT7538	757	479	223	256
PCT7539	884	536	250	286
PCT7541	791	460	215	245
PCT7542	787	430	183	247
PCT7543	910	519	187	332
PCT7544	877	517	186	331
PCT7545	877	470	179	291
PCT7546	913	529	219	310
PCT7547	987	566	244	322
PCT7548	1054	581	236	345
PCT7549	785	446	165	281
PCT7551	705	439	199	240
PCT7552	718	423	191	232
PCT7553	171	92	5	87
PCT7554	785	502	179	323
PCT7555	847	546	242	304
PCT7556	961	645	223	422
PCT7601	744	313	128	185
PCT7602	880	390	147	243
PCT7603	826	367	152	215
PCT7604	906	366	133	233
PCT7605	651	232	77	155
PCT7606	895	339	127	212
PCT7607	955	385	120	265
PCT7608	388	165	46	119
PCT7609	916	398	101	297
PCT7611	756	280	76	204
PCT7612	574	286	76	210
PCT7613	887	355	140	215
PCT7614	1015	361	123	238
PCT7615	832	278	108	170
PCT7616	951	460	129	331
PCT7617	751	307	84	223
PCT7618	866	395	123	272
PCT7619	993	462	154	308
PCT7621	1132	509	163	346
PCT7622	964	292	99	193
PCT7623	712	318	122	196
PCT7624	905	299	104	195
PCT7625	821	488	73	415
PCT7626	1081	489	128	361
PCT7627	1075	435	116	319
PCT7628	906	423	156	267
PCT7629	805	314	108	206
PCT7631	1085	485	146	339
PCT7632	965	453	167	286
PCT7633	702	343	90	253
PCT7634	859	411	120	291
PCT7635	782	331	89	242
PCT7636	920	385	134	251
PCT7637	732	338	89	249
PCT7638	1365	621	129	492
PCT7639	962	429	110	319
PCT7641	931	488	114	374
PCT7642	909	352	84	268
PCT7643	871	454	99	355
PCT7644	1082	447	156	291
PCT7645	631	304	63	241
PCT7646	1035	436	110	326
PCT7647	1027	292	107	185
PCT7648	2	0	0	0
PCT7649	877	331	97	234
PCT7651	555	203	48	155
PCT7652	580	231	68	163
PCT7653	1092	458	137	321
PCT7701	1012	608	225	383
PCT7702	704	419	117	302
PCT7703	172	66	0	66
PCT7704	977	604	208	396
PCT7705	547	350	123	227
PCT7706	821	530	189	341
PCT7707	839	579	200	379
PCT7708	860	581	181	400
PCT7709	383	259	85	174
PCT7711	772	506	162	344
PCT7712	524	361	131	230
PCT7801	970	654	230	424
PCT7802	762	518	205	313
PCT7803	823	555	143	412
PCT7804	891	630	236	394
PCT7805	785	524	176	348
PCT7806	699	446	163	283
PCT7807	796	501	228	273
PCT7808	655	421	178	243
PCT7809	742	427	160	267
PCT7811	726	429	186	243
PCT7812	843	499	207	292
PCT7813	988	613	251	362
PCT7814	892	396	173	223
PCT7815	914	585	178	407
PCT7816	858	592	202	390
PCT7817	795	524	215	309
PCT7818	823	507	172	335
PCT7819	760	466	169	297
PCT7821	947	668	229	439
PCT7822	927	587	244	343
PCT7823	857	584	237	347
PCT7824	756	444	170	274
PCT7825	580	375	160	215
PCT7826	665	408	214	194
PCT7827	828	451	199	252
PCT7828	976	602	205	397
PCT7829	882	590	199	391
PCT7831	828	571	202	369
PCT7832	781	505	162	343
PCT7833	745	453	182	271
PCT7834	836	513	225	288
PCT7835	808	513	175	338
PCT7836	979	620	199	421
PCT7837	883	576	237	339
PCT7838	891	623	210	413
PCT7839	830	561	172	389
PCT7841	898	593	240	353
PCT7842	873	522	214	308
PCT7843	751	449	182	267
PCT7844	635	405	160	245
PCT7845	803	516	202	314
PCT7846	871	551	221	330
PCT7847	878	565	207	358
PCT7848	838	555	209	346
PCT7849	904	590	237	353
PCT7851	493	322	118	204
PCT7852	634	407	104	303
PCT7853	837	513	180	333
PCT7854	874	562	216	346
PCT7855	949	618	259	359
PCT7856	790	516	204	312
PCT7857	913	576	226	350
PCT7858	743	444	192	252
PCT7859	879	571	219	352
PCT7861	835	551	184	367
PCT7862	850	560	237	323
PCT7863	870	539	237	302
PCT7864	773	472	188	284
PCT7865	808	488	178	310
PCT7866	816	573	184	389
PCT7867	932	594	209	385
PCT7868	860	542	218	324
PCT7869	842	595	219	376
