area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSCd1	RSCd2	RSPnd	RSCha
PCT1104	MV	LIB	4	2	2			0	0
PCT1104	MV	LIBNPP	0	0	0			0	0
PCT1104	MV	PF	4	2	2			0	0
PCT1104	MV	REP	47	17	17			0	0
PCT1104	MV	NPP	185	47	46			0	1
PCT1104	MV	NPPALL	233	83	82			0	1
PCT1106	TO	ALL	771	423	406				
PCT1106	TO	AI	14						
PCT1106	TO	DEM	439						
PCT1106	TO	GRN	10						
PCT1106	TO	LIB	3						
PCT1106	TO	PF	2						
PCT1106	TO	REP	50						
PCT1106	TO	NPP	253						
PCT1106	TO	NPPALL	253						
PCT1106	ED	ALL	173	149	149				
PCT1106	ED	AI	1						
PCT1106	ED	DEM	93						
PCT1106	ED	GRN	0						
PCT1106	ED	LIB	0						
PCT1106	ED	PF	1						
PCT1106	ED	REP	12						
PCT1106	ED	NPP	91						
PCT1106	ED	NPPALL	91						
PCT1106	MV	ALL	598	274	257			0	13
PCT1106	MV	AI	13	6	5			0	1
PCT1106	MV	AINPP	1	0	0			0	0
PCT1106	MV	DEM	346	180	172			0	8
PCT1106	MV	DEMNPP	22	20	19			0	1
PCT1106	MV	GRN	10	2	2			0	0
PCT1106	MV	LIB	3	1	1			0	0
PCT1106	MV	LIBNPP	2	1	1			0	0
PCT1106	MV	PF	1	1	1			0	0
PCT1106	MV	REP	38	20	20			0	0
PCT1106	MV	NPP	162	43	40			0	3
PCT1106	MV	NPPALL	187	64	60			0	4
PCT1107	TO	ALL	751	432	415				
PCT1107	TO	AI	9						
PCT1107	TO	DEM	431						
PCT1107	TO	GRN	2						
PCT1107	TO	LIB	3						
PCT1107	TO	PF	2						
PCT1107	TO	REP	36						
PCT1107	TO	NPP	268						
PCT1107	TO	NPPALL	268						
PCT1107	ED	ALL	139	125	125				
PCT1107	ED	AI	3						
PCT1107	ED	DEM	77						
PCT1107	ED	GRN	0						
PCT1107	ED	LIB	0						
PCT1107	ED	PF	1						
PCT1107	ED	REP	3						
PCT1107	ED	NPP	93						
PCT1107	ED	NPPALL	93						
PCT1107	MV	ALL	612	307	290			0	7
PCT1107	MV	AI	6	1	1			0	0
PCT1107	MV	AINPP	1	1	1			0	0
PCT1107	MV	DEM	354	213	209			0	4
PCT1107	MV	DEMNPP	35	26	26			0	0
PCT1107	MV	GRN	2	0	0			0	0
PCT1107	MV	LIB	3	1	1			0	0
PCT1107	MV	LIBNPP	2	2	2			0	0
PCT1107	MV	PF	1	0	0			0	0
PCT1107	MV	REP	33	15	15			0	0
PCT1107	MV	NPP	175	48	45			0	3
PCT1107	MV	NPPALL	213	77	74			0	3
PCT1108	TO	ALL	923	538	521				
PCT1108	TO	AI	20						
PCT1108	TO	DEM	563						
PCT1108	TO	GRN	4						
PCT1108	TO	LIB	0						
PCT1108	TO	PF	3						
PCT1108	TO	REP	36						
PCT1108	TO	NPP	297						
PCT1108	TO	NPPALL	297						
PCT1108	ED	ALL	198	159	159				
PCT1108	ED	AI	3						
PCT1108	ED	DEM	117						
PCT1108	ED	GRN	2						
PCT1108	ED	LIB	0						
PCT1108	ED	PF	2						
PCT1108	ED	REP	4						
PCT1108	ED	NPP	117						
PCT1108	ED	NPPALL	117						
PCT1108	MV	ALL	725	379	362			0	12
PCT1108	MV	AI	17	5	5			0	0
PCT1108	MV	AINPP	2	1	1			0	0
PCT1108	MV	DEM	446	269	259			0	10
PCT1108	MV	DEMNPP	42	33	33			0	0
PCT1108	MV	GRN	2	2	2			0	0
PCT1108	MV	LIB	1	0	0			0	0
PCT1108	MV	LIBNPP	2	0	0			0	0
PCT1108	MV	PF	1	0	0			0	0
PCT1108	MV	REP	32	15	15			0	0
PCT1108	MV	NPP	180	54	52			0	2
PCT1108	MV	NPPALL	226	88	86			0	2
PCT1109	TO	ALL	822	434	424				
PCT1109	TO	AI	10						
PCT1109	TO	DEM	467						
PCT1109	TO	GRN	4						
PCT1109	TO	LIB	3						
PCT1109	TO	PF	5						
PCT1109	TO	REP	43						
PCT1109	TO	NPP	290						
PCT1109	TO	NPPALL	290						
PCT1109	ED	ALL	169	141	141				
PCT1109	ED	AI	1						
PCT1109	ED	DEM	92						
PCT1109	ED	GRN	1						
PCT1109	ED	LIB	1						
PCT1109	ED	PF	0						
PCT1109	ED	REP	6						
PCT1109	ED	NPP	98						
PCT1109	ED	NPPALL	98						
PCT1109	MV	ALL	653	293	283			0	4
PCT1109	MV	AI	9	2	2			0	0
PCT1109	MV	AINPP	2	2	2			0	0
PCT1109	MV	DEM	375	201	198			0	3
PCT1109	MV	DEMNPP	28	20	20			0	0
PCT1109	MV	GRN	3	3	3			0	0
PCT1109	MV	LIB	2	0	0			0	0
PCT1109	MV	LIBNPP	0	0	0			0	0
PCT1109	MV	PF	5	3	3			0	0
PCT1109	MV	REP	37	19	18			0	1
PCT1109	MV	NPP	192	43	43			0	0
PCT1109	MV	NPPALL	222	65	65			0	0
PCT1111	TO	ALL	1046	571	547				
PCT1111	TO	AI	15						
PCT1111	TO	DEM	562						
PCT1111	TO	GRN	9						
PCT1111	TO	LIB	4						
PCT1111	TO	PF	7						
PCT1111	TO	REP	58						
PCT1111	TO	NPP	391						
PCT1111	TO	NPPALL	391						
PCT1111	ED	ALL	197	190	190				
PCT1111	ED	AI	4						
PCT1111	ED	DEM	112						
PCT1111	ED	GRN	3						
