area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	78:SCOTT WIENER	77:ERIN SMITH	79:JACKIE FIELDER
PCT1143	ED	225	189	0	0	23	166	1	71	10	84
PCT1143	TO	1049	549	0	1	56	492	1	220	64	207
PCT1144	MV	727	326	0	0	28	298	0	130	52	116
PCT1144	ED	220	165	0	0	13	152	0	56	14	82
PCT1144	TO	947	491	0	0	41	450	0	186	66	198
PCT1145	MV	753	411	0	0	58	353	0	196	43	114
PCT1145	ED	152	152	0	0	18	134	1	64	5	64
PCT1145	TO	905	563	0	0	76	487	1	260	48	178
PCT1146	MV	839	364	0	1	21	342	0	179	35	128
PCT1146	ED	215	159	0	0	10	149	0	70	16	63
PCT1146	TO	1054	523	0	1	31	491	0	249	51	191
PCT1147	MV	673	310	0	0	22	288	0	138	43	107
PCT1147	ED	212	159	0	0	12	147	0	65	15	67
PCT1147	TO	885	469	0	0	34	435	0	203	58	174
PCT1148	MV	804	370	0	1	26	343	0	195	47	101
PCT1148	ED	224	158	0	0	13	145	0	59	15	71
PCT1148	TO	1028	528	0	1	39	488	0	254	62	172
PCT1149	MV	710	320	0	1	29	290	0	147	43	100
PCT1149	ED	229	160	0	0	15	145	2	63	13	67
PCT1149	TO	939	480	0	1	44	435	2	210	56	167
PCT1152	MV	710	315	0	0	25	290	0	172	36	82
PCT1152	ED	180	137	0	0	13	124	0	51	16	57
PCT1152	TO	890	452	0	0	38	414	0	223	52	139
PCT1153	MV	730	285	0	1	20	264	0	139	45	80
PCT1153	ED	210	181	0	0	27	154	0	77	17	60
PCT1153	TO	940	466	0	1	47	418	0	216	62	140
PCT7001	MV	632	331	0	2	35	294	0	171	13	110
PCT7001	ED	141	149	0	0	13	136	0	71	11	54
PCT7001	TO	773	480	0	2	48	430	0	242	24	164
PCT7002	MV	598	270	0	0	28	242	0	136	24	82
PCT7002	ED	116	142	0	0	16	126	1	72	8	45
PCT7002	TO	714	412	0	0	44	368	1	208	32	127
PCT7003	MV	759	435	0	0	34	401	0	240	34	127
PCT7003	ED	147	193	0	0	20	173	0	90	11	72
PCT7003	TO	906	628	0	0	54	574	0	330	45	199
PCT7004	MV	764	418	0	0	46	372	0	237	37	98
PCT7004	ED	149	225	0	0	25	200	0	134	10	56
PCT7004	TO	913	643	0	0	71	572	0	371	47	154
PCT7005	MV	698	351	0	0	23	328	0	207	15	106
PCT7005	ED	161	230	0	0	32	198	0	107	8	83
PCT7005	TO	859	581	0	0	55	526	0	314	23	189
PCT7006	MV	729	361	0	1	26	334	0	175	13	146
PCT7006	ED	203	238	0	0	28	210	1	95	11	103
PCT7006	TO	932	599	0	1	54	544	1	270	24	249
PCT7007	MV	777	438	0	0	35	403	0	253	28	122
PCT7007	ED	180	242	0	0	24	218	0	125	15	78
PCT7007	TO	957	680	0	0	59	621	0	378	43	200
PCT7008	MV	732	369	0	0	43	326	0	233	19	74
PCT7008	ED	177	254	0	0	27	227	0	135	15	77
PCT7008	TO	909	623	0	0	70	553	0	368	34	151
PCT7009	MV	752	391	0	0	31	360	0	202	24	134
PCT7009	ED	119	160	0	0	27	133	0	67	14	52
PCT7009	TO	871	551	0	0	58	493	0	269	38	186
PCT7011	MV	704	231	0	0	20	211	0	139	6	66
PCT7011	ED	269	142	0	0	19	123	0	75	7	41
PCT7011	TO	973	373	0	0	39	334	0	214	13	107
PCT7012	MV	999	489	0	0	39	450	0	285	26	139
PCT7012	ED	227	308	0	0	28	280	0	162	24	94
PCT7012	TO	1226	797	0	0	67	730	0	447	50	233
PCT7013	MV	984	431	0	0	38	393	0	235	23	135
PCT7013	ED	155	259	0	0	40	219	0	133	13	73
PCT7013	TO	1139	690	0	0	78	612	0	368	36	208
PCT7014	MV	610	305	0	0	26	279	0	186	15	78
PCT7014	ED	109	182	0	0	34	148	1	90	9	48
PCT7014	TO	719	487	0	0	60	427	1	276	24	126
PCT7015	MV	128	41	0	0	3	38	0	16	2	20
PCT7015	ED	-18	5	0	0	1	4	0	2	1	1
PCT7015	TO	110	46	0	0	4	42	0	18	3	21
PCT7016	MV	655	239	0	2	28	209	0	118	27	64
PCT7016	ED	277	105	0	0	11	94	0	47	8	39
PCT7016	TO	932	344	0	2	39	303	0	165	35	103
PCT7017	MV	543	182	0	1	16	165	0	110	15	40
PCT7017	ED	238	92	0	0	16	76	1	42	3	30
PCT7017	TO	781	274	0	1	32	241	1	152	18	70
PCT7018	MV	847	358	0	2	50	306	0	192	42	72
PCT7018	ED	200	103	0	0	7	96	0	53	4	39
PCT7018	TO	1047	461	0	2	57	402	0	245	46	111
PCT7019	MV	734	356	0	0	35	321	0	182	47	92
