area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	33:ROBERT ARDINI	34:JOE WALSH	35:BILL WELD	36:ROQUE "ROCKY" DE LA FUENTE	37:MATTHEW JOHN MATERN	38:ZOLTAN G. ISTVAN	39:DONALD J. TRUMP	185:DENIS C. GRASSKA	186:ROBERT LEE MANNING JR.
PCT1127	MV	742	16	0	0	0	16	0	0	0	1	1	0	0	14	0	0
PCT1127	ED	223	8	0	0	0	8	0	0	0	0	1	0	0	7	0	0
PCT1127	TO	965	24	0	0	0	24	0	0	0	1	2	0	0	21	0	0
PCT1128	MV	733	10	0	0	0	10	0	0	1	0	0	0	0	9	0	0
PCT1128	ED	146	2	0	0	0	2	0	0	0	0	1	0	0	1	0	0
PCT1128	TO	879	12	0	0	0	12	0	0	1	0	1	0	0	10	0	0
PCT1129	MV	786	10	0	0	1	9	0	0	0	1	1	0	0	7	0	0
PCT1129	ED	250	9	0	0	0	9	0	0	0	0	0	0	0	9	0	0
PCT1129	TO	1036	19	0	0	1	18	0	0	0	1	1	0	0	16	0	0
PCT1131	MV	693	18	0	0	0	18	0	0	0	0	0	0	0	18	0	0
PCT1131	ED	167	4	0	0	1	3	0	0	0	0	0	0	0	3	0	0
PCT1131	TO	860	22	0	0	1	21	0	0	0	0	0	0	0	21	0	0
PCT1132	MV	835	17	0	0	1	16	0	0	1	2	0	1	0	12	0	0
PCT1132	ED	197	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT1132	TO	1032	19	0	0	1	18	0	0	1	2	0	1	0	14	0	0
PCT1133	MV	715	19	0	0	0	19	0	0	2	1	0	0	1	15	0	0
PCT1133	ED	160	6	0	0	0	6	0	0	0	1	0	0	0	5	0	0
PCT1133	TO	875	25	0	0	0	25	0	0	2	2	0	0	1	20	0	0
PCT1134	MV	584	15	0	0	2	13	0	0	0	0	1	0	0	12	0	0
PCT1134	ED	183	2	0	0	0	2	0	0	0	0	0	0	0	2	0	0
PCT1134	TO	767	17	0	0	2	15	0	0	0	0	1	0	0	14	0	0
PCT1135	MV	464	5	0	0	1	4	0	0	0	0	0	0	0	4	0	0
PCT1135	ED	92	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
PCT1135	TO	556	6	0	0	1	5	0	0	0	1	0	0	0	4	0	0
PCT1136	MV	709	22	0	0	0	22	0	0	1	0	0	0	0	21	0	0
PCT1136	ED	158	7	0	0	0	7	0	0	0	0	0	1	0	6	0	0
PCT1136	TO	867	29	0	0	0	29	0	0	1	0	0	1	0	27	0	0
PCT1141	MV	834	11	0	0	0	11	0	0	0	0	1	0	0	10	0	0
PCT1141	ED	222	6	0	0	0	6	0	0	0	0	0	0	0	6	0	0
PCT1141	TO	1056	17	0	0	0	17	0	0	0	0	1	0	0	16	0	0
PCT1142	MV	721	11	0	0	0	11	0	0	0	4	0	0	0	7	0	0
PCT1142	ED	175	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1142	TO	896	14	0	0	0	14	0	0	0	4	0	0	0	10	0	0
PCT1143	MV	822	14	0	0	1	13	0	0	1	0	1	1	0	10	0	0
PCT1143	ED	227	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1143	TO	1049	17	0	0	1	16	0	0	1	0	1	1	0	13	0	0
PCT1144	MV	725	17	0	1	1	15	0	0	0	0	1	0	0	14	0	0
PCT1144	ED	222	7	0	0	0	7	0	0	0	0	0	0	0	7	0	0
PCT1144	TO	947	24	0	1	1	22	0	0	0	0	1	0	0	21	0	0
PCT1145	MV	752	7	0	0	1	6	0	0	1	0	0	0	0	5	0	0
PCT1145	ED	153	2	0	0	0	2	0	0	0	1	0	0	0	1	0	0
PCT1145	TO	905	9	0	0	1	8	0	0	1	1	0	0	0	6	0	0
PCT1146	MV	837	6	0	0	0	6	0	0	0	0	1	0	0	5	0	0
PCT1146	ED	217	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0
PCT1146	TO	1054	9	0	0	0	9	0	0	0	0	1	0	0	8	0	0
PCT1147	MV	671	6	0	0	1	5	0	1	0	0	0	0	0	4	0	0
PCT1147	ED	214	6	0	0	0	6	0	0	0	1	0	0	0	5	0	0
PCT1147	TO	885	12	0	0	1	11	0	1	0	1	0	0	0	9	0	0
PCT1148	MV	802	13	0	0	0	13	0	0	0	0	0	0	0	13	0	0
PCT1148	ED	226	14	0	0	0	14	0	0	0	0	0	1	0	13	0	0
PCT1148	TO	1028	27	0	0	0	27	0	0	0	0	0	1	0	26	0	0
PCT1149	MV	708	14	0	0	4	10	0	0	0	1	0	0	0	9	0	0
PCT1149	ED	231	5	0	0	0	5	0	0	0	1	0	0	0	4	0	0
