area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	50:HOWIE HAWKINS	51:GLORIA LA RIVA
ALLPCTS	TO	1531	366	0	1	107	258	7	77	174
ALLPCTS	ED	338	120	0	1	24	95	7	18	70
ALLPCTS	MV	1193	246	0	0	83	163	0	59	104
PCT1101	MV	1	1	0	0	1	0	0	0	0
PCT1101	ED	0	0	0	0	0	0	0	0	0
PCT1101	TO	1	1	0	0	1	0	0	0	0
PCT1102	MV	2	1	0	0	1	0	0	0	0
PCT1102	ED	0	0	0	0	0	0	0	0	0
PCT1102	TO	2	1	0	0	1	0	0	0	0
PCT1103	MV	4	1	0	0	1	0	0	0	0
PCT1103	ED	0	0	0	0	0	0	0	0	0
PCT1103	TO	4	1	0	0	1	0	0	0	0
PCT1104	MV	4	2	0	0	0	2	0	2	0
PCT1104	ED	1	0	0	0	0	0	0	0	0
PCT1104	TO	5	2	0	0	0	2	0	2	0
PCT1106	MV	1	1	0	0	0	1	0	0	1
PCT1106	ED	1	0	0	0	0	0	0	0	0
PCT1106	TO	2	1	0	0	0	1	0	0	1
PCT1107	MV	1	0	0	0	0	0	0	0	0
PCT1107	ED	1	0	0	0	0	0	0	0	0
PCT1107	TO	2	0	0	0	0	0	0	0	0
PCT1108	MV	1	0	0	0	0	0	0	0	0
PCT1108	ED	2	0	0	0	0	0	0	0	0
PCT1108	TO	3	0	0	0	0	0	0	0	0
PCT1109	MV	5	3	0	0	1	2	0	1	1
PCT1109	ED	0	0	0	0	0	0	0	0	0
PCT1109	TO	5	3	0	0	1	2	0	1	1
PCT1111	MV	4	1	0	0	1	0	0	0	0
PCT1111	ED	3	0	0	0	0	0	0	0	0
PCT1111	TO	7	1	0	0	1	0	0	0	0
PCT1112	MV	2	1	0	0	0	1	0	0	1
PCT1112	ED	1	0	0	0	0	0	0	0	0
PCT1112	TO	3	1	0	0	0	1	0	0	1
PCT1113	MV	6	0	0	0	0	0	0	0	0
PCT1113	ED	0	1	0	0	1	0	0	0	0
PCT1113	TO	6	1	0	0	1	0	0	0	0
PCT1114	MV	2	0	0	0	0	0	0	0	0
PCT1114	ED	0	0	0	0	0	0	0	0	0
PCT1114	TO	2	0	0	0	0	0	0	0	0
PCT1115	MV	3	0	0	0	0	0	0	0	0
PCT1115	ED	0	0	0	0	0	0	0	0	0
PCT1115	TO	3	0	0	0	0	0	0	0	0
PCT1116	MV	4	1	0	0	0	1	0	0	1
PCT1116	ED	0	1	0	0	0	1	0	0	1
PCT1116	TO	4	2	0	0	0	2	0	0	2
PCT1117	MV	3	1	0	0	1	0	0	0	0
PCT1117	ED	1	0	0	0	0	0	0	0	0
PCT1117	TO	4	1	0	0	1	0	0	0	0
PCT1118	MV	2	0	0	0	0	0	0	0	0
PCT1118	ED	0	0	0	0	0	0	0	0	0
PCT1118	TO	2	0	0	0	0	0	0	0	0
PCT1119	MV	6	3	0	0	1	2	0	1	1
PCT1119	ED	0	0	0	0	0	0	0	0	0
PCT1119	TO	6	3	0	0	1	2	0	1	1
