area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	X01401:DAVID CHIU	X01402:Starchild
ALLPCTS	TO	0	0	0	0	0	0	0	0	0
ALLPCTS	ED	0	0	0	0	0	0	0	0	0
ALLPCTS	MV	0	0	0	0	0	0	0	0	0
PCT1141	MV	0	0	0	0	0	0	0	0	0
PCT1141	ED	0	0	0	0	0	0	0	0	0
PCT1141	TO	0	0	0	0	0	0	0	0	0
PCT1142	MV	0	0	0	0	0	0	0	0	0
PCT1142	ED	0	0	0	0	0	0	0	0	0
PCT1142	TO	0	0	0	0	0	0	0	0	0
PCT1143	MV	0	0	0	0	0	0	0	0	0
PCT1143	ED	0	0	0	0	0	0	0	0	0
PCT1143	TO	0	0	0	0	0	0	0	0	0
PCT1144	MV	0	0	0	0	0	0	0	0	0
PCT1144	ED	0	0	0	0	0	0	0	0	0
PCT1144	TO	0	0	0	0	0	0	0	0	0
PCT1145	MV	0	0	0	0	0	0	0	0	0
PCT1145	ED	0	0	0	0	0	0	0	0	0
PCT1145	TO	0	0	0	0	0	0	0	0	0
PCT1146	MV	0	0	0	0	0	0	0	0	0
PCT1146	ED	0	0	0	0	0	0	0	0	0
PCT1146	TO	0	0	0	0	0	0	0	0	0
PCT1147	MV	0	0	0	0	0	0	0	0	0
PCT1147	ED	0	0	0	0	0	0	0	0	0
PCT1147	TO	0	0	0	0	0	0	0	0	0
PCT1148	MV	0	0	0	0	0	0	0	0	0
PCT1148	ED	0	0	0	0	0	0	0	0	0
PCT1148	TO	0	0	0	0	0	0	0	0	0
PCT1149	MV	0	0	0	0	0	0	0	0	0
PCT1149	ED	0	0	0	0	0	0	0	0	0
PCT1149	TO	0	0	0	0	0	0	0	0	0
PCT1151	MV	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0
PCT1152	MV	0	0	0	0	0	0	0	0	0
PCT1152	ED	0	0	0	0	0	0	0	0	0
PCT1152	TO	0	0	0	0	0	0	0	0	0
PCT1153	MV	0	0	0	0	0	0	0	0	0
PCT1153	ED	0	0	0	0	0	0	0	0	0
PCT1153	TO	0	0	0	0	0	0	0	0	0
PCT1154	MV	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0
PCT7001	MV	0	0	0	0	0	0	0	0	0
PCT7001	ED	0	0	0	0	0	0	0	0	0
PCT7001	TO	0	0	0	0	0	0	0	0	0
PCT7002	MV	0	0	0	0	0	0	0	0	0
PCT7002	ED	0	0	0	0	0	0	0	0	0
PCT7002	TO	0	0	0	0	0	0	0	0	0
PCT7003	MV	0	0	0	0	0	0	0	0	0
PCT7003	ED	0	0	0	0	0	0	0	0	0
PCT7003	TO	0	0	0	0	0	0	0	0	0
PCT7004	MV	0	0	0	0	0	0	0	0	0
PCT7004	ED	0	0	0	0	0	0	0	0	0
PCT7004	TO	0	0	0	0	0	0	0	0	0
PCT7005	MV	0	0	0	0	0	0	0	0	0
PCT7005	ED	0	0	0	0	0	0	0	0	0
PCT7005	TO	0	0	0	0	0	0	0	0	0
PCT7006	MV	0	0	0	0	0	0	0	0	0
PCT7006	ED	0	0	0	0	0	0	0	0	0
PCT7006	TO	0	0	0	0	0	0	0	0	0
PCT7007	MV	0	0	0	0	0	0	0	0	0
PCT7007	ED	0	0	0	0	0	0	0	0	0
PCT7007	TO	0	0	0	0	0	0	0	0	0
PCT7008	MV	0	0	0	0	0	0	0	0	0
PCT7008	ED	0	0	0	0	0	0	0	0	0
PCT7008	TO	0	0	0	0	0	0	0	0	0
PCT7009	MV	0	0	0	0	0	0	0	0	0
PCT7009	ED	0	0	0	0	0	0	0	0	0
PCT7009	TO	0	0	0	0	0	0	0	0	0
PCT7011	MV	0	0	0	0	0	0	0	0	0
PCT7011	ED	0	0	0	0	0	0	0	0	0
PCT7011	TO	0	0	0	0	0	0	0	0	0
PCT7012	MV	0	0	0	0	0	0	0	0	0
PCT7012	ED	0	0	0	0	0	0	0	0	0
PCT7012	TO	0	0	0	0	0	0	0	0	0
PCT7013	MV	0	0	0	0	0	0	0	0	0
PCT7013	ED	0	0	0	0	0	0	0	0	0
PCT7013	TO	0	0	0	0	0	0	0	0	0
PCT7014	MV	0	0	0	0	0	0	0	0	0
PCT7014	ED	0	0	0	0	0	0	0	0	0
PCT7014	TO	0	0	0	0	0	0	0	0	0
PCT7015	MV	0	0	0	0	0	0	0	0	0
PCT7015	ED	0	0	0	0	0	0	0	0	0
PCT7015	TO	0	0	0	0	0	0	0	0	0
PCT7016	MV	0	0	0	0	0	0	0	0	0
PCT7016	ED	0	0	0	0	0	0	0	0	0
PCT7016	TO	0	0	0	0	0	0	0	0	0
PCT7017	MV	0	0	0	0	0	0	0	0	0
PCT7017	ED	0	0	0	0	0	0	0	0	0
PCT7017	TO	0	0	0	0	0	0	0	0	0
PCT7018	MV	0	0	0	0	0	0	0	0	0
PCT7018	ED	0	0	0	0	0	0	0	0	0
PCT7018	TO	0	0	0	0	0	0	0	0	0
PCT7019	MV	0	0	0	0	0	0	0	0	0
PCT7019	ED	0	0	0	0	0	0	0	0	0
PCT7019	TO	0	0	0	0	0	0	0	0	0
PCT7021	MV	0	0	0	0	0	0	0	0	0
PCT7021	ED	0	0	0	0	0	0	0	0	0
PCT7021	TO	0	0	0	0	0	0	0	0	0
PCT7022	MV	0	0	0	0	0	0	0	0	0
PCT7022	ED	0	0	0	0	0	0	0	0	0
PCT7022	TO	0	0	0	0	0	0	0	0	0
PCT7023	MV	0	0	0	0	0	0	0	0	0
PCT7023	ED	0	0	0	0	0	0	0	0	0
PCT7023	TO	0	0	0	0	0	0	0	0	0
PCT7024	MV	0	0	0	0	0	0	0	0	0
PCT7024	ED	0	0	0	0	0	0	0	0	0
PCT7024	TO	0	0	0	0	0	0	0	0	0
PCT7025	MV	0	0	0	0	0	0	0	0	0
PCT7025	ED	0	0	0	0	0	0	0	0	0
PCT7025	TO	0	0	0	0	0	0	0	0	0
PCT7026	MV	0	0	0	0	0	0	0	0	0
PCT7026	ED	0	0	0	0	0	0	0	0	0
PCT7026	TO	0	0	0	0	0	0	0	0	0
PCT7027	MV	0	0	0	0	0	0	0	0	0
PCT7027	ED	0	0	0	0	0	0	0	0	0
PCT7027	TO	0	0	0	0	0	0	0	0	0
PCT7028	MV	0	0	0	0	0	0	0	0	0
PCT7028	ED	0	0	0	0	0	0	0	0	0
PCT7028	TO	0	0	0	0	0	0	0	0	0
PCT7029	MV	0	0	0	0	0	0	0	0	0
PCT7029	ED	0	0	0	0	0	0	0	0	0
PCT7029	TO	0	0	0	0	0	0	0	0	0
PCT7030	MV	0	0	0	0	0	0	0	0	0
PCT7030	ED	0	0	0	0	0	0	0	0	0
PCT7030	TO	0	0	0	0	0	0	0	0	0
PCT7031	MV	0	0	0	0	0	0	0	0	0
PCT7031	ED	0	0	0	0	0	0	0	0	0
PCT7031	TO	0	0	0	0	0	0	0	0	0
PCT7032	MV	0	0	0	0	0	0	0	0	0
PCT7032	ED	0	0	0	0	0	0	0	0	0
PCT7032	TO	0	0	0	0	0	0	0	0	0
PCT7033	MV	0	0	0	0	0	0	0	0	0
PCT7033	ED	0	0	0	0	0	0	0	0	0
PCT7033	TO	0	0	0	0	0	0	0	0	0
PCT7034	MV	0	0	0	0	0	0	0	0	0
PCT7034	ED	0	0	0	0	0	0	0	0	0
PCT7034	TO	0	0	0	0	0	0	0	0	0
PCT7035	MV	0	0	0	0	0	0	0	0	0
PCT7035	ED	0	0	0	0	0	0	0	0	0
PCT7035	TO	0	0	0	0	0	0	0	0	0
PCT7036	MV	0	0	0	0	0	0	0	0	0
