area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	13:JULIÁN CASTRO	14:MICHAEL A. ELLINGER	15:ELIZABETH WARREN	16:MARIANNE WILLIAMSON	17:ANDREW YANG	18:ROQUE "ROCKY" DE LA FUENTE III	19:JOHN K. DELANEY	20:AMY KLOBUCHAR	21:BERNIE SANDERS	22:JOE SESTAK	23:TOM STEYER	24:DEVAL PATRICK	25:MICHAEL BENNET	26:MICHAEL R. BLOOMBERG	27:MOSIE BOYD	28:CORY BOOKER	29:PETE BUTTIGIEG	30:JOSEPH R. BIDEN	31:TULSI GABBARD	32:MARK STEWART GREENSTEIN	178:NAKIA L. ANTHONY	179:DAPHNE DENISE BRADFORD	180:WILLIE FELIX CARTER	181:MICHAEL DENAME	182:JEFFREY H. DROBMAN	183:ROBERT JORDAN	184:HEATHER MARIE STAGG
PCT1113	TO	795	116	0	0	0	116	0	0	0	14	1	1	0	0	0	52	0	2	0	0	22	0	0	2	22	0	0	0	0	0	0	0	0	0
PCT1114	MV	766	67	0	1	3	63	0	1	1	9	0	1	0	0	4	27	0	0	0	0	7	0	0	4	9	0	0	0	0	0	0	0	0	0
PCT1114	ED	225	88	0	0	0	88	0	0	0	14	0	0	0	0	0	42	0	1	0	0	9	0	0	0	22	0	0	0	0	0	0	0	0	0
PCT1114	TO	991	155	0	1	3	151	0	1	1	23	0	1	0	0	4	69	0	1	0	0	16	0	0	4	31	0	0	0	0	0	0	0	0	0
PCT1115	MV	739	82	0	0	1	81	0	1	0	8	0	4	0	0	0	26	0	0	1	0	18	0	0	5	18	0	0	0	0	0	0	0	0	0
PCT1115	ED	197	82	0	0	0	82	0	0	0	12	0	0	0	0	0	42	0	1	0	0	4	0	0	0	23	0	0	0	0	0	0	0	0	0
PCT1115	TO	936	164	0	0	1	163	0	1	0	20	0	4	0	0	0	68	0	1	1	0	22	0	0	5	41	0	0	0	0	0	0	0	0	0
PCT1116	MV	702	101	0	0	2	99	0	0	0	9	0	8	0	0	1	33	0	2	0	0	17	0	0	5	21	3	0	0	0	0	0	0	0	0
PCT1116	ED	229	110	0	1	0	109	0	0	0	20	0	0	0	1	0	49	0	0	0	0	7	0	0	0	32	0	0	0	0	0	0	0	0	0
PCT1116	TO	931	211	0	1	2	208	0	0	0	29	0	8	0	1	1	82	0	2	0	0	24	0	0	5	53	3	0	0	0	0	0	0	0	0
PCT1117	MV	654	68	0	0	2	66	0	0	0	4	0	5	0	0	5	25	1	0	0	0	9	0	1	5	11	0	0	0	0	0	0	0	0	0
PCT1117	ED	192	69	0	0	0	69	0	0	0	12	0	0	0	0	0	31	0	0	0	0	7	0	0	0	19	0	0	0	0	0	0	0	0	0
PCT1117	TO	846	137	0	0	2	135	0	0	0	16	0	5	0	0	5	56	1	0	0	0	16	0	1	5	30	0	0	0	0	0	0	0	0	0
PCT1118	MV	841	77	0	0	1	76	0	0	0	11	0	2	0	0	2	36	0	3	0	0	7	0	1	5	9	0	0	0	0	0	0	0	0	0
PCT1118	ED	224	94	0	0	0	94	0	0	0	11	0	0	0	0	0	50	0	0	0	0	8	0	1	0	24	0	0	0	0	0	0	0	0	0
PCT1118	TO	1065	171	0	0	1	170	0	0	0	22	0	2	0	0	2	86	0	3	0	0	15	0	2	5	33	0	0	0	0	0	0	0	0	0
PCT1119	MV	658	77	0	0	0	77	0	0	0	11	0	2	0	0	1	25	0	1	0	0	18	0	0	4	15	0	0	0	0	0	0	0	0	0
