area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	87:KULVINDAR "RANI" SINGH	88:CAROLYN GOLD
PCT1146	MV	837	359	0	0	53	306	0	154	152
PCT1146	ED	217	109	0	0	16	93	0	26	67
PCT1146	TO	1054	468	0	0	69	399	0	180	219
PCT1147	MV	671	303	0	0	35	268	0	123	145
PCT1147	ED	214	107	0	0	19	88	0	28	60
PCT1147	TO	885	410	0	0	54	356	0	151	205
PCT1148	MV	804	364	0	1	52	311	0	153	158
PCT1148	ED	224	116	0	0	22	94	0	30	64
PCT1148	TO	1028	480	0	1	74	405	0	183	222
PCT1149	MV	709	316	0	0	62	254	0	119	135
PCT1149	ED	230	118	0	0	18	100	1	39	60
PCT1149	TO	939	434	0	0	80	354	1	158	195
PCT1151	MV	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	308	0	0	50	258	0	143	115
PCT1152	ED	180	85	0	0	10	75	0	28	47
PCT1152	TO	890	393	0	0	60	333	0	171	162
PCT1153	MV	730	283	0	1	58	224	0	124	100
PCT1153	ED	210	116	0	0	28	88	0	46	42
PCT1153	TO	940	399	0	1	86	312	0	170	142
PCT1154	MV	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0
PCT7001	MV	632	322	0	0	72	250	0	135	115
PCT7001	ED	141	101	0	0	20	81	0	28	53
PCT7001	TO	773	423	0	0	92	331	0	163	168
PCT7002	MV	598	259	0	0	57	202	0	99	103
PCT7002	ED	116	88	0	0	12	76	0	29	47
PCT7002	TO	714	347	0	0	69	278	0	128	150
PCT7003	MV	759	427	0	0	75	352	0	200	152
PCT7003	ED	147	144	0	0	26	118	3	53	62
PCT7003	TO	906	571	0	0	101	470	3	253	214
PCT7004	MV	764	411	0	0	88	323	0	178	145
PCT7004	ED	149	142	0	0	41	101	1	58	42
PCT7004	TO	913	553	0	0	129	424	1	236	187
PCT7005	MV	697	342	0	0	51	291	0	140	151
PCT7005	ED	162	162	0	0	34	128	0	55	73
PCT7005	TO	859	504	0	0	85	419	0	195	224
PCT7006	MV	728	349	0	1	61	287	0	114	173
PCT7006	ED	204	149	0	0	28	121	1	33	87
PCT7006	TO	932	498	0	1	89	408	1	147	260
PCT7007	MV	777	427	0	0	73	354	0	190	164
PCT7007	ED	180	168	0	0	36	132	0	66	66
PCT7007	TO	957	595	0	0	109	486	0	256	230
PCT7008	MV	732	362	0	0	86	276	0	158	118
PCT7008	ED	177	189	0	0	42	147	2	55	90
PCT7008	TO	909	551	0	0	128	423	2	213	208
PCT7009	MV	752	387	0	0	70	317	0	150	167
PCT7009	ED	119	91	0	0	20	71	0	31	40
PCT7009	TO	871	478	0	0	90	388	0	181	207
PCT7011	MV	703	228	0	0	44	184	0	93	91
PCT7011	ED	270	87	0	0	9	78	0	44	34
PCT7011	TO	973	315	0	0	53	262	0	137	125
PCT7012	MV	999	479	0	0	89	390	0	189	201
PCT7012	ED	227	203	0	0	35	168	2	74	92
PCT7012	TO	1226	682	0	0	124	558	2	263	293
PCT7013	MV	984	271	0	0	46	225	0	114	111
PCT7013	ED	155	151	0	0	42	109	0	41	68
PCT7013	TO	1139	422	0	0	88	334	0	155	179
PCT7014	MV	609	295	0	0	66	229	0	139	90
PCT7014	ED	110	111	0	0	30	81	1	30	50
PCT7014	TO	719	406	0	0	96	310	1	169	140
PCT7015	MV	128	39	0	0	3	36	0	4	32
PCT7015	ED	-18	0	0	0	0	0	0	0	0
PCT7015	TO	110	39	0	0	3	36	0	4	32
PCT7016	MV	654	235	0	0	55	180	0	78	102
PCT7016	ED	278	75	0	0	14	61	3	17	41
PCT7016	TO	932	310	0	0	69	241	3	95	143
PCT7017	MV	543	182	0	0	27	155	0	63	92
PCT7017	ED	238	53	0	0	19	34	1	6	27
PCT7017	TO	781	235	0	0	46	189	1	69	119
PCT7018	MV	847	353	0	1	68	284	0	162	122
PCT7018	ED	200	56	0	0	13	43	0	14	29
PCT7018	TO	1047	409	0	1	81	327	0	176	151
PCT7019	MV	733	351	0	2	58	291	0	150	141
