area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	85:DOROTHY CHOU PROUDFOOT	86:MICHELLE TONG
PCT1146	MV	839	364	0	0	50	314	0	108	206
PCT1146	ED	215	110	0	0	13	97	1	31	65
PCT1146	TO	1054	474	0	0	63	411	1	139	271
PCT1147	MV	673	309	0	2	39	268	0	109	159
PCT1147	ED	212	108	0	0	20	88	0	31	57
PCT1147	TO	885	417	0	2	59	356	0	140	216
PCT1148	MV	804	368	0	1	53	314	0	141	173
PCT1148	ED	224	119	0	0	21	98	1	39	58
PCT1148	TO	1028	487	0	1	74	412	1	180	231
PCT1149	MV	710	319	0	0	60	259	0	94	165
PCT1149	ED	229	119	0	0	22	97	1	33	63
PCT1149	TO	939	438	0	0	82	356	1	127	228
PCT1152	MV	710	313	0	1	49	263	0	111	152
PCT1152	ED	180	87	0	0	15	72	0	28	44
PCT1152	TO	890	400	0	1	64	335	0	139	196
PCT1153	MV	730	285	0	1	46	238	0	97	141
PCT1153	ED	210	117	0	0	24	93	0	38	55
PCT1153	TO	940	402	0	1	70	331	0	135	196
PCT7001	MV	632	329	0	0	70	259	0	112	147
PCT7001	ED	141	105	0	0	24	81	1	15	65
PCT7001	TO	773	434	0	0	94	340	1	127	212
PCT7002	MV	598	267	0	0	63	204	0	78	126
PCT7002	ED	116	90	0	0	13	77	0	28	49
PCT7002	TO	714	357	0	0	76	281	0	106	175
PCT7003	MV	759	432	0	0	87	345	0	158	187
PCT7003	ED	147	144	0	0	28	116	1	50	65
PCT7003	TO	906	576	0	0	115	461	1	208	252
PCT7004	MV	764	416	0	0	89	327	0	143	184
PCT7004	ED	149	146	0	0	41	105	1	50	54
PCT7004	TO	913	562	0	0	130	432	1	193	238
PCT7005	MV	698	350	0	1	43	306	0	137	169
PCT7005	ED	161	163	0	0	36	127	0	50	77
PCT7005	TO	859	513	0	1	79	433	0	187	246
PCT7006	MV	729	360	0	1	62	297	0	111	186
PCT7006	ED	203	153	0	0	30	123	0	33	90
PCT7006	TO	932	513	0	1	92	420	0	144	276
PCT7007	MV	777	437	0	0	81	356	0	152	204
PCT7007	ED	180	174	0	0	34	140	0	55	85
PCT7007	TO	957	611	0	0	115	496	0	207	289
PCT7008	MV	732	367	0	0	88	279	0	124	155
PCT7008	ED	177	194	0	0	40	154	2	42	110
PCT7008	TO	909	561	0	0	128	433	2	166	265
PCT7009	MV	752	390	0	0	73	317	0	126	191
PCT7009	ED	119	95	0	0	18	77	0	29	48
PCT7009	TO	871	485	0	0	91	394	0	155	239
PCT7011	MV	704	231	0	0	43	188	0	80	108
PCT7011	ED	269	88	0	0	10	78	0	31	47
PCT7011	TO	973	319	0	0	53	266	0	111	155
PCT7012	MV	999	487	0	1	88	398	0	162	236
PCT7012	ED	227	209	0	0	35	174	2	60	112
PCT7012	TO	1226	696	0	1	123	572	2	222	348
PCT7013	MV	984	427	0	0	87	340	0	147	193
PCT7013	ED	155	157	0	0	43	114	0	36	78
PCT7013	TO	1139	584	0	0	130	454	0	183	271
PCT7014	MV	610	303	0	0	65	238	0	116	122
PCT7014	ED	109	115	0	0	33	82	1	26	55
PCT7014	TO	719	418	0	0	98	320	1	142	177
PCT7015	MV	128	40	0	0	4	36	0	14	22
PCT7015	ED	-18	0	0	0	0	0	0	0	0
PCT7015	TO	110	40	0	0	4	36	0	14	22
PCT7016	MV	655	239	0	1	54	184	0	96	88
PCT7016	ED	277	79	0	0	13	66	1	19	46
PCT7016	TO	932	318	0	1	67	250	1	115	134
PCT7017	MV	543	180	0	0	33	147	0	67	80
PCT7017	ED	238	53	0	0	18	35	0	13	22
PCT7017	TO	781	233	0	0	51	182	0	80	102
PCT7018	MV	847	357	0	0	72	285	0	140	145
PCT7018	ED	200	56	0	0	8	48	0	12	36
PCT7018	TO	1047	413	0	0	80	333	0	152	181
PCT7019	MV	734	355	0	0	60	295	0	127	168
PCT7019	ED	166	74	0	0	18	56	0	21	35
PCT7019	TO	900	429	0	0	78	351	0	148	203
PCT7021	MV	679	271	0	0	46	225	0	92	133
PCT7021	ED	288	108	0	0	23	85	1	22	62
PCT7021	TO	967	379	0	0	69	310	1	114	195
PCT7022	MV	770	312	0	0	54	258	0	107	151
PCT7022	ED	193	55	0	1	4	50	0	23	27
PCT7022	TO	963	367	0	1	58	308	0	130	178
PCT7023	MV	687	331	0	0	56	275	0	128	147
PCT7023	ED	233	72	0	0	8	64	1	28	35
PCT7023	TO	920	403	0	0	64	339	1	156	182
PCT7024	MV	251	50	0	0	4	46	0	13	33
PCT7024	ED	190	20	0	0	8	12	1	9	2
PCT7024	TO	441	70	0	0	12	58	1	22	35
PCT7025	MV	316	95	0	0	14	81	0	36	45
PCT7025	ED	167	39	0	0	9	30	2	10	18
PCT7025	TO	483	134	0	0	23	111	2	46	63
PCT7026	MV	819	336	0	1	46	289	0	118	171
PCT7026	ED	191	72	0	0	11	61	2	23	36
PCT7026	TO	1010	408	0	1	57	350	2	141	207
PCT7027	MV	677	270	0	0	42	228	0	71	157
PCT7027	ED	219	99	0	0	18	81	2	27	52
PCT7027	TO	896	369	0	0	60	309	2	98	209
PCT7028	MV	585	220	0	0	34	186	0	82	104
PCT7028	ED	271	100	0	0	23	77	0	27	50
PCT7028	TO	856	320	0	0	57	263	0	109	154
PCT7029	MV	642	209	0	0	44	165	0	57	108
PCT7029	ED	267	40	0	0	8	32	2	10	20
PCT7029	TO	909	249	0	0	52	197	2	67	128
PCT7030	MV	654	274	0	1	38	235	0	96	139
PCT7030	ED	141	59	0	0	7	52	2	26	24
PCT7030	TO	795	333	0	1	45	287	2	122	163
PCT7031	MV	622	263	0	1	50	212	0	99	113
PCT7031	ED	72	49	0	0	12	37	0	12	25
PCT7031	TO	694	312	0	1	62	249	0	111	138
PCT7032	MV	643	266	0	3	46	217	0	91	126
PCT7032	ED	238	54	0	0	10	44	1	18	25
PCT7032	TO	881	320	0	3	56	261	1	109	151
PCT7033	MV	549	214	0	0	31	183	0	73	110
PCT7033	ED	229	86	0	0	14	72	0	29	43
PCT7033	TO	778	300	0	0	45	255	0	102	153
PCT7034	MV	620	142	0	1	29	112	0	40	72
PCT7034	ED	318	60	0	0	13	47	0	16	31
PCT7034	TO	938	202	0	1	42	159	0	56	103
PCT7035	MV	567	237	0	1	24	212	0	96	116
PCT7035	ED	152	54	0	0	13	41	0	16	25
PCT7035	TO	719	291	0	1	37	253	0	112	141
PCT7036	MV	781	263	0	0	43	220	0	108	112
PCT7036	ED	193	39	0	0	2	37	0	12	25
PCT7036	TO	974	302	0	0	45	257	0	120	137
PCT7037	MV	434	63	0	2	8	53	0	24	29
PCT7037	ED	312	38	0	0	12	26	0	11	15
PCT7037	TO	746	101	0	2	20	79	0	35	44
PCT7038	MV	758	308	0	2	73	233	0	96	137
PCT7038	ED	203	60	0	0	12	48	1	17	30
PCT7038	TO	961	368	0	2	85	281	1	113	167
PCT7039	MV	636	243	0	0	53	190	0	75	115
PCT7039	ED	201	104	0	0	18	86	1	39	46
PCT7039	TO	837	347	0	0	71	276	1	114	161
PCT7041	MV	70	29	0	0	6	23	0	12	11
PCT7041	ED	-4	0	0	0	0	0	0	0	0
PCT7041	TO	66	29	0	0	6	23	0	12	11
PCT7042	MV	514	222	0	0	39	183	0	69	114
PCT7042	ED	146	62	0	0	9	53	0	16	37
PCT7042	TO	660	284	0	0	48	236	0	85	151
PCT7043	MV	754	295	0	0	45	250	0	112	138
PCT7043	ED	224	79	0	0	14	65	0	20	45
PCT7043	TO	978	374	0	0	59	315	0	132	183
PCT7044	MV	586	149	0	1	14	134	0	59	75
PCT7044	ED	266	36	0	0	10	26	1	7	18
PCT7044	TO	852	185	0	1	24	160	1	66	93
PCT7045	MV	632	267	0	0	48	219	0	95	124
PCT7045	ED	154	53	0	0	15	38	0	15	23
PCT7045	TO	786	320	0	0	63	257	0	110	147
PCT7046	MV	334	132	0	0	22	110	0	55	55
PCT7046	ED	96	48	0	0	8	40	1	12	27
PCT7046	TO	430	180	0	0	30	150	1	67	82
PCT7047	MV	733	315	0	1	55	259	0	109	150
PCT7047	ED	150	62	0	0	17	45	1	18	26
PCT7047	TO	883	377	0	1	72	304	1	127	176
PCT7048	MV	685	267	0	0	48	219	0	90	129
PCT7048	ED	196	59	0	0	16	43	0	14	29
PCT7048	TO	881	326	0	0	64	262	0	104	158
PCT7049	MV	616	247	0	0	44	203	0	85	118
PCT7049	ED	210	71	0	0	16	55	1	23	31
PCT7049	TO	826	318	0	0	60	258	1	108	149
PCT7051	MV	715	306	0	1	70	235	0	105	130
PCT7051	ED	165	70	0	0	14	56	1	16	39
PCT7051	TO	880	376	0	1	84	291	1	121	169
PCT7052	MV	722	296	0	0	46	250	0	101	149
PCT7052	ED	184	88	0	0	17	71	0	28	43
PCT7052	TO	906	384	0	0	63	321	0	129	192
PCT7053	MV	542	227	0	0	46	181	0	90	91
PCT7053	ED	43	42	0	0	10	32	0	15	17
PCT7053	TO	585	269	0	0	56	213	0	105	108
PCT7054	MV	863	310	0	0	67	243	0	88	155
PCT7054	ED	273	109	0	0	27	82	1	32	49
PCT7054	TO	1136	419	0	0	94	325	1	120	204
PCT7055	MV	732	292	0	0	50	242	0	97	145
PCT7055	ED	94	78	0	0	21	57	1	15	41
PCT7055	TO	826	370	0	0	71	299	1	112	186
PCT7056	MV	618	275	0	0	53	222	0	118	104
PCT7056	ED	87	122	0	0	20	102	1	35	66
PCT7056	TO	705	397	0	0	73	324	1	153	170
PCT7101	MV	162	99	0	0	20	79	0	37	42
PCT7101	ED	-15	4	0	0	0	4	0	1	3
PCT7101	TO	147	103	0	0	20	83	0	38	45
PCT7201	MV	788	383	0	0	70	313	0	168	145
PCT7201	ED	147	170	0	0	48	122	1	59	62
PCT7201	TO	935	553	0	0	118	435	1	227	207
PCT7202	MV	708	308	0	0	71	237	0	122	115
PCT7202	ED	143	158	0	0	41	117	0	50	67
PCT7202	TO	851	466	0	0	112	354	0	172	182
PCT7203	MV	693	321	0	0	96	225	0	109	116
PCT7203	ED	186	187	0	0	56	131	0	58	73
PCT7203	TO	879	508	0	0	152	356	0	167	189
PCT7204	MV	773	422	0	0	92	330	0	176	154
PCT7204	ED	126	157	0	0	46	111	0	49	62
PCT7204	TO	899	579	0	0	138	441	0	225	216
PCT7205	MV	724	360	0	0	81	279	0	156	123
PCT7205	ED	147	177	0	0	37	140	1	56	83
PCT7205	TO	871	537	0	0	118	419	1	212	206
PCT7206	MV	299	129	0	0	30	99	0	53	46
PCT7206	ED	78	106	0	0	29	77	0	40	37
PCT7206	TO	377	235	0	0	59	176	0	93	83
PCT7207	MV	744	333	0	0	68	265	0	133	132
PCT7207	ED	123	154	0	0	46	108	0	35	73
PCT7207	TO	867	487	0	0	114	373	0	168	205
PCT7208	MV	492	253	0	0	52	201	0	97	104
PCT7208	ED	78	97	0	0	26	71	1	26	44
PCT7208	TO	570	350	0	0	78	272	1	123	148
PCT7209	MV	595	341	0	0	82	259	0	142	117
PCT7209	ED	52	75	0	0	19	56	0	19	37
PCT7209	TO	647	416	0	0	101	315	0	161	154
PCT7301	MV	813	319	0	1	54	264	0	124	140
PCT7301	ED	201	143	0	0	33	110	0	54	56
PCT7301	TO	1014	462	0	1	87	374	0	178	196
PCT7302	MV	713	352	0	1	75	276	0	160	116
PCT7302	ED	136	140	0	0	34	106	1	56	49
PCT7302	TO	849	492	0	1	109	382	1	216	165
PCT7303	MV	869	376	0	0	87	289	0	136	153
PCT7303	ED	199	172	0	0	48	124	2	62	60
PCT7303	TO	1068	548	0	0	135	413	2	198	213
PCT7304	MV	802	366	0	0	79	287	0	168	119
PCT7304	ED	199	185	0	0	46	139	0	65	74
PCT7304	TO	1001	551	0	0	125	426	0	233	193
PCT7305	MV	713	386	0	0	94	292	0	173	119
PCT7305	ED	154	155	0	0	40	115	0	66	49
PCT7305	TO	867	541	0	0	134	407	0	239	168
PCT7306	MV	801	374	0	0	87	287	0	157	130
PCT7306	ED	243	194	0	0	51	143	2	60	81
PCT7306	TO	1044	568	0	0	138	430	2	217	211
PCT7307	MV	605	272	0	0	48	224	0	121	103
PCT7307	ED	169	130	0	0	39	91	1	43	47
PCT7307	TO	774	402	0	0	87	315	1	164	150
PCT7308	MV	520	257	0	1	55	201	0	102	99
PCT7308	ED	105	158	0	0	39	119	0	58	61
PCT7308	TO	625	415	0	1	94	320	0	160	160
PCT7309	MV	691	324	0	0	77	247	0	133	114
PCT7309	ED	167	191	0	0	60	131	2	60	69
PCT7309	TO	858	515	0	0	137	378	2	193	183
PCT7311	MV	698	333	0	0	70	263	0	141	122
PCT7311	ED	208	218	0	0	59	159	1	65	93
PCT7311	TO	906	551	0	0	129	422	1	206	215
PCT7312	MV	700	395	0	0	89	306	0	194	112
PCT7312	ED	110	162	0	1	38	123	1	69	53
PCT7312	TO	810	557	0	1	127	429	1	263	165
PCT7313	MV	819	373	0	1	75	297	0	154	143
PCT7313	ED	184	163	0	1	49	113	2	39	72
PCT7313	TO	1003	536	0	2	124	410	2	193	215
PCT7314	MV	612	226	0	0	34	192	0	104	88
