area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	89:KAT ANDERSON	90:NADIA RAHMAN	91:MANO RAJU	92:ABRA PAULINE CASTLE	93:QUEENA CHEN	94:CYN WANG	95:LEAH LACROIX	96:SUZY LOFTUS	97:LI MIAO LOVETT	98:JANICE LI	99:JANE NATOLI	100:AHSHA SAFAI	101:GORDON MAR	102:SEEYEW MO	103:FAAUUGA MOLIGA	104:PAUL MIYAMOTO	105:MARY JUNG	106:KEITH BARAKA	107:KELLY AKEMI GROTH	108:A. J. THOMAS	109:MAWULI TUGBENYOH
PCT9125	MV	387	242	0	0	1145	1275	0	34	25	92	17	79	42	77	65	77	83	36	42	98	29	75	72	61	86	71	89	25
PCT9125	ED	113	132	0	0	752	568	0	20	13	38	10	40	16	33	28	38	32	21	22	48	11	25	20	33	39	29	38	14
PCT9125	TO	500	374	0	0	1897	1843	0	54	38	130	27	119	58	110	93	115	115	57	64	146	40	100	92	94	125	100	127	39
PCT9126	MV	470	244	0	0	1256	1184	0	31	23	77	26	77	56	64	63	65	85	27	44	97	37	60	59	66	75	55	71	26
PCT9126	ED	120	162	0	0	984	636	0	14	11	51	11	44	16	44	35	43	41	18	19	56	11	42	20	20	47	38	47	8
PCT9126	TO	590	406	0	0	2240	1820	0	45	34	128	37	121	72	108	98	108	126	45	63	153	48	102	79	86	122	93	118	34
PCT9127	MV	448	272	0	1	1428	1282	0	47	29	76	26	87	50	74	67	68	73	47	46	102	31	68	68	69	78	70	86	20
PCT9127	ED	138	158	0	0	898	682	0	24	16	47	10	48	18	44	43	45	42	23	18	49	10	44	30	38	41	36	41	15
PCT9127	TO	586	430	0	1	2326	1964	0	71	45	123	36	135	68	118	110	113	115	70	64	151	41	112	98	107	119	106	127	35
PCT9128	MV	364	225	0	0	1140	1110	0	39	33	76	16	76	34	74	65	62	72	38	38	82	23	60	37	53	78	57	68	29
PCT9128	ED	117	141	0	0	910	500	0	15	8	31	9	34	22	29	31	30	32	13	15	42	13	34	22	24	35	26	29	6
PCT9128	TO	481	366	0	0	2050	1610	0	54	41	107	25	110	56	103	96	92	104	51	53	124	36	94	59	77	113	83	97	35
PCT9129	MV	326	183	0	0	941	889	0	30	17	60	11	60	27	64	40	52	66	24	36	75	21	46	40	43	65	45	50	17
PCT9129	ED	106	123	0	2	761	449	0	14	14	38	8	32	13	29	21	28	33	15	13	33	7	24	16	14	32	26	33	6
PCT9129	TO	432	306	0	2	1702	1338	0	44	31	98	19	92	40	93	61	80	99	39	49	108	28	70	56	57	97	71	83	23
PCT9131	MV	361	198	0	0	974	1006	0	27	12	66	20	67	23	68	51	71	70	26	27	84	13	65	49	39	75	66	69	18
PCT9131	ED	63	124	0	0	785	455	0	12	7	36	8	31	12	30	25	29	31	11	14	41	3	27	16	16	33	31	34	8
PCT9131	TO	424	322	0	0	1759	1461	0	39	19	102	28	98	35	98	76	100	101	37	41	125	16	92	65	55	108	97	103	26
PCT9132	MV	397	187	0	3	952	888	0	23	21	58	15	59	32	59	47	57	65	32	26	75	21	46	23	45	54	47	65	18
PCT9132	ED	124	159	0	0	901	689	0	26	17	43	17	44	25	42	27	50	45	23	19	51	13	47	16	19	47	47	58	13
PCT9132	TO	521	346	0	3	1853	1577	0	49	38	101	32	103	57	101	74	107	110	55	45	126	34	93	39	64	101	94	123	31
