area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	40:PHIL COLLINS	41:ROQUE "ROCKY" DE LA FUENTE	42:CHARLES KRAUT	43:J.R. MYERS	44:DON BLANKENSHIP
PCT1134	TO	767	3	0	0	1	2	0	0	1	0	1	0
PCT1135	MV	464	9	0	0	5	4	0	0	0	0	2	2
PCT1135	ED	92	2	0	0	0	2	1	0	0	0	1	0
PCT1135	TO	556	11	0	0	5	6	1	0	0	0	3	2
PCT1136	MV	710	6	0	0	3	3	0	1	0	0	2	0
PCT1136	ED	157	1	0	0	0	1	0	0	0	0	0	1
PCT1136	TO	867	7	0	0	3	4	0	1	0	0	2	1
PCT1141	MV	836	1	0	0	1	0	0	0	0	0	0	0
PCT1141	ED	220	1	0	0	0	1	0	1	0	0	0	0
PCT1141	TO	1056	2	0	0	1	1	0	1	0	0	0	0
PCT1142	MV	721	3	0	0	3	0	0	0	0	0	0	0
PCT1142	ED	175	3	0	0	1	2	0	0	2	0	0	0
PCT1142	TO	896	6	0	0	4	2	0	0	2	0	0	0
PCT1143	MV	823	5	0	0	4	1	0	0	1	0	0	0
PCT1143	ED	226	1	0	0	0	1	0	0	1	0	0	0
PCT1143	TO	1049	6	0	0	4	2	0	0	2	0	0	0
PCT1144	MV	727	5	0	0	4	1	0	0	0	0	0	1
PCT1144	ED	220	1	0	0	0	1	1	0	0	0	0	0
PCT1144	TO	947	6	0	0	4	2	1	0	0	0	0	1
PCT1145	MV	752	7	0	0	6	1	0	0	0	0	1	0
PCT1145	ED	153	0	0	0	0	0	0	0	0	0	0	0
PCT1145	TO	905	7	0	0	6	1	0	0	0	0	1	0
PCT1146	MV	837	7	0	0	3	4	0	2	0	0	1	1
PCT1146	ED	217	4	0	0	2	2	1	0	0	1	0	0
PCT1146	TO	1054	11	0	0	5	6	1	2	0	1	1	1
PCT1147	MV	671	4	0	0	4	0	0	0	0	0	0	0
PCT1147	ED	214	0	0	0	0	0	0	0	0	0	0	0
PCT1147	TO	885	4	0	0	4	0	0	0	0	0	0	0
PCT1148	MV	804	3	0	0	0	3	0	1	0	0	2	0
PCT1148	ED	224	1	0	0	0	1	1	0	0	0	0	0
PCT1148	TO	1028	4	0	0	0	4	1	1	0	0	2	0
PCT1149	MV	709	4	0	0	3	1	0	0	0	0	0	1
PCT1149	ED	230	1	0	0	0	1	0	1	0	0	0	0
PCT1149	TO	939	5	0	0	3	2	0	1	0	0	0	1
PCT1151	MV	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	ED	0	0	0	0	0	0	0	0	0	0	0	0
PCT1151	TO	0	0	0	0	0	0	0	0	0	0	0	0
PCT1152	MV	710	4	0	0	3	1	0	1	0	0	0	0
PCT1152	ED	180	1	0	0	1	0	0	0	0	0	0	0
PCT1152	TO	890	5	0	0	4	1	0	1	0	0	0	0
PCT1153	MV	730	8	0	0	6	2	0	0	0	0	2	0
PCT1153	ED	210	1	0	0	1	0	0	0	0	0	0	0
PCT1153	TO	940	9	0	0	7	2	0	0	0	0	2	0
PCT1154	MV	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	ED	0	0	0	0	0	0	0	0	0	0	0	0
PCT1154	TO	0	0	0	0	0	0	0	0	0	0	0	0
PCT7001	MV	632	1	0	0	0	1	0	1	0	0	0	0
PCT7001	ED	141	1	0	0	0	1	1	0	0	0	0	0
PCT7001	TO	773	2	0	0	0	2	1	1	0	0	0	0
PCT7002	MV	598	3	0	0	0	3	0	0	1	0	0	2
PCT7002	ED	116	0	0	0	0	0	0	0	0	0	0	0
PCT7002	TO	714	3	0	0	0	3	0	0	1	0	0	2
PCT7003	MV	759	2	0	0	2	0	0	0	0	0	0	0
PCT7003	ED	147	3	0	0	1	2	1	1	0	0	0	0
PCT7003	TO	906	5	0	0	3	2	1	1	0	0	0	0
PCT7004	MV	764	2	0	0	2	0	0	0	0	0	0	0
PCT7004	ED	149	1	0	0	0	1	0	0	0	1	0	0
PCT7004	TO	913	3	0	0	2	1	0	0	0	1	0	0
PCT7005	MV	697	1	0	0	1	0	0	0	0	0	0	0
PCT7005	ED	162	0	0	0	0	0	0	0	0	0	0	0
PCT7005	TO	859	1	0	0	1	0	0	0	0	0	0	0
PCT7006	MV	728	0	0	0	0	0	0	0	0	0	0	0
PCT7006	ED	204	1	0	0	0	1	0	1	0	0	0	0
PCT7006	TO	932	1	0	0	0	1	0	1	0	0	0	0
PCT7007	MV	777	7	0	0	4	3	0	3	0	0	0	0
PCT7007	ED	180	0	0	0	0	0	0	0	0	0	0	0
PCT7007	TO	957	7	0	0	4	3	0	3	0	0	0	0
PCT7008	MV	732	3	0	0	3	0	0	0	0	0	0	0
PCT7008	ED	177	1	0	0	1	0	0	0	0	0	0	0
PCT7008	TO	909	4	0	0	4	0	0	0	0	0	0	0
PCT7009	MV	752	6	0	0	5	1	0	1	0	0	0	0
PCT7009	ED	119	0	0	0	0	0	0	0	0	0	0	0
PCT7009	TO	871	6	0	0	5	1	0	1	0	0	0	0
PCT7011	MV	703	0	0	0	0	0	0	0	0	0	0	0
PCT7011	ED	270	0	0	0	0	0	0	0	0	0	0	0
PCT7011	TO	973	0	0	0	0	0	0	0	0	0	0	0
PCT7012	MV	999	4	0	0	4	0	0	0	0	0	0	0
PCT7012	ED	227	0	0	0	0	0	0	0	0	0	0	0
PCT7012	TO	1226	4	0	0	4	0	0	0	0	0	0	0
PCT7013	MV	984	3	0	0	1	2	0	1	1	0	0	0
PCT7013	ED	155	3	0	0	1	2	1	0	0	1	0	0
PCT7013	TO	1139	6	0	0	2	4	1	1	1	1	0	0
PCT7014	MV	609	3	0	0	3	0	0	0	0	0	0	0
PCT7014	ED	110	0	0	0	0	0	0	0	0	0	0	0
PCT7014	TO	719	3	0	0	3	0	0	0	0	0	0	0
PCT7015	MV	128	1	0	0	0	1	0	1	0	0	0	0
PCT7015	ED	-18	0	0	0	0	0	0	0	0	0	0	0
PCT7015	TO	110	1	0	0	0	1	0	1	0	0	0	0
PCT7016	MV	654	5	0	0	4	1	0	0	0	0	1	0
PCT7016	ED	278	1	0	0	0	1	0	0	0	0	1	0
PCT7016	TO	932	6	0	0	4	2	0	0	0	0	2	0
PCT7017	MV	543	0	0	0	0	0	0	0	0	0	0	0
PCT7017	ED	238	0	0	0	0	0	0	0	0	0	0	0
