area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	73:JACKIE SPEIER	74:RAN S. PETEL	75:CRISTOS GOODROW	76:ERIC TAYLOR
PCT9001	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9001	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9001	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9453	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9453	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9453	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9712	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9712	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9712	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9714	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9714	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9714	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9715	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9715	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9715	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9718	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9718	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9718	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9719	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9719	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9719	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9721	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9721	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9721	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9722	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9722	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9722	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9723	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9723	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9723	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9724	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9724	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9724	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9725	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9725	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9725	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9726	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9726	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9726	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9727	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9727	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9727	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9728	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9728	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9728	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9729	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9729	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9729	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9731	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9731	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9731	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9733	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9733	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9733	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9734	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9734	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9734	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9735	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9735	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9735	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9736	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9736	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9736	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9737	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9737	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9737	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9738	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9738	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9738	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9739	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9739	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9739	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9741	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9741	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9741	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9742	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9742	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9742	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9743	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9743	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9743	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9744	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9744	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9744	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9745	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9745	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9745	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9746	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9746	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9746	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9747	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9747	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9747	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9748	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9748	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9748	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9749	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9749	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9749	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9751	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9751	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9751	TO	0	0	0	0	0	0	0	0	0	0	0
PCT9752	MV	0	0	0	0	0	0	0	0	0	0	0
PCT9752	ED	0	0	0	0	0	0	0	0	0	0	0
PCT9752	TO	0	0	0	0	0	0	0	0	0	0	0
