area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	82:DAVID CHIU	177:Starchild
PCT7022	MV	963	109	0	0	28	81	0	81	0
PCT7022	ED	963	54	0	0	16	38	1	37	0
PCT7022	TO	963	163	0	0	44	119	1	118	0
PCT7023	MV	920	142	0	0	34	108	0	108	0
PCT7023	ED	920	71	0	0	15	56	1	55	0
PCT7023	TO	920	213	0	0	49	164	1	163	0
PCT7024	MV	441	25	0	0	5	20	0	20	0
PCT7024	ED	441	20	0	0	7	13	1	12	0
PCT7024	TO	441	45	0	0	12	33	1	32	0
PCT7025	MV	483	41	0	0	6	35	0	35	0
PCT7025	ED	483	39	0	0	9	30	3	27	0
PCT7025	TO	483	80	0	0	15	65	3	62	0
PCT7026	MV	1010	137	0	0	29	108	0	108	0
PCT7026	ED	1010	72	0	0	16	56	0	56	0
PCT7026	TO	1010	209	0	0	45	164	0	164	0
PCT7027	MV	896	96	0	0	22	74	0	74	0
PCT7027	ED	896	96	0	0	26	70	2	68	0
PCT7027	TO	896	192	0	0	48	144	2	142	0
PCT7028	MV	856	85	0	0	15	70	0	70	0
PCT7028	ED	856	97	0	0	27	70	7	63	0
PCT7028	TO	856	182	0	0	42	140	7	133	0
PCT7029	MV	909	80	0	0	23	57	0	57	0
PCT7029	ED	909	39	0	0	11	28	1	27	0
PCT7029	TO	909	119	0	0	34	85	1	84	0
PCT7030	MV	795	128	0	0	36	92	0	92	0
PCT7030	ED	795	58	0	0	16	42	2	40	0
PCT7030	TO	795	186	0	0	52	134	2	132	0
PCT7031	MV	694	119	0	0	35	84	0	84	0
PCT7031	ED	694	48	0	0	21	27	1	26	0
PCT7031	TO	694	167	0	0	56	111	1	110	0
PCT7032	MV	881	112	0	0	28	84	0	84	0
PCT7032	ED	881	51	0	0	14	37	2	35	0
PCT7032	TO	881	163	0	0	42	121	2	119	0
PCT7033	MV	778	96	0	0	23	73	0	73	0
PCT7033	ED	778	86	0	0	16	70	2	68	0
PCT7033	TO	778	182	0	0	39	143	2	141	0
PCT7034	MV	938	52	0	0	15	37	0	37	0
PCT7034	ED	938	57	0	1	10	46	0	46	0
PCT7034	TO	938	109	0	1	25	83	0	83	0
PCT7035	MV	719	86	0	0	18	68	0	68	0
PCT7035	ED	719	52	0	0	11	41	1	40	0
PCT7035	TO	719	138	0	0	29	109	1	108	0
PCT7036	MV	974	108	0	0	34	74	0	74	0
PCT7036	ED	974	39	0	0	5	34	3	31	0
PCT7036	TO	974	147	0	0	39	108	3	105	0
PCT7037	MV	746	31	0	0	5	26	0	26	0
PCT7037	ED	746	38	0	0	15	23	0	23	0
PCT7037	TO	746	69	0	0	20	49	0	49	0
PCT7038	MV	961	145	0	0	49	96	0	96	0
PCT7038	ED	961	58	0	0	14	44	0	44	0
PCT7038	TO	961	203	0	0	63	140	0	140	0
PCT7039	MV	837	106	0	0	42	64	0	64	0
PCT7039	ED	837	104	0	0	28	76	3	73	0
PCT7039	TO	837	210	0	0	70	140	3	137	0
PCT7041	MV	66	13	0	0	7	6	0	6	0
PCT7041	ED	66	0	0	0	0	0	0	0	0
PCT7041	TO	66	13	0	0	7	6	0	6	0
PCT7042	MV	660	88	0	0	32	56	0	56	0
PCT7042	ED	660	58	0	0	21	37	2	35	0
PCT7042	TO	660	146	0	0	53	93	2	91	0
PCT7043	MV	978	116	0	0	24	92	0	92	0
PCT7043	ED	978	78	0	0	28	50	1	49	0
PCT7043	TO	978	194	0	0	52	142	1	141	0
PCT7044	MV	852	67	0	0	18	49	0	49	0
PCT7044	ED	852	33	0	0	9	24	0	24	0
PCT7044	TO	852	100	0	0	27	73	0	73	0
PCT7045	MV	786	120	0	0	40	80	0	80	0
PCT7045	ED	786	53	0	0	17	36	1	35	0
PCT7045	TO	786	173	0	0	57	116	1	115	0
PCT7046	MV	430	45	0	0	13	32	0	32	0
PCT7046	ED	430	48	0	0	11	37	3	34	0
PCT7046	TO	430	93	0	0	24	69	3	66	0
PCT7047	MV	883	135	0	0	33	102	0	102	0
PCT7047	ED	883	62	0	0	18	44	4	40	0
