area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	80:JOHN P. MCDONNELL	81:PHIL TING
PCT9105	MV	719	413	0	0	55	358	0	60	298
PCT9105	ED	199	241	0	0	36	205	0	29	176
PCT9105	TO	918	654	0	0	91	563	0	89	474
PCT9106	MV	748	399	0	0	52	347	0	57	290
PCT9106	ED	198	268	0	0	52	216	0	33	183
PCT9106	TO	946	667	0	0	104	563	0	90	473
PCT9107	MV	636	306	0	0	32	274	0	48	226
PCT9107	ED	208	187	0	0	40	147	0	19	128
PCT9107	TO	844	493	0	0	72	421	0	67	354
PCT9108	MV	610	338	0	0	34	304	0	47	257
PCT9108	ED	200	197	0	0	35	162	0	22	140
PCT9108	TO	810	535	0	0	69	466	0	69	397
PCT9109	MV	672	300	0	0	36	264	0	25	239
PCT9109	ED	211	213	0	0	48	165	0	31	134
PCT9109	TO	883	513	0	0	84	429	0	56	373
PCT9111	MV	639	318	0	0	39	279	0	46	233
PCT9111	ED	195	196	0	0	43	153	0	21	132
PCT9111	TO	834	514	0	0	82	432	0	67	365
PCT9112	MV	742	352	0	0	47	305	0	39	266
PCT9112	ED	219	218	0	0	37	181	0	21	160
PCT9112	TO	961	570	0	0	84	486	0	60	426
PCT9113	MV	797	373	0	0	38	335	0	44	291
PCT9113	ED	207	264	0	0	53	211	0	30	181
PCT9113	TO	1004	637	0	0	91	546	0	74	472
PCT9114	MV	659	294	0	0	29	265	0	47	218
PCT9114	ED	231	202	0	0	42	160	0	18	142
PCT9114	TO	890	496	0	0	71	425	0	65	360
PCT9115	MV	699	326	0	0	38	288	0	40	248
PCT9115	ED	182	198	0	0	47	151	0	20	131
PCT9115	TO	881	524	0	0	85	439	0	60	379
PCT9116	MV	782	347	0	0	46	301	0	41	260
PCT9116	ED	179	225	0	1	42	182	0	37	145
PCT9116	TO	961	572	0	1	88	483	0	78	405
PCT9117	MV	629	328	0	0	39	289	0	47	242
PCT9117	ED	171	207	0	0	30	177	0	28	149
PCT9117	TO	800	535	0	0	69	466	0	75	391
PCT9118	MV	742	341	0	0	46	295	0	51	244
PCT9118	ED	242	256	0	0	58	198	0	30	168
PCT9118	TO	984	597	0	0	104	493	0	81	412
PCT9119	MV	703	389	0	0	48	341	0	62	279
PCT9119	ED	197	171	0	0	39	132	0	13	119
PCT9119	TO	900	560	0	0	87	473	0	75	398
PCT9121	MV	735	337	0	0	30	307	0	45	262
PCT9121	ED	218	207	0	0	34	173	0	30	143
PCT9121	TO	953	544	0	0	64	480	0	75	405
PCT9122	MV	775	365	0	0	31	334	0	72	262
PCT9122	ED	192	184	0	0	33	151	0	21	130
PCT9122	TO	967	549	0	0	64	485	0	93	392
PCT9123	MV	661	319	0	0	29	290	0	62	228
PCT9123	ED	191	206	0	1	39	166	0	23	143
PCT9123	TO	852	525	0	1	68	456	0	85	371
PCT9124	MV	736	354	0	0	45	309	0	66	243
PCT9124	ED	167	175	0	0	35	140	0	19	121
PCT9124	TO	903	529	0	0	80	449	0	85	364
PCT9125	MV	681	360	0	0	41	319	0	43	276
PCT9125	ED	188	188	0	0	35	153	0	15	138
PCT9125	TO	869	548	0	0	76	472	0	58	414
PCT9126	MV	819	386	0	0	48	338	0	69	269
PCT9126	ED	194	224	0	0	39	185	0	31	154
PCT9126	TO	1013	610	0	0	87	523	0	100	423
PCT9127	MV	748	384	0	0	48	336	0	48	288
PCT9127	ED	223	241	0	0	37	204	0	28	176
PCT9127	TO	971	625	0	0	85	540	0	76	464
PCT9128	MV	628	336	0	0	27	309	0	59	250
PCT9128	ED	190	211	0	1	36	174	0	26	148
PCT9128	TO	818	547	0	1	63	483	0	85	398
PCT9129	MV	587	273	0	0	32	241	0	28	213
PCT9129	ED	151	170	0	0	27	143	0	17	126
PCT9129	TO	738	443	0	0	59	384	0	45	339
PCT9131	MV	596	288	0	0	26	262	0	41	221
PCT9131	ED	138	176	0	0	35	141	0	16	125
PCT9131	TO	734	464	0	0	61	403	0	57	346
PCT9132	MV	627	263	0	0	42	221	0	27	194
PCT9132	ED	194	197	0	0	45	152	0	11	141
PCT9132	TO	821	460	0	0	87	373	0	38	335
PCT9133	MV	808	383	0	0	40	343	0	34	309
PCT9133	ED	209	250	0	0	47	203	0	18	185
PCT9133	TO	1017	633	0	0	87	546	0	52	494
PCT9134	MV	736	328	0	0	35	293	0	47	246
PCT9134	ED	155	187	0	0	47	140	0	16	124
PCT9134	TO	891	515	0	0	82	433	0	63	370
PCT9135	MV	640	305	0	0	32	273	0	73	200
PCT9135	ED	182	173	0	0	28	145	0	30	115
PCT9135	TO	822	478	0	0	60	418	0	103	315
PCT9136	MV	706	368	0	0	45	323	0	45	278
PCT9136	ED	212	206	0	0	35	171	0	19	152
PCT9136	TO	918	574	0	0	80	494	0	64	430
PCT9137	MV	806	389	0	0	55	334	0	58	276
PCT9137	ED	209	210	0	0	47	163	0	27	136
PCT9137	TO	1015	599	0	0	102	497	0	85	412
PCT9138	MV	770	401	0	0	25	376	0	65	311
PCT9138	ED	175	171	0	0	39	132	0	16	116
PCT9138	TO	945	572	0	0	64	508	0	81	427
PCT9139	MV	828	424	0	0	33	391	0	74	317
PCT9139	ED	190	207	0	0	30	177	0	30	147
PCT9139	TO	1018	631	0	0	63	568	0	104	464
PCT9141	MV	789	419	0	0	40	379	0	66	313
PCT9141	ED	184	189	0	0	37	152	0	26	126
PCT9141	TO	973	608	0	0	77	531	0	92	439
PCT9142	MV	747	366	0	0	35	331	0	45	286
PCT9142	ED	239	236	0	0	51	185	0	24	161
PCT9142	TO	986	602	0	0	86	516	0	69	447
PCT9143	MV	706	362	0	0	39	323	0	59	264
PCT9143	ED	208	202	0	0	29	173	0	21	152
PCT9143	TO	914	564	0	0	68	496	0	80	416
PCT9144	MV	767	376	0	0	52	324	0	46	278
PCT9144	ED	203	238	0	0	33	205	0	25	180
PCT9144	TO	970	614	0	0	85	529	0	71	458
PCT9145	MV	681	335	0	0	32	303	0	41	262
PCT9145	ED	194	216	0	0	28	188	0	28	160
PCT9145	TO	875	551	0	0	60	491	0	69	422
PCT9146	MV	725	354	0	0	43	311	0	37	274
PCT9146	ED	160	215	0	0	36	179	0	21	158
PCT9146	TO	885	569	0	0	79	490	0	58	432
PCT9147	MV	765	373	0	0	40	333	0	42	291
PCT9147	ED	225	227	0	1	47	179	0	25	154
PCT9147	TO	990	600	0	1	87	512	0	67	445
PCT9148	MV	779	398	0	1	41	356	0	48	308
PCT9148	ED	235	256	0	0	44	212	0	20	192
PCT9148	TO	1014	654	0	1	85	568	0	68	500
PCT9149	MV	813	388	0	0	49	339	0	43	296
PCT9149	ED	178	292	0	0	63	229	0	25	204
PCT9149	TO	991	680	0	0	112	568	0	68	500
PCT9151	MV	693	352	0	0	45	307	0	39	268
PCT9151	ED	168	228	0	0	42	186	0	25	161
PCT9151	TO	861	580	0	0	87	493	0	64	429
PCT9152	MV	550	198	0	0	22	176	0	25	151
PCT9152	ED	187	356	0	0	57	299	0	28	271
PCT9152	TO	737	554	0	0	79	475	0	53	422
PCT9201	MV	785	358	0	0	43	315	0	42	273
PCT9201	ED	186	252	0	0	34	218	0	22	196
PCT9201	TO	971	610	0	0	77	533	0	64	469
