precinct_id|cons_precinct_id|cons_precinct_name|ballot_type|vbm|poll_id
1101|1101|Pct 1101|001|N|2036
1102|1102|Pct 1102|001|N|3555
1103|1103|Pct 1103|001|N|3181
1104|1104|Pct 1104/1105|001|N|36
1105|1104|Pct 1104/1105|001|N|36
1106|1106|Pct 1106|002|N|492
1107|1107|Pct 1107|002|N|3517
1108|1108|Pct 1108|002|N|3110
1109|1109|Pct 1109|002|N|2268
1111|1111|Pct 1111|002|N|3631
1112|1112|Pct 1112|002|N|1840
1113|1113|Pct 1113|001|N|1358
1114|1114|Pct 1114|001|N|21
1115|1115|Pct 1115|002|N|2633
1116|1116|Pct 1116|002|N|2055
1117|1117|Pct 1117|002|N|3538
1118|1118|Pct 1118|002|N|2270
1119|1119|Pct 1119|002|N|3572
1121|1121|Pct 1121|002|N|3553
1122|1122|Pct 1122|002|N|3661
1123|1123|Pct 1123|002|N|1557
1124|1124|Pct 1124|002|N|2900
1125|1125|Pct 1125|002|N|3220
1126|1126|Pct 1126|002|N|3648
1127|1127|Pct 1127|002|N|2443
1128|1128|Pct 1128|002|N|3658
1129|1129|Pct 1129|002|N|11
1131|1131|Pct 1131|002|N|2988
1132|1132|Pct 1132|002|N|3508
1133|1133|Pct 1133|002|N|3442
1134|1134|Pct 1134|002|N|3522
1135|1135|Pct 1135|002|N|32
1136|1136|Pct 1136|002|N|3591
1141|1141|Pct 1141|003|N|2479
1142|1142|Pct 1142|003|N|3618
1143|1143|Pct 1143|003|N|1560
1144|1144|Pct 1144|003|N|39
1145|1145|Pct 1145|003|N|3577
1146|1146|Pct 1146|003|N|3030
1147|1147|Pct 1147|003|N|3375
1148|1148|Pct 1148|003|N|2623
1149|1149|Pct 1149|003|N|55
1151|1151|Pct 1151 MB|004|Y|Mail
1152|1152|Pct 1152|003|N|28
1153|1153|Pct 1153|003|N|1797
1154|1154|Pct 1154 MB|004|Y|Mail
7001|7001|Pct 7001|005|N|3605
7002|7002|Pct 7002|005|N|2249
7003|7003|Pct 7003|005|N|2273
7004|7004|Pct 7004|005|N|2940
7005|7005|Pct 7005|005|N|2632
7006|7006|Pct 7006|005|N|2941
7007|7007|Pct 7007|005|N|992
7008|7008|Pct 7008|005|N|3351
7009|7009|Pct 7009|005|N|997
7011|7011|Pct 7011|005|N|3426
7012|7012|Pct 7012|005|N|2168
7013|7013|Pct 7013|006|N|2724
7014|7014|Pct 7014|006|N|3434
7015|7015|Pct 7015 MB|006|Y|Mail
7016|7016|Pct 7016|006|N|517
7017|7017|Pct 7017|006|N|3558
7018|7018|Pct 7018|006|N|524
7019|7019|Pct 7019|006|N|2624
7021|7021|Pct 7021|006|N|3646
