VBM_1126_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  18    17 image    3300  5100  rgb     3   8  jpeg   no        89  0   195   464  811K 1.6%
  19    18 image    3304  5100  gray    1   1  ccitt  no        94  0   195   464  278K  13%
  20    19 image    3300  5100  rgb     3   8  jpeg   no        99  0   195   464  808K 1.6%
  21    20 image    3304  5100  gray    1   1  ccitt  no       104  0   195   464  281K  14%
  22    21 image    3300  5100  rgb     3   8  jpeg   no       109  0   195   464  810K 1.6%
  23    22 image    3304  5100  gray    1   1  ccitt  no       114  0   195   464  280K  14%
  24    23 image    3300  5100  rgb     3   8  jpeg   no       119  0   195   464  999K 2.0%
  25    24 image    3304  5100  gray    1   1  ccitt  no       124  0   195   464  279K  14%
  26    25 image    3300  5100  rgb     3   8  jpeg   no       129  0   195   464  995K 2.0%
  27    26 image    3304  5100  gray    1   1  ccitt  no       134  0   195   464  281K  14%
  28    27 image    3300  5100  rgb     3   8  jpeg   no       139  0   195   464  995K 2.0%
VBM_7857_Image.pdf
page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    3300  5100  rgb     3   8  jpeg   no         4  0   195   464  914K 1.9%
   2     1 image    3304  5100  gray    1   1  ccitt  no         9  0   195   464  281K  14%
   3     2 image    3300  5100  rgb     3   8  jpeg   no        14  0   195   464  912K 1.8%
   4     3 image    3304  5100  gray    1   1  ccitt  no        19  0   195   464  291K  14%
   5     4 image    3300  5100  rgb     3   8  jpeg   no        24  0   195   464  915K 1.9%
   6     5 image    3304  5100  gray    1   1  ccitt  no        29  0   195   464  287K  14%
   7     6 image    3300  5100  rgb     3   8  jpeg   no        34  0   195   464  910K 1.8%
   8     7 image    3304  5100  gray    1   1  ccitt  no        39  0   195   464  291K  14%
   9     8 image    3300  5100  rgb     3   8  jpeg   no        44  0   195   464  995K 2.0%
  10     9 image    3304  5100  gray    1   1  ccitt  no        49  0   195   464  312K  15%
  11    10 image    3300  5100  rgb     3   8  jpeg   no        54  0   195   464  995K 2.0%
  12    11 image    3304  5100  gray    1   1  ccitt  no        59  0   195   464  308K  15%
  13    12 image    3300  5100  rgb     3   8  jpeg   no        64  0   195   464  998K 2.0%
  14    13 image    3304  5100  gray    1   1  ccitt  no        69  0   195   464  311K  15%
  15    14 image    3300  5100  rgb     3   8  jpeg   no        74  0   195   464  998K 2.0%
  16    15 image    3304  5100  gray    1   1  ccitt  no        79  0   195   464  312K  15%
  17    16 image    3300  5100  rgb     3   8  jpeg   no        84  0   195   464  807K 1.6%
  18    17 image    3304  5100  gray    1   1  ccitt  no        89  0   195   464  312K  15%
  19    18 image    3300  5100  rgb     3   8  jpeg   no        94  0   195   464  805K 1.6%
  20    19 image    3300  5100  rgb     3   8  jpeg   no        99  0   195   464  520K 1.1%
  21    20 image    3300  5100  rgb     3   8  jpeg   no       104  0   195   464  803K 1.6%
  22    21 image    3300  5100  rgb     3   8  jpeg   no       109  0   195   464  519K 1.1%
  23    22 image    3300  5100  rgb     3   8  jpeg   no       114  0   195   464  806K 1.6%
  24    23 image    3300  5100  rgb     3   8  jpeg   no       119  0   195   464  531K 1.1%
