ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2019MUNI  	66	7951 - 500 Felton Street		Palega Rec Center - Lobby	500 Felton St	Btw Hamilton St & Somerset St	6.3% Slope	7951   	Pct 7951/7955	7955   		10  
2019MUNI  	73	7037 - 1654 Sunnydale Ave		Sunnydale Development Community Rm	1654 Sunnydale Ave	Corner Of  Santos	8.3% Slope Ramped Access	7037   	Pct 7037/7036	7036   		2  
2019MUNI  	73	7037 - 1654 Sunnydale Ave		Sunnydale Development Community Rm	1654 Sunnydale Ave	Corner Of  Santos	8.3% Slope Ramped Access	7037   	Pct 7037/7036	7037   		2  
2019MUNI  	78	7039 - 70 Delta St		School - El Dorado - Cafeteria	70 Delta St	Btw Harkness Ave & Hamilton St	8.3% Slope Ramped Access	7039   	Pct 7039	7039   		2  
2019MUNI  	91	7049 - 701 Sunnydale Ave		Church Of The Visitacion	701 Sunnydale Ave	Btw Rutland & Cora Sts	8.1% Slope Ramped Access	7049   	Pct 7049	7049   		2  
2019MUNI  	106	9232 - 25 Lake St		Church - St John's Presbyterian - Lobby	25 Lake St	Enter At Corner Of Lake And Arguello	8.3% Slope - Ramped Access	9232   	Pct 9232	9232   		4  
2019MUNI  	116	9253 - 3365 Sacramento St		Menorah Park- Conference Room	3365 Sacramento St	Between Walnut & Presidio Ave	3.3% Slope	9253   	Pct 9253	9253   		4  
2019MUNI  	119	9117 - 499 41st Ave		Firehouse #34	499 41st Ave	Btw Geary Blvd & Pt. Lobos Ave	7.1% Slope	9117   	Pct 9117/9101	9101   		3  
2019MUNI  	119	9117 - 499 41st Ave		Firehouse #34	499 41st Ave	Btw Geary Blvd & Pt. Lobos Ave	7.1% Slope	9117   	Pct 9117/9101	9117   		3  
2019MUNI  	121	9136 - 734 46th Ave		Garage	734 46th Ave	Between Balboa & Cabrillo	1.6% Slope	9136   	Pct 9136	9136   		3  
2019MUNI  	138	9122 - 30th Avenue At Anza Street		Washington High School - Audit Lobby	600 32nd Ave	Enter 30th Ave At Anza St	7.4% Slope - Ramped Access	9122   	Pct 9122/9121	9121   		3  
2019MUNI  	138	9122 - 30th Avenue At Anza Street		Washington High School - Audit Lobby	600 32nd Ave	Enter 30th Ave At Anza St	7.4% Slope - Ramped Access	9122   	Pct 9122/9121	9122   		3  
2019MUNI  	178	9146 - 701 8th Avenue		Church - Church Of Christ - Comm Rm	701 8th Ave	Btw Cabrillo & Fulton Sts	2.5% Slope	9146   	Pct 9146/9147	9146   		3  
2019MUNI  	178	9146 - 701 8th Avenue		Church - Church Of Christ - Comm Rm	701 8th Ave	Btw Cabrillo & Fulton Sts	2.5% Slope	9146   	Pct 9146/9147	9147   		3  
2019MUNI  	181	9116 - 345 Arguello Blvd		Senior Housing - Community Room	345 Arguello Blvd	Btw Cornwall & Clement Sts	2.8% Slope	9116   	Pct 9116/9115	9115   		3  
2019MUNI  	181	9116 - 345 Arguello Blvd		Senior Housing - Community Room	345 Arguello Blvd	Btw Cornwall & Clement Sts	2.8% Slope	9116   	Pct 9116/9115	9116   		3  
2019MUNI  	192	9251 - 51 Commonwealth Ave		Church-st Gregory Armenian-youth Hall	51 Commonwealth Ave	Between Euclid Ave & California St	5.4% Slope	9251   	Pct 9251/9249	9249   		4  
2019MUNI  	192	9251 - 51 Commonwealth Ave		Church-st Gregory Armenian-youth Hall	51 Commonwealth Ave	Between Euclid Ave & California St	5.4% Slope	9251   	Pct 9251/9249	9251   		4  
2019MUNI  	208	9507 - 350 Masonic Ave		San Francisco Day School - Room 5	350 Masonic Ave	Enter Off Golden Gate Btw Masonic & Central	6.3% Slope	9507   	Pct 9507	9507   		6  
2019MUNI  	239	9419 - 1570 31st Ave		Lawton School - Auditorium	1570 31st Ave	Enter Off Lawton Between 30th And 31st Aves	5.0% Slope	9419   	Pct 9419/9414	9414   		11  
2019MUNI  	239	9419 - 1570 31st Ave		Lawton School - Auditorium	1570 31st Ave	Enter Off Lawton Between 30th And 31st Aves	5.0% Slope	9419   	Pct 9419/9414	9419   		11  
2019MUNI  	263	9427 - 1750 29th Ave		Episcopal Church Of The Incarnation	1750 29th Ave	Between Noriega & Moraga Streets	8.3% Slope - Ramped Access	9427   	Pct 9427	9427   		11  
2019MUNI  	283	9443 - 2650 42nd Ave		School - Ulloa - Gymnasium	2650 42nd Ave	Enter Off Vicente Between 41st & 42nd Ave.	8.3% Slope - Ramped Access	9443   	Pct 9443/9444	9443   		11  
2019MUNI  	283	9443 - 2650 42nd Ave		School - Ulloa - Gymnasium	2650 42nd Ave	Enter Off Vicente Between 41st & 42nd Ave.	8.3% Slope - Ramped Access	9443   	Pct 9443/9444	9444   		11  
2019MUNI  	307	9439 - 2162 24th Ave		Abraham Lincoln School - Teachers' Lounge	2162 24th Ave	Between Rivera & Quintara	1.2% Slope	9439   	Pct 9439/9438	9438   		11  
2019MUNI  	307	9439 - 2162 24th Ave		Abraham Lincoln School - Teachers' Lounge	2162 24th Ave	Between Rivera & Quintara	1.2% Slope	9439   	Pct 9439/9438	9439   		11  
2019MUNI  	315	9409 - 1725 Irving St		School - Jefferson - Auditorium	1725 Irving St	Btw 18th And 19th Aves	4.1% Slope	9409   	Pct 9409	9409   		11  
2019MUNI  	318	9516 - 1390 14th Avenue		Church - St Annes	1390 14th Avenue	Between Irving And Judah	7.7% Slope - Ramped Access	9516   	Pct 9516/9515	9515   		6  
2019MUNI  	318	9516 - 1390 14th Avenue		Church - St Annes	1390 14th Avenue	Between Irving And Judah	7.7% Slope - Ramped Access	9516   	Pct 9516/9515	9516   		6  
2019MUNI  	330	7701 - 8 Locksley Ave		Lobby Sunset Towers - Lobby	8 Locksley Ave	Btw Kirkham & Lawton Sts.	8.3% Slope	7701   	Pct 7701	7701   		8  
2019MUNI  	331	9514/22- 1 Irving St		Lobby - U C S F Parking Garage	1 Irving St	Corner Arguello Blvd & Irving St	3.3% Slope	9514   	Pct 9514/9522	9514   		6  
2019MUNI  	331	9514/22- 1 Irving St		Lobby - U C S F Parking Garage	1 Irving St	Corner Arguello Blvd & Irving St	3.3% Slope	9514   	Pct 9514/9522	9522   		6  
2019MUNI  	348	9704 - 1541 12th Ave		School- Alice Fong Yu - Room 401	1541 12th Ave	Between Kirkham & Lawton	3.4% Slope	9704   	Pct 9704	9704   		8  
2019MUNI  	366	7704 - 285 Olympia Way		Firehouse #20	285 Olympia Way	Corner Clarendon Ave & Olympia Way	3.2% Slope	7704   	Pct 7704/7702	7702   		8  
2019MUNI  	366	7704 - 285 Olympia Way		Firehouse #20	285 Olympia Way	Corner Clarendon Ave & Olympia Way	3.2% Slope	7704   	Pct 7704/7702	7704   		8  
2019MUNI  	388	9731 - 1091 Portola Dr		Firehouse #39	1091 Portola Dr	On Portola at Marne & Miraloma	5.0% slope	9731   	Pct 9731	9731   		8  
2019MUNI  	395	7706 - 175 Omar Way		Miraloma Elementary School - Auditorium	175 Omar Way	Enter On Myra Between Omar And Molimo	5% Slope	7706   	Pct 7706	7706   		8  
2019MUNI  	411	9728 - 105 Aptos Ave		Aptos Middle School - Room 231	105 Aptos Ave	Enter Off Upland Btw Aptos & San Aleso	5.5% Slope	9728   	Pct 9728/9746	9728   		8  
2019MUNI  	411	9728 - 105 Aptos Ave		Aptos Middle School - Room 231	105 Aptos Ave	Enter Off Upland Btw Aptos & San Aleso	5.5% Slope	9728   	Pct 9728/9746	9746   		8  
2019MUNI  	412	9742 - 300 Stonecrest Drive		Playground - Junipero Serra	300 Stonecrest Drive	Enter Stonecrest Dr Off Broadmoor Dr	8.3% Slope - Ramped Access	9742   	Pct 9742	9742   		8  
2019MUNI  	439	7868 - 80 Digby Street		Firehouse #26	80 Digby St	Near Playground At Digby & Everson Sts	5% Slope	7868   	Pct 7868	7868   		9  
2019MUNI  	446	7871 - 151 Lippard Ave		School - Glen Park - Auditorium	151 Lippard Ave	Btw  Bosworth & Joost Sts	5.5% Slope - Ramped Access	7871   	Pct 7871	7871   		9  
2019MUNI  	450	7864 - 295 Day St		Upper Noe Recreation Center	295 Day St	Btw Sanchez & Church Sts	8% Slope - Ramped Access	7864   	Pct 7864	7864   		9  
2019MUNI  	466	7945 - 560 Alemany Blvd		Alemany Apartments - Community Room	560 Alemany Blvd	Between Ellsworth And Folsom	5.0% Slope	7945   	Pct 7945	7945   		10  
2019MUNI  	474	9725 - 220 Middlefield Drive		Lakeshore Elementary - Multi Purpose Room	220 Middlefield Drive	Corner Of Eucalyptus & Middlefield	6% Slope - Ramped Access	9725   	Pct 9725	9725   		8  
2019MUNI  	481	9739 - 350 Arballo Dr		Villas Park Merced - Lobby	350 Arballo Dr	Enter Between Vidal & Pinto Ave	7.6% slope	9739   	Pct 9739	9739   		8  
2019MUNI  	485	9745 - 150 Font Blvd		Villas Park Merced - Lobby	150 Font Blvd	Btw Cambon & Chumasero Drive	8% Slope - Ramped Entrance	9745   	Pct 9745	9745   		8  
2019MUNI  	486	9744 - 750 Gonzalez Dr		Villas Park Merced - Lobby	750 Gonzalez Dr	Between Bucareli And Rivas	8.3% Slope - Ramped Access	9744   	Pct 9744	9744   		8  
2019MUNI  	492	1106 - 65 Beverly St		Temple United Methodist Church	65 Beverly St	Enter Beverly Btw Shields & 19th Ave	2.8% Slope	1106   	Pct 1106/1107	1106   		1  
2019MUNI  	492	1106 - 65 Beverly St		Temple United Methodist Church	65 Beverly St	Enter Beverly Btw Shields & 19th Ave	2.8% Slope	1106   	Pct 1106/1107	1107   		1  
2019MUNI  	517	7016 - 1800 Oakdale Ave		C C S F - Southeast Campus	1800 Oakdale Ave	Between Quint & Phelps	6.1% Slope	7016   	Pct 7016	7016   		2  
2019MUNI  	522	7025 - 410 Hawes Street		Our Lady Of Lourdes Church	410 Hawes St	Btw Innes & Hunters Point Bl	5.3% Slope	7025   	Pct 7025	7025   		2  
2019MUNI  	528	7021 - 1711 Oakdale Ave		All Hallows Community - Community Room	1711 Oakdale Ave	At Intersection Of Newhall St.	4.3% Slope	7021   	Pct 7021	7021   		2  
2019MUNI  	530	7027 - 50 Pomona St		Charles Drew Elementary School - Cafeteria	50 Pomona St	Enter Pomona Btw Thornton & Bayview	3.6% Slope	7027   	Pct 7027	7027   		2  
2019MUNI  	548	7026 - 2082 Bancroft Ave		Garage	2082 Bancroft Ave	Between Thornton Ave And Phelps St	2.9% Slope	7026   	Pct 7026	7026   		2  
2019MUNI  	562	7054 - 1035 Gilman Avenue		Bret Harte Elementary School - Auditorium	1035 Gilman Avenue	Btw Griffith & Hawes Sts	5.1% Slope	7054   	Pct 7054	7054   		2  
2019MUNI  	581	9236 - 3150 Washington St		S F University High School	3150 Washington St	Between Lyon & Baker	8.3% Slope	9236   	Pct 9236	9236   		4  
2019MUNI  	586	9244 - 2698 California St		Senior Housing - Social Room	2698 California St	Enter Scott St Btw California & Sacramento	4.4% Slope	9244   	Pct 9244	9244   		4  
