VotingPrecinctID	VotingPrecinctName	MailBallotPrecinct	BalType	Congressional	Senatorial	Supervisorial
7546	Pct 7546/7547	N	6	12	11	5
7548	Pct 7548	N	6	12	11	5
7549	Pct 7549	N	6	12	11	5
7552	Pct 7552	N	6	12	11	5
7553	Pct 7553 MB	YES	6	12	11	5
7554	Pct 7554	N	6	12	11	5
7555	Pct 7555/7551	N	6	12	11	5
7556	Pct 7556/7557	N	6	12	11	5
7601	Pct 7601	N	7	12	11	6
7602	Pct 7602/7603	N	7	12	11	6
7605	Pct 7605/7609	N	7	12	11	6
7606	Pct 7606	N	7	12	11	6
7607	Pct 7607	N	7	12	11	6
7608	Pct 7608/7604	N	7	12	11	6
7611	Pct 7611	N	7	12	11	6
7613	Pct 7613/7612	N	7	12	11	6
7614	Pct 7614	N	7	12	11	6
7615	Pct 7615	N	7	12	11	6
7616	Pct 7616/7654	N	7	12	11	6
7617	Pct 7617	N	7	12	11	6
7618	Pct 7618	N	7	12	11	6
7619	Pct 7619	N	7	12	11	6
7621	Pct 7621	N	7	12	11	6
7622	Pct 7622	N	7	12	11	6
7623	Pct 7623	N	7	12	11	6
7624	Pct 7624	N	7	12	11	6
7625	Pct 7625	N	7	12	11	6
7626	Pct 7626	N	7	12	11	6
7628	Pct 7628	N	7	12	11	6
7629	Pct 7629	N	7	12	11	6
7632	Pct 7632	N	7	12	11	6
7633	Pct 7633/7631	N	7	12	11	6
7634	Pct 7634	N	7	12	11	6
7635	Pct 7635	N	7	12	11	6
7636	Pct 7636	N	7	12	11	6
7637	Pct 7637	N	7	12	11	6
7638	Pct 7638/7656	N	7	12	11	6
7639	Pct 7639/7641	N	7	12	11	6
7642	Pct 7642	N	7	12	11	6
7643	Pct 7643	N	7	12	11	6
7644	Pct 7644	N	7	12	11	6
7645	Pct 7645	N	7	12	11	6
7646	Pct 7646	N	7	12	11	6
7647	Pct 7647	N	7	12	11	6
7648	Pct 7648 MB	YES	7	12	11	6
7649	Pct 7649	N	7	12	11	6
7651	Pct 7651	N	7	12	11	6
7652	Pct 7652	N	7	12	11	6
7653	Pct 7653/7657	N	7	12	11	6
7655	Pct 7655/7627	N	7	12	11	6
7701	Pct 7701	N	8	12	11	7
7703	Pct 7703 MB	YES	8	12	11	7
7704	Pct 7704/7702	N	8	12	11	7
7705	Pct 7705	N	8	12	11	7
7706	Pct 7706	N	8	12	11	7
7707	Pct 7707	N	8	12	11	7
7708	Pct 7708	N	8	12	11	7
7709	Pct 7709	N	8	12	11	7
7712	Pct 7712/7711	N	8	12	11	7
7801	Pct 7801	N	9	12	11	8
7802	Pct 7802	N	9	12	11	8
7803	Pct 7803	N	9	12	11	8
7805	Pct 7805/7804	N	9	12	11	8
7807	Pct 7807	N	9	12	11	8
7808	Pct 7808/7806	N	9	12	11	8
7809	Pct 7809	N	9	12	11	8
7811	Pct 7811	N	9	12	11	8
7812	Pct 7812	N	9	12	11	8
7813	Pct 7813	N	9	12	11	8
7814	Pct 7814	N	9	12	11	8
7815	Pct 7815/7816	N	9	12	11	8
7817	Pct 7817/7818	N	9	12	11	8
7819	Pct 7819/7827	N	9	12	11	8
7821	Pct 7821	N	9	12	11	8
7822	Pct 7822/7823	N	9	12	11	8
