ballot_type|contest_rot_ids
001|100:19 101:5 102:4 104:4 105:1 106:6 1040:2 1130 1210 2200:1 2318:1 2321:1 3000 1 2 3 4 5 6
002|100:17 101:3 102:2 104:2 105:1 106:4 1020:1 1130 1310 2200:1 2318:1 2321:1 3010 3110 1 2 3 4 5 6
003|100:17 101:3 102:2 104:2 105:1 106:4 1020:1 1130 1310 2200:2 2318:2 2321:2 3010 3110 1 2 3 4 5 6
004|100:19 101:5 102:4 104:4 105:1 106:6 1040:2 1130 1210 2200:2 2318:2 2321:2 3000 1 2 3 4 5 6
005|100:19 101:5 102:4 104:4 105:1 106:6 1020:2 1130 1210 2200:1 2318:1 2321:1 3000 1 2 3 4 5 6
006|100:19 101:5 102:4 104:4 105:1 106:6 1020:2 1130 1210 2200:2 2318:2 2321:2 3000 1 2 3 4 5 6
007|100:17 101:3 102:2 104:2 105:1 106:4 1030:1 1130 1310 2200:2 2318:2 2321:2 3010 3110 1 2 3 4 5 6
008|100:17 101:3 102:2 104:2 105:1 106:4 1040:1 1130 1310 2200:2 2318:2 2321:2 3010 3110 1 2 3 4 5 6
009|100:17 101:3 102:2 104:2 105:1 106:4 1040:1 1130 1310 2200:1 2318:1 2321:1 3010 3110 1 2 3 4 5 6
