cons_precinct_id|ALL|DEM|REP|AI|PF|LIB|GRN|NPP
7515|864|566|37|13|7|4|3|234
7516|920|604|55|10|1|10|4|236
7517|868|607|19|16|3|9|5|209
7518|926|636|25|7|2|5|6|245
7519|715|480|22|13|3|7|9|181
7521|779|548|22|13|2|12|8|174
7522|759|522|17|8|2|10|3|197
7523|744|514|17|7|0|4|10|192
7524|624|415|14|14|4|1|7|169
7525|764|505|22|14|4|6|4|209
7526|988|675|35|18|2|5|4|249
7527|710|462|38|11|2|2|5|190
7529|903|648|22|8|2|4|9|210
7531|873|592|14|15|3|8|6|235
7532|835|542|29|14|6|5|6|233
7533|970|688|27|22|2|5|14|212
7534|903|605|25|14|3|4|9|243
7535|745|514|16|11|1|2|7|194
7536|833|572|15|9|2|7|7|221
7537|745|498|24|12|2|7|7|195
7538|751|532|18|18|0|8|5|170
7539|921|648|14|12|4|1|11|231
7541|770|540|16|11|2|8|6|187
7542|824|572|14|13|6|4|11|204
7543|924|635|32|9|4|5|6|233
7544|899|625|22|10|1|5|6|230
7545|895|604|34|10|2|4|11|230
7546|953|663|18|17|7|3|6|239
7547|981|687|17|11|5|12|6|243
7548|1051|732|35|22|5|3|8|246
7549|806|531|28|10|2|6|10|219
7551|723|527|24|14|2|2|4|150
7552|685|483|24|3|1|4|5|165
7553|191|128|12|0|0|2|1|48
7554|821|610|23|12|1|8|5|162
7555|872|602|35|6|0|5|10|214
7556|966|685|45|12|0|4|7|213
7601|677|396|39|14|2|6|14|206
7602|886|540|37|15|3|5|7|279
7603|815|521|31|17|5|11|11|219
7604|944|568|52|34|6|4|6|274
7605|661|373|46|14|2|2|3|221
7606|883|498|56|21|9|8|14|277
7607|919|552|38|27|10|8|12|272
7608|380|186|35|6|6|1|4|142
7609|884|407|40|24|9|7|8|389
7611|788|454|37|21|5|2|6|263
7612|557|294|34|13|1|2|4|209
7613|883|505|51|27|9|8|11|272
7614|916|561|39|14|9|8|7|278
7615|750|382|53|21|12|3|8|271
7616|836|544|42|10|0|12|2|226
7617|752|411|37|24|6|3|4|267
7618|914|558|45|14|9|8|7|273
7619|1107|687|43|21|4|10|2|340
7621|1155|709|67|14|4|16|4|341
7622|960|567|63|19|7|9|6|289
7623|1004|581|45|21|6|8|7|336
7624|875|495|52|21|10|14|5|278
7625|822|369|61|12|4|6|0|370
7626|1073|613|76|20|1|17|5|341
7627|524|256|74|16|0|6|0|172
7628|938|629|41|15|5|7|6|235
7629|853|538|32|8|3|9|5|258
7631|1219|746|49|24|2|18|4|376
7632|1171|742|57|18|4|14|13|323
7633|735|381|46|6|6|3|3|290
7634|890|498|67|23|4|2|5|291
7635|853|524|46|18|2|10|7|246
7636|959|544|61|16|2|12|6|318
7637|868|492|81|9|1|3|1|281
7638|889|478|71|16|1|9|1|313
7639|1022|600|69|19|2|10|3|319
7641|951|537|93|12|0|10|2|297
7642|765|455|59|9|1|5|2|234
7643|941|515|52|17|2|1|7|347
7644|1176|716|38|14|2|12|3|391
7645|656|379|54|11|1|3|1|207
7646|1153|701|56|18|1|4|0|373
7647|987|540|57|29|10|9|7|335
7648|2|1|0|0|0|0|0|1
7649|900|473|51|25|4|15|8|324
7651|947|537|66|14|1|10|2|317
7652|635|362|34|10|1|17|7|204
7653|839|493|52|10|1|4|2|277
7654|466|315|17|10|1|4|4|115
7655|679|381|52|13|2|9|1|221
7656|638|345|66|3|0|0|0|224
7657|598|347|28|18|1|6|0|198
7701|1064|674|71|19|0|5|7|288
7702|756|457|78|4|1|5|6|205
7703|174|111|11|6|1|0|1|44
7704|1002|631|102|15|1|3|5|245
7705|595|382|68|11|1|3|5|125
7706|866|579|81|10|1|6|1|188
7707|872|572|77|14|2|5|6|196
7708|875|579|62|12|2|6|6|208
7709|406|255|30|9|1|2|4|105
7711|811|534|41|13|2|5|8|208
7712|532|364|22|10|0|6|7|123
7801|974|686|53|23|0|3|6|203
7802|798|558|31|8|0|8|7|186
7803|831|609|22|3|1|2|3|191
7804|885|646|19|17|1|3|10|189
7805|800|619|17|6|3|5|9|141
7806|755|537|20|12|2|5|10|169
7807|827|595|15|11|1|4|4|197
7808|654|481|14|10|0|3|3|143
7809|764|552|12|8|0|3|3|186
7811|758|523|24|10|2|3|7|189
7812|897|626|36|7|2|1|2|223
7813|1068|808|26|6|1|5|7|215
7814|901|547|36|19|9|3|12|275
7815|917|683|16|13|0|3|6|196
7816|872|680|24|7|2|6|4|149
7817|838|651|11|4|0|3|6|163
7818|839|604|13|16|2|5|9|190
7819|774|513|18|15|3|9|8|208
7821|976|734|27|4|0|4|7|200
7822|892|674|24|9|3|4|5|173
7823|883|665|20|7|1|5|7|178
7824|768|549|19|6|2|8|3|181
7825|608|454|19|5|0|5|8|117
7826|690|497|25|10|0|4|10|144
7827|826|564|12|10|2|3|9|226
7828|1028|730|55|13|2|7|3|218
7829|891|646|38|8|0|7|4|188
7831|902|700|14|5|1|1|8|173
7832|781|589|20|4|0|5|13|150
7833|733|551|10|3|0|5|5|159
7834|894|630|13|5|0|3|8|235
7835|863|592|46|12|0|5|7|201
7836|1043|709|52|20|2|6|6|248
7837|923|652|36|10|0|4|8|213
7838|895|655|23|8|0|5|9|195
7839|861|601|44|9|1|2|1|203
7841|950|693|28|9|1|3|7|209
7842|879|606|35|14|1|4|7|212
7843|729|509|24|8|2|4|5|177
7844|651|454|23|4|1|4|5|160
7845|880|626|31|17|4|3|11|188
7846|908|649|56|7|2|5|3|186
7847|891|644|34|7|1|3|5|197
7848|847|596|43|4|3|3|7|191
7849|901|634|29|7|2|5|11|213
7851|526|329|51|4|0|2|1|139
7852|644|446|42|11|0|3|1|141
7853|855|600|36|21|4|1|2|191
7854|878|638|30|9|1|6|4|190
7855|974|678|31|14|3|5|6|237
7856|847|604|14|4|0|5|7|213
7857|906|625|31|13|0|3|9|225
7858|779|534|16|6|1|6|8|208
7859|899|644|38|12|0|7|4|194
7861|863|631|36|9|1|3|7|176
7862|864|606|33|10|2|3|7|203
7863|901|614|25|19|0|1|12|230
7864|814|546|36|8|2|8|10|204
7865|840|598|38|10|1|4|6|183
7866|848|547|77|11|3|4|7|199
7867|978|706|39|7|6|10|6|204
7868|876|610|34|17|3|4|8|200
7869|861|636|42|8|0|3|6|166
7871|902|627|38|3|0|3|6|225
7872|874|624|38|6|6|2|5|193
7873|891|652|28|10|3|3|6|189
7874|489|330|17|5|2|1|5|129
7875|647|410|32|9|0|1|3|192
7876|568|389|13|15|1|3|3|144
7901|549|362|25|14|2|1|5|140
7902|912|601|29|19|9|10|7|237
7903|852|548|33|17|8|4|8|234
7904|837|523|43|11|6|4|9|241
7905|875|586|22|13|3|7|13|231
7906|786|562|19|3|5|5|7|185
7907|942|626|24|9|1|6|12|264
7908|992|663|45|10|5|5|12|252
7909|743|517|13|8|1|4|8|192
7911|871|568|28|16|5|4|7|243
7912|1059|714|34|11|3|3|12|282
7913|923|640|23|9|1|2|12|236
7914|902|623|21|12|2|6|6|232
7915|843|563|27|9|3|5|12|224
7916|858|583|33|10|5|5|8|214
7917|987|679|37|10|4|5|6|246
7918|824|545|13|7|4|1|12|242
7919|866|583|31|5|5|5|6|231
7921|911|601|34|17|7|6|8|238
7922|858|557|22|13|5|2|16|243
7923|880|602|30|10|8|5|8|217
7924|851|568|26|13|5|5|8|226
7925|544|384|25|3|0|5|6|121
7926|788|549|22|7|5|5|11|189
7927|742|535|18|7|1|5|7|169
7928|917|627|24|13|3|6|12|232
7929|847|619|27|14|1|1|10|175
7931|751|533|19|11|0|2|5|181
7932|561|389|23|7|3|0|6|133
7933|8|5|1|0|0|0|0|2
7934|884|634|26|10|7|0|9|198
7935|943|684|27|17|1|1|16|197
7936|856|630|16|10|3|4|11|182
7937|900|616|33|10|3|4|11|223
7938|751|515|24|13|8|1|15|175
7939|686|507|15|8|1|2|6|147
7941|772|547|24|4|1|3|5|188
7942|932|615|37|12|1|5|9|253
7943|900|594|51|9|5|4|9|228
7944|814|563|20|13|4|3|4|207
7945|954|629|47|20|2|2|7|247
7946|985|565|48|11|2|2|5|352
7947|986|529|57|14|4|4|5|373
7948|930|515|54|17|3|5|8|328
7949|590|320|44|11|3|5|2|205
7951|887|475|68|13|3|3|1|324
7952|912|484|56|13|7|4|2|346
7953|830|455|69|13|2|5|3|283
7954|0|0|0|0|0|0|0|0
7955|947|531|74|19|6|5|2|310
7956|869|413|55|12|10|5|4|370
7957|673|415|37|8|4|1|4|204
7958|297|167|18|4|3|3|1|101
7959|686|446|25|11|4|5|8|187
9001|284|157|23|3|1|0|1|99
9101|913|519|82|17|1|8|10|276
9102|992|592|94|20|0|9|3|274
9103|957|538|65|18|3|7|4|322
9104|1030|571|83|22|3|5|6|340
9105|918|538|74|13|0|4|7|282
9106|946|576|76|12|0|4|7|271
9107|844|460|69|19|4|6|4|282
9108|810|487|74|14|3|2|4|226
9109|883|516|54|18|0|6|5|284
9111|834|496|69|13|1|6|1|248
9112|961|580|72|13|2|4|7|283
9113|1004|620|66|19|2|8|6|283
9114|890|524|57|15|3|4|8|279
9115|881|545|63|16|2|6|8|241
9116|961|588|75|22|1|5|6|264
9117|800|493|74|10|0|7|8|208
9118|984|534|95|17|4|4|9|321
9119|900|499|81|13|2|5|9|291
9121|953|522|62|16|3|7|5|338
9122|967|511|83|18|0|4|4|347
9123|852|481|83|11|2|5|2|268
9124|903|496|63|23|2|3|12|304
9125|869|500|59|11|0|2|7|290
9126|1013|590|72|21|3|7|5|315
9127|971|586|83|18|1|8|5|270
9128|818|481|61|15|1|2|2|256
9129|738|432|52|11|4|5|5|229
9131|734|424|46|16|1|7|5|235
9132|821|521|35|17|3|2|2|241
9133|1017|630|53|20|4|4|6|300
9134|891|534|76|15|0|5|3|258
9135|822|450|80|13|1|4|3|271
9136|918|536|54|12|3|4|7|302
9137|1015|555|76|13|2|5|11|353
9138|945|527|68|11|3|5|4|327
9139|1018|577|93|21|1|8|3|315
9141|973|564|84|10|1|4|12|298
9142|986|565|67|10|5|6|11|322
9143|914|533|80|11|2|5|7|276
9144|970|564|65|19|3|2|10|307
9145|875|544|57|13|2|4|9|246
9146|885|574|59|14|3|2|7|226
9147|990|606|63|12|5|6|7|291
9148|1014|678|49|15|3|4|4|261
9149|991|633|73|12|3|7|8|255
9151|861|531|62|23|4|5|5|231
9152|737|459|39|8|1|7|6|217
9201|971|613|55|16|4|11|9|263
9202|996|581|73|17|1|7|6|311
9203|1002|482|187|27|2|14|1|289
9204|862|439|165|28|1|7|0|222
9205|736|396|96|25|0|5|1|213
9206|929|431|190|22|0|12|1|273
9207|989|479|177|25|0|12|1|295
9208|987|499|141|31|0|8|1|307
9209|771|388|116|31|1|7|2|226
9211|891|494|112|26|0|11|2|246
9212|808|443|101|28|0|7|1|228
9213|937|530|108|20|0|10|4|265
9214|627|319|92|13|1|3|1|198
9215|644|336|105|15|0|7|0|181
9216|824|417|128|23|0|6|1|249
9217|705|366|97|22|0|13|1|206
9218|816|429|120|26|1|13|1|226
9219|790|461|80|16|0|7|3|223
9221|651|369|96|19|0|5|0|162
9222|910|483|128|23|0|9|2|265
9223|667|343|89|20|0|6|0|209
9224|949|496|142|21|1|8|1|280
9225|926|512|102|35|0|8|2|267
9226|896|493|108|19|0|5|3|268
9227|729|426|95|8|0|9|2|189
9228|738|436|102|12|0|3|2|183
9229|579|341|75|9|0|2|0|152
9231|962|592|76|26|3|9|11|245
9232|734|438|78|15|1|4|3|195
9233|818|443|106|22|0|3|0|244
9234|734|423|80|27|0|5|6|193
9235|863|457|128|22|0|5|2|249
9236|673|382|83|16|1|9|3|179
9237|897|534|90|15|1|9|1|247
9238|805|433|134|22|0|6|0|210
9239|864|481|118|18|0|7|2|238
9241|960|530|115|32|0|11|3|269
9242|943|541|90|21|0|8|1|282
9243|603|376|55|9|0|1|1|161
9244|910|545|74|31|1|9|2|248
9245|714|419|63|19|1|7|1|204
9246|970|567|104|22|0|12|1|264
9247|912|532|88|21|1|8|1|261
9248|907|540|75|27|1|8|4|252
9249|915|584|85|17|1|13|1|214
9251|966|621|87|22|1|5|3|227
9252|953|578|93|18|1|11|3|249
9253|761|426|77|20|2|5|1|230
9254|921|615|71|22|0|4|4|205
9255|550|338|41|14|0|5|1|151
9256|462|270|30|15|0|3|2|142
9257|320|217|12|5|0|3|2|81
9258|703|436|46|11|0|5|5|200
9401|1038|628|63|22|3|10|12|300
9402|1017|602|47|14|1|4|9|340
9403|921|508|78|8|3|6|7|311
9404|944|514|62|14|0|5|10|339
9405|780|426|69|16|2|6|1|260
9406|883|493|71|13|6|9|4|287
9407|913|536|56|9|7|3|5|297
9408|863|541|45|7|1|4|5|260
9409|601|376|31|11|0|6|5|172
9411|1007|607|57|17|6|7|17|296
9412|870|486|51|18|1|5|9|300
9413|936|534|82|15|2|7|3|293
9414|920|504|63|22|3|2|9|317
9415|788|418|68|13|2|3|4|280
9416|999|574|64|13|2|8|5|333
9417|774|417|52|18|3|0|4|280
9418|819|394|83|13|3|9|4|313
9419|909|460|109|8|1|5|5|321
9421|925|484|80|20|3|5|6|327
9422|1101|561|116|18|4|5|7|390
9423|904|496|68|22|5|6|5|302
9424|1009|517|82|17|1|3|7|382
9425|976|476|79|13|3|7|5|393
9426|853|412|76|18|4|3|4|336
9427|987|474|111|19|2|2|4|375
9428|990|521|74|21|2|5|5|362
9429|906|453|86|17|4|4|7|335
9431|1036|516|84|28|2|6|3|397
9432|958|496|73|9|3|2|5|370
9433|958|472|97|22|4|5|5|353
9434|1012|553|76|18|1|6|9|349
9435|1004|538|80|14|3|5|3|361
9436|1068|548|87|12|4|6|6|405
9437|927|466|108|10|2|4|3|334
9438|989|497|93|9|3|7|3|377
9439|917|480|66|11|2|2|6|350
9441|971|523|53|17|2|5|12|359
9442|1040|554|86|22|1|2|7|368
9443|955|536|61|14|2|5|11|326
9444|965|471|99|12|1|4|3|375
9445|996|543|82|12|0|6|8|345
9446|1116|616|93|18|4|9|3|373
9447|921|521|56|14|3|6|4|317
9448|940|511|69|10|3|6|4|337
9449|881|462|69|11|3|4|5|327
9451|441|231|49|4|0|1|0|156
9452|842|451|82|15|2|2|7|283
9453|524|276|75|8|2|3|3|157
9501|150|92|9|2|0|2|0|45
9502|251|174|14|4|0|4|1|54
9503|700|437|32|11|2|5|3|210
9505|765|535|27|17|3|6|2|175
9506|754|469|24|19|2|6|2|232
9507|716|500|18|15|2|8|4|169
9508|780|542|23|9|1|5|12|188
9509|727|510|23|8|1|2|3|180
9511|634|440|29|12|1|4|10|138
9512|777|547|29|6|0|6|12|177
9513|877|614|20|21|1|2|7|212
9514|896|623|27|13|3|3|5|222
9515|712|460|43|14|0|4|5|186
9516|889|547|62|20|3|5|5|247
9517|788|510|27|13|2|3|2|231
9518|788|525|33|14|5|4|4|203
9519|891|612|40|12|1|7|7|212
9521|901|643|36|17|2|3|6|194
9701|654|416|35|8|1|3|4|187
9702|720|470|32|10|2|2|7|197
9703|991|561|77|15|4|2|8|324
9704|959|583|75|17|3|4|5|272
9705|929|648|50|12|1|3|7|208
9706|49|27|2|1|0|0|1|18
9707|826|474|118|15|0|5|6|208
9708|961|622|52|10|1|3|6|267
9709|1040|547|105|18|1|2|8|359
9711|646|387|75|11|0|5|5|163
9712|661|398|74|8|1|0|2|178
9713|950|506|111|24|3|6|3|297
9714|951|525|125|13|0|3|6|279
9715|579|335|76|8|1|2|1|156
9716|966|546|78|18|2|4|9|309
9717|977|581|87|23|3|9|5|269
9718|901|505|104|13|1|5|3|270
9719|920|538|113|24|1|4|4|236
9721|662|389|86|10|0|6|1|170
9722|597|334|86|7|1|0|3|166
9723|508|239|84|20|1|2|1|161
9724|1020|471|154|16|3|5|2|369
9725|971|479|142|27|1|1|5|316
9726|616|361|61|11|0|1|2|180
9727|460|244|87|10|0|1|0|118
9728|963|512|150|19|1|7|7|267
9729|818|401|143|16|0|7|2|249
9731|579|317|84|14|0|3|0|161
9732|73|44|9|0|0|0|0|20
9733|240|164|19|4|0|2|4|47
9734|604|334|88|10|0|4|2|166
9735|820|470|101|16|1|5|2|225
9736|736|451|64|18|2|2|4|195
9737|791|519|66|17|2|2|1|184
9738|838|457|98|20|2|10|6|245
9739|789|470|51|10|2|2|11|243
9741|441|252|12|6|2|7|4|158
9742|695|325|86|11|0|6|4|263
9743|1140|685|80|31|0|8|11|325
9744|943|552|64|14|8|4|3|298
9745|992|554|81|16|4|14|9|314
9746|903|475|133|15|2|10|3|265
9747|976|547|79|18|6|7|7|312
9748|913|503|95|9|1|6|8|291
9749|938|480|50|20|8|8|6|366
9751|1071|630|102|19|4|9|7|300
9752|697|411|66|9|1|6|10|194
9753|762|445|48|8|3|2|5|251
9754|707|462|43|14|1|3|8|176
9755|580|362|27|6|6|2|7|170
9756|967|523|63|18|3|6|3|351
9801|408|252|27|6|0|0|3|120
9900|0|0|0|0|0|0|0|0
9901|0|0|0|0|0|0|0|0
9902|0|0|0|0|0|0|0|0
