contest_id|contest_abbr
100|PRESIDENT DEM~  DEM 
101|PRESIDENT REP~  REP 
1020|US House of Rep~District 12      
102|PRESIDENT AI~  AI  
1030|US House of Rep~District 13      
1040|US House of Rep~District 14      
104|PRESIDENT GRN~  GRN 
105|PRESIDENT PF~  PF  
106|PRESIDENT LIB~  LIB 
1130|State Senator~District 11      
1210|STATE ASSEMBLY MEMBER~District 19      
1310|STATE ASSEMBLY MEMBER~District 17      
2200|Superior Court Judge~Seat 1      
2318|Superior Court Judge~Seat 18      
2321|Superior Court Judge~Seat 21      
3000|DEM CCC~District 19  DEM 
3010|DEM CCC~District 17  DEM 
3110|REP CCC~District 17  REP 
