area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSPnd	RSCha
ALL	TO	ALL	500516	377324	372848	0	3987
ALL	ED	ALL	133232	127886	127886
ALL	MV	ALL	367432	249438	244962	0	3987
ALL	MV	AI	6119	3674	3603	0	73
ALL	MV	DEM	211862	151287	149082	0	2261
ALL	MV	GRN	2685	1840	1811	0	31
ALL	MV	LIB	2234	1237	1200	0	37
ALL	MV	PF	947	426	419	426	8
ALL	MV	REP	24417	16930	16749	0	190
ALL	MV	NPP	117148	72935	71620	0	1363
PCT1101	TO	ALL	553	393	392
PCT1101	ED	ALL	151	126	126
PCT1101	MV	ALL	402	267	266	0	1
PCT1101	MV	AI	5	4	4	0	0
PCT1101	MV	DEM	223	162	162	0	0
PCT1101	MV	GRN	0	0	0	0	0
PCT1101	MV	LIB	2	2	2	0	0
PCT1101	MV	PF	1	1	1	1	0
PCT1101	MV	REP	19	12	12	0	0
PCT1101	MV	NPP	150	85	84	0	1
PCT1102	TO	ALL	995	758	746
PCT1102	ED	ALL	298	266	266
PCT1102	MV	ALL	697	492	480	0	11
PCT1102	MV	AI	12	8	8	0	0
PCT1102	MV	DEM	415	308	302	0	6
PCT1102	MV	GRN	2	2	2	0	0
PCT1102	MV	LIB	1	0	0	0	0
PCT1102	MV	PF	2	1	1	1	0
PCT1102	MV	REP	47	34	33	0	2
PCT1102	MV	NPP	215	137	134	0	3
PCT1103	TO	ALL	951	701	691
PCT1103	ED	ALL	277	246	246
PCT1103	MV	ALL	674	455	445	0	8
PCT1103	MV	AI	8	3	3	0	0
PCT1103	MV	DEM	382	264	259	0	5
PCT1103	MV	GRN	8	7	7	0	0
PCT1103	MV	LIB	4	3	3	0	0
PCT1103	MV	PF	2	0	0	0	0
PCT1103	MV	REP	55	44	44	0	0
PCT1103	MV	NPP	213	132	129	0	3
PCT1104	TO	ALL	993	670	663
PCT1104	ED	ALL	316	249	249
PCT1104	MV	ALL	677	421	414	0	5
PCT1104	MV	AI	15	6	6	0	0
PCT1104	MV	DEM	379	257	255	0	2
PCT1104	MV	GRN	6	5	5	0	0
