area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	086:MALIA COHEN	087:MARK BURNS
PCT7021	ED	947	184	0	0	21	163	141	22
PCT7021	MV	947	305	0	0	36	269	237	32
PCT7022	ED	945	215	0	0	18	197	184	13
PCT7022	MV	945	352	0	0	30	322	278	44
PCT7023	ED	928	178	0	0	10	168	155	13
PCT7023	MV	928	400	0	1	29	370	326	44
PCT7024	ED	414	70	0	0	7	63	60	3
PCT7024	MV	414	78	0	0	5	73	59	14
PCT7025	ED	477	85	0	0	9	76	70	6
PCT7025	MV	477	128	0	0	7	121	108	13
PCT7026	ED	1011	149	0	0	13	136	111	25
PCT7026	MV	1011	455	0	0	43	412	332	80
PCT7027	ED	869	195	0	0	18	177	157	20
PCT7027	MV	869	353	0	1	21	331	268	63
PCT7028	ED	850	213	0	0	15	198	185	13
PCT7028	MV	850	282	0	0	20	262	241	21
PCT7029	ED	901	184	0	0	17	167	150	17
PCT7029	MV	901	251	0	0	8	243	212	31
PCT7030	ED	759	119	0	0	12	107	76	31
PCT7030	MV	759	357	0	1	43	313	218	95
PCT7031	ED	641	91	0	0	7	84	75	9
PCT7031	MV	641	309	0	0	30	279	225	54
PCT7032	ED	904	173	1	0	17	155	136	19
PCT7032	MV	904	316	0	0	25	291	252	39
PCT7033	ED	798	191	0	0	16	175	160	15
PCT7033	MV	798	247	0	0	18	229	200	29
PCT7034	ED	958	197	0	0	24	173	157	16
PCT7034	MV	958	201	0	0	17	184	169	15
PCT7035	ED	606	122	0	0	6	116	109	7
PCT7035	MV	606	262	0	0	14	248	216	32
PCT7036	ED	921	117	0	0	10	107	96	11
PCT7036	MV	921	342	0	0	18	324	242	82
PCT7037	ED	735	135	0	0	23	112	104	8
PCT7037	MV	735	98	0	0	11	87	73	14
PCT7038	ED	911	135	0	0	16	119	102	17
PCT7038	MV	911	351	0	0	35	316	236	80
PCT7039	ED	784	178	0	0	16	162	130	32
PCT7039	MV	784	306	0	0	13	293	221	72
PCT7041	MV	61	33	0	0	2	31	24	7
PCT7042	ED	639	118	0	0	7	111	90	21
PCT7042	MV	639	258	0	0	20	238	199	39
PCT7043	ED	957	176	0	0	15	161	146	15
PCT7043	MV	957	404	0	0	34	370	317	53
PCT7044	ED	827	167	0	0	17	150	137	13
PCT7044	MV	827	193	0	0	13	180	143	37
PCT7045	ED	779	120	0	0	22	98	82	16
PCT7045	MV	779	344	0	0	39	305	220	85
PCT7046	ED	402	94	0	0	9	85	76	9
PCT7046	MV	402	175	0	0	17	158	120	38
PCT7047	ED	823	119	0	0	7	112	95	17
PCT7047	MV	823	388	0	0	37	351	292	59
PCT7048	ED	858	150	3	0	16	131	121	10
PCT7048	MV	858	318	0	0	21	297	236	61
PCT7049	ED	792	173	0	0	24	149	120	29
PCT7049	MV	792	305	0	0	40	265	184	81
PCT7051	ED	861	114	0	0	16	98	85	13
PCT7051	MV	861	380	0	0	51	329	244	85
PCT7052	ED	852	161	0	0	15	146	120	26
PCT7052	MV	852	402	0	0	51	351	269	82
PCT7053	ED	548	102	0	0	10	92	81	11
PCT7053	MV	548	278	0	0	10	268	212	56
PCT7054	ED	1073	215	0	0	7	208	192	16
PCT7054	MV	1073	410	0	0	30	380	328	52
PCT7055	ED	808	190	0	0	11	179	168	11
PCT7055	MV	808	440	0	0	33	407	345	62
PCT7101	MV	155	120	1	0	6	113	106	7
PCT7201	ED	936	245	0	0	25	220	186	34
PCT7201	MV	936	518	0	0	48	470	378	92
PCT7202	ED	850	227	0	0	14	213	176	37
PCT7202	MV	850	431	0	0	35	396	296	100
PCT7203	ED	921	291	1	1	23	266	235	31
PCT7203	MV	921	423	0	0	40	383	330	53
PCT7204	ED	918	233	0	0	28	205	171	34
PCT7204	MV	918	531	0	0	35	496	408	88
PCT7205	ED	875	251	0	0	33	218	182	36
PCT7205	MV	875	485	0	0	40	445	342	103
PCT7206	ED	378	135	0	0	12	123	112	11
PCT7206	MV	378	191	0	0	16	175	151	24
PCT7207	ED	812	196	0	0	16	180	162	18
PCT7207	MV	812	434	0	0	44	390	336	54
PCT7208	ED	600	111	0	0	12	99	87	12
PCT7208	MV	600	328	0	0	24	304	247	57
PCT7209	ED	626	107	0	0	11	96	85	11
PCT7209	MV	626	423	0	0	28	395	329	66
PCT7301	ED	1016	228	0	0	25	203	166	37
PCT7301	MV	1016	435	0	0	43	392	329	63
PCT7302	ED	814	188	0	0	20	168	135	33
PCT7302	MV	814	458	0	0	45	413	334	79
PCT7303	ED	1042	281	0	0	38	243	212	31
PCT7303	MV	1042	482	0	0	45	437	378	59
PCT7304	ED	1002	278	0	0	30	248	216	32
PCT7304	MV	1002	493	0	0	42	451	376	75
PCT7305	ED	871	240	0	0	25	215	178	37
PCT7305	MV	871	460	0	0	40	420	326	94
PCT7306	ED	1056	317	0	0	38	279	238	41
PCT7306	MV	1056	498	0	0	62	436	364	72
PCT7307	ED	767	210	0	0	20	190	172	18
PCT7307	MV	767	346	0	0	33	313	262	51
PCT7308	ED	603	177	0	0	11	166	146	20
PCT7308	MV	603	313	0	0	28	285	240	45
PCT7309	ED	884	263	0	0	30	233	202	31
PCT7309	MV	884	439	0	0	33	406	327	79
PCT7311	ED	917	268	0	0	16	252	227	25
PCT7311	MV	917	448	0	0	33	415	350	65
PCT7312	ED	821	203	0	0	24	179	142	37
PCT7312	MV	821	470	0	0	47	423	331	92
PCT7313	ED	968	225	1	0	21	203	183	20
PCT7313	MV	968	485	0	0	58	427	352	75
PCT7314	ED	787	125	0	0	13	112	89	23
PCT7314	MV	787	271	0	0	51	220	190	30
PCT7315	ED	760	220	0	0	27	193	167	26
PCT7315	MV	760	282	0	0	36	246	208	38
PCT7316	ED	853	205	0	0	20	185	163	22
PCT7316	MV	853	367	0	0	45	322	269	53
PCT7317	ED	904	189	0	0	18	171	152	19
PCT7317	MV	904	454	0	0	43	411	332	79
PCT7318	ED	727	179	0	0	28	151	130	21
PCT7318	MV	727	390	0	0	42	348	293	55
PCT7319	ED	1079	301	0	0	37	264	232	32
PCT7319	MV	1079	516	0	0	64	452	372	80
PCT7321	ED	671	149	0	0	24	125	109	16
PCT7321	MV	671	286	0	0	34	252	204	48
PCT7322	ED	874	65	0	0	9	56	47	9
PCT7322	MV	874	337	0	0	80	257	214	43
PCT7323	ED	950	234	0	0	25	209	170	39
PCT7323	MV	950	455	0	0	45	410	347	63
PCT7324	ED	755	190	0	0	23	167	144	23
PCT7324	MV	755	364	0	1	31	332	288	44
PCT7325	ED	904	243	0	0	27	216	183	33
PCT7325	MV	904	436	0	0	48	388	349	39
PCT7326	ED	876	200	0	0	23	177	159	18
PCT7326	MV	876	430	0	0	56	374	317	57
PCT7327	ED	699	71	0	0	15	56	45	11
PCT7327	MV	699	276	0	0	45	231	173	58
PCT7328	ED	973	94	0	0	19	75	60	15
PCT7328	MV	973	394	0	0	87	307	258	49
PCT7329	ED	640	112	0	0	12	100	85	15
PCT7329	MV	640	321	0	0	32	289	214	75
PCT7331	ED	852	213	0	0	20	193	139	54
PCT7331	MV	852	461	0	0	39	422	318	104
PCT7332	ED	834	225	0	0	26	199	172	27
PCT7332	MV	834	364	0	0	28	336	289	47
PCT7333	ED	1044	298	0	0	24	274	237	37
PCT7333	MV	1044	543	0	0	49	494	419	75
PCT7334	ED	881	199	0	0	21	178	153	25
PCT7334	MV	881	462	0	0	48	414	363	51
PCT7335	ED	970	225	0	0	22	203	178	25
PCT7335	MV	970	523	0	0	41	482	395	87
PCT7336	ED	955	238	0	0	22	216	181	35
PCT7336	MV	955	523	0	0	40	483	379	104
PCT7337	ED	851	179	0	0	24	155	132	23
PCT7337	MV	851	464	0	0	50	414	316	98
PCT7338	ED	915	153	0	0	16	137	120	17
PCT7338	MV	915	426	0	0	76	350	263	87
PCT7339	ED	669	174	0	0	16	158	138	20
PCT7339	MV	669	309	0	0	23	286	253	33
PCT7341	ED	908	260	0	0	22	238	212	26
PCT7341	MV	908	401	0	0	41	360	313	47
PCT7342	ED	947	334	0	0	23	311	270	41
PCT7342	MV	947	414	0	0	28	386	334	52
PCT7343	ED	731	234	0	0	20	214	196	18
PCT7343	MV	731	316	0	1	20	295	269	26
PCT7344	ED	1110	291	0	0	21	270	231	39
PCT7344	MV	1110	538	0	0	30	508	444	64
PCT7345	ED	1141	329	1	0	15	313	273	40
PCT7345	MV	1141	521	0	0	33	488	435	53
PCT7346	ED	920	250	0	0	24	226	206	20
PCT7346	MV	920	384	0	0	24	360	324	36
PCT7347	ED	1040	241	0	0	23	218	195	23
PCT7347	MV	1040	480	0	1	37	442	408	34
PCT7348	ED	861	210	0	0	19	191	159	32
PCT7348	MV	861	353	0	0	37	316	273	43
PCT7349	ED	957	248	0	0	13	235	197	38
PCT7349	MV	957	427	0	0	39	388	327	61
PCT7501	ED	565	172	0	0	15	157	136	21
PCT7501	MV	565	308	0	0	30	278	242	36
PCT7502	ED	784	180	1	0	19	160	139	21
PCT7502	MV	784	447	0	0	34	413	348	65
PCT7503	ED	764	208	0	0	22	186	157	29
PCT7503	MV	764	388	0	0	27	361	308	53
PCT7504	ED	503	112	0	0	9	103	88	15
PCT7504	MV	503	222	0	0	14	208	186	22
PCT7505	ED	869	158	0	0	26	132	114	18
PCT7505	MV	869	532	0	0	55	477	401	76
PCT7506	ED	999	226	0	0	19	207	191	16
PCT7506	MV	999	473	0	0	23	450	388	62
PCT7507	ED	955	211	0	1	22	188	166	22
PCT7507	MV	955	344	0	0	28	316	274	42
PCT7508	ED	727	154	0	0	20	134	114	20
PCT7508	MV	727	427	0	0	44	383	334	49
PCT7509	ED	932	235	2	0	11	222	196	26
PCT7509	MV	932	470	1	0	23	446	408	38
PCT7512	ED	612	150	0	0	17	133	95	38
PCT7512	MV	612	283	0	0	15	268	207	61
PCT7513	ED	818	225	0	1	30	194	173	21
PCT7513	MV	818	315	0	1	26	288	240	48
PCT7514	ED	874	140	0	0	13	127	114	13
PCT7514	MV	874	305	0	0	35	270	235	35
PCT7515	ED	869	212	0	0	21	191	177	14
PCT7515	MV	869	389	0	1	26	362	319	43
PCT7516	ED	922	172	0	0	15	157	139	18
PCT7516	MV	922	538	0	0	33	505	438	67
PCT7517	ED	863	289	0	0	18	271	260	11
PCT7517	MV	863	410	0	0	32	378	360	18
PCT7518	ED	950	309	0	0	26	283	266	17
PCT7518	MV	950	480	0	0	43	437	408	29
PCT7519	ED	737	224	0	0	11	213	198	15
PCT7519	MV	737	355	0	1	28	326	308	18
PCT7521	ED	812	292	0	0	26	266	250	16
PCT7521	MV	812	354	0	0	25	329	321	8
PCT7522	ED	764	207	0	0	15	192	178	14
PCT7522	MV	764	397	0	0	27	370	360	10
PCT7523	ED	747	275	0	0	18	257	239	18
PCT7523	MV	747	359	0	0	29	330	307	23
PCT7524	ED	615	181	0	0	20	161	150	11
PCT7524	MV	615	262	0	0	19	243	227	16
PCT7525	ED	800	205	0	0	14	191	182	9
PCT7525	MV	800	341	0	0	37	304	285	19
PCT7526	ED	1011	292	0	1	25	266	251	15
PCT7526	MV	1011	552	0	0	36	516	482	34
PCT7527	ED	725	211	0	1	19	191	166	25
PCT7527	MV	725	339	0	1	27	311	276	35
PCT7529	ED	948	295	0	1	24	270	255	15
PCT7529	MV	948	486	0	0	28	458	441	17
PCT7531	ED	865	228	0	0	15	213	204	9
PCT7531	MV	865	442	0	1	32	409	391	18
