area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	084:RICARDO LARA	085:STEVE POIZNER
PCT7014	MV	1460	801	0	0	0	64	737	518	219
PCT7015	MV	95	44	0	0	0	5	39	33	6
PCT7016	ED	918	171	0	0	0	23	148	116	32
PCT7016	MV	918	280	0	0	1	37	242	178	64
PCT7017	ED	754	149	0	0	0	13	136	110	26
PCT7017	MV	754	252	0	0	0	21	231	195	36
PCT7018	ED	977	154	0	0	0	14	140	109	31
PCT7018	MV	977	448	0	0	0	61	387	287	100
PCT7019	ED	899	182	0	0	0	19	163	134	29
PCT7019	MV	899	413	0	0	0	45	368	276	92
PCT7021	ED	947	184	0	0	0	24	160	128	32
PCT7021	MV	947	305	0	0	0	27	278	219	59
PCT7022	ED	945	214	0	0	1	24	189	157	32
PCT7022	MV	945	351	0	0	0	32	319	249	70
PCT7023	ED	928	177	0	0	0	10	167	135	32
PCT7023	MV	928	400	0	0	1	38	361	282	79
PCT7024	ED	414	70	0	0	0	8	62	50	12
PCT7024	MV	414	78	0	0	0	7	71	45	26
PCT7025	ED	477	85	0	0	0	8	77	66	11
PCT7025	MV	477	128	0	0	0	8	120	95	25
PCT7026	ED	1011	149	0	0	0	21	128	104	24
PCT7026	MV	1011	455	0	0	0	68	387	251	136
PCT7027	ED	869	195	0	0	0	28	167	125	42
PCT7027	MV	869	353	0	0	0	36	317	249	68
PCT7028	ED	850	212	0	0	0	13	199	164	35
PCT7028	MV	850	282	0	0	1	14	267	222	45
PCT7029	ED	901	183	0	0	0	28	155	128	27
PCT7029	MV	901	251	0	0	0	12	239	190	49
PCT7030	ED	759	118	0	0	0	12	106	73	33
PCT7030	MV	759	357	0	0	1	55	301	185	116
PCT7031	ED	641	91	0	0	0	13	78	60	18
PCT7031	MV	641	308	0	0	0	30	278	194	84
PCT7032	ED	904	173	1	0	1	23	148	110	38
PCT7032	MV	904	316	0	0	0	33	283	205	78
PCT7033	ED	798	191	0	0	0	17	174	135	39
PCT7033	MV	798	247	0	0	0	24	223	178	45
PCT7034	ED	958	197	0	0	0	31	166	137	29
PCT7034	MV	958	201	0	0	0	19	182	148	34
PCT7035	ED	606	122	0	0	0	5	117	89	28
PCT7035	MV	606	262	0	0	0	18	244	170	74
PCT7036	ED	921	117	0	0	0	8	109	86	23
PCT7036	MV	921	342	0	0	1	30	311	205	106
PCT7037	ED	735	134	0	0	0	30	104	79	25
PCT7037	MV	735	98	0	0	0	13	85	61	24
PCT7038	ED	911	135	0	0	0	18	117	94	23
PCT7038	MV	911	351	0	0	1	40	310	214	96
PCT7039	ED	784	178	0	0	0	15	163	117	46
PCT7039	MV	784	306	0	0	0	29	277	193	84
PCT7041	MV	61	33	0	0	0	2	31	19	12
PCT7042	ED	639	118	0	0	0	7	111	84	27
PCT7042	MV	639	258	0	0	0	28	230	179	51
PCT7043	ED	957	175	0	0	0	11	164	127	37
PCT7043	MV	957	404	0	0	0	41	363	286	77
PCT7044	ED	827	167	0	0	2	23	142	111	31
PCT7044	MV	827	193	0	0	0	14	179	120	59
PCT7045	ED	779	120	0	0	0	21	99	65	34
PCT7045	MV	779	344	0	0	0	48	296	197	99
PCT7046	ED	402	94	0	0	0	10	84	71	13
PCT7046	MV	402	175	0	0	0	24	151	99	52
PCT7047	ED	823	119	0	0	0	14	105	83	22
PCT7047	MV	823	388	0	0	0	44	344	249	95
PCT7048	ED	858	150	3	0	0	17	130	112	18
PCT7048	MV	858	318	0	0	0	33	285	218	67
PCT7049	ED	792	172	0	0	0	30	142	94	48
PCT7049	MV	792	305	0	0	0	54	251	160	91
PCT7051	ED	861	114	0	0	0	22	92	64	28
PCT7051	MV	861	380	0	0	0	73	307	204	103
PCT7052	ED	852	161	0	0	0	21	140	99	41
PCT7052	MV	852	402	0	0	0	56	346	231	115
PCT7053	ED	548	102	0	0	0	13	89	64	25
PCT7053	MV	548	278	0	0	0	24	254	157	97
PCT7054	ED	1073	214	0	0	0	11	203	159	44
PCT7054	MV	1073	410	0	0	0	35	375	291	84
PCT7055	ED	808	188	0	0	0	17	171	130	41
PCT7055	MV	808	440	0	0	0	45	395	269	126
PCT7101	MV	155	120	1	0	0	8	111	77	34
PCT7201	ED	936	245	0	0	0	27	218	144	74
PCT7201	MV	936	518	0	0	0	48	470	280	190
PCT7202	ED	850	225	0	0	0	22	203	120	83
PCT7202	MV	850	431	0	0	0	42	389	218	171
PCT7203	ED	921	289	1	0	2	13	273	174	99
PCT7203	MV	921	423	0	0	1	35	387	244	143
PCT7204	ED	918	233	0	0	0	27	206	137	69
PCT7204	MV	918	531	0	0	1	32	498	292	206
PCT7205	ED	875	249	0	0	0	29	220	132	88
PCT7205	MV	875	485	0	0	0	46	439	221	218
PCT7206	ED	378	134	0	0	0	9	125	92	33
PCT7206	MV	378	191	0	0	0	21	170	109	61
PCT7207	ED	812	194	0	0	0	15	179	134	45
PCT7207	MV	812	433	0	0	0	62	371	239	132
PCT7208	ED	600	111	0	0	0	10	101	76	25
PCT7208	MV	600	328	0	0	0	27	301	182	119
PCT7209	ED	626	107	0	0	0	10	97	58	39
PCT7209	MV	626	423	0	0	0	38	385	225	160
PCT7301	ED	1016	228	0	0	0	35	193	142	51
PCT7301	MV	1016	435	0	0	1	60	374	237	137
PCT7302	ED	814	188	0	0	0	15	173	97	76
PCT7302	MV	814	458	0	0	0	42	416	257	159
PCT7303	ED	1042	280	0	0	0	32	248	162	86
PCT7303	MV	1042	482	0	0	0	46	436	272	164
PCT7304	ED	1002	278	0	0	0	30	248	174	74
PCT7304	MV	1002	493	0	0	0	50	443	254	189
PCT7305	ED	871	239	0	0	0	20	219	141	78
PCT7305	MV	871	459	0	0	0	54	405	228	177
PCT7306	ED	1056	317	0	0	0	36	281	191	90
PCT7306	MV	1056	496	0	0	0	55	441	281	160
PCT7307	ED	767	209	0	0	0	21	188	142	46
PCT7307	MV	767	345	0	0	1	33	311	190	121
PCT7308	ED	603	177	0	0	0	21	156	112	44
PCT7308	MV	603	313	0	0	0	30	283	166	117
PCT7309	ED	884	260	0	0	0	31	229	158	71
PCT7309	MV	884	439	0	0	0	48	391	242	149
PCT7311	ED	917	266	0	0	0	20	246	171	75
PCT7311	MV	917	448	0	0	0	43	405	260	145
PCT7312	ED	821	203	0	0	0	21	182	107	75
PCT7312	MV	821	470	0	0	0	53	417	217	200
PCT7313	ED	968	224	1	0	1	19	203	150	53
PCT7313	MV	968	485	0	0	0	68	417	253	164
PCT7314	ED	787	125	0	0	0	21	104	73	31
PCT7314	MV	787	271	0	0	0	53	218	150	68
PCT7315	ED	760	220	0	0	0	29	191	142	49
PCT7315	MV	760	282	0	0	0	36	246	167	79
PCT7316	ED	853	205	0	0	0	24	181	136	45
PCT7316	MV	853	367	0	0	1	49	317	202	115
PCT7317	ED	904	189	0	0	0	20	169	120	49
PCT7317	MV	904	454	0	0	0	53	401	247	154
PCT7318	ED	727	179	0	0	0	31	148	101	47
PCT7318	MV	727	389	0	0	1	44	344	221	123
PCT7319	ED	1079	298	0	0	0	31	267	193	74
PCT7319	MV	1079	516	0	0	1	53	462	296	166
PCT7321	ED	671	149	0	0	0	26	123	92	31
PCT7321	MV	671	286	0	0	0	44	242	157	85
PCT7322	ED	874	64	0	0	1	16	47	35	12
PCT7322	MV	874	337	0	0	0	81	256	180	76
PCT7323	ED	950	234	0	0	0	24	210	135	75
PCT7323	MV	950	455	0	0	0	51	404	247	157
PCT7324	ED	755	189	0	0	0	28	161	110	51
PCT7324	MV	755	364	0	0	1	44	319	216	103
PCT7325	ED	904	240	0	0	0	37	203	136	67
PCT7325	MV	904	436	0	0	0	48	388	249	139
PCT7326	ED	876	199	0	0	0	17	182	128	54
PCT7326	MV	876	429	0	0	0	59	370	222	148
PCT7327	ED	699	71	0	0	0	15	56	37	19
PCT7327	MV	699	276	0	0	0	51	225	150	75
PCT7328	ED	973	94	0	0	0	18	76	57	19
PCT7328	MV	973	394	0	0	0	93	301	211	90
PCT7329	ED	640	112	0	0	0	13	99	57	42
PCT7329	MV	640	321	0	0	0	38	283	151	132
PCT7331	ED	852	213	0	0	1	25	187	96	91
PCT7331	MV	852	461	0	0	0	36	425	242	183
PCT7332	ED	834	223	0	0	0	24	199	139	60
PCT7332	MV	834	364	0	0	0	33	331	239	92
PCT7333	ED	1044	295	0	0	0	30	265	188	77
PCT7333	MV	1044	543	0	0	0	53	490	325	165
PCT7334	ED	881	199	0	0	0	21	178	128	50
PCT7334	MV	881	462	0	0	0	56	406	284	122
PCT7335	ED	970	225	0	0	0	17	208	164	44
PCT7335	MV	970	523	0	0	0	51	472	285	187
PCT7336	ED	955	236	0	0	0	26	210	150	60
PCT7336	MV	955	523	0	0	0	47	476	279	197
PCT7337	ED	851	178	0	0	0	17	161	84	77
PCT7337	MV	851	464	0	0	0	52	412	232	180
