area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	090:LISA REMMER	091:NANCY PELOSI
PCT7318	MV	727	390	0	1	30	359	49	310
PCT7319	ED	1079	301	0	1	13	287	34	253
PCT7319	MV	1079	516	0	0	22	494	79	415
PCT7321	ED	671	149	0	0	17	132	21	111
PCT7321	MV	671	286	0	0	22	264	46	218
PCT7322	ED	874	65	0	0	8	57	11	46
PCT7322	MV	874	337	0	0	56	281	50	231
PCT7323	ED	950	234	0	0	12	222	40	182
PCT7323	MV	950	455	0	0	19	436	66	370
PCT7324	ED	755	190	0	0	9	181	22	159
PCT7324	MV	755	364	0	1	17	346	41	305
PCT7325	ED	904	243	0	0	12	231	33	198
PCT7325	MV	904	436	0	0	22	414	44	370
PCT7326	ED	876	200	0	0	10	190	15	175
PCT7326	MV	876	430	0	0	34	396	76	320
PCT7327	ED	699	71	0	0	11	60	7	53
PCT7327	MV	699	276	0	0	34	242	61	181
PCT7328	ED	973	94	0	0	14	80	17	63
PCT7328	MV	973	394	0	1	63	330	59	271
PCT7329	ED	640	112	0	0	9	103	15	88
PCT7329	MV	640	321	0	0	22	299	72	227
PCT7331	ED	852	213	0	0	5	208	58	150
PCT7331	MV	852	461	0	0	19	442	107	335
PCT7332	ED	834	225	0	0	14	211	28	183
PCT7332	MV	834	364	0	1	18	345	52	293
PCT7333	ED	1044	298	0	0	13	285	32	253
PCT7333	MV	1044	543	0	0	26	517	76	441
PCT7334	ED	881	199	0	0	10	189	26	163
PCT7334	MV	881	462	0	0	21	441	54	387
PCT7335	ED	970	225	0	0	6	219	28	191
PCT7335	MV	970	523	0	0	21	502	97	405
PCT7336	ED	955	238	0	0	14	224	41	183
PCT7336	MV	955	523	0	0	15	508	102	406
PCT7337	ED	851	179	0	0	6	173	31	142
PCT7337	MV	851	464	0	0	21	443	101	342
PCT7338	ED	915	153	0	0	10	143	20	123
PCT7338	MV	915	426	0	0	50	376	76	300
PCT7339	ED	669	174	0	0	10	164	20	144
PCT7339	MV	669	309	0	0	14	295	39	256
