area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	044:Yes	045:No
ALLPCTS	TO	500516	372461	940	0	279	26376	344866	206911	137955
ALLPCTS	ED	500516	127556	135	0	55	9007	118359	73174	45185
ALLPCTS	MV	500516	244905	805	0	224	17369	226507	133737	92770
PCT1101	ED	553	125	0	0	0	9	116	76	40
PCT1101	MV	553	266	1	0	1	17	247	153	94
PCT1102	ED	995	266	0	0	0	16	250	128	122
PCT1102	MV	995	480	-1	0	0	35	446	258	188
PCT1103	ED	951	246	1	0	0	16	229	150	79
PCT1103	MV	951	445	0	0	0	25	420	237	183
PCT1104	ED	993	249	0	0	0	16	233	148	85
PCT1104	MV	993	414	-2	0	0	28	388	274	114
PCT1106	ED	765	191	-1	0	0	10	182	106	76
PCT1106	MV	765	343	1	0	0	24	318	170	148
PCT1107	ED	746	163	1	0	0	15	147	90	57
PCT1107	MV	746	336	3	0	1	32	300	176	124
PCT1108	ED	909	232	-1	0	0	24	209	133	76
PCT1108	MV	909	437	-1	0	0	39	399	225	174
PCT1109	ED	798	166	0	0	0	18	148	88	60
PCT1109	MV	798	365	1	0	0	25	339	179	160
PCT1111	ED	1002	205	0	0	0	21	184	123	61
PCT1111	MV	1002	460	-1	0	0	36	425	253	172
PCT1112	ED	769	151	0	0	0	8	143	91	52
PCT1112	MV	769	344	0	0	0	36	308	180	128
PCT1113	ED	746	134	2	0	0	10	122	85	37
PCT1113	MV	746	359	0	0	0	21	338	182	156
PCT1114	ED	957	226	0	0	0	26	200	136	64
PCT1114	MV	957	403	2	0	0	23	378	239	139
PCT1115	ED	895	173	1	0	0	15	157	104	53
PCT1115	MV	895	371	-2	0	0	25	348	207	141
PCT1116	ED	895	224	0	0	0	36	188	132	56
PCT1116	MV	895	376	2	0	1	35	338	183	155
PCT1117	ED	858	184	1	0	0	20	163	94	69
PCT1117	MV	858	357	1	0	0	27	329	201	128
PCT1118	ED	1043	213	-2	0	0	12	203	123	80
PCT1118	MV	1043	475	-3	0	0	33	445	268	177
PCT1119	ED	791	165	0	0	0	13	152	121	31
PCT1119	MV	791	386	1	0	0	34	351	216	135
PCT1121	ED	691	159	0	0	0	12	147	76	71
PCT1121	MV	691	313	4	0	0	20	289	172	117
PCT1122	ED	632	109	0	0	0	7	102	64	38
PCT1122	MV	632	310	0	0	0	18	292	168	124
PCT1123	ED	915	179	0	0	1	13	165	118	47
PCT1123	MV	915	364	0	0	0	44	320	197	123
PCT1124	ED	819	152	-1	0	0	15	138	97	41
PCT1124	MV	819	302	-2	0	0	28	276	174	102
PCT1125	ED	1047	159	1	0	0	13	145	90	55
PCT1125	MV	1047	466	-3	0	2	43	424	251	173
PCT1126	ED	922	190	0	0	0	18	172	115	57
PCT1126	MV	922	400	-1	0	0	23	378	236	142
PCT1127	ED	920	200	0	0	0	14	186	125	61
PCT1127	MV	920	382	0	0	0	26	356	231	125
PCT1128	ED	838	154	0	0	0	14	140	84	56
PCT1128	MV	838	362	0	0	0	37	325	213	112
PCT1129	ED	980	227	1	0	0	21	205	142	63
PCT1129	MV	980	416	5	0	0	33	378	238	140
PCT1131	ED	797	132	0	0	0	11	121	74	47
PCT1131	MV	797	371	-1	0	1	23	348	199	149
PCT1132	ED	969	179	2	0	0	17	160	106	54
PCT1132	MV	969	427	0	0	1	38	388	235	153
PCT1133	ED	863	161	1	0	0	16	144	94	50
PCT1133	MV	863	410	0	0	1	32	377	234	143
PCT1134	ED	759	170	2	0	0	12	156	111	45
PCT1134	MV	759	317	-1	0	0	25	293	173	120
PCT1135	ED	540	87	1	0	0	7	79	35	44
PCT1135	MV	540	295	0	0	0	25	270	146	124
PCT1136	ED	829	144	0	0	0	10	134	78	56
PCT1136	MV	829	412	1	0	0	30	381	244	137
PCT1141	ED	1041	223	0	0	0	17	206	144	62
PCT1141	MV	1041	484	0	0	0	30	454	293	161
PCT1142	ED	861	175	0	0	0	11	164	116	48
PCT1142	MV	861	393	0	0	2	31	360	227	133
PCT1143	ED	1034	228	1	0	0	8	219	150	69
PCT1143	MV	1034	440	4	0	1	30	405	251	154
PCT1144	ED	907	205	1	0	0	12	192	112	80
PCT1144	MV	907	387	-1	0	0	25	363	229	134
PCT1145	ED	888	189	0	0	1	10	178	111	67
