area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	124:EVA I. CHAO	125:BRIAN J. LARKIN	126:JONATHAN LYENS	127:JANICE LI	128:MELANIE NUTTER	129:WILLIAM WALKER
PCT7301	MV	1016	435	0	10	91	334	1	70	49	46	97	58	13
PCT7302	ED	814	188	0	2	49	137	0	25	20	13	39	32	8
PCT7302	MV	814	458	0	7	111	340	0	62	42	53	88	83	12
PCT7303	ED	1042	281	0	1	86	194	0	41	15	18	66	48	6
PCT7303	MV	1042	482	0	4	109	369	0	55	40	52	115	95	12
PCT7304	ED	1002	278	0	1	70	207	1	43	23	31	54	51	4
PCT7304	MV	1002	493	0	2	114	377	1	78	39	36	114	99	10
PCT7305	ED	871	240	0	2	57	181	0	32	33	21	49	38	8
PCT7305	MV	871	460	0	3	122	335	0	66	43	41	80	93	12
PCT7306	ED	1056	317	0	3	86	228	1	54	27	19	75	41	11
PCT7306	MV	1056	498	0	2	140	356	3	74	46	33	123	68	9
PCT7307	ED	767	210	0	2	51	157	0	22	15	17	64	36	3
PCT7307	MV	767	346	0	3	88	255	0	38	30	37	84	60	6
PCT7308	ED	603	177	0	2	50	125	1	20	18	18	36	24	8
PCT7308	MV	603	313	0	2	76	235	0	40	22	20	73	74	6
PCT7309	ED	884	263	0	2	81	180	1	28	31	22	46	44	8
PCT7309	MV	884	439	0	5	123	311	1	71	34	32	88	75	10
PCT7311	ED	917	268	0	3	84	181	0	40	25	21	52	39	4
PCT7311	MV	917	448	0	5	109	334	0	64	31	43	91	94	11
PCT7312	ED	821	203	0	1	56	146	0	33	18	15	38	31	11
PCT7312	MV	821	470	0	7	144	319	0	64	31	35	81	99	9
PCT7313	ED	968	225	1	1	60	163	1	35	13	19	55	31	9
PCT7313	MV	968	485	0	1	117	367	1	77	36	41	124	79	9
PCT7314	ED	787	125	0	3	36	86	0	17	14	3	31	13	8
PCT7314	MV	787	271	0	2	79	190	0	44	24	14	80	26	2
PCT7315	ED	760	220	0	2	69	149	0	19	14	16	64	24	12
PCT7315	MV	760	282	0	0	75	207	0	33	28	25	70	40	11
PCT7316	ED	853	205	0	0	70	135	0	21	21	11	49	26	7
PCT7316	MV	853	367	0	3	95	269	0	57	33	26	95	42	16
PCT7317	ED	904	189	0	1	47	141	1	20	24	18	48	23	7
PCT7317	MV	904	454	0	7	96	351	1	66	35	45	112	83	9
PCT7318	ED	727	179	0	1	60	118	0	31	17	11	40	15	4
PCT7318	MV	727	390	0	3	98	289	0	65	39	27	103	52	3
PCT7321	ED	671	149	0	0	51	98	1	25	13	7	31	14	7
PCT7321	MV	671	286	0	0	66	220	0	66	12	19	85	30	8
PCT7322	ED	874	65	0	4	23	38	0	11	4	0	19	3	1
PCT7322	MV	874	337	0	2	77	258	1	70	23	14	105	35	10
PCT7325	ED	904	243	0	1	70	172	0	34	30	15	58	29	6
PCT7325	MV	904	436	0	2	114	320	4	56	25	43	109	78	5
PCT7326	ED	876	200	0	1	48	151	0	40	12	15	49	26	9
PCT7326	MV	876	430	0	2	94	334	0	78	28	39	107	66	16
PCT7327	ED	699	71	0	2	16	53	0	16	5	2	20	7	3
PCT7327	MV	699	276	0	5	46	225	0	72	24	9	86	31	3
PCT7328	ED	973	94	0	0	33	61	1	16	9	6	17	8	4
PCT7328	MV	973	394	0	3	64	327	0	76	37	30	127	39	18
PCT7329	ED	640	112	0	1	35	76	0	16	15	5	19	12	9
PCT7329	MV	640	321	0	5	70	246	1	64	27	27	82	41	4
PCT7331	ED	852	213	0	4	60	149	2	36	19	15	28	43	6
PCT7331	MV	852	461	0	2	107	352	0	70	54	62	86	70	10
PCT7338	ED	915	153	0	5	25	123	0	30	16	7	43	17	10
PCT7338	MV	915	426	0	4	85	337	0	98	37	21	108	63	10
PCT7706	ED	840	252	0	0	54	198	0	30	33	28	46	52	9
PCT7706	MV	840	467	0	7	102	358	0	72	51	57	90	74	14
PCT7707	ED	857	241	1	4	40	196	0	43	24	30	44	45	10
PCT7707	MV	857	495	0	5	114	376	0	55	41	59	114	102	5
PCT7708	ED	871	205	0	0	47	158	0	20	23	16	49	39	11
PCT7708	MV	871	540	0	4	109	427	0	85	54	52	118	100	18
PCT7709	ED	391	102	0	1	20	81	0	6	10	10	39	12	4
PCT7709	MV	391	222	0	0	42	180	0	23	15	31	64	40	7
PCT9001	MV	273	142	0	2	19	121	0	21	16	25	27	23	9
PCT9101	ED	888	260	0	1	53	206	1	29	29	37	78	22	10
PCT9101	MV	888	438	0	8	90	340	2	58	69	42	110	52	7
PCT9102	ED	985	257	0	5	60	192	0	28	36	33	55	27	13
PCT9102	MV	985	471	0	3	87	381	1	57	71	61	120	51	20
PCT9103	ED	954	273	0	2	62	209	2	40	33	15	77	30	12
PCT9103	MV	954	431	0	3	96	332	0	59	56	34	105	61	17
PCT9104	ED	988	239	0	0	61	178	0	28	28	25	66	26	5
