area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	148:LAWRENCE ''STARK'' DAGESSE	149:RAFAEL MANDELMAN
PCT7856	ED	800	265	0	0	41	0	224	1	19	204
PCT7856	MV	800	425	5	0	34	0	386	1	27	358
PCT7857	ED	933	275	1	1	51	0	222	4	22	196
PCT7857	MV	933	517	3	0	64	0	450	3	37	410
PCT7858	ED	775	244	2	0	43	0	199	1	16	182
PCT7858	MV	775	394	5	1	35	0	353	2	30	321
PCT7859	ED	891	249	1	0	42	0	206	2	21	183
PCT7859	MV	891	513	3	1	58	0	451	0	27	424
PCT7861	ED	859	217	0	0	28	0	189	2	18	169
PCT7861	MV	859	510	9	1	60	0	440	1	36	403
PCT7862	ED	866	301	2	0	43	0	256	0	24	232
PCT7862	MV	866	472	12	1	50	0	409	2	32	375
PCT7863	ED	907	310	0	0	49	0	261	2	31	228
PCT7863	MV	907	440	4	1	47	0	388	4	21	363
PCT7864	ED	807	232	0	0	29	0	203	1	22	180
PCT7864	MV	807	426	5	1	47	0	373	3	38	332
PCT7865	ED	823	241	0	1	55	0	185	2	22	161
PCT7865	MV	823	463	7	0	58	0	398	1	36	361
PCT7866	ED	836	209	0	0	31	0	178	0	13	165
PCT7866	MV	836	491	6	0	61	0	424	6	41	377
PCT7867	ED	955	266	2	1	39	0	224	0	15	209
PCT7867	MV	955	510	8	1	50	0	451	5	33	413
PCT7868	ED	881	242	-1	1	39	0	203	1	17	185
PCT7868	MV	881	449	5	0	48	0	396	8	31	357
PCT7869	ED	867	239	1	0	27	0	211	2	13	196
PCT7869	MV	867	489	4	0	41	0	444	1	36	407
PCT7871	ED	900	259	1	0	31	0	227	0	18	209
PCT7871	MV	900	502	4	0	51	0	447	6	28	413
PCT7872	ED	862	287	23	0	36	0	228	2	23	203
PCT7872	MV	862	472	8	0	46	0	418	2	32	384
PCT7873	ED	861	257	4	0	24	0	229	0	14	215
PCT7873	MV	861	501	4	1	43	0	453	4	24	425
PCT7874	ED	477	137	2	0	14	0	121	3	15	103
PCT7874	MV	477	255	4	0	28	0	223	0	18	205
PCT7875	ED	623	180	0	1	31	0	148	3	16	129
PCT7875	MV	623	285	0	2	42	0	241	3	25	213
PCT7876	ED	498	154	11	0	36	0	107	1	11	95
PCT7876	MV	498	269	2	0	34	0	233	1	19	213
PCT9801	ED	408	104	4	0	12	0	88	0	16	72
PCT9801	MV	408	181	4	0	23	0	154	1	13	140
CONG12	TO	57714	48295	575	37	5886	0	41797	232	3518	38047
CONG14	TO	408	285	8	0	35	0	242	1	29	212
ASSM17	TO	57714	48295	575	37	5886	0	41797	232	3518	38047
ASSM19	TO	408	285	8	0	35	0	242	1	29	212
BART9	TO	58122	48580	583	37	5921	0	42039	233	3547	38259
SUPV8	TO	58122	48580	583	37	5921	0	42039	233	3547	38259
NEIG4	TO	6473	5354	53	5	657	0	4639	41	381	4217
NEIG5	TO	408	285	8	0	35	0	242	1	29	212
NEIG12	TO	9626	7587	78	5	978	0	6526	35	560	5931
NEIG13	TO	16964	14401	158	11	1830	0	12402	62	1068	11272
NEIG19	TO	3690	3102	50	4	332	0	2716	20	216	2480
NEIG22	TO	18966	16173	193	10	1883	0	14087	70	1156	12861
NEIG25	TO	1995	1678	43	2	206	0	1427	4	137	1286
