area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	093:CRISTINA OSMEÑA	094:JACKIE SPEIER
PCT9746	ED	884	232	0	0	6	226	51	175
PCT9746	MV	884	452	0	0	13	439	89	350
PCT9747	ED	973	246	0	0	10	236	27	209
PCT9747	MV	973	470	0	1	22	447	68	379
PCT9748	ED	931	229	0	0	5	224	37	187
PCT9748	MV	931	475	1	0	22	452	79	373
PCT9749	ED	913	225	2	0	26	197	24	173
PCT9749	MV	913	384	0	0	28	356	55	301
PCT9751	ED	1016	253	0	0	20	233	40	193
PCT9751	MV	1016	523	0	0	24	499	75	424
PCT9752	ED	710	175	3	0	8	164	34	130
PCT9752	MV	710	392	0	0	8	384	72	312
PCT9753	ED	756	186	0	0	8	178	16	162
PCT9753	MV	756	388	0	0	14	374	42	332
PCT9754	ED	707	47	0	0	3	44	6	38
PCT9754	MV	707	377	0	0	9	368	34	334
PCT9755	ED	582	172	0	0	11	161	16	145
PCT9755	MV	582	285	2	0	12	271	30	241
PCT9756	ED	941	185	0	0	6	179	25	154
PCT9756	MV	941	477	0	0	35	442	79	363
PCT9801	ED	408	104	0	0	5	99	19	80
PCT9801	MV	408	181	0	0	6	175	19	156
CONG14	TO	56946	40357	19	8	2211	38119	6487	31632
ASSM19	TO	56946	40357	19	8	2211	38119	6487	31632
BART8	TO	50054	35574	16	8	1942	33608	5813	27795
BART9	TO	6892	4783	3	0	269	4511	674	3837
SUPV4	TO	500	379	0	0	21	358	76	282
SUPV7	TO	28578	21655	18	5	949	20683	3612	17071
SUPV8	TO	408	285	0	0	11	274	38	236
SUPV10	TO	273	146	0	0	8	138	18	120
SUPV11	TO	27187	17892	1	3	1222	16666	2743	13923
NEIG5	TO	17331	11520	1	2	756	10761	1918	8843
NEIG7	TO	12118	7928	2	1	572	7353	1046	6307
NEIG9	TO	8390	5918	1	2	305	5610	976	4634
NEIG21	TO	500	379	0	0	21	358	76	282
NEIG23	TO	273	146	0	0	8	138	18	120
NEIG24	TO	18334	14466	15	3	549	13899	2453	11446
