area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	137:JESSICA HO	138:ADAM KIM	139:TUAN NGUYEN	140:ARTHUR TOM	141:TREVOR MCNEIL	142:GORDON MAR	143:MIKE MURPHY	144:LOU ANN BASSAN
PCT9435	MV	969	448	6	5	40	0	397	1	98	9	18	42	36	132	22	39
PCT9436	ED	1006	232	0	0	31	0	201	0	55	4	11	18	27	73	4	9
PCT9436	MV	1006	495	4	0	37	0	454	5	139	18	7	47	44	146	15	33
PCT9437	ED	897	219	-2	2	30	0	189	1	54	1	7	12	28	69	7	10
PCT9437	MV	897	435	4	4	36	0	391	1	126	7	8	40	40	121	10	38
PCT9438	ED	948	202	1	0	27	0	174	0	37	5	7	17	23	60	9	16
PCT9438	MV	948	496	1	6	29	0	460	0	120	14	13	51	56	142	20	44
PCT9439	ED	879	173	0	0	20	0	153	0	34	0	3	12	29	63	3	9
PCT9439	MV	879	425	2	5	29	0	389	0	129	6	8	46	37	120	16	27
PCT9441	ED	980	261	0	0	29	0	232	0	52	0	19	9	27	94	14	17
PCT9441	MV	980	462	2	3	35	0	422	0	94	4	11	40	63	160	14	36
PCT9442	ED	1008	280	5	1	32	0	242	1	42	8	8	16	33	107	16	11
PCT9442	MV	1008	461	3	1	44	0	413	2	118	12	10	35	36	147	30	23
PCT9443	ED	937	220	-2	2	31	0	189	1	38	2	16	14	33	57	13	15
PCT9443	MV	937	442	0	4	42	0	396	3	102	6	22	34	43	148	17	21
PCT9444	ED	937	190	3	0	34	0	153	1	38	2	9	11	28	47	6	11
PCT9444	MV	937	442	6	3	28	0	405	1	124	4	9	41	44	115	19	48
PCT9445	ED	981	230	0	1	32	0	197	1	35	3	5	17	28	87	7	14
PCT9445	MV	981	493	0	1	31	0	461	1	128	12	6	43	50	163	16	42
PCT9446	ED	1090	240	1	0	29	0	210	0	40	3	1	18	28	97	11	12
PCT9446	MV	1090	564	9	1	26	0	528	2	142	10	8	73	48	167	26	52
PCT9447	ED	906	236	0	0	16	0	220	0	58	3	3	16	32	85	9	14
PCT9447	MV	906	448	3	4	22	0	419	1	115	7	4	45	57	144	19	27
PCT9448	ED	909	232	1	2	32	0	197	0	60	2	3	10	26	77	4	15
PCT9448	MV	909	429	6	4	31	0	388	2	120	6	10	21	43	140	15	31
PCT9449	ED	830	177	6	0	29	0	142	1	37	2	3	9	22	52	9	7
PCT9449	MV	830	428	8	2	33	0	385	0	134	12	13	55	31	101	13	26
PCT9451	ED	420	97	0	0	10	0	87	0	20	2	1	11	13	26	8	6
PCT9451	MV	420	218	2	3	18	0	195	0	49	4	5	33	29	41	9	25
PCT9452	ED	840	259	1	1	26	0	231	1	45	6	3	29	38	78	10	21
PCT9452	MV	840	412	6	3	33	0	370	2	121	6	8	28	40	122	17	26
PCT9453	ED	500	135	-1	2	18	0	116	0	35	3	5	10	12	24	8	19
PCT9453	MV	500	244	3	0	21	0	220	1	70	12	8	20	18	57	14	20
CONG12	TO	42453	31320	285	173	2801	0	28061	67	7318	496	835	2405	3449	10207	1154	2130
CONG14	TO	500	379	2	2	39	0	336	1	105	15	13	30	30	81	22	39
ASSM19	TO	42953	31699	287	175	2840	0	28397	68	7423	511	848	2435	3479	10288	1176	2169
BART8	TO	42363	31246	284	174	2791	0	27997	68	7321	503	840	2425	3427	10100	1160	2153
BART9	TO	590	453	3	1	49	0	400	0	102	8	8	10	52	188	16	16
SUPV4	TO	42953	31699	287	175	2840	0	28397	68	7423	511	848	2435	3479	10288	1176	2169
NEIG8	TO	590	453	3	1	49	0	400	0	102	8	8	10	52	188	16	16
NEIG21	TO	42363	31246	284	174	2791	0	27997	68	7321	503	840	2425	3427	10100	1160	2153
