area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	082:STEVEN C BAILEY	083:XAVIER BECERRA
PCT7014	MV	1460	801	0	0	0	23	778	46	732
PCT7015	MV	95	44	0	0	0	2	42	1	41
PCT7016	ED	918	171	0	0	0	17	154	20	134
PCT7016	MV	918	280	0	0	0	27	253	48	205
PCT7017	ED	754	149	0	0	0	11	138	17	121
PCT7017	MV	754	252	0	0	0	12	240	10	230
PCT7018	ED	977	154	0	0	0	12	142	24	118
PCT7018	MV	977	448	0	0	0	45	403	72	331
PCT7019	ED	899	182	0	0	0	16	166	9	157
PCT7019	MV	899	413	0	0	0	18	395	62	333
PCT7021	ED	947	184	0	0	1	15	168	18	150
PCT7021	MV	947	305	0	0	1	19	285	30	255
PCT7022	ED	945	214	0	0	1	17	196	16	180
PCT7022	MV	945	351	0	0	0	16	335	37	298
PCT7023	ED	928	177	0	0	0	6	171	12	159
PCT7023	MV	928	400	0	0	2	24	374	47	327
PCT7024	ED	414	70	0	0	1	9	60	6	54
PCT7024	MV	414	78	0	0	0	5	73	12	61
PCT7025	ED	477	85	0	0	0	8	77	4	73
PCT7025	MV	477	128	0	0	0	4	124	14	110
PCT7026	ED	1011	149	0	0	0	13	136	22	114
PCT7026	MV	1011	455	0	0	0	43	412	84	328
PCT7027	ED	869	195	0	0	0	18	177	19	158
PCT7027	MV	869	353	0	0	0	21	332	63	269
PCT7028	ED	850	212	0	0	0	17	195	16	179
PCT7028	MV	850	282	0	0	0	7	275	16	259
PCT7029	ED	901	183	0	0	0	21	162	15	147
PCT7029	MV	901	251	0	0	0	6	245	31	214
PCT7030	ED	759	118	0	0	0	11	107	28	79
PCT7030	MV	759	357	0	0	0	36	321	94	227
PCT7031	ED	641	91	0	0	0	10	81	8	73
PCT7031	MV	641	308	0	0	0	25	283	47	236
PCT7032	ED	904	173	1	0	0	21	151	16	135
PCT7032	MV	904	316	0	0	0	26	290	42	248
PCT7033	ED	798	191	0	0	0	16	175	18	157
PCT7033	MV	798	247	0	0	0	14	233	19	214
PCT7034	ED	958	197	0	0	0	25	172	24	148
PCT7034	MV	958	201	0	0	0	18	183	18	165
PCT7035	ED	606	122	0	0	0	6	116	10	106
PCT7035	MV	606	262	0	0	0	11	251	30	221
PCT7036	ED	921	117	0	0	0	7	110	12	98
PCT7036	MV	921	342	0	0	0	18	324	83	241
PCT7037	ED	735	134	0	0	0	26	108	10	98
PCT7037	MV	735	98	0	0	1	11	86	20	66
PCT7038	ED	911	135	0	0	0	12	123	20	103
PCT7038	MV	911	351	0	0	0	34	317	83	234
PCT7039	ED	784	178	0	0	0	15	163	28	135
PCT7039	MV	784	306	0	0	0	18	288	75	213
PCT7041	MV	61	33	0	0	0	2	31	9	22
PCT7042	ED	639	118	0	0	0	4	114	17	97
PCT7042	MV	639	258	0	0	0	14	244	42	202
PCT7043	ED	957	175	0	0	0	13	162	14	148
PCT7043	MV	957	404	0	0	0	34	370	44	326
PCT7044	ED	827	167	0	0	0	21	146	20	126
PCT7044	MV	827	193	0	0	0	11	182	40	142
PCT7045	ED	779	120	0	0	0	13	107	22	85
PCT7045	MV	779	344	0	0	0	37	307	82	225
PCT7046	ED	402	94	0	0	0	6	88	9	79
PCT7046	MV	402	175	0	0	0	13	162	38	124
PCT7047	ED	823	119	0	0	0	11	108	12	96
PCT7047	MV	823	388	0	0	0	33	355	69	286
PCT7048	ED	858	150	3	0	0	16	131	15	116
PCT7048	MV	858	318	0	0	0	22	296	72	224
PCT7049	ED	792	172	0	0	0	22	150	32	118
PCT7049	MV	792	305	0	0	2	42	261	77	184
PCT7051	ED	861	114	0	0	0	17	97	15	82
PCT7051	MV	861	380	0	0	0	56	324	85	239
PCT7052	ED	852	161	0	0	0	14	147	22	125
PCT7052	MV	852	402	0	0	0	39	363	77	286
PCT7053	ED	548	102	0	0	0	8	94	12	82
PCT7053	MV	548	278	0	0	0	12	266	57	209
PCT7054	ED	1073	214	0	0	0	9	205	20	185
PCT7054	MV	1073	410	0	0	0	26	384	53	331
PCT7055	ED	808	188	0	0	0	10	178	9	169
PCT7055	MV	808	440	0	0	0	26	414	56	358
PCT7101	MV	155	120	1	0	0	3	116	3	113
PCT7201	ED	936	245	0	0	0	13	232	34	198
PCT7201	MV	936	518	0	0	0	23	495	87	408
PCT7202	ED	850	225	0	0	0	7	218	35	183
PCT7202	MV	850	431	0	0	0	16	415	104	311
PCT7203	ED	921	289	1	0	1	9	278	29	249
PCT7203	MV	921	423	0	0	0	14	409	49	360
PCT7204	ED	918	233	0	0	0	15	218	39	179
PCT7204	MV	918	531	0	0	0	15	516	74	442
PCT7205	ED	875	249	0	0	0	17	232	40	192
PCT7205	MV	875	485	0	0	0	14	471	93	378
PCT7206	ED	378	134	0	0	0	5	129	11	118
PCT7206	MV	378	191	0	0	0	5	186	27	159
PCT7207	ED	812	194	0	0	0	10	184	22	162
PCT7207	MV	812	433	0	0	0	27	406	47	359
PCT7208	ED	600	111	0	0	0	7	104	13	91
PCT7208	MV	600	328	0	0	0	14	314	51	263
PCT7209	ED	626	107	0	0	0	9	98	10	88
PCT7209	MV	626	423	0	0	0	18	405	67	338
PCT7301	ED	1016	228	0	0	0	17	211	36	175
PCT7301	MV	1016	435	0	0	0	37	398	70	328
PCT7302	ED	814	188	0	0	0	11	177	29	148
PCT7302	MV	814	458	0	0	0	29	429	72	357
PCT7303	ED	1042	280	0	0	0	16	264	33	231
PCT7303	MV	1042	482	0	0	0	25	457	68	389
PCT7304	ED	1002	278	0	0	0	14	264	36	228
PCT7304	MV	1002	493	0	0	0	22	471	74	397
PCT7305	ED	871	239	0	0	0	14	225	44	181
PCT7305	MV	871	459	0	0	0	20	439	90	349
PCT7306	ED	1056	317	0	0	0	23	294	42	252
PCT7306	MV	1056	496	0	0	0	38	458	60	398
PCT7307	ED	767	209	0	0	0	12	197	18	179
PCT7307	MV	767	345	0	0	0	23	322	53	269
PCT7308	ED	603	177	0	0	0	8	169	16	153
PCT7308	MV	603	313	0	0	0	15	298	46	252
PCT7309	ED	884	260	0	0	0	13	247	39	208
PCT7309	MV	884	439	0	0	1	22	416	77	339
