area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	064:Yes	065:No
ALLPCTS	TO	500516	372848	282	147	48069	324350	186758	137592
ALLPCTS	ED	500516	127886	68	47	17434	110337	64854	45483
ALLPCTS	MV	500516	244962	214	100	30635	214013	121904	92109
PCT1101	ED	553	126	0	0	16	110	72	38
PCT1101	MV	553	266	0	0	26	240	149	91
PCT1102	ED	995	266	0	0	24	242	121	121
PCT1102	MV	995	480	-2	1	60	421	213	208
PCT1103	ED	951	246	1	0	28	217	122	95
PCT1103	MV	951	445	-1	0	43	403	238	165
PCT1104	ED	993	249	-1	0	32	218	131	87
PCT1104	MV	993	414	-2	1	46	369	244	125
PCT1106	ED	765	191	0	1	25	165	91	74
PCT1106	MV	765	343	-1	0	30	314	158	156
PCT1107	ED	746	163	0	0	27	136	83	53
PCT1107	MV	746	336	5	0	47	284	173	111
PCT1108	ED	909	232	-1	0	38	195	126	69
PCT1108	MV	909	438	-1	0	61	378	208	170
PCT1109	ED	798	166	0	0	19	147	88	59
PCT1109	MV	798	365	-2	0	47	320	196	124
PCT1111	ED	1002	205	0	1	28	176	113	63
PCT1111	MV	1002	460	-3	0	53	410	253	157
PCT1112	ED	769	151	2	0	12	137	88	49
PCT1112	MV	769	344	-1	0	58	287	175	112
PCT1113	ED	746	135	0	0	20	115	77	38
PCT1113	MV	746	360	0	0	48	312	175	137
PCT1114	ED	957	226	-2	0	48	180	116	64
PCT1114	MV	957	404	0	0	42	362	224	138
PCT1115	ED	895	174	0	0	20	154	109	45
PCT1115	MV	895	371	-3	0	59	315	193	122
PCT1116	ED	895	225	1	0	43	181	127	54
PCT1116	MV	895	376	-2	0	59	319	201	118
PCT1117	ED	858	185	0	1	32	152	102	50
PCT1117	MV	858	357	1	0	50	306	203	103
PCT1118	ED	1043	213	0	0	24	189	117	72
PCT1118	MV	1043	476	-3	0	54	425	240	185
PCT1119	ED	791	165	0	0	29	136	84	52
PCT1119	MV	791	386	0	0	32	354	224	130
PCT1121	ED	691	160	0	0	26	134	76	58
PCT1121	MV	691	313	-1	0	49	265	163	102
PCT1122	ED	632	110	0	0	18	92	58	34
PCT1122	MV	632	310	-1	0	41	270	166	104
PCT1123	ED	915	179	0	0	14	165	105	60
PCT1123	MV	915	364	-1	0	67	298	174	124
PCT1124	ED	819	152	0	0	23	129	81	48
PCT1124	MV	819	302	-2	0	31	273	177	96
PCT1125	ED	1047	159	1	0	26	132	79	53
PCT1125	MV	1047	466	0	0	50	416	229	187
PCT1126	ED	922	191	0	0	18	173	100	73
PCT1126	MV	922	400	-2	0	44	358	215	143
PCT1127	ED	920	200	0	0	26	174	106	68
PCT1127	MV	920	382	-2	0	53	331	183	148
PCT1128	ED	838	154	0	0	23	131	89	42
PCT1128	MV	838	362	0	0	52	310	182	128
PCT1129	ED	980	227	1	1	32	193	109	84
PCT1129	MV	980	416	2	0	48	366	234	132
PCT1131	ED	797	132	0	0	28	104	71	33
PCT1131	MV	797	371	0	1	26	344	178	166
PCT1132	ED	969	179	2	0	31	146	98	48
PCT1132	MV	969	427	-1	0	54	374	233	141
PCT1133	ED	863	161	1	0	19	141	91	50
PCT1133	MV	863	410	0	0	56	354	212	142
PCT1134	ED	759	170	2	0	33	135	85	50
PCT1134	MV	759	318	-3	0	48	273	164	109
PCT1135	ED	540	87	1	0	21	65	31	34
PCT1135	MV	540	295	1	0	40	254	159	95
PCT1136	ED	829	144	0	0	17	127	68	59
PCT1136	MV	829	412	1	0	50	361	215	146
PCT1141	ED	1041	223	3	0	33	187	124	63
PCT1141	MV	1041	484	-1	1	51	433	283	150
PCT1142	ED	861	175	-1	0	24	152	97	55
PCT1142	MV	861	393	-2	0	60	335	199	136
PCT1143	ED	1034	229	1	0	22	206	138	68
PCT1143	MV	1034	440	1	1	55	383	250	133
PCT1144	ED	907	205	2	0	23	180	107	73
PCT1144	MV	907	387	0	0	46	341	221	120
PCT1145	ED	888	189	1	0	32	156	99	57
PCT1145	MV	888	461	-3	0	65	399	234	165
PCT1146	ED	1011	186	-1	0	25	162	120	42
PCT1146	MV	1011	454	0	0	48	406	244	162
PCT1147	ED	877	210	4	0	27	179	101	78
PCT1147	MV	877	396	2	1	57	336	208	128
PCT1148	ED	962	196	1	0	27	168	104	64
PCT1148	MV	962	444	0	0	55	389	242	147
PCT1149	ED	907	210	1	0	26	183	109	74
PCT1149	MV	907	407	-6	0	60	353	231	122
PCT1152	ED	864	198	-1	0	33	166	104	62
PCT1152	MV	864	388	0	0	42	346	195	151
PCT1153	ED	951	210	0	0	39	171	107	64
PCT1153	MV	951	415	-1	0	53	363	219	144
PCT7001	ED	776	176	0	0	20	156	90	66
PCT7001	MV	776	429	0	0	37	392	210	182
PCT7002	ED	706	176	1	0	26	149	99	50
PCT7002	MV	706	332	1	0	29	302	191	111
PCT7003	ED	884	238	0	0	29	209	108	101
PCT7003	MV	884	498	0	0	53	445	258	187
PCT7004	ED	881	241	1	0	28	212	117	95
PCT7004	MV	881	496	1	0	48	447	264	183
PCT7005	ED	847	253	1	0	19	233	147	86
PCT7005	MV	847	480	-1	0	50	431	248	183
PCT7006	ED	917	254	1	0	26	227	142	85
PCT7006	MV	917	442	1	0	34	407	262	145
PCT7007	ED	949	283	0	1	25	257	152	105
PCT7007	MV	949	516	-1	0	52	465	253	212
PCT7008	ED	932	264	-1	0	20	245	139	106
PCT7008	MV	932	546	2	0	76	468	258	210
PCT7009	ED	905	185	0	0	20	165	95	70
PCT7009	MV	905	513	0	0	60	453	267	186
PCT7011	ED	985	204	0	0	26	178	113	65
PCT7011	MV	985	294	-1	0	44	251	152	99
PCT7012	ED	1109	313	0	0	26	287	164	123
PCT7012	MV	1109	594	1	0	58	535	313	222
PCT7013	ED	956	267	0	0	48	219	120	99
PCT7013	MV	956	501	3	0	63	435	248	187
PCT7014	ED	1460	367	-2	0	38	331	199	132
PCT7014	MV	1460	802	0	1	93	708	401	307
PCT7015	MV	95	44	0	0	5	39	28	11
PCT7016	ED	918	171	1	0	30	140	72	68
PCT7016	MV	918	280	-1	0	35	246	151	95
PCT7017	ED	754	149	0	0	31	118	78	40
PCT7017	MV	754	252	2	1	31	218	140	78
PCT7018	ED	977	155	0	0	26	129	76	53
PCT7018	MV	977	448	-2	1	65	384	214	170
PCT7019	ED	899	182	4	0	27	151	103	48
PCT7019	MV	899	413	1	0	58	354	214	140
PCT7021	ED	947	184	0	0	22	162	105	57
PCT7021	MV	947	305	-1	0	52	254	164	90
PCT7022	ED	945	215	0	0	29	186	124	62
PCT7022	MV	945	352	0	0	52	300	163	137
PCT7023	ED	928	178	-1	0	27	152	101	51
PCT7023	MV	928	400	1	0	51	348	221	127
PCT7024	ED	414	70	0	0	8	62	36	26
PCT7024	MV	414	78	0	0	5	73	42	31
PCT7025	ED	477	85	0	0	14	71	47	24
PCT7025	MV	477	128	-1	0	11	118	76	42
PCT7026	ED	1011	149	0	0	26	123	63	60
PCT7026	MV	1011	455	0	0	60	395	222	173
PCT7027	ED	869	195	0	0	37	158	93	65
PCT7027	MV	869	353	-1	0	46	308	189	119
PCT7028	ED	850	213	-1	0	27	187	111	76
PCT7028	MV	850	282	0	0	35	247	144	103
PCT7029	ED	901	184	0	0	36	148	94	54
PCT7029	MV	901	251	0	1	34	216	148	68
PCT7030	ED	759	119	0	0	12	107	67	40
PCT7030	MV	759	357	0	0	53	304	175	129
PCT7031	ED	641	91	0	0	19	72	45	27
PCT7031	MV	641	309	-1	0	46	264	168	96
PCT7032	ED	904	173	1	0	24	148	95	53
PCT7032	MV	904	316	2	0	41	273	142	131
PCT7033	ED	798	191	1	0	29	161	95	66
PCT7033	MV	798	247	-2	0	40	209	118	91
PCT7034	ED	958	197	0	0	44	153	104	49
PCT7034	MV	958	201	0	0	18	183	117	66
PCT7035	ED	606	122	1	0	16	105	63	42
PCT7035	MV	606	262	-1	1	23	239	138	101
PCT7036	ED	921	117	0	0	20	97	51	46
PCT7036	MV	921	342	2	0	46	294	176	118
PCT7037	ED	735	135	-5	0	33	107	61	46
PCT7037	MV	735	98	-1	0	16	83	56	27
PCT7038	ED	911	135	0	0	26	109	64	45
PCT7038	MV	911	351	0	0	45	306	156	150
PCT7039	ED	784	178	1	0	24	153	95	58
PCT7039	MV	784	306	3	0	44	259	142	117
PCT7041	MV	61	33	0	0	4	29	19	10
PCT7042	ED	639	118	0	0	25	93	50	43
PCT7042	MV	639	258	0	0	44	214	120	94
PCT7043	ED	957	176	0	0	16	160	117	43
PCT7043	MV	957	404	-1	0	53	352	206	146
PCT7044	ED	827	167	1	0	29	137	77	60
PCT7044	MV	827	193	0	0	34	159	98	61
