area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	150:ASALE CHANDLER	151:UZURI PEASE-GREENE	152:TONY KELLY	153:SHAMANN WALTON	154:THEO ELLINGTON	155:GLORIA BERRY	157:NEO VEAVEA
PCT7037	MV	735	98	-3	2	15	0	84	1	5	6	19	37	11	5	0
PCT7038	ED	911	135	0	1	25	0	109	1	6	5	23	44	18	12	0
PCT7038	MV	911	351	-2	3	31	0	319	1	15	24	71	117	64	26	1
PCT7039	ED	784	178	-1	1	31	0	147	1	11	7	36	55	33	4	0
PCT7039	MV	784	306	3	0	35	0	268	0	12	13	58	102	69	13	1
PCT7041	MV	61	33	1	0	4	0	28	0	2	6	10	5	4	1	0
PCT7042	ED	639	118	1	1	20	0	96	1	4	3	31	36	14	7	0
PCT7042	MV	639	258	1	1	23	0	233	1	9	17	58	92	44	12	0
PCT7043	ED	957	176	2	1	25	0	148	0	10	7	36	54	25	16	0
PCT7043	MV	957	404	2	6	44	0	352	0	14	18	62	162	77	19	0
PCT7044	ED	827	167	1	4	15	0	147	0	17	6	11	81	22	10	0
PCT7044	MV	827	193	0	1	9	0	183	1	11	22	31	74	37	6	1
PCT7045	ED	779	120	0	0	30	0	90	1	3	4	23	30	24	5	0
PCT7045	MV	779	344	9	1	36	0	298	1	10	34	67	99	80	7	0
PCT7046	ED	402	94	1	1	15	0	77	0	3	4	19	26	21	4	0
PCT7046	MV	402	175	0	0	21	0	154	0	3	7	34	73	28	9	0
PCT7047	ED	823	119	1	1	14	0	103	4	4	3	25	44	12	11	0
PCT7047	MV	823	388	2	2	35	0	349	2	10	29	108	124	61	14	1
PCT7048	ED	858	150	8	0	24	0	118	1	12	6	20	55	17	5	2
PCT7048	MV	858	318	3	3	23	0	289	2	6	20	62	143	44	9	3
PCT7049	ED	792	173	0	2	28	0	143	4	13	13	26	46	33	8	0
PCT7049	MV	792	305	6	1	45	0	253	1	8	17	61	111	45	10	0
PCT7051	ED	861	114	0	0	22	0	92	0	1	3	39	29	18	2	0
PCT7051	MV	861	380	3	6	28	0	343	2	18	28	118	112	54	11	0
PCT7052	ED	852	161	1	0	28	0	132	0	5	6	28	46	40	6	1
PCT7052	MV	852	402	3	0	43	0	356	0	13	30	77	143	77	14	2
PCT7053	ED	548	102	0	0	21	0	81	0	6	3	10	38	18	6	0
PCT7053	MV	548	278	4	0	36	0	238	2	11	11	25	115	58	16	0
PCT7054	ED	1073	215	0	4	34	0	177	2	9	7	28	81	40	10	0
PCT7054	MV	1073	410	3	2	34	0	371	4	13	25	71	170	72	16	0
PCT7055	ED	808	190	0	0	35	0	155	1	9	8	41	56	32	8	0
PCT7055	MV	808	440	7	1	58	0	374	1	12	22	103	153	73	10	0
PCT9001	MV	273	142	1	1	10	0	130	0	6	8	16	65	24	7	4
CONG12	TO	41589	26313	201	151	2925	0	23036	89	793	1296	5627	9484	4774	947	26
CONG14	TO	273	146	1	1	11	0	133	0	6	8	16	66	26	7	4
ASSM17	TO	41589	26313	201	151	2925	0	23036	89	793	1296	5627	9484	4774	947	26
ASSM19	TO	273	146	1	1	11	0	133	0	6	8	16	66	26	7	4
BART7	TO	22513	13285	87	96	1411	0	11691	47	461	591	2145	5308	2579	550	10
BART8	TO	8589	4782	36	29	605	0	4112	27	188	289	965	1609	818	196	20
BART9	TO	10760	8392	79	27	920	0	7366	15	150	424	2533	2633	1403	208	0
SUPV10	TO	41862	26459	202	152	2936	0	23169	89	799	1304	5643	9550	4800	954	30
NEIG1	TO	19908	11266	70	86	1140	0	9970	38	430	513	1718	4650	2133	475	13
NEIG12	TO	776	605	8	2	94	0	501	1	7	19	148	201	100	25	0
NEIG26	TO	700	411	3	2	47	0	359	2	15	26	100	133	63	20	0
NEIG16	TO	12339	9689	88	32	1085	0	8484	21	171	482	2764	3047	1754	245	0
NEIG23	TO	8139	4488	33	30	570	0	3855	27	176	264	913	1519	750	189	17
