area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	097:PHIL TING	098:KEITH BOGDON
PCT9132	ED	837	248	0	0	16	232	207	25
PCT9132	MV	837	371	0	0	14	357	327	30
PCT9133	ED	1021	270	0	0	16	254	235	19
PCT9133	MV	1021	503	0	0	13	490	429	61
PCT9134	ED	893	210	0	0	21	189	172	17
PCT9134	MV	893	469	0	0	24	445	392	53
PCT9135	ED	808	214	0	0	13	201	163	38
PCT9135	MV	808	389	0	0	16	373	285	88
PCT9136	ED	929	253	0	0	17	236	213	23
PCT9136	MV	929	439	0	0	17	422	366	56
PCT9137	ED	1006	259	0	0	13	246	198	48
PCT9137	MV	1006	467	0	0	23	444	381	63
PCT9138	ED	943	226	1	0	15	210	186	24
PCT9138	MV	943	476	1	0	21	454	382	72
PCT9139	ED	975	243	0	0	12	231	193	38
PCT9139	MV	975	510	0	0	19	491	401	90
PCT9141	ED	953	251	0	0	11	240	206	34
PCT9141	MV	953	477	0	0	21	456	384	72
PCT9142	ED	966	275	0	0	25	250	228	22
PCT9142	MV	966	459	0	0	23	436	400	36
PCT9143	ED	920	251	0	0	15	236	205	31
PCT9143	MV	920	463	0	1	26	436	367	69
PCT9144	ED	962	291	0	0	12	279	247	32
PCT9144	MV	962	482	0	2	26	454	389	65
PCT9145	ED	861	249	1	0	12	236	204	32
PCT9145	MV	861	423	0	0	11	412	359	53
PCT9146	ED	885	245	0	0	14	231	205	26
PCT9146	MV	885	464	0	0	24	440	394	46
PCT9147	ED	971	280	0	0	28	252	232	20
PCT9147	MV	971	492	0	1	18	473	423	50
PCT9148	ED	1034	322	0	0	11	311	273	38
PCT9148	MV	1034	513	0	0	17	496	441	55
PCT9149	ED	948	263	0	0	14	249	227	22
PCT9149	MV	948	478	0	0	17	461	407	54
PCT9151	ED	872	226	0	0	10	216	191	25
PCT9151	MV	872	418	0	0	16	402	351	51
PCT9152	ED	721	269	0	0	15	254	232	22
PCT9152	MV	721	279	0	0	15	264	238	26
PCT9201	ED	1004	298	0	0	16	282	250	32
PCT9201	MV	1004	475	0	0	18	457	403	54
PCT9202	ED	971	294	0	0	22	272	231	41
PCT9202	MV	971	426	0	0	16	410	358	52
PCT9203	ED	1002	239	0	0	22	217	143	74
PCT9203	MV	1002	536	0	0	32	504	367	137
PCT9204	ED	873	273	0	0	27	246	176	70
PCT9204	MV	873	393	0	0	25	368	265	103
PCT9205	ED	728	208	0	0	27	181	149	32
PCT9205	MV	728	376	0	0	19	357	300	57
PCT9206	ED	931	246	0	0	26	220	148	72
PCT9206	MV	931	479	0	0	30	449	321	128
PCT9207	ED	981	261	0	0	29	232	164	68
PCT9207	MV	981	502	0	0	43	459	344	115
PCT9208	ED	1002	286	0	0	28	258	205	53
PCT9208	MV	1002	491	0	0	31	460	358	102
PCT9209	ED	711	244	0	0	23	221	165	56
PCT9209	MV	711	327	0	0	19	308	238	70
PCT9211	ED	889	234	0	0	25	209	175	34
PCT9211	MV	889	432	0	0	30	402	319	83
PCT9212	ED	803	233	0	0	18	215	175	40
PCT9212	MV	803	400	0	0	23	377	297	80
PCT9213	ED	951	264	0	0	25	239	196	43
PCT9213	MV	951	507	0	0	32	475	398	77
PCT9214	ED	640	166	0	0	10	156	118	38
PCT9214	MV	640	334	0	0	15	319	242	77
PCT9215	ED	652	192	0	0	18	174	123	51
PCT9215	MV	652	327	0	0	22	305	243	62
PCT9216	ED	845	245	0	0	19	226	180	46
PCT9216	MV	845	379	0	0	35	344	269	75
PCT9217	ED	698	193	0	0	22	171	130	41
PCT9217	MV	698	349	0	0	28	321	248	73
PCT9218	ED	841	247	0	0	23	224	169	55
PCT9218	MV	841	412	0	0	32	380	289	91
PCT9219	ED	802	240	0	0	12	228	187	41
PCT9219	MV	802	399	0	0	24	375	319	56
PCT9221	ED	651	145	0	0	13	132	101	31
PCT9221	MV	651	399	0	0	18	381	271	110
PCT9222	ED	883	248	0	0	33	215	179	36
PCT9222	MV	883	449	0	0	23	426	319	107
PCT9223	ED	638	160	0	0	13	147	112	35
PCT9223	MV	638	338	0	0	25	313	238	75
PCT9224	ED	960	262	0	0	20	242	176	66
PCT9224	MV	960	506	0	0	39	467	366	101
PCT9225	ED	958	296	0	0	29	267	207	60
PCT9225	MV	958	469	0	0	33	436	360	76
PCT9226	ED	926	270	0	0	27	243	187	56
PCT9226	MV	926	486	0	0	28	458	370	88
PCT9227	ED	738	188	0	0	11	177	136	41
PCT9227	MV	738	404	0	0	18	386	299	87
PCT9228	ED	747	189	0	0	17	172	142	30
PCT9228	MV	747	424	0	0	20	404	314	90
PCT9229	ED	598	162	0	0	11	151	127	24
PCT9229	MV	598	316	0	0	13	303	245	58
PCT9231	ED	953	313	0	0	12	301	283	18
PCT9231	MV	953	488	0	0	30	458	404	54
PCT9232	ED	735	212	0	0	20	192	155	37
PCT9232	MV	735	396	0	0	16	380	316	64
PCT9233	ED	793	208	0	0	23	185	150	35
PCT9233	MV	793	434	0	0	29	405	313	92
PCT9234	ED	746	187	0	0	17	170	145	25
PCT9234	MV	746	438	0	0	19	419	336	83
PCT9235	ED	884	239	0	0	17	222	186	36
PCT9235	MV	884	488	0	0	26	462	355	107
PCT9236	ED	683	200	0	0	13	187	144	43
PCT9236	MV	683	358	0	0	20	338	292	46
PCT9237	ED	936	225	0	0	20	205	176	29
PCT9237	MV	936	539	0	0	44	495	411	84
PCT9238	ED	842	230	0	0	24	206	159	47
PCT9238	MV	842	456	0	0	27	429	333	96
PCT9239	ED	881	198	0	0	21	177	143	34
PCT9239	MV	881	499	0	0	33	466	377	89
PCT9241	ED	1005	254	0	0	24	230	188	42
PCT9241	MV	1005	578	0	1	34	543	450	93
PCT9242	ED	972	276	0	0	22	254	194	60
PCT9242	MV	972	513	0	0	23	490	410	80
PCT9243	ED	594	191	0	1	20	170	143	27
PCT9243	MV	594	307	0	0	14	293	255	38
PCT9244	ED	903	254	0	0	14	240	214	26
PCT9244	MV	903	485	0	0	34	451	407	44
PCT9245	ED	742	208	0	0	12	196	167	29
PCT9245	MV	742	375	0	0	22	353	311	42
PCT9246	ED	929	254	0	0	23	231	203	28
PCT9246	MV	929	528	0	0	23	505	419	86
PCT9247	ED	927	263	0	0	24	239	195	44
PCT9247	MV	927	515	0	0	18	497	420	77
PCT9248	ED	907	257	0	0	18	239	205	34
PCT9248	MV	907	485	0	0	27	458	402	56
PCT9249	ED	917	271	0	0	17	254	220	34
PCT9249	MV	917	494	0	0	29	465	390	75
PCT9251	ED	995	286	0	0	23	263	231	32
PCT9251	MV	995	530	0	0	26	504	432	72
PCT9252	ED	944	218	0	0	10	208	180	28
PCT9252	MV	944	550	0	0	33	517	421	96
PCT9253	ED	772	187	0	0	18	169	133	36
PCT9253	MV	772	397	0	1	20	376	310	66
PCT9254	ED	935	230	0	0	10	220	198	22
PCT9254	MV	935	538	0	0	26	512	453	59
PCT9255	ED	553	182	0	0	14	168	151	17
PCT9255	MV	553	263	0	0	14	249	222	27
PCT9256	ED	474	128	0	0	6	122	117	5
PCT9256	MV	474	233	0	0	10	223	203	20
PCT9257	MV	321	235	0	0	7	228	216	12
PCT9258	ED	712	192	0	0	8	184	169	15
PCT9258	MV	712	373	0	0	18	355	309	46
PCT9401	ED	1012	293	0	0	21	272	251	21
PCT9401	MV	1012	483	0	0	20	463	412	51
PCT9402	ED	977	288	0	0	25	263	240	23
PCT9402	MV	977	458	0	0	25	433	376	57
PCT9403	ED	897	239	0	1	13	225	197	28
PCT9403	MV	897	419	0	0	17	402	335	67
PCT9404	ED	930	200	0	0	16	184	162	22
PCT9404	MV	930	462	0	0	21	441	379	62
PCT9405	ED	786	210	0	0	13	197	162	35
PCT9405	MV	786	364	0	0	16	348	287	61
PCT9406	ED	868	244	0	0	18	226	185	41
PCT9406	MV	868	421	0	0	24	397	346	51
PCT9407	ED	889	253	0	1	11	241	206	35
PCT9407	MV	889	409	0	0	26	383	337	46
PCT9408	ED	886	265	0	0	20	245	223	22
PCT9408	MV	886	415	0	0	17	398	366	32
PCT9409	ED	590	201	0	0	7	194	182	12
PCT9409	MV	590	252	0	0	17	235	208	27
PCT9411	ED	956	270	0	0	18	252	233	19
PCT9411	MV	956	430	0	0	20	410	368	42
PCT9412	ED	848	245	0	0	21	224	200	24
PCT9412	MV	848	380	0	0	28	352	307	45
PCT9413	ED	894	229	0	0	13	216	187	29
PCT9413	MV	894	461	0	0	30	431	362	69
PCT9414	ED	916	216	0	0	11	205	172	33
PCT9414	MV	916	463	0	1	18	444	381	63
PCT9415	ED	784	187	0	1	15	171	136	35
PCT9415	MV	784	391	0	0	20	371	309	62
PCT9416	ED	1008	280	1	0	13	266	229	37
PCT9416	MV	1008	480	1	0	21	458	399	59
PCT9417	ED	752	175	0	0	14	161	134	27
PCT9417	MV	752	402	0	1	23	378	307	71
PCT9418	ED	790	211	0	0	17	194	153	41
PCT9418	MV	790	376	0	0	30	346	267	79
PCT9419	ED	924	222	0	0	20	202	153	49
PCT9419	MV	924	468	0	0	25	443	337	106
PCT9421	ED	906	237	0	0	20	217	176	41
PCT9421	MV	906	446	0	1	28	417	341	76
PCT9422	ED	1056	283	0	0	22	261	214	47
PCT9422	MV	1056	513	0	0	28	485	379	106
PCT9423	ED	889	219	0	0	18	201	169	32
PCT9423	MV	889	440	0	0	15	425	374	51
PCT9424	ED	952	224	0	0	13	211	181	30
PCT9424	MV	952	496	0	0	18	478	397	81
PCT9425	ED	933	199	0	0	18	181	159	22
PCT9425	MV	933	465	0	1	21	443	344	99
PCT9426	ED	823	198	0	0	22	176	154	22
PCT9426	MV	823	408	0	1	32	375	300	75
PCT9427	ED	948	210	0	0	25	185	148	37
PCT9427	MV	948	447	0	1	26	420	313	107
PCT9428	ED	961	183	0	0	14	169	141	28
PCT9428	MV	961	518	0	0	20	498	405	93
PCT9429	ED	899	228	1	0	18	209	164	45
PCT9429	MV	899	432	0	0	19	413	340	73
PCT9431	ED	973	235	0	0	15	220	192	28
PCT9431	MV	973	464	0	0	15	449	364	85
PCT9432	ED	945	214	0	0	15	199	175	24
PCT9432	MV	945	468	0	0	29	439	387	52
PCT9433	ED	945	195	0	0	18	177	144	33
PCT9433	MV	945	487	0	0	26	461	370	91
PCT9434	ED	979	260	0	0	14	246	215	31
PCT9434	MV	979	481	1	0	31	449	384	65
PCT9435	ED	969	251	0	1	16	234	195	39
PCT9435	MV	969	448	0	0	40	408	347	61
PCT9436	ED	1006	231	0	0	18	213	172	41
PCT9436	MV	1006	495	0	0	23	472	380	92
PCT9437	ED	897	219	0	0	18	201	177	24
PCT9437	MV	897	435	0	0	20	415	313	102
PCT9438	ED	948	202	0	0	18	184	151	33
PCT9438	MV	948	496	0	0	18	478	390	88
PCT9439	ED	879	173	0	0	12	161	132	29
PCT9439	MV	879	425	0	0	19	406	325	81
PCT9441	ED	980	261	0	0	15	246	217	29
PCT9441	MV	980	462	0	0	28	434	366	68
PCT9442	ED	1008	280	0	0	11	269	224	45
PCT9442	MV	1008	461	0	0	21	440	349	91
PCT9443	ED	937	219	1	0	8	210	177	33
PCT9443	MV	937	442	0	0	14	428	360	68
PCT9444	ED	937	190	1	0	12	177	141	36
PCT9444	MV	937	442	0	0	20	422	332	90
PCT9445	ED	981	230	0	0	10	220	181	39
PCT9445	MV	981	493	0	0	24	469	387	82
PCT9446	ED	1090	240	0	0	14	226	196	30
PCT9446	MV	1090	564	0	0	17	547	424	123
PCT9447	ED	906	236	0	0	16	220	190	30
PCT9447	MV	906	448	0	0	20	428	355	73
PCT9448	ED	909	232	0	0	14	218	187	31
PCT9448	MV	909	429	0	0	23	406	341	65
PCT9449	ED	830	177	2	0	17	158	134	24
PCT9449	MV	830	428	0	0	17	411	334	77
PCT9451	ED	420	97	0	0	8	89	71	18
PCT9451	MV	420	218	0	0	12	206	149	57
PCT9452	ED	840	259	0	0	16	243	191	52
PCT9452	MV	840	412	0	0	19	393	305	88
PCT9453	ED	500	135	0	0	11	124	86	38
PCT9453	MV	500	242	0	0	15	227	184	43
PCT9501	MV	148	110	0	0	10	100	87	13
PCT9502	MV	245	177	0	0	4	173	161	12
PCT9503	ED	729	198	0	0	18	180	165	15
PCT9503	MV	729	315	0	0	16	299	275	24
PCT9505	ED	784	176	0	0	13	163	147	16
PCT9505	MV	784	383	0	0	19	364	338	26
PCT9506	ED	766	177	0	0	10	167	154	13
PCT9506	MV	766	312	0	0	15	297	275	22
PCT9507	ED	766	231	0	0	17	214	208	6
PCT9507	MV	766	406	0	0	15	391	369	22
PCT9508	ED	798	237	0	0	16	221	217	4
PCT9508	MV	798	429	0	0	7	422	413	9
PCT9509	ED	759	229	0	0	13	216	202	14
PCT9509	MV	759	386	0	0	12	374	351	23
PCT9511	ED	622	190	0	0	9	181	161	20
PCT9511	MV	622	296	0	0	13	283	261	22
PCT9512	ED	809	240	0	0	15	225	212	13
PCT9512	MV	809	399	0	0	18	381	359	22
PCT9513	ED	902	275	0	0	25	250	230	20
PCT9513	MV	902	390	0	0	17	373	350	23
PCT9514	ED	928	304	0	0	17	287	263	24
PCT9514	MV	928	456	0	0	19	437	408	29
PCT9515	ED	705	222	0	0	11	211	191	20
PCT9515	MV	705	368	0	0	17	351	319	32
PCT9516	ED	866	254	0	0	18	236	202	34
PCT9516	MV	866	427	0	0	21	406	356	50
PCT9517	ED	801	226	0	0	14	212	197	15
PCT9517	MV	801	397	0	0	12	385	362	23
PCT9518	ED	802	229	0	0	14	215	205	10
PCT9518	MV	802	431	0	0	20	411	374	37
PCT9519	ED	910	261	0	0	14	247	227	20
PCT9519	MV	910	486	0	0	15	471	440	31
PCT9521	ED	939	315	0	0	16	299	281	18
PCT9521	MV	939	442	0	1	19	422	396	26
PCT9701	ED	671	200	0	0	14	186	172	14
PCT9701	MV	671	339	0	0	24	315	274	41
PCT9702	ED	723	209	0	0	10	199	184	15
PCT9702	MV	723	364	0	0	16	348	310	38
PCT9703	ED	986	232	0	0	13	219	182	37
PCT9703	MV	986	529	0	0	25	504	435	69
PCT9704	ED	950	279	0	0	13	266	243	23
PCT9704	MV	950	504	0	0	26	478	419	59
PCT9705	ED	919	260	3	0	17	240	216	24
PCT9705	MV	919	483	0	1	18	464	433	31
PCT9706	MV	49	39	0	0	4	35	32	3
PCT9707	ED	821	172	0	0	12	160	123	37
PCT9707	MV	821	491	0	0	26	465	386	79
PCT9708	ED	948	248	0	0	13	235	210	25
PCT9708	MV	948	500	0	0	18	482	440	42
PCT9709	ED	1028	281	7	0	16	258	222	36
PCT9709	MV	1028	517	0	0	27	490	406	84
PCT9711	ED	641	195	0	0	9	186	161	25
PCT9711	MV	641	336	0	0	8	328	280	48
PCT9712	ED	649	160	0	0	7	153	131	22
PCT9712	MV	649	398	1	2	15	380	315	65
PCT9713	ED	960	225	1	0	14	210	172	38
PCT9713	MV	960	489	0	0	24	465	371	94
PCT9714	ED	931	207	1	0	10	196	149	47
PCT9714	MV	931	538	0	0	18	520	420	100
PCT9715	ED	569	180	0	0	11	169	140	29
PCT9715	MV	569	309	0	0	9	300	239	61
PCT9716	ED	947	238	0	0	17	221	184	37
PCT9716	MV	947	481	0	0	26	455	386	69
PCT9717	ED	972	265	0	0	15	250	206	44
PCT9717	MV	972	532	0	0	29	503	425	78
PCT9718	ED	862	227	0	0	11	216	176	40
PCT9718	MV	862	496	0	0	25	471	369	102
PCT9719	ED	901	245	0	0	16	229	188	41
PCT9719	MV	901	524	2	0	26	496	394	102
PCT9721	ED	662	198	0	0	7	191	152	39
PCT9721	MV	662	357	0	0	16	341	280	61
PCT9722	ED	605	119	1	0	9	109	85	24
PCT9722	MV	605	355	0	0	11	344	278	66
PCT9723	ED	481	98	0	0	4	94	65	29
PCT9723	MV	481	275	0	0	20	255	189	66
PCT9724	ED	991	205	0	1	15	189	144	45
PCT9724	MV	991	565	0	0	30	535	385	150
