sequence	cont_external_id	cand_external_ids	bts
0300	1	030057 030058 030059 030054 030055 030056	010 019 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 036 037 038
0300	1	030059 030054 030055 030056 030057 030058	000 001 002 028 022 023 026 024 027 025 029 030 031 032 033 034 035 composite
0600	2	0600116 0600117	023 026 024 027 025 029 030 031 032
0600	2	0600117 0600116	000 010 019 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 composite
0700	3	0700118 0700119	000 composite
0700	3	0700119 0700118	036
0800	4	0800120 0800121	001 002 028 022 033 034 035
0800	4	0800121 0800120	000 037 038 composite
1000	5	1000115 1000114	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
1100	6	1100111 1100110	000 010 019 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 036 037 038 composite
1200	7	1200112 1200113	000 001 002 028 022 023 026 024 027 025 029 030 031 032 033 034 035 composite
1400	8	140010 14009 140014 140012 14007 140016 140015 140011 140013 14008	028 026 027
1400	8	140011 140013 14008 140010 14009 140014 140012 14007 140016 140015	000 001 002 003 004 008 023 composite
1400	8	140012 14007 140016 140015 140011 140013 14008 140010 14009 140014	016 017 031 032 033 034 038
1400	8	140013 14008 140010 14009 140014 140012 14007 140016 140015 140011	010 009 024 025
1400	8	140014 140012 14007 140016 140015 140011 140013 14008 140010 14009	014 015
1400	8	140015 140011 140013 14008 140010 14009 140014 140012 14007 140016	005 006 007 022 036
1400	8	140016 140015 140011 140013 14008 140010 14009 140014 140012 14007	019 020 021
1400	8	14007 140016 140015 140011 140013 14008 140010 14009 140014 140012	018 035 037
1400	8	14008 140010 14009 140014 140012 14007 140016 140015 140011 140013	011 012
1400	8	14009 140014 140012 14007 140016 140015 140011 140013 14008 140010	013 029 030
1500	9	150043 150051 150046 150048 150047 150052 150050 150053 150045 150049 150044	005 006 007 022 036
1500	9	150044 150043 150051 150046 150048 150047 150052 150050 150053 150045 150049	019 020 021
1500	9	150045 150049 150044 150043 150051 150046 150048 150047 150052 150050 150053	016 017 031 032 033 034 038
1500	9	150046 150048 150047 150052 150050 150053 150045 150049 150044 150043 150051	000 008 023 composite
1500	9	150047 150052 150050 150053 150045 150049 150044 150043 150051 150046 150048	011 012
1500	9	150048 150047 150052 150050 150053 150045 150049 150044 150043 150051 150046	010 009 024 025
1500	9	150049 150044 150043 150051 150046 150048 150047 150052 150050 150053 150045	018 035 037
1500	9	150050 150053 150045 150049 150044 150043 150051 150046 150048 150047 150052	013 029 030
1500	9	150051 150046 150048 150047 150052 150050 150053 150045 150049 150044 150043	001 002 003 004
1500	9	150052 150050 150053 150045 150049 150044 150043 150051 150046 150048 150047	028 026 027
1500	9	150053 150045 150049 150044 150043 150051 150046 150048 150047 150052 150050	014 015
1700	10	17001 17002	000 006 015 021 composite
1800	11	18005 18006 18003 18004	000 010 019 001 003 018 005 014 008 012 013 016 027 025 029 031 034 035 037 038 composite
2100	18	210061 210060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2200	19	220061 220060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2300	20	230061 230060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2400	21	240061 240060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2500	22	250061 250060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2600	23	260061 260060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2700	24	270061 270060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2800	25	280061 280060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
2900	26	290061 290060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3000	27	300061 300060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3100	28	310061 310060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3200	29	320061 320060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3400	30	340061 340060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3500	31	350061 350060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3600	32	360061 360060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3700	33	370061 370060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3800	34	380061 380060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
3900	35	390061 390060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4000	36	400061 400060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4100	37	410061 410060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4200	38	420061 420060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4300	39	430061 430060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4400	40	440061 440060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4500	41	450061 450060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
4700	42	470061 470060	000 010 019 001 002 003 004 018 005 014 006 015 007 009 008 011 012 013 016 017 020 021 028 022 023 026 024 027 025 029 030 031 032 033 034 035 036 037 038 composite
5500	12	550020 550021 550023 550018 550022 550017 550019	008 023
5600	13	560027 560028 560029 560030	011 012
5700	14	570034 570031 570032 570033	013 029 030
5800	15	580037 580038 580041 580035 580040 580039 580036	016 017 031 032 033 034 038
5900	16	590042	019 020 021
6000	17	600025 600024 600026	001 002 003 004
