area_id	voting_group_ids
PCT7814	MV ED TO
PCT7815	MV ED TO
PCT7816	MV ED TO
PCT7817	MV ED TO
PCT7818	MV ED TO
PCT7819	MV ED TO
PCT7821	MV ED TO
PCT7822	MV ED TO
PCT7823	MV ED TO
PCT7824	MV ED TO
PCT7825	MV ED TO
PCT7826	MV ED TO
PCT7827	MV ED TO
PCT7828	MV ED TO
PCT7829	MV ED TO
PCT7831	MV ED TO
PCT7832	MV ED TO
PCT7833	MV ED TO
PCT7834	MV ED TO
PCT7835	MV ED TO
PCT7836	MV ED TO
PCT7837	MV ED TO
PCT7838	MV ED TO
PCT7839	MV ED TO
PCT7841	MV ED TO
PCT7842	MV ED TO
PCT7843	MV ED TO
PCT7844	MV ED TO
PCT7845	MV ED TO
PCT7846	MV ED TO
PCT7847	MV ED TO
PCT7848	MV ED TO
PCT7849	MV ED TO
PCT7851	MV ED TO
PCT7852	MV ED TO
PCT7853	MV ED TO
PCT7854	MV ED TO
PCT7855	MV ED TO
PCT7856	MV ED TO
PCT7857	MV ED TO
PCT7858	MV ED TO
PCT7859	MV ED TO
PCT7861	MV ED TO
PCT7862	MV ED TO
PCT7863	MV ED TO
PCT7864	MV ED TO
PCT7865	MV ED TO
PCT7866	MV ED TO
PCT7867	MV ED TO
PCT7868	MV ED TO
PCT7869	MV ED TO
PCT7871	MV ED TO
PCT7872	MV ED TO
PCT7873	MV ED TO
PCT7874	MV ED TO
PCT7875	MV ED TO
PCT7876	MV ED TO
PCT7901	MV ED TO
PCT7902	MV ED TO
PCT7903	MV ED TO
PCT7904	MV ED TO
PCT7905	MV ED TO
PCT7906	MV ED TO
PCT7907	MV ED TO
PCT7908	MV ED TO
PCT7909	MV ED TO
PCT7911	MV ED TO
PCT7912	MV ED TO
PCT7913	MV ED TO
PCT7914	MV ED TO
PCT7915	MV ED TO
PCT7916	MV ED TO
PCT7917	MV ED TO
PCT7918	MV ED TO
PCT7919	MV ED TO
PCT7921	MV ED TO
PCT7922	MV ED TO
PCT7923	MV ED TO
PCT7924	MV ED TO
PCT7925	MV ED TO
PCT7926	MV ED TO
PCT7927	MV ED TO
PCT7928	MV ED TO
PCT7929	MV ED TO
PCT7931	MV ED TO
PCT7932	MV ED TO
PCT7933	MV ED TO
PCT7934	MV ED TO
PCT7935	MV ED TO
PCT7936	MV ED TO
PCT7937	MV ED TO
PCT7938	MV ED TO
PCT7939	MV ED TO
PCT7941	MV ED TO
PCT7942	MV ED TO
PCT7943	MV ED TO
PCT7944	MV ED TO
PCT7945	MV ED TO
PCT7946	MV ED TO
PCT7947	MV ED TO
PCT7948	MV ED TO
PCT7949	MV ED TO
PCT7951	MV ED TO
PCT7952	MV ED TO
PCT7953	MV ED TO
PCT7954	MV ED TO
PCT7955	MV ED TO
PCT7956	MV ED TO
PCT7957	MV ED TO
PCT7958	MV ED TO
PCT7959	MV ED TO
PCT9900	MV ED TO
PCT9901	MV ED TO
PCT9902	MV ED TO
CONG12	MV ED TO
CONG14	MV ED TO
ASSM17	MV ED TO
SUPV1	MV ED TO
SUPV2	MV ED TO
SUPV3	MV ED TO
SUPV5	MV ED TO
SUPV6	MV ED TO
SUPV7	MV ED TO
SUPV8	MV ED TO
SUPV9	MV ED TO
SUPV10	MV ED TO
SUPV11	MV ED TO
NEIG1	MV ED TO
NEIG2	MV ED TO
NEIG3	MV ED TO
NEIG4	MV ED TO
NEIG5	MV ED TO
NEIG6	MV ED TO
