County	Eligible	Total Registered	Democratic	Republican	American Independent	Green	Libertarian	Peace and Freedom	Unknown	Other	No Party Preference
Percent		0.8777041435241699	0.453931599855423	0.2590140998363495	0.026643160730600357	0.0036921235732734203	0.007683608215302229	0.003159925574436784	9.978711750591174E-05	0.0013304949970915914	0.24444518983364105
											
San Bernardino	1330247	937316	365411	275884	31372	2989	7114	4230	3157	4625	242534
Percent		0.7046180367469788	0.3898482620716095	0.2943340241909027	0.0334700345993042	0.003188892500475049	0.007589756511151791	0.004512885585427284	0.0033681276254355907	0.004934301599860191	0.2587537169456482
											
San Diego	2224081	1741707	626707	482400	56167	6999	16305	5204	6618	4661	536646
Percent		0.7831131219863892	0.35982343554496765	0.27696967124938965	0.03224824741482735	0.004018471576273441	0.009361505508422852	0.002987873274832964	0.0037997206673026085	0.0026761102490127087	0.3081149756908417
											
San Francisco	660296	500051	284218	33177	8040	4075	2983	1371	1922	1009	163256
Percent		0.7573133707046509	0.5683780312538147	0.06634723395109177	0.016078360378742218	0.008149168454110622	0.005965391639620066	0.0027417202945798635	0.003843607846647501	0.0020177941769361496	0.3264786899089813
											
San Joaquin	458818	344891	143533	100460	9143	1035	2392	1324	1094	1081	84829
Percent		0.7516945600509644	0.4161691665649414	0.2912804186344147	0.026509825140237808	0.0030009481124579906	0.006935524754226208	0.0038388939574360847	0.003172016702592373	0.0031343235168606043	0.2459588646888733
											
San Luis Obispo	209049	172544	59530	60117	5288	1065	1760	371	497	1622	42294
Percent		0.8253758549690247	0.34501343965530396	0.34841546416282654	0.03064725548028946	0.006172338500618935	0.01020029652863741	0.002150176092982292	0.002880424726754427	0.009400500915944576	0.2451200783252716
											
San Mateo	507576	399351	200913	60784	8121	1927	2393	919	876	876	122542
Percent		0.7867807149887085	0.5030987858772278	0.15220695734024048	0.020335493609309196	0.004825328942388296	0.00599222257733345	0.002301233820617199	0.0021935589611530304	0.0021935589611530304	0.30685287714004517
											
Santa Barbara	294186	217417	92086	55810	5513	1120	1711	517	747	1338	58575
Percent		0.739046037197113	0.4235455393791199	0.2566956579685211	0.025356803089380264	0.00515139102935791	0.007869670167565346	0.0023779189214110374	0.003435793798416853	0.006154072470963001	0.26941314339637756
											
Santa Clara	1208495	885764	403587	152914	17652	3418	6014	2264	73	1583	298259
Percent		0.7329480051994324	0.4556371569633484	0.17263515293598175	0.01992855966091156	0.003858815645799041	0.006789619103074074	0.0025559854693710804	8.241472824010998E-05	0.001787157729268074	0.3367251455783844
											
Santa Cruz	189838	159499	87066	22353	3442	1743	1452	519	18	951	41955
Percent		0.8401848077774048	0.5458717346191406	0.14014507830142975	0.02158007211983204	0.01092796865850687	0.009103504940867424	0.003253938863053918	0.0001128533695009537	0.005962419789284468	0.2630423903465271
											
Shasta	134126	101782	23649	46825	4135	389	1124	335	6	252	25067
Percent		0.7588536143302917	0.23234952986240387	0.46005186438560486	0.04062604531645775	0.0038218938279896975	0.011043209582567215	0.0032913482282310724	5.8949521189788356E-05	0.002475879853591323	0.24628126621246338
											
Sierra	2622	2190	605	872	123	20	29	4	0	42	495
Percent		0.8352402448654175	0.27625569701194763	0.3981735110282898	0.05616438388824463	0.00913241971284151	0.013242009095847607	0.0018264839891344309	0	0.019178081303834915	0.22602739930152893
											
Siskiyou	34508	27566	8274	10437	1283	215	344	130	88	66	6729
Percent		0.7988292574882507	0.30015236139297485	0.37861859798431396	0.04654284194111824	0.007799462880939245	0.012479141354560852	0.004715954419225454	0.0031923383940011263	0.0023942538537085056	0.24410505592823029
											
Solano	294055	231510	105652	50074	6558	870	1797	734	1015	1371	63439
Percent		0.7873017191886902	0.45636042952537537	0.21629303693771362	0.02832707017660141	0.0037579371128231287	0.007762083783745766	0.0031704893335700035	0.004384259693324566	0.0059219906106591225	0.2740227282047272
											
Sonoma	349097	274292	142401	49768	6693	2949	2264	656	814	1147	67600
Percent		0.785718560218811	0.5191584229469299	0.18144167959690094	0.024401003494858742	0.010751316323876381	0.008253977634012699	0.002391611924394965	0.0029676402918994427	0.004181675147265196	0.2464526891708374
											
Stanislaus	346439	248466	92643	86627	7231	688	1914	845	982	2259	55277
Percent		0.7171998620033264	0.3728598654270172	0.3486472964286804	0.029102573171257973	0.002768990583717823	0.0077032670378685	0.0034008678048849106	0.003952250815927982	0.009091787040233612	0.22247309982776642
											
Sutter	60635	46087	13731	17989	1488	107	382	155	214	632	11389
Percent		0.7600725889205933	0.29793649911880493	0.39032697677612305	0.032286763191223145	0.0023216959089040756	0.008288671262562275	0.0033632044214755297	0.004643391817808151	0.013713194988667965	0.24711957573890686
											
Tehama	43847	33286	8400	14210	1601	100	380	105	0	80	8410
Percent		0.7591397166252136	0.2523583471775055	0.42690619826316833	0.04809829965233803	0.0030042659491300583	0.011416210792958736	0.003154479432851076	0	0.0024034129455685616	0.25265878438949585
											
Trinity	11301	7656	2401	2480	367	93	95	39	214	600	1367
Percent		0.6774621605873108	0.3136102259159088	0.32392895221710205	0.04793626070022583	0.012147335335612297	0.012408568523824215	0.0050940439105033875	0.027951933443546295	0.07836990803480148	0.1785527616739273
											
Tulare	266322	169367	52674	66371	5296	472	1337	434	587	309	41887
Percent		0.6359482407569885	0.3110050857067108	0.39187681674957275	0.0312693752348423	0.0027868475299328566	0.007894099690020084	0.0025624826084822416	0.003465846413746476	0.0018244404345750809	0.24731500446796417
											
Tuolumne	41054	31999	9396	13190	1237	177	362	88	3	36	7510
Percent		0.7794368267059326	0.29363417625427246	0.412200391292572	0.03865745663642883	0.005531422793865204	0.011312853544950485	0.002750085899606347	9.375293302582577E-05	0.0011250351089984179	0.23469483852386475
											
Ventura	550773	448174	178374	132841	10524	1804	3600	1181	1711	5270	112869
Percent		0.8137181997299194	0.39800167083740234	0.29640495777130127	0.023481952026486397	0.004025222267955542	0.008032594807446003	0.002635137178003788	0.003817713586613536	0.011758825741708279	0.2518419325351715
											
Yolo	151613	113642	53719	22219	3102	810	942	407	430	560	31453
Percent		0.7495531439781189	0.472703754901886	0.19551749527454376	0.027296246960759163	0.00712764635682106	0.008289189077913761	0.003581422381103039	0.003783812280744314	0.0049277557991445065	0.276772677898407
											
Yuba	48389	33754	9054	12213	1628	148	392	199	187	102	9831
Percent		0.6975552439689636	0.26823487877845764	0.36182379722595215	0.048231322318315506	0.004384665749967098	0.011613438837230206	0.005895597394555807	0.005540084093809128	0.0030218639876693487	0.2912543714046478
											
State Total	25200451	19696371	8557427	4735054	508364	89517	149095	74865	53864	108578	5419607
Percent		0.7815880179405212	0.4344671964645386	0.24040235579013824	0.025810033082962036	0.0045448471792042255	0.007569668348878622	0.003800953971222043	0.002734716981649399	0.005512589123100042	0.275157630443573
