area_id	total_registration	ed_registration	mv_registration	total_ballots	ed_ballots	mv_ballots
PCT7526	988	162	826	614	219	395
PCT7527	710	172	538	420	126	294
PCT7529	903	154	749	596	230	366
PCT7531	873	159	714	514	179	335
PCT7532	835	167	668	511	183	328
PCT7533	970	194	776	656	254	402
PCT7534	903	233	670	610	234	376
PCT7535	745	139	606	504	203	301
PCT7536	833	163	670	565	216	349
PCT7537	745	126	619	502	200	302
PCT7538	751	189	562	537	213	324
PCT7539	921	225	696	589	215	374
PCT7541	770	170	600	505	212	293
PCT7542	824	192	632	524	201	323
PCT7543	924	230	694	543	172	371
PCT7544	899	168	731	595	206	389
PCT7545	895	172	723	579	195	384
PCT7546	953	183	770	673	254	419
PCT7547	981	183	798	655	227	428
PCT7548	1051	249	802	708	258	450
PCT7549	806	146	660	531	171	360
PCT7551	723	136	587	482	178	304
PCT7552	685	124	561	455	168	287
PCT7553	191	-20	211	101	7	94
PCT7554	821	168	653	595	213	382
PCT7555	872	210	662	659	244	415
PCT7556	966	154	812	730	217	513
PCT7601	677	192	485	319	112	207
PCT7602	886	232	654	404	129	275
PCT7603	815	200	615	473	178	295
PCT7604	944	259	685	436	166	270
PCT7605	661	193	468	279	86	193
PCT7606	883	210	673	372	102	270
PCT7607	919	207	712	412	127	285
PCT7608	380	101	279	120	27	93
PCT7609	884	185	699	355	69	286
PCT7611	788	202	586	282	48	234
PCT7612	557	105	452	262	47	215
PCT7613	883	249	634	357	111	246
PCT7614	916	203	713	367	114	253
PCT7615	750	240	510	245	83	162
PCT7616	836	82	754	479	146	333
PCT7617	752	169	583	287	66	221
PCT7618	914	151	763	478	113	365
PCT7619	1107	170	937	609	168	441
PCT7621	1155	149	1006	596	152	444
PCT7622	960	263	697	314	100	214
PCT7623	1004	237	767	399	141	258
PCT7624	875	223	652	311	98	213
PCT7625	822	73	749	433	39	394
PCT7626	1073	129	944	538	137	401
PCT7627	524	67	457	258	64	194
PCT7628	938	220	718	489	155	334
PCT7629	853	162	691	411	132	279
PCT7631	1219	210	1009	604	162	442
PCT7632	1171	169	1002	599	185	414
PCT7633	735	126	609	386	109	277
PCT7634	890	186	704	486	143	343
PCT7635	853	188	665	358	83	275
PCT7636	959	161	798	484	156	328
PCT7637	868	121	747	486	142	344
PCT7638	889	83	806	505	134	371
PCT7639	1022	133	889	549	154	395
PCT7641	951	134	817	540	140	400
PCT7642	765	118	647	441	132	309
PCT7643	941	131	810	550	115	435
PCT7644	1176	162	1014	593	187	406
PCT7645	656	61	595	382	95	287
PCT7646	1153	121	1032	673	185	488
PCT7647	987	263	724	334	120	214
PCT7648	2	0	2	1	0	1
PCT7649	900	177	723	396	109	287
PCT7651	947	113	834	443	112	331
PCT7652	635	100	535	306	98	208
PCT7653	839	89	750	430	95	335
PCT7654	466	53	413	283	91	192
PCT7655	679	96	583	297	83	214
PCT7656	638	35	603	375	67	308
PCT7657	598	37	561	363	91	272
PCT7701	1064	196	868	656	175	481
PCT7702	756	133	623	484	107	377
PCT7703	174	-13	187	71	0	71
PCT7704	1002	204	798	665	175	490
PCT7705	595	125	470	392	110	282
PCT7706	866	179	687	610	163	447
PCT7707	872	189	683	610	179	431
PCT7708	875	165	710	617	154	463
PCT7709	406	82	324	287	92	195
PCT7711	811	153	658	506	127	379
PCT7712	532	107	425	366	109	257
PCT7801	974	151	823	674	196	478
PCT7802	798	152	646	563	160	403
PCT7803	831	113	718	604	129	475
PCT7804	885	151	734	645	182	463
PCT7805	800	156	644	558	157	401
PCT7806	755	153	602	516	154	362
