contest_id|RSReg|RSCst|RSRej|RSOvr|RSUnd|RSTot|RSWri|Choices
10|20660465|6632958||||6632958|3029397|3603561
11|83281|8408||||8408|572|3085|1775|1491|1485
12|95242|4904||||4904|1660|3244
14|447027|225787||||225787|4140|18269|167441|3126|28738|4073
15|460319|191506||||191506|176260|15246
16|402848|126971||||126971|94440|23669|4935|3927
17|568370|257472||||257472|145017|29541|82914
7|293158|107362||||107362|107362
8|9361582|4054537||||4054537|11026|2697|528443|5618|35367|4890|3719|110532|1374961|2546|95000|1665|5790|541690|1325|4798|219055|1077235|25597|2583
9|4937986|1920692||||1920692|10033|50524|50252|26690|11955|6205|1765033
9|600057|42815||||42815|13990|9252|5203|6181|8189
