contest_id	candidate_order	candidate_id	candidate_type	candidate_full_name	candidate_party_id	is_writein_candidate
X001	01	X00101		JULIÁN CASTRO		N
X001	02	X00102		MICHAEL A. ELLINGER		N
X001	03	X00103		ELIZABETH WARREN		N
X001	04	X00104		MARIANNE WILLIAMSON		N
X001	05	X00105		ANDREW YANG		N
X001	06	X00106		ROQUE "ROCKY" DE LA FUENTE III		N
X001	07	X00107		JOHN K. DELANEY		N
X001	08	X00108		AMY KLOBUCHAR		N
X001	09	X00109		BERNIE SANDERS		N
X001	10	X00110		JOE SESTAK		N
X001	11	X00111		TOM STEYER		N
X001	12	X00112		DEVAL PATRICK		N
X001	13	X00113		MICHAEL BENNET		N
X001	14	X00114		MICHAEL R. BLOOMBERG		N
X001	15	X00115		MOSIE BOYD		N
X001	16	X00116		CORY BOOKER		N
X001	17	X00117		PETE BUTTIGIEG		N
X001	18	X00118		JOSEPH R. BIDEN		N
X001	19	X00119		TULSI GABBARD		N
X001	20	X00120		MARK STEWART GREENSTEIN		N
X002	01	X00201		ROBERT ARDINI		N
X002	02	X00202		JOE WALSH		N
X002	03	X00203		BILL WELD		N
X002	04	X00204		ROQUE "ROCKY" DE LA FUENTE		N
X002	05	X00205		MATTHEW JOHN MATERN		N
X002	06	X00206		ZOLTAN G. ISTVAN		N
X002	07	X00207		DONALD J. TRUMP		N
X003	01	X00301		PHIL COLLINS		N
X003	02	X00302		ROQUE "ROCKY" DE LA FUENTE		N
X003	03	X00303		CHARLES KRAUT		N
X003	04	X00304		J.R. MYERS		N
X003	05	X00305		DON BLANKENSHIP		N
X004	01	X00401		DAVID ROLDE		N
X004	02	X00402		HOWIE HAWKINS		N
X004	03	X00403		DARIO HUNTER		N
X004	04	X00404		DENNIS LAMBERT		N
X004	05	X00405		SEDINAM MOYOWASIFZA-CURRY		N
X005	01	X00501		HOWIE HAWKINS		N
X005	02	X00502		GLORIA LA RIVA		N
X006	01	X00601		KEN ARMSTRONG		N
X006	02	X00602		MAX ABRAMSON		N
X006	03	X00603		SAM ROBB		N
X006	04	X00604		KIM RUFF		N
