area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	101:VIVEK VISWANATHAN	102:JACK M. GUERRERO	103:KEVIN AKIN	104:GREG CONLON	105:FIONA MA
PCT7002	MV	641	173	0	0	10	163	1	33	10	19	12	88
PCT7003	ED	864	188	0	1	29	158	1	23	4	22	3	105
PCT7003	MV	864	340	0	0	38	302	0	45	15	31	17	194
PCT7004	ED	835	175	0	0	26	149	0	22	6	6	8	107
PCT7004	MV	835	306	0	0	38	268	0	47	27	23	6	165
PCT7005	ED	812	180	0	0	26	154	0	27	2	17	4	104
PCT7005	MV	812	295	0	0	25	270	2	39	10	22	14	183
PCT7006	ED	884	213	0	0	37	176	1	25	6	48	7	89
PCT7006	MV	884	290	0	1	36	253	0	31	11	45	11	155
PCT7007	ED	916	233	0	0	26	207	0	26	6	28	5	142
PCT7007	MV	916	323	0	1	45	277	1	45	13	22	6	190
PCT7008	ED	861	187	0	0	30	157	0	24	8	18	7	100
PCT7008	MV	861	345	0	0	39	306	0	38	18	21	11	218
PCT7009	ED	864	133	0	0	20	113	0	19	7	20	3	64
PCT7009	MV	864	312	0	0	37	275	1	34	15	34	8	183
PCT7011	ED	976	141	0	0	21	120	0	11	2	13	3	91
PCT7011	MV	976	205	0	0	36	169	0	26	9	15	3	116
PCT7012	ED	1061	224	0	0	33	191	0	29	16	22	9	115
PCT7012	MV	1061	383	0	0	56	327	0	59	32	31	6	199
PCT7013	ED	805	132	0	1	14	117	0	12	9	19	2	75
PCT7013	MV	805	251	0	0	27	224	1	42	13	20	7	141
PCT7014	ED	1213	188	0	0	17	171	0	23	10	26	4	108
PCT7014	MV	1213	434	0	0	34	400	0	80	23	36	11	250
PCT7015	MV	93	34	0	0	3	31	0	5	0	3	1	22
PCT7016	ED	891	112	0	0	28	84	0	10	12	12	1	49
PCT7016	MV	891	221	0	0	41	180	0	24	12	9	4	131
PCT7017	ED	734	79	0	1	23	55	0	6	3	5	0	41
PCT7017	MV	734	167	0	0	26	141	1	17	6	9	4	104
PCT7018	ED	908	88	0	0	18	70	0	6	5	8	3	48
PCT7018	MV	908	343	0	2	63	278	0	24	35	20	13	186
PCT7019	ED	864	111	0	0	21	90	1	12	3	6	3	65
PCT7019	MV	864	349	0	0	29	320	1	28	37	21	13	220
