area_id	subtotal_type	RSReg	RSCst	RSRej	RSUnc	RSOvr	RSUnd	RSTot	050:Yes	051:No
ALLPCTS	TO	481991	253583	-56	0	102	24758	228779	97863	130916
ALLPCTS	ED	481991	89756	-87	0	42	8918	80883	36089	44794
ALLPCTS	MV	481991	163827	31	0	60	15840	147896	61774	86122
PCT1101	ED	544	83	-1	0	0	7	77	34	43
PCT1101	MV	544	198	1	0	0	10	187	95	92
PCT1102	ED	964	188	1	0	0	15	172	79	93
PCT1102	MV	964	337	-2	0	1	36	302	127	175
PCT1103	ED	914	163	0	0	1	10	152	70	82
PCT1103	MV	914	348	0	0	0	34	314	135	179
PCT1104	ED	953	167	0	0	0	13	154	77	77
PCT1104	MV	953	292	1	0	0	29	262	128	134
PCT1106	ED	740	113	0	0	0	6	107	49	58
PCT1106	MV	740	231	-1	0	0	22	210	98	112
PCT1107	ED	721	101	0	0	1	12	88	45	43
PCT1107	MV	721	240	1	0	0	31	208	95	113
PCT1108	ED	882	156	0	0	0	26	130	60	70
PCT1108	MV	882	328	1	0	0	24	303	138	165
PCT1109	ED	758	124	-3	0	1	11	115	53	62
PCT1109	MV	758	265	3	0	0	32	230	113	117
PCT1111	ED	938	132	-2	0	0	18	116	60	56
PCT1111	MV	938	330	5	0	0	28	297	148	149
PCT1112	ED	702	96	2	0	0	8	86	46	40
PCT1112	MV	702	221	0	0	0	27	194	96	98
PCT1113	ED	701	82	-1	0	0	12	71	39	32
PCT1113	MV	701	272	0	0	0	43	229	111	118
PCT1114	ED	915	139	0	0	0	18	121	59	62
PCT1114	MV	915	280	1	0	0	23	256	141	115
PCT1115	ED	835	97	0	0	0	13	84	37	47
PCT1115	MV	835	279	-1	0	0	44	236	122	114
PCT1116	ED	842	141	-1	0	0	27	115	54	61
PCT1116	MV	842	275	0	0	0	29	246	146	100
PCT1117	ED	827	138	-1	0	0	20	119	51	68
PCT1117	MV	827	240	0	0	0	20	220	111	109
PCT1118	ED	974	158	2	0	0	20	136	69	67
PCT1118	MV	974	335	2	0	0	45	288	129	159
PCT1119	ED	745	97	-1	0	0	9	89	51	38
PCT1119	MV	745	274	-1	0	0	14	261	128	133
PCT1121	ED	653	104	0	0	0	10	94	53	41
PCT1121	MV	653	221	1	0	0	23	197	90	107
PCT1122	ED	607	69	0	0	0	9	60	29	31
PCT1122	MV	607	213	-1	0	0	27	187	96	91
PCT1123	ED	876	118	-1	0	1	14	104	49	55
PCT1123	MV	876	254	-2	0	0	12	244	106	138
PCT1124	ED	773	109	0	0	0	22	87	46	41
PCT1124	MV	773	200	-1	0	0	17	184	97	87
PCT1125	ED	987	80	-2	0	0	7	75	43	32
PCT1125	MV	987	329	-4	0	1	35	297	159	138
PCT1126	ED	900	92	-1	0	0	12	81	38	43
PCT1126	MV	900	292	-1	0	0	27	266	133	133
PCT1127	ED	875	141	-1	0	0	20	122	60	62
PCT1127	MV	875	277	-1	0	0	21	257	116	141
PCT1128	ED	813	104	0	0	1	7	96	50	46
PCT1128	MV	813	246	-1	0	0	22	225	118	107
PCT1129	ED	924	120	0	0	0	12	108	60	48
PCT1129	MV	924	274	2	0	0	23	249	141	108
PCT1131	ED	783	85	0	0	0	9	76	33	43
PCT1131	MV	783	288	0	0	0	32	256	128	128
PCT1132	ED	910	112	0	0	0	15	97	52	45
PCT1132	MV	910	324	-3	0	0	28	299	167	132
PCT1133	ED	826	99	0	0	0	11	88	39	49
PCT1133	MV	826	292	-2	0	0	21	273	134	139
PCT1134	ED	727	126	0	0	0	16	110	58	52
PCT1134	MV	727	241	-1	0	0	25	217	90	127
PCT1135	ED	511	71	-1	0	0	6	66	36	30
PCT1135	MV	511	217	2	0	0	25	190	77	113
PCT1136	ED	807	97	0	0	2	11	84	42	42
PCT1136	MV	807	287	1	0	0	22	264	109	155
PCT1141	ED	998	149	1	0	0	13	135	69	66
PCT1141	MV	998	368	0	0	1	21	346	173	173
PCT1142	ED	822	120	0	0	0	14	106	50	56
PCT1142	MV	822	266	0	0	0	24	242	136	106
PCT1143	ED	989	147	1	0	0	11	135	69	66
PCT1143	MV	989	311	2	0	0	34	275	165	110
PCT1144	ED	870	148	-2	0	0	10	140	74	66
PCT1144	MV	870	264	-1	0	0	26	239	126	113
PCT1145	ED	879	136	1	0	2	19	114	58	56
PCT1145	MV	879	370	-2	0	0	30	342	164	178
PCT1146	ED	971	124	0	0	0	9	115	65	50
PCT1146	MV	971	326	-1	0	0	28	299	180	119
PCT1147	ED	853	166	2	0	0	19	145	79	66
PCT1147	MV	853	279	1	0	0	26	252	136	116
PCT1148	ED	918	121	0	0	0	12	109	58	51
