area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	RSWri	052:JOSH JONES	053:J. BRIBIESCA	054:GLORIA ESTELA LA RIVA	055:PETER Y LIU	056:ANTONIO VILLARAIGOSA	057:YVONNE GIRARD	058:ROBERT DAVIDSON GRIFFIS	059:SHUBHAM GOEL	060:TRAVIS ALLEN	061:AKINYEMI AGBEDE	062:JOHNNY WATTENBURG	063:NICKOLAS WILDSTAR	064:DESMOND SILVEIRA	065:MICHAEL SHELLENBERGER	066:ZOLTAN ISTVAN	067:CHRISTOPHER N. CARLSON	068:THOMAS JEFFERSON CARES	069:JOHN CHIANG	070:JOHN H. COX	071:AMANDA RENTERIA	072:DELAINE EASTIN	073:JEFFREY EDWARD TAYLOR	074:KLEMENT TINAJ	075:HAKAN ''HAWK'' MIKADO	076:ALBERT CAESAR MEZZETTI	077:GAVIN NEWSOM	078:ROBERT C. NEWMAN, II	189:K. PEARCE	190:VERONIKA FIMBRES	191:ARMANDO M. ARREOLA	192:ARMAN SOLTANI	193:PETER CRAWFORD VALENTINO
PCT1114	ED	915	139	0	7	3	129	0	0	0	1	1	15	0	1	0	0	0	0	0	0	0	0	2	0	16	12	1	17	0	0	0	0	63	0	0	0	0	0	0
PCT1114	MV	915	280	0	12	9	259	0	1	2	0	1	30	0	0	0	9	0	0	0	0	1	0	0	0	33	28	5	32	0	0	0	0	117	0	0	0	0	0	0
PCT1115	ED	835	97	0	0	1	96	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	1	0	13	3	3	10	0	0	0	1	52	1	0	0	0	0	0
PCT1115	MV	835	279	0	9	12	258	0	0	1	1	3	19	0	1	0	18	0	0	2	0	1	1	0	2	43	18	3	17	0	0	1	0	127	0	0	0	0	0	0
PCT1116	ED	842	141	0	3	4	134	0	0	0	1	0	12	0	0	0	1	1	1	0	0	0	1	0	0	8	3	3	16	0	0	0	2	84	1	0	0	0	0	0
PCT1116	MV	842	275	0	13	8	254	0	0	0	0	0	23	0	0	0	15	1	0	1	0	0	0	0	0	34	20	4	22	0	0	0	1	133	0	0	0	0	0	0
PCT1117	ED	827	138	0	2	4	132	0	1	0	0	0	16	0	0	0	0	0	0	1	0	0	0	0	3	10	7	4	11	0	0	0	0	79	0	0	0	0	0	0
PCT1117	MV	827	240	0	8	5	227	1	0	1	0	2	24	0	0	0	18	0	0	0	0	1	0	0	0	26	10	4	20	0	0	1	0	117	2	0	0	0	0	0
PCT1118	ED	974	158	0	2	4	152	0	2	1	2	2	23	0	0	0	3	0	0	0	0	1	0	2	2	16	4	2	20	0	0	0	0	72	0	0	0	0	0	0
PCT1118	MV	974	335	0	19	11	305	0	0	0	0	0	33	1	0	0	17	0	0	0	0	0	0	2	0	26	21	1	25	0	0	1	0	178	0	0	0	0	0	0
PCT1119	ED	745	97	0	3	2	92	0	0	0	0	0	13	0	0	0	1	0	0	1	0	0	0	0	0	3	4	1	10	0	0	0	0	59	0	0	0	0	0	0
PCT1119	MV	745	274	0	6	6	262	0	0	0	1	0	36	2	0	0	14	0	0	0	0	2	0	0	0	17	21	6	19	0	0	0	1	143	0	0	0	0	0	0
PCT1121	ED	653	104	0	3	3	98	0	1	0	0	1	7	0	0	0	3	2	0	0	0	1	0	0	1	12	12	1	10	0	0	0	1	46	0	0	0	0	0	0
PCT1121	MV	653	221	0	4	9	208	0	1	0	3	0	7	0	1	0	9	0	0	0	0	0	0	0	0	33	21	6	15	0	0	0	1	110	1	0	0	0	0	0
PCT1122	ED	607	69	0	1	1	67	0	0	0	0	1	5	0	0	0	2	1	0	0	0	2	0	0	0	4	5	1	4	0	0	0	0	40	2	0	0	0	0	0
PCT1122	MV	607	213	0	7	8	198	0	0	0	0	7	13	0	0	1	13	0	0	0	0	0	1	0	0	40	15	1	13	0	0	0	0	89	5	0	0	0	0	0
PCT1123	ED	876	118	0	3	0	115	0	1	0	0	1	10	0	0	0	3	2	0	0	0	0	1	0	1	4	4	1	13	0	1	0	0	73	0	0	0	0	0	0
PCT1123	MV	876	254	0	11	6	237	1	0	0	1	2	25	0	0	0	20	0	0	0	0	1	0	0	0	24	14	6	15	0	0	0	1	126	1	0	0	0	0	0
PCT1124	ED	773	109	0	3	5	101	1	0	1	1	0	16	0	0	0	4	0	0	0	0	0	0	0	1	8	3	0	7	0	0	0	1	57	1	0	0	0	0	0
PCT1124	MV	773	200	0	12	4	184	0	0	0	1	1	27	0	0	0	12	1	0	0	0	2	0	1	0	24	6	1	7	0	0	1	0	99	1	0	0	0	0	0
PCT1125	ED	987	80	0	0	2	78	0	0	1	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	4	3	1	11	0	0	0	1	45	0	0	0	0	0	0
