area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	048:Yes	049:No
ALLPCTS	TO	481991	253583	-56	220	16088	237331	90334	146997
ALLPCTS	ED	481991	89756	-87	66	5929	83848	29522	54326
ALLPCTS	MV	481991	163827	31	154	10159	153483	60812	92671
PCT1101	ED	544	83	-1	0	3	81	48	33
PCT1101	MV	544	198	1	0	7	190	87	103
PCT1102	ED	964	188	1	0	10	177	67	110
PCT1102	MV	964	337	-2	1	21	317	123	194
PCT1103	ED	914	163	0	1	5	157	53	104
PCT1103	MV	914	348	0	0	17	331	133	198
PCT1104	ED	953	167	0	0	14	153	74	79
PCT1104	MV	953	292	1	1	9	281	128	153
PCT1106	ED	740	113	0	0	4	109	46	63
PCT1106	MV	740	231	-1	0	12	220	110	110
PCT1107	ED	721	101	0	0	9	92	34	58
PCT1107	MV	721	240	1	0	18	221	102	119
PCT1108	ED	882	156	0	1	18	137	68	69
PCT1108	MV	882	328	1	0	23	304	146	158
PCT1109	ED	758	124	-3	0	9	118	44	74
PCT1109	MV	758	265	3	0	18	244	116	128
PCT1111	ED	938	132	-2	0	15	119	49	70
PCT1111	MV	938	330	5	0	13	312	157	155
PCT1112	ED	702	96	2	0	5	89	31	58
PCT1112	MV	702	221	0	0	21	200	99	101
PCT1113	ED	701	82	-1	0	5	78	25	53
PCT1113	MV	701	272	0	0	31	241	117	124
PCT1114	ED	915	139	0	0	13	126	63	63
PCT1114	MV	915	280	1	0	21	258	125	133
PCT1115	ED	835	97	0	0	8	89	32	57
PCT1115	MV	835	279	-1	0	32	248	125	123
PCT1116	ED	842	141	-1	0	16	126	51	75
PCT1116	MV	842	275	0	0	18	257	136	121
PCT1117	ED	827	138	-1	0	17	122	73	49
PCT1117	MV	827	240	0	0	13	227	137	90
PCT1118	ED	974	158	2	0	13	143	59	84
PCT1118	MV	974	335	2	0	18	315	155	160
PCT1119	ED	745	97	-1	0	9	89	38	51
PCT1119	MV	745	274	-1	0	12	263	118	145
PCT1121	ED	653	104	0	0	7	97	39	58
PCT1121	MV	653	221	1	0	15	205	125	80
PCT1122	ED	607	69	0	0	6	63	30	33
PCT1122	MV	607	213	-1	0	13	201	102	99
PCT1123	ED	876	118	-1	0	10	109	63	46
PCT1123	MV	876	254	-2	0	8	248	127	121
PCT1124	ED	773	109	0	1	13	95	49	46
PCT1124	MV	773	200	-1	0	11	190	111	79
PCT1125	ED	987	80	-2	0	8	74	34	40
PCT1125	MV	987	329	-4	0	23	310	169	141
PCT1126	ED	900	92	-1	0	7	86	43	43
PCT1126	MV	900	292	-1	0	24	269	153	116
PCT1127	ED	875	141	-1	1	12	129	61	68
PCT1127	MV	875	277	-1	0	14	264	145	119
PCT1128	ED	813	104	0	0	3	101	49	52
PCT1128	MV	813	246	-1	1	14	232	155	77
PCT1129	ED	924	120	0	1	11	108	51	57
PCT1129	MV	924	274	2	0	13	259	142	117
PCT1131	ED	783	85	0	0	5	80	41	39
PCT1131	MV	783	288	0	0	26	262	146	116
PCT1132	ED	910	112	0	0	10	102	54	48
PCT1132	MV	910	324	-3	0	24	303	157	146
PCT1133	ED	826	99	0	0	8	91	40	51
PCT1133	MV	826	292	-2	0	8	286	148	138
PCT1134	ED	727	126	0	0	9	117	48	69
PCT1134	MV	727	241	-1	0	21	221	96	125
PCT1135	ED	511	71	-1	0	5	67	33	34
PCT1135	MV	511	217	2	0	13	202	98	104
PCT1136	ED	807	97	0	0	13	84	47	37
PCT1136	MV	807	287	1	1	18	267	120	147
PCT1141	ED	998	149	1	0	11	137	56	81
PCT1141	MV	998	368	0	0	14	354	167	187
PCT1142	ED	822	120	0	0	10	110	52	58
PCT1142	MV	822	266	0	1	12	253	107	146
PCT1143	ED	989	147	1	0	4	142	50	92
PCT1143	MV	989	311	2	0	21	288	135	153
PCT1144	ED	870	148	-2	0	9	141	59	82
PCT1144	MV	870	264	-1	0	17	248	118	130
PCT1145	ED	879	136	1	0	16	119	44	75
PCT1145	MV	879	370	-2	0	21	351	157	194
PCT1146	ED	971	124	0	0	6	118	42	76
PCT1146	MV	971	326	-1	1	17	309	172	137
PCT1147	ED	853	166	2	0	16	148	49	99
PCT1147	MV	853	279	1	0	16	262	130	132
PCT1148	ED	918	121	0	0	10	111	51	60
PCT1148	MV	918	314	0	0	16	298	161	137
PCT1149	ED	873	148	-2	0	7	143	60	83
PCT1149	MV	873	285	1	0	15	269	136	133
PCT1152	ED	838	125	-2	0	7	120	49	71
PCT1152	MV	838	286	0	0	18	268	145	123
PCT1153	ED	909	139	0	0	7	132	67	65
PCT1153	MV	909	306	2	0	15	289	125	164
PCT7001	ED	735	119	-1	0	5	115	19	96
PCT7001	MV	735	266	2	0	15	249	77	172
PCT7002	ED	641	132	0	0	5	127	48	79
PCT7002	MV	641	173	1	0	7	165	48	117
PCT7003	ED	864	188	0	0	7	181	49	132
PCT7003	MV	864	340	0	0	16	324	93	231
PCT7004	ED	835	175	0	0	14	161	34	127
PCT7004	MV	835	306	-1	2	8	297	72	225
PCT7005	ED	812	180	1	0	12	167	34	133
PCT7005	MV	812	295	1	0	12	282	76	206
PCT7006	ED	884	213	1	0	10	202	51	151
PCT7006	MV	884	290	-2	0	15	277	84	193
PCT7007	ED	916	233	-2	0	11	224	78	146
PCT7007	MV	916	323	-1	0	15	309	82	227
PCT7008	ED	861	187	0	1	14	172	50	122
PCT7008	MV	861	345	1	0	19	325	103	222
PCT7009	ED	864	133	-1	0	16	118	34	84
PCT7009	MV	864	312	-1	0	15	298	107	191
PCT7011	ED	976	141	0	0	13	128	45	83
PCT7011	MV	976	205	0	1	11	193	72	121
PCT7012	ED	1061	224	0	1	9	214	72	142
PCT7012	MV	1061	383	1	0	26	356	112	244
PCT7013	ED	805	132	0	0	6	126	31	95
PCT7013	MV	805	251	-2	0	7	246	69	177
PCT7014	ED	1213	188	-3	0	6	185	54	131
PCT7014	MV	1213	434	-1	0	17	418	117	301
PCT7015	MV	93	34	1	0	1	32	7	25
PCT7016	ED	891	112	0	0	14	98	53	45
PCT7016	MV	891	221	-1	0	16	206	116	90
PCT7017	ED	734	79	0	1	18	60	45	15
PCT7017	MV	734	167	-1	1	16	151	77	74
PCT7018	ED	908	88	-2	0	9	81	34	47
PCT7018	MV	908	343	2	0	25	316	167	149
PCT7019	ED	864	111	2	0	9	100	58	42
PCT7019	MV	864	349	-1	0	25	325	166	159
PCT7021	ED	927	129	1	0	13	115	56	59
PCT7021	MV	927	220	-3	0	22	201	107	94
PCT7022	ED	923	164	0	1	16	147	63	84
PCT7022	MV	923	270	3	0	26	241	125	116
PCT7023	ED	906	131	1	0	15	115	68	47
PCT7023	MV	906	301	-4	1	26	278	157	121
PCT7024	ED	386	30	0	0	7	23	15	8
PCT7024	MV	386	47	0	0	1	46	29	17
PCT7025	ED	448	66	2	0	5	59	35	24
PCT7025	MV	448	78	1	0	3	74	35	39
PCT7026	ED	971	90	0	0	13	77	38	39
PCT7026	MV	971	350	4	0	30	316	173	143
PCT7027	ED	845	136	-1	0	23	114	68	46
PCT7027	MV	845	271	2	0	22	247	124	123
PCT7028	ED	835	157	0	0	10	147	75	72
PCT7028	MV	835	180	-2	0	18	164	87	77
PCT7029	ED	855	115	0	0	14	101	57	44
PCT7029	MV	855	166	1	0	10	155	84	71
PCT7030	ED	729	94	-2	0	3	93	45	48
PCT7030	MV	729	277	3	0	16	258	134	124
PCT7031	ED	611	50	0	0	7	43	23	20
PCT7031	MV	611	224	3	1	23	197	117	80
PCT7032	ED	867	126	-1	1	22	104	52	52
PCT7032	MV	867	238	1	0	20	217	135	82
PCT7033	ED	765	135	0	0	19	116	55	61
PCT7033	MV	765	181	-1	0	17	165	98	67
PCT7034	ED	914	97	0	0	7	90	56	34
PCT7034	MV	914	154	1	0	15	138	91	47
PCT7035	ED	553	73	0	0	3	70	41	29
PCT7035	MV	553	170	0	0	12	158	69	89
