area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	8:RYAN LAM	9:DEAN PRESTON	10:NOMVULA O'MEARA	11:VALLIE BROWN
PCT7534	TO	881	390	0	0	20	0	370	0	6	207	2	155
PCT7536	ED	1594	318	0	0	6	0	312	0	6	199	4	103
PCT7536	MV	1594	495	0	2	19	0	474	0	8	239	3	224
PCT7536	TO	1594	813	0	2	25	0	786	0	14	438	7	327
PCT7537	ED	1472	301	0	0	11	0	290	0	2	179	3	106
PCT7537	MV	1472	437	0	0	16	0	421	0	7	200	6	208
PCT7537	TO	1472	738	0	0	27	0	711	0	9	379	9	314
PCT7539	ED	906	233	0	1	8	0	224	0	2	138	0	84
PCT7539	MV	906	279	0	0	7	0	272	0	6	123	3	140
PCT7539	TO	906	512	0	1	15	0	496	0	8	261	3	224
PCT7541	ED	769	136	0	0	4	0	132	0	1	82	3	46
PCT7541	MV	769	247	0	1	5	0	241	0	8	105	1	127
PCT7541	TO	769	383	0	1	9	0	373	0	9	187	4	173
PCT7543	ED	1718	252	0	0	11	0	241	0	5	133	8	95
PCT7543	MV	1718	549	0	1	22	0	526	0	9	260	7	250
PCT7543	TO	1718	801	0	1	33	0	767	0	14	393	15	345
PCT7544	ED	892	152	0	0	11	0	141	0	2	76	1	62
PCT7544	MV	892	281	0	0	18	0	263	0	6	136	3	118
PCT7544	TO	892	433	0	0	29	0	404	0	8	212	4	180
PCT7545	ED	877	139	0	0	12	0	127	0	3	86	1	37
PCT7545	MV	877	277	0	0	27	0	250	0	9	124	1	116
PCT7545	TO	877	416	0	0	39	0	377	0	12	210	2	153
PCT7546	ED	1900	340	0	0	8	0	332	0	10	178	3	141
PCT7546	MV	1900	670	0	0	24	0	646	0	7	350	5	284
PCT7546	TO	1900	1010	0	0	32	0	978	0	17	528	8	425
PCT7548	ED	1027	198	0	0	8	0	190	0	3	107	2	78
PCT7548	MV	1027	322	0	1	14	0	307	0	5	134	1	167
PCT7548	TO	1027	520	0	1	22	0	497	0	8	241	3	245
PCT7549	ED	799	135	0	0	3	0	132	0	2	78	2	50
PCT7549	MV	799	286	0	0	15	0	271	0	17	129	3	122
PCT7549	TO	799	421	0	0	18	0	403	0	19	207	5	172
PCT7552	ED	685	136	0	0	6	0	130	0	1	53	0	76
PCT7552	MV	685	213	0	0	14	0	199	0	5	64	0	130
PCT7552	TO	685	349	0	0	20	0	329	0	6	117	0	206
PCT7553	ED	182	1	0	0	0	0	1	0	0	0	0	1
PCT7553	MV	182	81	0	1	6	0	74	0	3	23	0	48
PCT7553	TO	182	82	0	1	6	0	75	0	3	23	0	49
PCT7554	ED	795	135	0	0	3	0	132	0	4	47	1	80
PCT7554	MV	795	311	0	0	7	0	304	0	6	110	2	186
PCT7554	TO	795	446	0	0	10	0	436	0	10	157	3	266
PCT7555	ED	1584	340	0	1	11	0	328	0	4	154	2	168
PCT7555	MV	1584	565	0	0	18	0	547	0	9	256	6	276
PCT7555	TO	1584	905	0	1	29	0	875	0	13	410	8	444
PCT7556	ED	958	147	0	0	1	0	146	0	1	63	1	81
PCT7556	MV	958	400	0	2	18	0	380	0	17	124	3	236
PCT7556	TO	958	547	0	2	19	0	526	0	18	187	4	317
PCT9501	ED	147	2	0	0	1	0	1	0	0	0	0	1
