area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	22:PAUL MIYAMOTO
PCT1147	TO	868	324	0	0	88	0	236	0	236
PCT1148	ED	1002	100	0	0	32	0	68	0	68
PCT1148	MV	1002	269	0	0	58	0	211	0	211
PCT1148	TO	1002	369	0	0	90	0	279	0	279
PCT1149	ED	911	90	0	0	26	0	64	0	64
PCT1149	MV	911	239	0	0	64	0	175	0	175
PCT1149	TO	911	329	0	0	90	0	239	0	239
PCT1152	ED	1815	155	0	0	38	0	117	0	117
PCT1152	MV	1815	497	0	0	134	0	363	0	363
PCT1152	TO	1815	652	0	0	172	0	480	0	480
PCT7001	ED	752	59	0	0	18	0	41	0	41
PCT7001	MV	752	231	0	0	64	0	167	0	167
PCT7001	TO	752	290	0	0	82	0	208	0	208
PCT7002	ED	659	61	0	0	16	0	45	0	45
PCT7002	MV	659	151	0	0	44	0	107	0	107
PCT7002	TO	659	212	0	0	60	0	152	0	152
PCT7003	ED	1755	233	0	0	73	0	160	0	160
PCT7003	MV	1755	606	0	0	190	0	416	0	416
PCT7003	TO	1755	839	0	0	263	0	576	0	576
PCT7005	ED	850	124	0	0	37	0	87	0	87
PCT7005	MV	850	280	0	0	103	0	177	0	177
PCT7005	TO	850	404	0	0	140	0	264	0	264
PCT7006	ED	921	135	0	0	56	0	79	0	79
PCT7006	MV	921	264	0	0	98	0	166	0	166
PCT7006	TO	921	399	0	0	154	0	245	0	245
PCT7007	ED	1821	269	0	0	67	0	202	0	202
PCT7007	MV	1821	607	0	0	184	0	423	0	423
PCT7007	TO	1821	876	0	0	251	0	625	0	625
PCT7009	ED	874	74	0	0	23	0	51	0	51
PCT7009	MV	874	316	0	0	104	0	212	0	212
PCT7009	TO	874	390	0	0	127	0	263	0	263
PCT7011	ED	951	85	0	0	19	0	66	0	66
PCT7011	MV	951	168	0	0	46	0	122	0	122
PCT7011	TO	951	253	0	0	65	0	188	0	188
PCT7012	ED	1165	149	0	0	35	0	114	0	114
PCT7012	MV	1165	363	0	0	114	0	249	0	249
PCT7012	TO	1165	512	0	0	149	0	363	0	363
PCT7013	ED	1033	93	0	0	28	0	65	0	65
PCT7013	MV	1033	283	0	0	84	0	199	0	199
PCT7013	TO	1033	376	0	0	112	0	264	0	264
PCT7014	ED	1388	136	0	0	27	0	109	0	109
PCT7014	MV	1388	416	0	0	118	0	298	0	298
PCT7014	TO	1388	552	0	0	145	0	407	0	407
PCT7015	ED	104	1	0	0	0	0	1	0	1
PCT7015	MV	104	25	0	0	2	0	23	0	23
PCT7015	TO	104	26	0	0	2	0	24	0	24
PCT7016	ED	912	75	0	0	24	0	51	0	51
PCT7016	MV	912	173	0	0	55	0	118	0	118
PCT7016	TO	912	248	0	0	79	0	169	0	169
PCT7017	ED	781	49	0	0	11	0	38	0	38
PCT7017	MV	781	142	0	0	42	0	100	0	100
PCT7017	TO	781	191	0	0	53	0	138	0	138
PCT7019	ED	1908	121	0	0	32	0	89	0	89
PCT7019	MV	1908	554	0	0	129	0	425	0	425
PCT7019	TO	1908	675	0	0	161	0	514	0	514
PCT7021	ED	955	96	0	0	30	0	66	0	66
PCT7021	MV	955	212	0	0	56	0	156	0	156
PCT7021	TO	955	308	0	0	86	0	222	0	222
PCT7022	ED	943	94	0	0	24	0	70	0	70
PCT7022	MV	943	216	0	0	68	0	148	0	148
PCT7022	TO	943	310	0	0	92	0	218	0	218
PCT7024	ED	448	39	0	0	12	0	27	0	27
PCT7024	MV	448	34	0	0	7	0	27	0	27
PCT7024	TO	448	73	0	0	19	0	54	0	54
PCT7025	ED	473	34	0	0	12	0	22	0	22
PCT7025	MV	473	58	0	0	20	0	38	0	38
PCT7025	TO	473	92	0	0	32	0	60	0	60
PCT7026	ED	1009	57	0	0	13	0	44	0	44
PCT7026	MV	1009	301	0	0	93	0	208	0	208
PCT7026	TO	1009	358	0	0	106	0	252	0	252
PCT7027	ED	883	85	0	0	17	0	68	0	68
PCT7027	MV	883	230	0	0	72	0	158	0	158
PCT7027	TO	883	315	0	0	89	0	226	0	226
PCT7028	ED	849	114	0	0	29	0	85	0	85
PCT7028	MV	849	169	0	0	50	0	119	0	119
PCT7028	TO	849	283	0	0	79	0	204	0	204
PCT7029	ED	1812	146	0	0	39	0	107	0	107
PCT7029	MV	1812	385	0	0	83	0	302	0	302
PCT7029	TO	1812	531	0	0	122	0	409	0	409
PCT7030	ED	787	54	0	0	14	0	40	0	40
PCT7030	MV	787	242	0	0	79	0	163	0	163
PCT7030	TO	787	296	0	0	93	0	203	0	203
PCT7031	ED	680	37	0	0	7	0	30	0	30
PCT7031	MV	680	211	0	0	66	0	145	0	145
PCT7031	TO	680	248	0	0	73	0	175	0	175
PCT7032	ED	876	70	0	0	26	0	44	0	44
PCT7032	MV	876	212	0	0	53	0	159	0	159
PCT7032	TO	876	282	0	0	79	0	203	0	203
PCT7033	ED	770	88	0	0	26	0	62	0	62
PCT7033	MV	770	164	0	0	29	0	135	0	135
PCT7033	TO	770	252	0	0	55	0	197	0	197
PCT7034	ED	954	64	0	0	16	0	48	0	48
PCT7034	MV	954	119	0	0	28	0	91	0	91
