area_id	subtotal_type	party	RSReg	RSCst	RSCnt	RSPnd	RSCha
ALL	TO	ALL	495050	210620	206122	7	3549
ALL	TO	*
ALL	ED	ALL	117918	59428	59428
ALL	ED	*
ALL	MV	ALL	377297	151192	146694	7	3549
ALL	MV	AI	6793	1938	1870	0	68
ALL	MV	DEM	222732	95181	92884	4	2293
ALL	MV	GRN	2517	1094	1069	0	25
ALL	MV	LIB	2441	647	631	0	16
ALL	MV	PF	1152	302	289	0	13
ALL	MV	REP	24970	10738	10556	1	181
ALL	MV	NPP	116692	41292	40337	2	953
PCT1101	TO	ALL	557	225	219
PCT1101	TO	*
PCT1101	ED	ALL	147	54	54
PCT1101	ED	*
PCT1101	MV	ALL	410	171	165	0	5
PCT1101	MV	AI	6	2	2	0	0
PCT1101	MV	DEM	228	105	102	0	3
PCT1101	MV	GRN	1	0	0	0	0
PCT1101	MV	LIB	2	0	0	0	0
PCT1101	MV	PF	1	1	1	0	0
PCT1101	MV	REP	27	5	4	0	1
PCT1101	MV	NPP	145	58	57	0	1
PCT1102	TO	ALL	994	457	449
PCT1102	TO	*
PCT1102	ED	ALL	268	145	145
PCT1102	ED	*
PCT1102	MV	ALL	726	312	304	0	8
PCT1102	MV	AI	13	6	6	0	0
PCT1102	MV	DEM	439	190	184	0	6
PCT1102	MV	GRN	5	1	1	0	0
PCT1102	MV	LIB	2	1	1	0	0
PCT1102	MV	PF	2	0	0	0	0
PCT1102	MV	REP	50	28	28	0	0
PCT1102	MV	NPP	215	86	84	0	2
PCT1103	TO	ALL	962	406	394
PCT1103	TO	*
PCT1103	ED	ALL	256	111	111
PCT1103	ED	*
PCT1103	MV	ALL	706	295	283	0	11
PCT1103	MV	AI	10	4	4	0	0
PCT1103	MV	DEM	407	183	177	0	6
PCT1103	MV	GRN	7	5	5	0	0
PCT1103	MV	LIB	4	1	1	0	0
PCT1103	MV	PF	4	0	0	0	0
PCT1103	MV	REP	54	22	22	0	0
PCT1103	MV	NPP	220	80	75	0	5
PCT1104	TO	ALL	1012	385	380
PCT1104	TO	*
PCT1104	ED	ALL	306	109	109
PCT1104	ED	*
PCT1104	MV	ALL	706	276	271	0	4
PCT1104	MV	AI	21	6	5	0	1
PCT1104	MV	DEM	402	170	168	0	2
PCT1104	MV	GRN	5	3	3	0	0
PCT1104	MV	LIB	3	1	1	0	0
PCT1104	MV	PF	2	1	1	0	0
PCT1104	MV	REP	44	17	16	0	1
PCT1104	MV	NPP	229	78	78	0	0
PCT1106	TO	ALL	1505	615	603
PCT1106	TO	*
PCT1106	ED	ALL	385	168	168
PCT1106	ED	*
PCT1106	MV	ALL	1120	447	435	0	10
PCT1106	MV	AI	17	5	4	0	1
PCT1106	MV	DEM	623	267	262	0	5
PCT1106	MV	GRN	11	2	2	0	0
PCT1106	MV	LIB	5	1	1	0	0
PCT1106	MV	PF	2	1	1	0	0
PCT1106	MV	REP	67	33	33	0	0
PCT1106	MV	NPP	395	138	134	0	4
PCT1108	TO	ALL	908	371	368
PCT1108	TO	*
PCT1108	ED	ALL	221	95	95
PCT1108	ED	*
PCT1108	MV	ALL	687	276	273	0	4
PCT1108	MV	AI	14	6	6	0	0
PCT1108	MV	DEM	419	170	167	0	3
PCT1108	MV	GRN	2	2	2	0	0
PCT1108	MV	LIB	0	0	0	0	0
PCT1108	MV	PF	1	0	0	0	0
PCT1108	MV	REP	27	13	13	0	0
