area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	13:DENNIS J. HERRERA
PCT1147	TO	868	179	0	0	33	0	146	0	146
PCT1148	ED	1002	73	0	0	13	0	60	3	57
PCT1148	MV	1002	139	0	0	36	0	103	0	103
PCT1148	TO	1002	212	0	0	49	0	163	3	160
PCT1149	ED	911	70	0	0	11	0	59	0	59
PCT1149	MV	911	100	0	0	23	0	77	0	77
PCT1149	TO	911	170	0	0	34	0	136	0	136
PCT1152	ED	1815	126	0	0	20	0	106	1	105
PCT1152	MV	1815	236	0	0	47	0	189	0	189
PCT1152	TO	1815	362	0	0	67	0	295	1	294
PCT7001	ED	752	39	0	0	2	0	37	0	37
PCT7001	MV	752	112	0	0	25	0	87	0	87
PCT7001	TO	752	151	0	0	27	0	124	0	124
PCT7002	ED	659	43	0	0	4	0	39	1	38
PCT7002	MV	659	57	0	0	16	0	41	0	41
PCT7002	TO	659	100	0	0	20	0	80	1	79
PCT7003	ED	1755	179	0	0	32	0	147	0	147
PCT7003	MV	1755	280	0	0	50	0	230	0	230
PCT7003	TO	1755	459	0	0	82	0	377	0	377
PCT7005	ED	850	99	0	0	10	0	89	1	88
PCT7005	MV	850	108	0	0	24	0	84	0	84
PCT7005	TO	850	207	0	0	34	0	173	1	172
PCT7006	ED	921	88	0	0	13	0	75	1	74
PCT7006	MV	921	106	0	0	21	0	85	0	85
PCT7006	TO	921	194	0	0	34	0	160	1	159
PCT7007	ED	1821	210	0	0	29	0	181	0	181
PCT7007	MV	1821	285	0	0	65	0	220	0	220
PCT7007	TO	1821	495	0	0	94	0	401	0	401
PCT7009	ED	874	46	0	0	16	0	30	0	30
PCT7009	MV	874	135	0	0	29	0	106	0	106
PCT7009	TO	874	181	0	0	45	0	136	0	136
PCT7011	ED	951	64	0	0	8	0	56	0	56
PCT7011	MV	951	66	0	0	17	0	49	0	49
PCT7011	TO	951	130	0	0	25	0	105	0	105
PCT7012	ED	1165	113	0	0	14	0	99	0	99
PCT7012	MV	1165	140	0	0	30	0	110	0	110
PCT7012	TO	1165	253	0	0	44	0	209	0	209
PCT7013	ED	1033	60	0	0	11	0	49	2	47
PCT7013	MV	1033	124	0	0	17	0	107	0	107
PCT7013	TO	1033	184	0	0	28	0	156	2	154
PCT7014	ED	1388	97	0	0	9	0	88	0	88
PCT7014	MV	1388	171	0	0	36	0	135	0	135
PCT7014	TO	1388	268	0	0	45	0	223	0	223
PCT7015	MV	104	14	0	0	0	0	14	0	14
PCT7015	TO	104	14	0	0	0	0	14	0	14
PCT7016	ED	912	57	0	0	12	0	45	1	44
PCT7016	MV	912	83	0	0	18	0	65	0	65
PCT7016	TO	912	140	0	0	30	0	110	1	109
PCT7017	ED	781	32	0	0	5	0	27	1	26
PCT7017	MV	781	62	0	0	6	0	56	0	56
PCT7017	TO	781	94	0	0	11	0	83	1	82
PCT7019	ED	1908	90	0	1	13	0	76	0	76
PCT7019	MV	1908	306	0	0	50	0	256	0	256
PCT7019	TO	1908	396	0	1	63	0	332	0	332
PCT7021	ED	955	68	0	0	17	0	51	1	50
PCT7021	MV	955	95	0	0	19	0	76	0	76
PCT7021	TO	955	163	0	0	36	0	127	1	126
PCT7022	ED	943	78	0	0	13	0	65	0	65
PCT7022	MV	943	122	0	0	35	0	87	0	87
PCT7022	TO	943	200	0	0	48	0	152	0	152
PCT7024	ED	448	14	0	0	4	0	10	0	10
PCT7024	MV	448	24	0	0	3	0	21	0	21
PCT7024	TO	448	38	0	0	7	0	31	0	31
PCT7025	ED	473	23	0	0	4	0	19	0	19
PCT7025	MV	473	36	0	0	9	0	27	0	27
PCT7025	TO	473	59	0	0	13	0	46	0	46
PCT7026	ED	1009	48	0	0	10	0	38	0	38
PCT7026	MV	1009	162	0	0	36	0	126	0	126
PCT7026	TO	1009	210	0	0	46	0	164	0	164
PCT7027	ED	883	66	0	0	8	0	58	0	58
PCT7027	MV	883	127	0	0	33	0	94	0	94
PCT7027	TO	883	193	0	0	41	0	152	0	152
PCT7028	ED	849	77	0	0	17	0	60	1	59
PCT7028	MV	849	78	0	0	15	0	63	0	63
PCT7028	TO	849	155	0	0	32	0	123	1	122
PCT7029	ED	1812	100	0	0	15	0	85	2	83
PCT7029	MV	1812	207	0	0	49	0	158	0	158
PCT7029	TO	1812	307	0	0	64	0	243	2	241
PCT7030	ED	787	46	0	0	13	0	33	0	33
PCT7030	MV	787	132	0	0	38	0	94	0	94
PCT7030	TO	787	178	0	0	51	0	127	0	127
PCT7031	ED	680	24	0	0	3	0	21	0	21
PCT7031	MV	680	123	0	0	33	0	90	0	90
PCT7031	TO	680	147	0	0	36	0	111	0	111
PCT7032	ED	876	48	0	0	15	0	33	1	32
PCT7032	MV	876	107	0	0	23	0	84	0	84
PCT7032	TO	876	155	0	0	38	0	117	1	116
PCT7033	ED	770	61	0	0	12	0	49	0	49
PCT7033	MV	770	83	0	0	12	0	71	0	71
PCT7033	TO	770	144	0	0	24	0	120	0	120
PCT7034	ED	954	36	0	0	7	0	29	0	29
PCT7034	MV	954	57	0	0	12	0	45	0	45
PCT7034	TO	954	93	0	0	19	0	74	0	74
PCT7035	ED	681	26	0	0	3	0	23	0	23
PCT7035	MV	681	97	0	0	20	0	77	0	77
PCT7035	TO	681	123	0	0	23	0	100	0	100
PCT7037	ED	1676	59	0	0	16	0	43	0	43
PCT7037	MV	1676	143	0	0	33	0	110	0	110
PCT7037	TO	1676	202	0	0	49	0	153	0	153
PCT7038	ED	924	34	0	0	7	0	27	1	26
PCT7038	MV	924	129	0	1	25	0	103	0	103
PCT7038	TO	924	163	0	1	32	0	130	1	129
PCT7039	ED	830	71	0	0	12	0	59	1	58
PCT7039	MV	830	110	0	0	33	0	77	0	77
PCT7039	TO	830	181	0	0	45	0	136	1	135
PCT7041	MV	60	11	0	0	3	0	8	0	8
PCT7041	TO	60	11	0	0	3	0	8	0	8
PCT7042	ED	1069	67	0	0	14	0	53	2	51
PCT7042	MV	1069	110	0	0	24	0	86	0	86
PCT7042	TO	1069	177	0	0	38	0	139	2	137
PCT7043	ED	961	40	0	0	6	0	34	0	34
PCT7043	MV	961	104	0	0	30	0	74	0	74
PCT7043	TO	961	144	0	0	36	0	108	0	108
PCT7044	ED	844	23	0	0	4	0	19	1	18
PCT7044	MV	844	61	0	0	19	0	42	0	42
PCT7044	TO	844	84	0	0	23	0	61	1	60
PCT7045	ED	783	39	0	0	11	0	28	0	28
PCT7045	MV	783	143	0	1	39	0	103	0	103
