area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	38:YES	39:NO
ALLPCTS	TO	495050	115265	0	31	3069	112165	74765	37400
ALLPCTS	ED	495050	45586	0	13	1112	44461	31776	12685
ALLPCTS	MV	495050	69679	0	18	1957	67704	42989	24715
PCT1101	ED	557	39	0	0	1	38	27	11
PCT1101	MV	557	83	0	0	0	83	52	31
PCT1101	TO	557	122	0	0	1	121	79	42
PCT1102	ED	994	117	0	0	2	115	86	29
PCT1102	MV	994	137	0	0	3	134	84	50
PCT1102	TO	994	254	0	0	5	249	170	79
PCT1103	ED	962	88	0	0	1	87	62	25
PCT1103	MV	962	121	0	0	0	121	70	51
PCT1103	TO	962	209	0	0	1	208	132	76
PCT1104	ED	1012	76	0	0	5	71	46	25
PCT1104	MV	1012	130	0	0	4	126	91	35
PCT1104	TO	1012	206	0	0	9	197	137	60
PCT1106	ED	1505	127	0	0	5	122	67	55
PCT1106	MV	1505	209	0	0	4	205	113	92
PCT1106	TO	1505	336	0	0	9	327	180	147
PCT1108	ED	908	77	0	0	0	77	51	26
PCT1108	MV	908	126	0	0	4	122	74	48
PCT1108	TO	908	203	0	0	4	199	125	74
PCT1109	ED	805	73	0	0	5	68	47	21
PCT1109	MV	805	100	0	0	5	95	52	43
PCT1109	TO	805	173	0	0	10	163	99	64
PCT1111	ED	1025	73	0	0	1	72	43	29
PCT1111	MV	1025	160	0	0	6	154	89	65
PCT1111	TO	1025	233	0	0	7	226	132	94
PCT1112	ED	770	48	0	0	0	48	35	13
PCT1112	MV	770	92	0	0	2	90	54	36
PCT1112	TO	770	140	0	0	2	138	89	49
PCT1114	ED	1741	92	0	0	4	88	58	30
PCT1114	MV	1741	249	0	1	10	238	139	99
PCT1114	TO	1741	341	0	1	14	326	197	129
PCT1115	ED	1838	118	0	0	4	114	78	36
PCT1115	MV	1838	234	0	0	7	227	144	83
PCT1115	TO	1838	352	0	0	11	341	222	119
PCT1117	ED	1771	104	0	0	4	100	51	49
PCT1117	MV	1771	175	0	0	5	170	90	80
