area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	24:JOSÉ CISNEROS
PCT1147	TO	868	179	0	0	37	0	142	0	142
PCT1148	ED	1002	73	0	0	12	0	61	1	60
PCT1148	MV	1002	139	0	0	30	0	109	0	109
PCT1148	TO	1002	212	0	0	42	0	170	1	169
PCT1149	ED	911	70	0	0	14	0	56	1	55
PCT1149	MV	911	100	0	0	23	0	77	0	77
PCT1149	TO	911	170	0	0	37	0	133	1	132
PCT1152	ED	1815	126	0	0	22	0	104	0	104
PCT1152	MV	1815	236	0	0	45	0	191	0	191
PCT1152	TO	1815	362	0	0	67	0	295	0	295
PCT7001	ED	752	39	0	0	5	0	34	0	34
PCT7001	MV	752	112	0	0	26	0	86	0	86
PCT7001	TO	752	151	0	0	31	0	120	0	120
PCT7002	ED	659	43	0	0	7	0	36	0	36
PCT7002	MV	659	57	0	0	20	0	37	0	37
PCT7002	TO	659	100	0	0	27	0	73	0	73
PCT7003	ED	1755	179	0	0	44	0	135	2	133
PCT7003	MV	1755	280	0	0	63	0	217	0	217
PCT7003	TO	1755	459	0	0	107	0	352	2	350
PCT7005	ED	850	99	0	0	21	0	78	0	78
PCT7005	MV	850	108	0	0	30	0	78	0	78
PCT7005	TO	850	207	0	0	51	0	156	0	156
PCT7006	ED	921	88	0	0	19	0	69	3	66
PCT7006	MV	921	106	0	0	32	0	74	0	74
PCT7006	TO	921	194	0	0	51	0	143	3	140
PCT7007	ED	1821	210	0	0	38	0	172	0	172
PCT7007	MV	1821	285	0	0	67	0	218	0	218
PCT7007	TO	1821	495	0	0	105	0	390	0	390
PCT7009	ED	874	46	0	0	16	0	30	0	30
PCT7009	MV	874	135	0	0	43	0	92	0	92
PCT7009	TO	874	181	0	0	59	0	122	0	122
PCT7011	ED	951	64	0	0	11	0	53	0	53
PCT7011	MV	951	66	0	0	22	0	44	0	44
PCT7011	TO	951	130	0	0	33	0	97	0	97
PCT7012	ED	1165	113	0	0	22	0	91	0	91
PCT7012	MV	1165	140	0	0	34	0	106	1	105
PCT7012	TO	1165	253	0	0	56	0	197	1	196
PCT7013	ED	1033	60	0	0	15	0	45	0	45
PCT7013	MV	1033	124	0	0	23	0	101	0	101
PCT7013	TO	1033	184	0	0	38	0	146	0	146
PCT7014	ED	1388	97	0	0	15	0	82	0	82
PCT7014	MV	1388	171	0	0	40	0	131	0	131
PCT7014	TO	1388	268	0	0	55	0	213	0	213
PCT7015	MV	104	14	0	0	0	0	14	0	14
PCT7015	TO	104	14	0	0	0	0	14	0	14
PCT7016	ED	912	57	0	0	8	0	49	0	49
PCT7016	MV	912	83	0	0	20	0	63	0	63
PCT7016	TO	912	140	0	0	28	0	112	0	112
PCT7017	ED	781	32	0	1	6	0	25	0	25
PCT7017	MV	781	62	0	0	11	0	51	0	51
PCT7017	TO	781	94	0	1	17	0	76	0	76
PCT7019	ED	1908	90	0	0	15	0	75	1	74
PCT7019	MV	1908	306	0	0	60	0	246	0	246
PCT7019	TO	1908	396	0	0	75	0	321	1	320
PCT7021	ED	955	68	0	0	16	0	52	1	51
PCT7021	MV	955	95	0	0	17	0	78	0	78
