area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSTot	34:YES	35:NO
NEIG19	MV	7872	2058	0	1	103	1954	1600	354
NEIG19	TO	7872	2931	0	1	143	2787	2312	475
NEIG20	ED	24361	1311	0	1	84	1226	971	255
NEIG20	MV	24361	5386	0	1	332	5053	3930	1123
NEIG20	TO	24361	6697	0	2	416	6279	4901	1378
NEIG21	ED	42750	3810	0	1	215	3594	2662	932
NEIG21	MV	42750	10556	0	2	662	9892	6834	3058
NEIG21	TO	42750	14366	0	3	877	13486	9496	3990
NEIG22	ED	19329	2431	0	0	91	2340	2027	313
NEIG22	MV	19329	5705	0	0	293	5412	4576	836
NEIG22	TO	19329	8136	0	0	384	7752	6603	1149
NEIG23	ED	7912	363	0	0	19	344	241	103
NEIG23	MV	7912	1609	0	0	95	1514	971	543
NEIG23	TO	7912	1972	0	0	114	1858	1212	646
NEIG24	ED	33087	3644	0	0	169	3475	2617	858
NEIG24	MV	33087	9481	0	0	482	8999	6460	2539
NEIG24	TO	33087	13125	0	0	651	12474	9077	3397
NEIG25	ED	26737	2880	0	0	176	2704	2361	343
NEIG25	MV	26737	6766	0	0	372	6394	5392	1002
NEIG25	TO	26737	9646	0	0	548	9098	7753	1345
