area_id	subtotal_type	RSReg	RSCst	RSRej	RSOvr	RSUnd	RSExh	RSTot	RSWri	15:SUZY LOFTUS	16:LEIF DAUTCH	17:NANCY TUNG	18:CHESA BOUDIN
PCT1135	MV	554	146	0	1	10	0	135	0	41	18	46	30
PCT1135	TO	554	183	0	1	11	0	171	0	53	20	54	44
PCT1136	ED	847	47	0	0	5	0	42	0	14	5	13	10
PCT1136	MV	847	216	0	0	15	0	201	0	48	26	81	46
PCT1136	TO	847	263	0	0	20	0	243	0	62	31	94	56
PCT1141	ED	1042	61	0	0	1	0	60	2	13	5	10	30
PCT1141	MV	1042	268	0	1	23	0	244	0	52	55	78	59
PCT1141	TO	1042	329	0	1	24	0	304	2	65	60	88	89
PCT1143	ED	1024	88	0	0	3	0	85	0	21	9	10	45
PCT1143	MV	1024	208	0	0	21	0	187	0	39	26	60	62
PCT1143	TO	1024	296	0	0	24	0	272	0	60	35	70	107
PCT1144	ED	1804	126	0	0	5	0	121	1	29	5	29	57
PCT1144	MV	1804	373	0	2	28	0	343	1	88	53	101	100
PCT1144	TO	1804	499	0	2	33	0	464	2	117	58	130	157
PCT1145	ED	894	57	0	0	4	0	53	0	17	2	8	26
PCT1145	MV	894	253	0	1	20	0	232	0	60	24	71	77
PCT1145	TO	894	310	0	1	24	0	285	0	77	26	79	103
PCT1146	ED	1008	72	0	0	6	0	66	0	8	11	13	34
PCT1146	MV	1008	205	0	1	6	0	198	0	51	20	69	58
PCT1146	TO	1008	277	0	1	12	0	264	0	59	31	82	92
PCT1147	ED	868	71	0	0	4	0	67	0	19	6	12	30
PCT1147	MV	868	197	0	1	10	0	186	0	51	23	67	45
PCT1147	TO	868	268	0	1	14	0	253	0	70	29	79	75
PCT1148	ED	1002	73	0	0	2	0	71	0	15	5	17	34
PCT1148	MV	1002	237	0	1	22	0	214	0	44	37	84	49
PCT1148	TO	1002	310	0	1	24	0	285	0	59	42	101	83
PCT1149	ED	911	70	0	0	2	0	68	0	22	4	14	28
PCT1149	MV	911	207	0	1	17	0	189	1	53	25	57	53
PCT1149	TO	911	277	0	1	19	0	257	1	75	29	71	81
PCT1152	ED	1815	126	0	0	5	0	121	0	28	12	27	54
PCT1152	MV	1815	429	0	1	27	0	401	0	103	70	137	91
PCT1152	TO	1815	555	0	1	32	0	522	0	131	82	164	145
PCT7001	ED	752	39	0	0	2	0	37	0	13	1	7	16
PCT7001	MV	752	184	0	1	19	0	164	0	50	29	25	60
PCT7001	TO	752	223	0	1	21	0	201	0	63	30	32	76
PCT7002	ED	659	43	0	0	0	0	43	0	10	6	2	25
PCT7002	MV	659	123	0	0	7	0	116	0	27	26	15	48
PCT7002	TO	659	166	0	0	7	0	159	0	37	32	17	73
PCT7003	ED	1755	179	0	0	4	0	175	0	55	20	16	84
PCT7003	MV	1755	432	0	1	13	0	418	0	158	46	46	168
PCT7003	TO	1755	611	0	1	17	0	593	0	213	66	62	252
PCT7005	ED	850	99	0	0	3	0	96	0	24	9	5	58
PCT7005	MV	850	241	0	1	13	0	227	0	73	26	32	96
PCT7005	TO	850	340	0	1	16	0	323	0	97	35	37	154
PCT7006	ED	921	88	0	0	4	0	84	0	13	10	4	57
PCT7006	MV	921	157	0	0	7	0	150	0	34	19	19	78
PCT7006	TO	921	245	0	0	11	0	234	0	47	29	23	135
PCT7007	ED	1821	210	0	0	5	0	205	1	70	24	19	91
PCT7007	MV	1821	538	0	2	44	0	492	0	185	68	70	169
PCT7007	TO	1821	748	0	2	49	0	697	1	255	92	89	260
PCT7009	ED	874	46	0	0	2	0	44	0	10	7	6	21
PCT7009	MV	874	229	0	0	13	0	216	0	60	34	44	78
PCT7009	TO	874	275	0	0	15	0	260	0	70	41	50	99
PCT7011	ED	951	64	0	0	1	0	63	0	26	7	7	23
PCT7011	MV	951	134	0	2	16	0	116	0	50	16	14	36
PCT7011	TO	951	198	0	2	17	0	179	0	76	23	21	59
PCT7012	ED	1165	113	0	0	5	0	108	0	34	13	9	52
PCT7012	MV	1165	285	0	0	24	0	261	0	83	34	42	102
PCT7012	TO	1165	398	0	0	29	0	369	0	117	47	51	154
PCT7013	ED	1033	60	0	0	2	0	58	1	14	8	8	27
PCT7013	MV	1033	236	0	0	15	0	221	0	87	27	32	75
PCT7013	TO	1033	296	0	0	17	0	279	1	101	35	40	102
PCT7014	ED	1388	97	0	0	3	0	94	1	31	6	15	41
PCT7014	MV	1388	352	0	2	22	0	328	0	110	45	50	123
PCT7014	TO	1388	449	0	2	25	0	422	1	141	51	65	164
PCT7015	MV	104	21	0	0	0	0	21	0	3	4	2	12
PCT7015	TO	104	21	0	0	0	0	21	0	3	4	2	12
PCT7016	ED	912	57	0	0	2	0	55	0	14	8	8	25
PCT7016	MV	912	148	0	0	10	0	138	0	46	22	41	29
PCT7016	TO	912	205	0	0	12	0	193	0	60	30	49	54
PCT7017	ED	781	32	0	1	3	0	28	1	14	3	1	9
PCT7017	MV	781	110	0	0	9	0	101	0	28	13	22	38
PCT7017	TO	781	142	0	1	12	0	129	1	42	16	23	47
PCT7019	ED	1908	90	0	1	4	0	85	1	33	6	7	38
PCT7019	MV	1908	471	0	3	46	0	422	0	122	78	135	87
PCT7019	TO	1908	561	0	4	50	0	507	1	155	84	142	125
PCT7021	ED	955	68	0	0	4	0	64	1	13	6	11	33
PCT7021	MV	955	136	0	2	17	0	117	0	36	24	29	28
PCT7021	TO	955	204	0	2	21	0	181	1	49	30	40	61
PCT7022	ED	943	78	0	0	2	0	76	0	27	7	10	32
PCT7022	MV	943	166	0	1	14	0	151	0	43	35	32	41
PCT7022	TO	943	244	0	1	16	0	227	0	70	42	42	73
PCT7024	ED	448	14	0	0	1	0	13	0	3	3	2	5
