District_Code|County_List|Registration_List
caasm80|San Diego|233550
casen01|Placer; El Dorado; Shasta; Sacramento; Nevada; Siskiyou; Lassen; Plumas; Modoc; Sierra; Alpine|155487; 124979; 103883; 94468; 68151; 27662; 14028; 12688; 4984; 2123; 788
casen02|Sonoma; Marin; Humboldt; Mendocino; Lake; Del Norte; Trinity|196110; 166260; 79198; 52602; 33905; 15182; 7897
casen03|Solano; Yolo; Sonoma; Napa; Contra Costa; Sacramento|239267; 88697; 83228; 80667; 54522; 3355
casen04|Sacramento; Butte; Placer; Sutter; Yuba; Tehama; Glenn; Colusa|170832; 116182; 92445; 48423; 36707; 35087; 13454; 9093
casen05|San Joaquin; Stanislaus; Sacramento|326470; 123511; 14903
casen06|Sacramento; Yolo|505177; 28681
casen07|Contra Costa; Alameda|463575; 135019
casen08|Fresno; Stanislaus; Tuolumne; Sacramento; Calaveras; Amador; Madera; Mariposa; Inyo; Mono; Tulare|312809; 77820; 32562; 29921; 29889; 23717; 17207; 10916; 10029; 7095; 2583
casen09|Alameda; Contra Costa|455879; 139176
casen10|Alameda; Santa Clara|329277; 153508
casen11|San Francisco; San Mateo|505246; 63124
casen12|Merced; Monterey; Stanislaus; Fresno; Madera; San Benito|104706; 85861; 59995; 49529; 44644; 32453
casen13|San Mateo; Santa Clara|354175; 180733
casen14|Fresno; Kern; Tulare; Kings|109046; 92388; 69809; 55738
casen15|Santa Clara|498633
casen16|Kern; Tulare; San Bernardino|306766; 110694; 63775
casen17|San Luis Obispo; Santa Cruz; Santa Clara; Monterey|176343; 163604; 118418; 109384
casen18|Los Angeles|503382
casen19|Ventura; Santa Barbara|264130; 226923
casen20|San Bernardino; Los Angeles|360117; 69517
casen21|Los Angeles; San Bernardino|350227; 164976
casen22|Los Angeles|451407
casen23|San Bernardino; Riverside; Los Angeles|339453; 181798; 38
casen24|Los Angeles|446742
casen25|Los Angeles; San Bernardino|547965; 45656
casen26|Los Angeles|658624
casen27|Los Angeles; Ventura|392551; 199097
casen28|Riverside|488154
casen29|Orange; Los Angeles; San Bernardino|347029; 90091; 42213
casen30|Los Angeles|545033
casen31|Riverside|446365
casen32|Los Angeles; Orange|491234; 28324
casen33|Los Angeles|439252
casen34|Orange; Los Angeles|390505; 45620
casen35|Los Angeles|515102
casen36|Orange; San Diego|298244; 274506
casen37|Orange|570305
casen38|San Diego|557435
casen39|San Diego|589426
casen40|San Diego; Imperial|404771; 77111
