||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|Percent||0.49479520320892334|0.19245730340480804|0.02478197030723095|0.004278617445379496|0.008311267010867596|0.0027390439063310623|0.004588353913277388|0.008630113676190376|0.2594181299209595

State Senate 27
|Los Angeles|392551|182794|89728|10373|1551|2944|1602|2016|3148|98395
|Ventura|199097|69056|71748|5917|571|1919|437|1906|2323|45220
District Total||591648|251850|161476|16290|2122|4863|2039|3922|5471|143615
|Percent||0.4256753921508789|0.27292579412460327|0.027533262968063354|0.0035865919198840857|0.00821941439062357|0.0034463058691471815|0.006628941744565964|0.009247052483260632|0.24273723363876343

State Senate 28
|Riverside|488154|175987|173034|18353|1339|4676|1890|2701|2379|107795
District Total||488154|175987|173034|18353|1339|4676|1890|2701|2379|107795
|Percent||0.3605153262615204|0.3544660210609436|0.03759674355387688|0.0027429868932813406|0.009578944183886051|0.0038717288989573717|0.0055330898612737656|0.004873462021350861|0.22082170844078064

State Senate 29
|Los Angeles|90091|34330|21341|1887|240|426|464|593|674|30136
|Orange|347029|132408|113781|9325|940|2930|1229|522|935|84959
|San Bernardino|42213|14630|14566|1253|91|334|120|244|179|10796
District Total||479333|181368|149688|12465|1271|3690|1813|1359|1788|125891
|Percent||0.3783757984638214|0.3122839331626892|0.026004886254668236|0.002651601331308484|0.00769819738343358|0.003782339161261916|0.002835189690813422|0.003730183467268944|0.2626378834247589

State Senate 30
|Los Angeles|545033|349248|36496|11357|2209|2760|3774|3563|4340|131286
District Total||545033|349248|36496|11357|2209|2760|3774|3563|4340|131286
|Percent||0.6407831907272339|0.06696107983589172|0.020837269723415375|0.004052965436130762|0.0050639137625694275|0.0069243512116372585|0.006537219043821096|0.007962821051478386|0.2408771514892578

State Senate 31
|Riverside|446365|196811|122441|13234|1238|3565|2267|2909|1783|102117
District Total||446365|196811|122441|13234|1238|3565|2267|2909|1783|102117
|Percent||0.440919429063797|0.27430689334869385|0.02964838221669197|0.002773514948785305|0.007986737415194511|0.0050788032822310925|0.0065170880407094955|0.003994488622993231|0.22877465188503265

State Senate 32
|Los Angeles|491234|241203|100850|12196|1565|3155|3301|2587|3420|122957
|Orange|28324|12444|7321|717|88|214|116|42|74|7308
District Total||519558|253647|108171|12913|1653|3369|3417|2629|3494|130265
|Percent||0.4881976544857025|0.20819811522960663|0.024853818118572235|0.003181550418958068|0.006484357640147209|0.00657674390822649|0.005060070194303989|0.0067249471321702|0.250722736120224

State Senate 33
|Los Angeles|439252|249408|51625|10117|1912|3003|4328|2912|3353|112594
District Total||439252|249408|51625|10117|1912|3003|4328|2912|3353|112594
|Percent||0.5678016543388367|0.11752934753894806|0.023032337427139282|0.004352854564785957|0.00683662248775363|0.009853114373981953|0.006629452109336853|0.007633431348949671|0.256331205368042

State Senate 34
|Los Angeles|45620|19106|13791|1308|224|450|129|157|353|10102
|Orange|390505|158256|112017|10063|1211|3588|2027|635|1270|101438
District Total||436125|177362|125808|11371|1435|4038|2156|792|1623|111540
|Percent||0.4066769778728485|0.28846776485443115|0.026072800159454346|0.003290341002866626|0.009258813224732876|0.004943537060171366|0.0018159931059926748|0.0037214101757854223|0.2557523548603058

State Senate 35
|Los Angeles|515102|296392|63190|11398|1657|2839|3983|3287|4088|128268
District Total||515102|296392|63190|11398|1657|2839|3983|3287|4088|128268
|Percent||0.5754044651985168|0.12267473340034485|0.022127656266093254|0.0032168386969715357|0.005511529743671417|0.007732449099421501|0.006381260231137276|0.007936292327940464|0.24901476502418518

State Senate 36
|Orange|298244|87990|123149|9953|848|3189|664|352|860|71239
|San Diego|274506|97648|85975|10518|1015|3132|881|1281|1054|73002
District Total||572750|185638|209124|20471|1863|6321|1545|1633|1914|144241
|Percent||0.324116975069046|0.36512264609336853|0.035741597414016724|0.0032527281437069178|0.011036228388547897|0.0026975120417773724|0.0028511567506939173|0.0033417721278965473|0.25183936953544617

State Senate 37
|Orange|570305|191264|202005|16686|1772|6218|1427|867|1607|148459
District Total||570305|191264|202005|16686|1772|6218|1427|867|1607|148459
|Percent||0.3353714346885681|0.3542051911354065|0.02925802767276764|0.0031071093399077654|0.01090293750166893|0.0025021699257194996|0.0015202391659840941|0.002817790489643812|0.26031509041786194

State Senate 38
|San Diego|557435|174064|204500|21439|1778|5955|1833|2512|2314|143040
District Total||557435|174064|204500|21439|1778|5955|1833|2512|2314|143040
|Percent||0.31225883960723877|0.36685892939567566|0.03846009075641632|0.003189609618857503|0.01068285945802927|0.003288275795057416|0.0045063551515340805|0.004151156637817621|0.2566038966178894

State Senate 39
|San Diego|589426|250122|137136|19539|2333|6305|1723|2892|2463|166913
District Total||589426|250122|137136|19539|2333|6305|1723|2892|2463|166913
|Percent||0.4243484437465668|0.23266024887561798|0.033149197697639465|0.003958087880164385|0.01069684699177742|0.002923182910308242|0.0049064685590565205|0.004178641363978386|0.2831788957118988

State Senate 40
|Imperial|77111|37161|14593|1930|217|477|537|768|339|21089
|San Diego|404771|180522|76433|11641|1392|2986|2580|2723|3433|123061
District Total||481882|217683|91026|13571|1609|3463|3117|3491|3772|144150
|Percent||0.45173507928848267|0.18889686465263367|0.02816249616444111|0.003338991664350033|0.007186406757682562|0.006468388717621565|0.007244511973112822|0.007827642373740673|0.2991396188735962

State Total||20660465|9361582|4937986|600057|83281|175352|95242|104680|120494|5181791
|Percent||0.4531157314777374|0.23900653421878815|0.029043732210993767|0.00403093546628952|0.008487321436405182|0.004609866999089718|0.005066681653261185|0.005832104943692684|0.2508070766925812
