||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
District Total||447027|272864|28145|7673|2844|2822|1351|3514|728|127086
|Percent||0.6103971600532532|0.06296040117740631|0.01716451160609722|0.006362031679600477|0.0063128178007900715|0.003022188786417246|0.007860822603106499|0.0016285369638353586|0.2842915654182434

US Congressional 13
|Alameda|460319|306567|24762|7841|4080|2189|1847|15|3023|109995
|San Francisco|0|0|0|0|0|0|0|0|0|0
District Total||460319|306567|24762|7841|4080|2189|1847|15|3023|109995
|Percent||0.6659881472587585|0.053793128579854965|0.017033839598298073|0.008863418363034725|0.004755397792905569|0.004012434743344784|3.258609649492428e-05|0.006567184813320637|0.2389538586139679

US Congressional 14
|San Francisco|58219|32445|4932|1013|298|303|194|530|82|18422
|San Mateo|344629|184503|48676|7870|1388|2191|1061|1762|1506|95672
District Total||402848|216948|53608|8883|1686|2494|1255|2292|1588|114094
|Percent||0.5385356545448303|0.13307252526283264|0.02205049991607666|0.00418520113453269|0.00619092071428895|0.003115318948403001|0.005689491052180529|0.003941933624446392|0.28321847319602966

US Congressional 15
|Alameda|366874|182996|62811|9306|1323|2619|1251|23|2295|104250
|Contra Costa|46880|20190|10054|1258|103|336|53|214|101|14571
District Total||413754|203186|72865|10564|1426|2955|1304|237|2396|118821
|Percent||0.4910792410373688|0.17610706388950348|0.025532079860568047|0.0034464923664927483|0.007141924928873777|0.0031516312155872583|0.0005728041287511587|0.005790880415588617|0.2871778905391693

US Congressional 16
|Fresno|142178|68425|28458|4205|522|935|1039|826|1292|36476
|Madera|44644|15885|15383|1417|120|362|282|351|226|10618
|Merced|104706|45090|29361|3658|310|874|501|143|199|24570
District Total||291528|129400|73202|9280|952|2171|1822|1320|1717|71664
|Percent||0.44386816024780273|0.2510976791381836|0.03183227777481079|0.003265552455559373|0.007446968927979469|0.006249828264117241|0.004527866840362549|0.00588965741917491|0.245822012424469

US Congressional 17
|Alameda|92982|44702|12751|1868|280|497|256|9|507|32112
|Santa Clara|256212|118982|38436|5045|764|1700|765|54|519|89947
District Total||349194|163684|51187|6913|1044|2197|1021|63|1026|122059
|Percent||0.4687480330467224|0.14658613502979279|0.01979701779782772|0.0029897422064095736|0.006291631609201431|0.0029238760471343994|0.00018041547446046025|0.0029381948988884687|0.3495449423789978

US Congressional 18
|San Mateo|72670|38488|12400|1611|338|600|153|315|261|18504
|Santa Clara|315065|153181|55697|6770|1122|2453|675|49|608|94510
|Santa Cruz|36377|18847|6548|1091|380|519|109|62|182|8639
District Total||424112|210516|74645|9472|1840|3572|937|426|1051|121653
|Percent||0.4963688850402832|0.17600303888320923|0.022333722561597824|0.004338476806879044|0.008422303944826126|0.0022093220613896847|0.0010044516529887915|0.002478118985891342|0.2868416905403137

US Congressional 19
|Santa Clara|371893|182716|64089|9385|1453|2994|1840|60|1332|108024
District Total||371893|182716|64089|9385|1453|2994|1840|60|1332|108024
|Percent||0.4913133680820465|0.1723318248987198|0.025235753506422043|0.003907037898898125|0.008050702512264252|0.004947659559547901|0.0001613367348909378|0.0035816754680126905|0.2904706597328186

US Congressional 20
|Monterey|195245|98887|39604|5217|923|1456|845|1645|215|46453
|San Benito|32453|15067|8468|996|107|290|130|31|44|7320
|Santa Clara|8122|4287|1138|240|31|72|43|2|15|2294
|Santa Cruz|127227|75328|16191|2803|1015|1024|473|187|597|29609
District Total||363047|193569|65401|9256|2076|2842|1491|1865|871|85676
|Percent||0.5331789255142212|0.18014471232891083|0.025495322421193123|0.005718267988413572|0.007828187197446823|0.004106906242668629|0.005137076135724783|0.00239913840778172|0.2359914779663086

US Congressional 21
|Fresno|78307|32223|23434|2135|157|474|415|342|739|18388
|Kern|102486|52273|17879|2730|214|642|806|1241|258|26443
|Kings|55738|18507|22186|1751|122|522|234|394|303|11719
|Tulare|7702|3174|2076|245|22|48|42|93|21|1981
District Total||244233|106177|65575|6861|515|1686|1497|2070|1321|58531
|Percent||0.4347364902496338|0.2684936225414276|0.028092026710510254|0.0021086421329528093|0.006903244182467461|0.006129392888396978|0.008475513197481632|0.005408769473433495|0.23965230584144592

US Congressional 22
|Fresno|241142|80259|96481|8117|677|2141|742|818|2131|49776
|Tulare|138513|44433|54053|4792|355|1303|595|1206|509|31267
District Total||379655|124692|150534|12909|1032|3444|1337|2024|2640|81043
|Percent||0.3284350335597992|0.3965020775794983|0.034001924097537994|0.002718257252126932|0.009071393869817257|0.003521618200466037|0.0053311558440327644|0.006953681819140911|0.2134648561477661

US Congressional 23
|Kern|296668|83883|125382|12011|803|3253|1217|2429|779|66911
|Los Angeles|47031|17256|16043|1824|110|401|215|316|367|10499
|Tulare|36871|11623|14132|1380|106|343|177|385|122|8603
District Total||380570|112762|155557|15215|1019|3997|1609|3130|1268|86013
|Percent||0.29629766941070557|0.4087474048137665|0.03997950628399849|0.0026775626465678215|0.010502667166292667|0.004227868746966124|0.008224504999816418|0.0033318442292511463|0.2260109782218933

US Congressional 24
|San Luis Obispo|176343|64100|61587|6089|965|2052|504|885|1500|38661
|Santa Barbara|226923|101983|57059|6532|1043|1963|760|1484|1413|54686
|Ventura|5687|2576|1319|192|49|81|28|38|85|1319
District Total||408953|168659|119965|12813|2057|4096|1292|2407|2998|94666
|Percent||0.41241657733917236|0.29334667325019836|0.03133122995495796|0.005029917694628239|0.01001582108438015|0.003159287152811885|0.00588576216250658|0.00733091589063406|0.2314838171005249

US Congressional 25
|Los Angeles|348968|138577|105990|11627|1006|2952|1472|2119|2707|82518
|Ventura|71960|23116|27781|2239|204|700|172|771|778|16199
District Total||420928|161693|133771|13866|1210|3652|1644|2890|3485|98717
|Percent||0.38413459062576294|0.3178001940250397|0.03294150158762932|0.0028746009338647127|0.008676067925989628|0.003905656049028039|0.00686578219756484|0.008279325440526009|0.23452229797840118

US Congressional 26
|Los Angeles|6344|2259|2257|197|12|44|11|24|69|1471
|Ventura|384210|165288|106301|10629|1431|3374|1362|4112|4286|87427
District Total||390554|167547|108558|10826|1443|3418|1373|4136|4355|88898
|Percent||0.42899829149246216|0.2779589891433716|0.02771959826350212|0.0036947515327483416|0.008751670829951763|0.00351551896892488|0.010590084828436375|0.011150826700031757|0.22762025892734528

US Congressional 27
|Los Angeles|385015|176510|77859|8150|1533|2494|1893|2510|2691|111375
|San Bernardino|23742|7559|10022|801|61|191|57|103|102|4846
District Total||408757|184069|87881|8951|1594|2685|1950|2613|2793|116221
|Percent||0.4503140151500702|0.21499571204185486|0.021898096427321434|0.0038996273651719093|0.006568694952875376|0.004770560655742884|0.0063925511203706264|0.0068329107016325|0.2843278646469116

US Congressional 28
|Los Angeles|451809|230740|74482|10283|2111|3350|1875|2539|3666|122763
District Total||451809|230740|74482|10283|2111|3350|1875|2539|3666|122763
|Percent||0.5107025504112244|0.16485284268856049|0.02275961823761463|0.0046723284758627415|0.007414637599140406|0.004149983637034893|0.00561963114887476|0.008114048279821873|0.27171438932418823

US Congressional 29
|Los Angeles|343799|185768|41963|8046|1488|2328|2447|2170|2816|96773
District Total||343799|185768|41963|8046|1488|2328|2447|2170|2816|96773
|Percent||0.5403389930725098|0.12205678224563599|0.023403208702802658|0.004328110255300999|0.006771398242563009|0.007117530796676874|0.006311827339231968|0.00819083210080862|0.2814813256263733

US Congressional 30
|Los Angeles|457360|228250|88583|11837|1862|3409|1900|2342|3745|115432
|Ventura|1370|522|423|49|3|13|2|18|15|325
District Total||458730|228772|89006|11886|1865|3422|1902|2360|3760|115757
|Percent||0.49870729446411133|0.19402699172496796|0.025910666212439537|0.0040655722841620445|0.007459725718945265|0.004146229941397905|0.005144638475030661|0.008196542970836163|0.2523423433303833

US Congressional 31
|San Bernardino|366805|158201|100154|12882|1050|2991|2154|2406|2216|84751
District Total||366805|158201|100154|12882|1050|2991|2154|2406|2216|84751
|Percent||0.4312945604324341|0.27304425835609436|0.03511947765946388|0.0028625563718378544|0.008154196664690971|0.005872330162674189|0.006559343542903662|0.006041357293725014|0.23105192184448242

US Congressional 32
|Los Angeles|356124|169163|72587|9146|1222|2398|2799|2234|2662|93913
District Total||356124|169163|72587|9146|1222|2398|2799|2234|2662|93913
|Percent||0.47501152753829956|0.20382507145404816|0.02568206563591957|0.003431389108300209|0.006733609829097986|0.00785962212830782|0.006273095961660147|0.007474924437701702|0.2637087106704712

US Congressional 33
|Los Angeles|495794|230540|110690|12656|2030|4129|1244|2183|4378|127944
District Total||495794|230540|110690|12656|2030|4129|1244|2183|4378|127944
|Percent||0.4649915099143982|0.22325804829597473|0.025526730343699455|0.00409444235265255|0.008328055962920189|0.0025091066490858793|0.004403038416057825|0.008830280043184757|0.2580587863922119

US Congressional 34
|Los Angeles|334731|196290|29294|6351|1791|2099|2732|2695|2381|91098
District Total||334731|196290|29294|6351|1791|2099|2732|2695|2381|91098
|Percent||0.58641117811203|0.08751504868268967|0.018973443657159805|0.005350565072149038|0.006270707119256258|0.008161777630448341|0.00805124081671238|0.00711317453533411|0.2721528708934784

US Congressional 35
|Los Angeles|69207|35001|10406|1841|261|518|1040|477|566|19097
|San Bernardino|247416|118993|50386|7655|748|1920|1821|1814|1280|62799
District Total||316623|153994|60792|9496|1009|2438|2861|2291|1846|81896
|Percent||0.4863639175891876|0.19200120866298676|0.029991503804922104|0.0031867551151663065|0.007700009271502495|0.009035983122885227|0.007235734723508358|0.005830277688801289|0.2586546242237091

US Congressional 36
|Riverside|347687|143087|108479|12573|1011|2735|1654|2049|1780|74319
District Total||347687|143087|108479|12573|1011|2735|1654|2049|1780|74319
|Percent||0.4115397036075592|0.31200188398361206|0.03616183623671532|0.0029077876824885607|0.007866270840168|0.004757152404636145|0.0058932313695549965|0.005119547247886658|0.2137525975704193

US Congressional 37
|Los Angeles|446388|281607|35671|9139|1833|2513|2442|2481|3456|107246
District Total||446388|281607|35671|9139|1833|2513|2442|2481|3456|107246
|Percent||0.630856990814209|0.07991030067205429|0.020473221316933632|0.004106292966753244|0.005629631690680981|0.005470577161759138|0.0055579449981451035|0.007742143701761961|0.24025286734104156

US Congressional 38
|Los Angeles|386166|191241|78418|9563|1228|2452|2623|1995|2760|95886
|Orange|8675|3269|2806|222|12|55|23|21|16|2251
District Total||394841|194510|81224|9785|1240|2507|2646|2016|2776|98137
|Percent||0.49262866377830505|0.2057131826877594|0.024782126769423485|0.0031405047047883272|0.006349391303956509|0.006701431702822447|0.005105852615088224|0.007030677981674671|0.24854815006256104

US Congressional 39
|Los Angeles|108614|41305|26617|2306|277|563|505|672|708|35661
|Orange|239180|84091|86718|6648|653|2146|648|324|629|57323
|San Bernardino|42542|14733|14696|1263|93|338|120|244|179|10876
District Total||390336|140129|128031|10217|1023|3047|1273|1240|1516|103860
|Percent||0.35899582505226135|0.32800203561782837|0.026174886152148247|0.0026208190247416496|0.007806095294654369|0.0032612928189337254|0.0031767503824084997|0.0038838335312902927|0.2660784423351288

US Congressional 40
|Los Angeles|300433|177157|30214|6145|1043|1666|2944|2144|2072|77048
District Total||300433|177157|30214|6145|1043|1666|2944|2144|2072|77048
|Percent||0.5896722674369812|0.10056818276643753|0.020453812554478645|0.0034716560039669275|0.0055453297682106495|0.009799189865589142|0.007136366330087185|0.006896712351590395|0.25645652413368225

US Congressional 41
|Riverside|323197|151847|78858|9502|963|2504|1870|2188|1350|74115
District Total||323197|151847|78858|9502|963|2504|1870|2188|1350|74115
|Percent||0.4698280096054077|0.2439935952425003|0.029400024563074112|0.002979606855660677|0.007747596595436335|0.005785944871604443|0.006769864819943905|0.004177019000053406|0.22931833565235138

US Congressional 42
|Riverside|398999|126752|155507|14947|1012|4108|1412|2287|1836|91138
District Total||398999|126752|155507|14947|1012|4108|1412|2287|1836|91138
|Percent||0.31767499446868896|0.38974282145500183|0.03746124729514122|0.002536347135901451|0.010295765474438667|0.0035388560499995947|0.005731843877583742|0.0046015153639018536|0.22841660678386688

US Congressional 43
|Los Angeles|401333|229755|51852|9089|1336|2303|2403|2533|3157|98905
District Total||401333|229755|51852|9089|1336|2303|2403|2533|3157|98905
|Percent||0.5724797248840332|0.12919944524765015|0.022647028788924217|0.003328906372189522|0.005738376639783382|0.005987546406686306|0.006311466917395592|0.007866285741329193|0.24644123017787933

US Congressional 44
|Los Angeles|362052|214828|36085|7808|1205|1861|3767|2353|2823|91322
District Total||362052|214828|36085|7808|1205|1861|3767|2353|2823|91322
|Percent||0.5933622717857361|0.0996680036187172|0.021565962582826614|0.00332825118675828|0.0051401457749307156|0.010404583066701889|0.006499066483229399|0.007797222584486008|0.25223448872566223

US Congressional 45
|Orange|440760|146498|157064|12370|1172|4340|1005|687|1140|116484
District Total||440760|146498|157064|12370|1172|4340|1005|687|1140|116484
|Percent||0.3323758840560913|0.3563481271266937|0.028065159916877747|0.0026590435300022364|0.00984662864357233|0.002280152402818203|0.0015586713561788201|0.0025864415802061558|0.26427987217903137

US Congressional 46
|Orange|269160|129670|57914|6493|861|2350|1575|388|806|69103
District Total||269160|129670|57914|6493|861|2350|1575|388|806|69103
|Percent||0.4817580580711365|0.21516570448875427|0.02412319742143154|0.0031988408882170916|0.008730866014957428|0.005851537920534611|0.0014415218029171228|0.0029945014975965023|0.25673577189445496

US Congressional 47
|Los Angeles|245617|123430|46122|6859|1371|2151|1805|1385|2119|60375
|Orange|145195|53217|46557|3900|417|1291|723|259|483|38348
District Total||390812|176647|92679|10759|1788|3442|2528|1644|2602|98723
|Percent||0.4519999325275421|0.23714470863342285|0.02752986177802086|0.004575090017169714|0.008807303383946419|0.0064685833640396595|0.004206626210361719|0.006657932884991169|0.2526099383831024

US Congressional 48
|Orange|423952|135618|160713|13335|1412|4767|1231|629|1340|104907
District Total||423952|135618|160713|13335|1412|4767|1231|629|1340|104907
|Percent||0.31988999247550964|0.3790830075740814|0.03145403414964676|0.003330565756186843|0.011244197376072407|0.002903630491346121|0.0014836585614830256|0.0031607351265847683|0.24745018780231476

US Congressional 49
|Orange|107485|29999|46501|3776|332|1190|258|110|332|24987
|San Diego|315795|112364|98672|11809|1098|3546|934|1447|1133|84792
District Total||423280|142363|145173|15585|1430|4736|1192|1557|1465|109779
|Percent||0.33633291721343994|0.3429715633392334|0.03681959956884384|0.0033783784601837397|0.011188811622560024|0.0028161027003079653|0.003678416134789586|0.003461065934970975|0.2593531608581543

US Congressional 50
|Riverside|46434|13123|18714|2113|121|601|125|252|262|11123
|San Diego|365087|105476|145305|14560|1205|4049|1259|1625|1375|90233
District Total||411521|118599|164019|16673|1326|4650|1384|1877|1637|101356
