County|Eligible|Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
Percent||0.8431171178817749|0.36349615454673767|0.34924551844596863|0.034529298543930054|0.005472289863973856|0.01163641270250082|0.002858066465705633|0.005018628668040037|0.008506149984896183|0.21923750638961792

San Mateo|507291|417299|222991|61076|9481|1726|2791|1214|2077|1767|114176
Percent||0.8226028084754944|0.5343674421310425|0.14636027812957764|0.022719919681549072|0.004136123228818178|0.006688249763101339|0.002909185132011771|0.00497724674642086|0.004234374035149813|0.27360716462135315

Santa Barbara|294561|226923|101983|57059|6532|1043|1963|760|1484|1413|54686
Percent||0.7703769207000732|0.44941675662994385|0.25144651532173157|0.028785094618797302|0.004596272949129343|0.008650511503219604|0.0033491537906229496|0.006539663299918175|0.006226781755685806|0.24098923802375793

Santa Clara|1202250|951292|459166|159360|21440|3370|7219|3323|165|2474|294775
Percent||0.7912597060203552|0.4826761782169342|0.16751953959465027|0.022537769749760628|0.0035425506066530943|0.007588626816868782|0.003493144176900387|0.000173448323039338|0.002600673586130142|0.30986806750297546

Santa Cruz|187357|163604|94175|22739|3894|1395|1543|582|249|779|38248
Percent||0.8732206225395203|0.5756277441978455|0.13898804783821106|0.023801373317837715|0.008526686578989029|0.009431309998035431|0.003557370277121663|0.0015219677006825805|0.004761497490108013|0.233784019947052

Shasta|134207|103883|24135|50398|4441|354|1269|379|106|284|22517
Percent||0.7740505337715149|0.23232868313789368|0.48514193296432495|0.04275001585483551|0.003407679731026292|0.01221566554158926|0.003648335114121437|0.001020378665998578|0.0027338447980582714|0.21675346791744232

Sierra|2619|2123|614|890|134|17|31|3|2|29|403
Percent||0.8106147646903992|0.2892133891582489|0.4192180931568146|0.06311822682619095|0.008007536642253399|0.014601978473365307|0.0014130946947261691|0.0009420631104148924|0.013659914955496788|0.18982571363449097

Siskiyou|34522|27662|8328|10987|1350|166|359|138|153|76|6105
Percent||0.8012861609458923|0.30106282234191895|0.3971874713897705|0.048803411424160004|0.006001012399792671|0.012978092767298222|0.004988793283700943|0.005531053524464369|0.0027474514208734035|0.22069987654685974

Solano|294638|239267|113247|53613|7685|835|2077|973|1200|1439|58198
Percent||0.8120710849761963|0.4733080565929413|0.22407184541225433|0.03211893141269684|0.003489825176075101|0.008680678904056549|0.004066586494445801|0.005015317816287279|0.006014201790094376|0.2432345449924469

Sonoma|346196|279338|152661|50086|7663|2313|2614|820|1713|1299|60169
Percent||0.8068782091140747|0.5465099811553955|0.17930249869823456|0.027432715520262718|0.008280291222035885|0.00935783889144659|0.0029355117585510015|0.0061323558911681175|0.004650280345231295|0.21539855003356934

Stanislaus|349155|261326|99378|92542|8769|663|2312|1140|1552|2197|52773
Percent||0.7484526634216309|0.3802836239337921|0.3541247248649597|0.033555787056684494|0.002537060994654894|0.008847187273204327|0.00436236709356308|0.005938942078500986|0.008407123386859894|0.20194317400455475

Sutter|60830|48423|14802|19540|1762|99|475|193|325|1740|9487
Percent||0.7960381507873535|0.3056811988353729|0.40352725982666016|0.036387667059898376|0.0020444830879569054|0.009809387847781181|0.003985709045082331|0.006711686495691538|0.03593333810567856|0.19591929018497467

Tehama|44235|35087|8695|15895|1768|79|429|140|25|105|7951
Percent||0.7931954264640808|0.24781258404254913|0.4530167877674103|0.05038903281092644|0.0022515461314469576|0.012226751074194908|0.00399008160457015|0.0007125146221369505|0.0029925613198429346|0.22660814225673676

Trinity|11384|7897|2499|2679|397|84|108|53|122|87|1868
Percent||0.6936929225921631|0.31644928455352783|0.33924275636672974|0.05027225613594055|0.010636950843036175|0.013676079921424389|0.00671140942722559|0.01544890459626913|0.011016841977834702|0.23654551804065704

Tulare|268307|183086|59230|70261|6417|483|1694|814|1684|652|41851
Percent||0.6823750138282776|0.323509156703949|0.3837595582008362|0.03504910320043564|0.0026381046045571566|0.00925248209387064|0.004445997998118401|0.00919786375015974|0.0035611679777503014|0.2285865694284439

Tuolumne|40693|32562|9634|14053|1411|145|425|113|8|51|6722
Percent||0.8001867532730103|0.29586634039878845|0.4315766990184784|0.043332718312740326|0.004453043453395367|0.013052023947238922|0.0034703027922660112|0.00024568516528233886|0.0015662428922951221|0.20643694698810577

Ventura|546938|463227|191502|135824|13109|1687|4168|1564|4939|5164|105270
Percent||0.8469460606575012|0.4134085476398468|0.2932126224040985|0.028299300000071526|0.0036418430972844362|0.008997748605906963|0.003376314416527748|0.010662158951163292|0.011147881858050823|0.22725358605384827

Yolo|152152|117378|57884|23195|3521|666|1084|489|579|402|29558
Percent||0.7714522480964661|0.4931418299674988|0.19760943949222565|0.029997102916240692|0.005673976615071297|0.009235120378434658|0.004166027531027794|0.004932781215757132|0.003424832597374916|0.2518188953399658

Yuba|50910|36707|10220|13938|1856|150|478|242|363|167|9293
Percent||0.7210174798965454|0.278421014547348|0.3797096014022827|0.05056256428360939|0.004086413886398077|0.013022039085626602|0.006592747755348682|0.009889122098684311|0.0045495410449802876|0.25316697359085083

State Total|25251216|20660465|9361582|4937986|600057|83281|175352|95242|104680|120494|5181791
Percent||0.8181968331336975|0.4531157314777374|0.23900653421878815|0.029043732210993767|0.00403093546628952|0.008487321436405182|0.004609866999089718|0.005066681653261185|0.005832104943692684|0.2508070766925812
