||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|County Supervisorial 5|5963|1342|2909|311|21|91|13|29|48|1199

|US Congressional 4|29889|8237|13167|1433|170|477|100|160|253|5892

|State Senate 8|29889|8237|13167|1433|170|477|100|160|253|5892

|State Assembly 5|29889|8237|13167|1433|170|477|100|160|253|5892

|State Board of Equalization 1|29889|8237|13167|1433|170|477|100|160|253|5892

  Cities
|Angels|2432|686|1082|117|10|60|7|10|14|446

|Unincorporated Area|27457|7551|12085|1316|160|417|93|150|239|5446
Calaveras Totals||29889|8237|13167|1433|170|477|100|160|253|5892
     Percent|||0.27558633685112|0.4405299723148346|0.04794406145811081|0.0056877112947404385|0.01595904864370823|0.0033457125537097454|0.00535314017906785|0.008464652113616467|0.19712938368320465

Colusa
  Districts
|County Supervisorial 1|2031|676|808|69|3|24|10|0|0|441
|County Supervisorial 2|1911|589|807|61|3|21|9|0|1|420
|County Supervisorial 3|1633|584|495|45|4|17|9|0|1|478
|County Supervisorial 4|1514|460|625|36|3|13|4|0|1|372
|County Supervisorial 5|2004|543|929|76|3|21|5|0|0|427

|US Congressional 3|9093|2852|3664|287|16|96|37|0|3|2138

|State Senate 4|9093|2852|3664|287|16|96|37|0|3|2138

|State Assembly 3|4679|1293|2171|154|8|47|16|0|2|988
|State Assembly 4|4414|1559|1493|133|8|49|21|0|1|1150

|State Board of Equalization 2|9093|2852|3664|287|16|96|37|0|3|2138

  Cities
|Colusa|2720|838|1128|93|4|32|13|0|1|611
|Williams|1708|715|346|42|4|12|9|0|1|579

|Unincorporated Area|4665|1299|2190|152|8|52|15|0|1|948
Colusa Totals||9093|2852|3664|287|16|96|37|0|3|2138
     Percent|||0.3136478662490845|0.402947336435318|0.031562741845846176|0.001759595237672329|0.010557571426033974|0.004069064278155565|0|0.0003299241070635617|0.23512591421604156

Contra Costa
  Districts
|County Supervisorial 1|112210|73098|8041|2193|766|560|624|646|248|26034
|County Supervisorial 2|157281|70436|39598|4427|431|1227|158|537|380|40087
|County Supervisorial 3|132559|61022|32608|4724|349|1099|467|700|308|31282
|County Supervisorial 4|136984|67225|29384|4324|590|1259|366|591|357|32888
|County Supervisorial 5|118239|64794|17625|3451|541|901|599|618|291|29419

|US Congressional 5|57574|32314|8386|1636|302|447|209|261|133|13886
|US Congressional 9|116308|54359|27933|4204|319|969|434|616|266|27208
|US Congressional 11|436511|229712|80883|12021|1953|3294|1518|2001|1084|104045
|US Congressional 15|46880|20190|10054|1258|103|336|53|214|101|14571

|State Senate 3|54522|27724|10996|1818|360|570|156|199|149|12550
|State Senate 7|463575|219947|105033|14480|1450|3768|1333|2109|1130|114325
|State Senate 9|139176|88904|11227|2821|867|708|725|784|305|32835

|State Assembly 11|138763|66917|30962|4955|396|1123|581|783|324|32722
|State Assembly 14|193640|98180|37611|6101|913|1755|736|888|502|46954
|State Assembly 15|133625|85771|10467|2682|837|666|702|754|295|31451
|State Assembly 16|191245|85707|48216|5381|531|1502|195|667|463|48583

|State Board of Equalization 2|657273|336575|127256|19119|2677|5046|2214|3092|1584|159710

  Cities
|Antioch|57326|31297|8837|1851|180|407|314|369|141|13930
|Brentwood|36822|15452|10585|1373|95|360|92|189|86|8590
|Clayton|8350|3446|2728|293|20|78|9|26|22|1728
|Concord|68451|33981|13778|2261|296|654|243|344|181|16713
|Danville|30974|11709|10403|1034|56|290|30|84|68|7300
|El Cerrito|16801|11451|1069|205|155|74|43|70|25|3709
|Hercules|15540|9141|1765|344|45|70|49|74|34|4018
|Lafayette|18459|9349|4037|482|63|139|19|44|52|4274
|Martinez|24929|12698|5187|835|162|282|70|85|66|5544
|Moraga|11246|5212|2672|293|30|102|7|25|29|2876
|Oakley|22762|10733|5288|867|66|192|84|106|48|5378
|Orinda|14338|7359|3000|302|55|91|9|45|37|3440
|Pinole|11683|6834|1601|310|51|72|41|49|28|2697
|Pittsburg|35616|20395|4252|978|98|205|217|218|92|9161
|Pleasant Hill|22340|11384|4341|711|136|214|55|92|62|5345
|Richmond|54915|36274|3284|1083|372|247|381|353|143|12778
|San Pablo|11708|7351|718|233|55|64|80|112|21|3074
|San Ramon|44189|19130|9263|1182|100|319|50|199|96|13850
|Walnut Creek|47673|23869|10676|1330|170|360|66|177|113|10912

|Unincorporated Area|103151|49510|23772|3152|472|826|355|431|240|24393
Contra Costa Totals||657273|336575|127256|19119|2677|5046|2214|3092|1584|159710
     Percent|||0.5120779275894165|0.19361208379268646|0.029088370501995087|0.004072889219969511|0.0076771751046180725|0.0033684633672237396|0.004704285878688097|0.002409957582131028|0.24298883974552155

Del Norte
  Districts
|County Supervisorial 1|2503|788|803|121|24|33|28|4|21|681
|County Supervisorial 2|2675|876|925|122|18|27|20|0|14|673
|County Supervisorial 3|3404|1061|1372|161|17|49|13|1|7|723
|County Supervisorial 4|3327|844|1471|142|19|46|15|3|10|777
|County Supervisorial 5|3273|994|1231|167|23|30|14|3|15|796

|US Congressional 2|15182|4563|5802|713|101|185|90|11|67|3650

|State Senate 2|15182|4563|5802|713|101|185|90|11|67|3650

|State Assembly 2|15182|4563|5802|713|101|185|90|11|67|3650

|State Board of Equalization 2|15182|4563|5802|713|101|185|90|11|67|3650

  Cities
|Crescent City|2114|721|630|112|18|28|28|2|12|563

|Unincorporated Area|13068|3842|5172|601|83|157|62|9|55|3087
Del Norte Totals||15182|4563|5802|713|101|185|90|11|67|3650
     Percent|||0.3005532920360565|0.38216307759284973|0.04696350917220116|0.006652615033090115|0.012185483239591122|0.005928072612732649|0.000724542245734483|0.004413120914250612|0.2404162883758545

El Dorado
  Districts
|County Supervisorial 1|26574|7553|11606|985|53|423|23|0|156|5775
|County Supervisorial 2|27721|7661|12351|1180|99|491|60|2|185|5692
|County Supervisorial 3|23584|7030|10012|1082|142|339|83|1|142|4753
|County Supervisorial 4|25812|6897|12009|1123|101|427|52|1|161|5041
|County Supervisorial 5|21288|8329|5253|991|236|300|123|1|156|5899

|US Congressional 4|124979|37470|51231|5361|631|1980|341|5|800|27160

|State Senate 1|124979|37470|51231|5361|631|1980|341|5|800|27160

|State Assembly 5|78299|24134|30821|3587|520|1225|279|4|516|17213
|State Assembly 6|46680|13336|20410|1774|111|755|62|1|284|9947

|State Board of Equalization 1|124979|37470|51231|5361|631|1980|341|5|800|27160

  Cities
|Placerville|6133|2215|2113|284|44|89|27|0|25|1336
|South Lake Tahoe|11192|4629|2239|550|142|160|79|1|74|3318

|Unincorporated Area|107654|30626|46879|4527|445|1731|235|4|701|22506
El Dorado Totals||124979|37470|51231|5361|631|1980|341|5|800|27160
     Percent|||0.29981037974357605|0.40991687774658203|0.042895205318927765|0.00504884822294116|0.015842661261558533|0.002728458493947983|4.000672197435051e-05|0.006401075515896082|0.21731650829315186

Fresno
  Districts
|County Supervisorial 1|84138|38288|19787|2644|245|534|495|416|674|21055
|County Supervisorial 2|114723|38995|45761|3852|408|1013|344|388|1068|22894
|County Supervisorial 3|75012|37002|13781|2136|297|494|605|456|722|19519
|County Supervisorial 4|74250|29761|23304|1940|147|483|389|329|729|17168
|County Supervisorial 5|123261|38751|51333|4280|293|1136|391|416|1058|25603

|US Congressional 4|9757|1890|5593|395|34|110|28|19|89|1599
|US Congressional 16|142178|68425|28458|4205|522|935|1039|826|1292|36476
|US Congressional 21|78307|32223|23434|2135|157|474|415|342|739|18388
|US Congressional 22|241142|80259|96481|8117|677|2141|742|818|2131|49776

|State Senate 8|312809|110897|114609|10536|980|2700|1186|1178|2784|67939
|State Senate 12|49529|18609|16579|1477|107|312|243|228|448|11526
|State Senate 14|109046|53291|22778|2839|303|648|795|599|1019|26774

|State Assembly 23|283163|97010|108719|9676|876|2491|976|1021|2502|59892
|State Assembly 31|188221|85787|45247|5176|514|1169|1248|984|1749|46347

|State Board of Equalization 1|471384|182797|153966|14852|1390|3660|2224|2005|4251|106239

  Cities
|Clovis|66694|19425|30075|2375|150|625|147|215|579|13103
|Coalinga|5331|1845|1676|195|17|47|36|23|51|1441
|Firebaugh|2812|1444|436|68|7|17|24|13|13|790
|Fowler|3351|1374|949|78|5|19|15|16|40|855
|Fresno|250755|106346|68823|7958|865|1905|1383|1207|2287|59981
|Huron|1145|648|136|25|2|5|9|6|10|304
|Kerman|6198|2635|1554|255|20|26|40|28|54|1586
|Kingsburg|6832|1660|3484|223|16|56|16|27|74|1276
|Mendota|2821|1689|348|43|5|12|9|11|19|685
|Orange Cove|3013|1688|410|63|7|16|27|17|24|761
|Parlier|4584|2559|611|69|11|21|36|20|43|1214
|Reedley|10005|3850|3335|259|20|77|54|44|80|2286
|San Joaquin|900|543|80|17|1|8|9|5|7|230
|Sanger|11810|5589|2977|292|25|78|63|47|79|2660
|Selma|9924|4431|2501|250|11|52|57|48|141|2433

|Unincorporated Area|85209|27071|36571|2682|228|696|299|278|750|16634
Fresno Totals||471384|182797|153966|14852|1390|3660|2224|2005|4251|106239
     Percent|||0.3877878785133362|0.32662543654441833|0.0315072201192379|0.002948763547465205|0.007764370646327734|0.004718021955341101|0.004253432620316744|0.009018125012516975|0.22537676990032196

Glenn
  Districts
|County Supervisorial 1|2850|810|1177|114|5|41|9|1|8|685
|County Supervisorial 2|2789|882|1097|115|15|35|17|4|6|618
|County Supervisorial 3|2784|593|1539|102|9|31|3|2|3|502
|County Supervisorial 4|2542|714|1072|124|5|28|8|3|8|580
|County Supervisorial 5|2489|805|1045|65|5|28|10|1|8|522

|US Congressional 1|1177|248|697|38|3|11|2|0|3|175
|US Congressional 3|12277|3556|5233|482|36|152|45|11|30|2732

|State Senate 4|13454|3804|5930|520|39|163|47|11|33|2907

|State Assembly 3|13454|3804|5930|520|39|163|47|11|33|2907

|State Board of Equalization 2|13454|3804|5930|520|39|163|47|11|33|2907

  Cities
|Orland|3453|1170|1235|139|16|43|22|5|7|816
|Willows|2771|799|1145|132|5|33|8|3|8|638

|Unincorporated Area|7230|1835|3550|249|18|87|17|3|18|1453
Glenn Totals||13454|3804|5930|520|39|163|47|11|33|2907
