||Total Registered|Democratic|Republican|American Independent|Green|Libertarian|Peace and Freedom|Unknown|Other|No Party Preference
|US Congressional 47|245617|123430|46122|6859|1371|2151|1805|1385|2119|60375

|State Senate 18|503382|268948|69222|12256|2139|3608|2967|2893|4233|137116
|State Senate 20|69517|35148|10482|1846|263|520|1043|479|569|19167
|State Senate 21|350227|139160|106745|12108|1011|2964|1587|2222|2741|81689
|State Senate 22|451407|213269|77930|10006|1542|2673|3493|3345|3136|136013
|State Senate 23|38|8|19|3|0|0|0|1|0|7
|State Senate 24|446742|267160|37212|8134|2287|2721|3517|3153|3091|119467
|State Senate 25|547965|247619|129745|13556|2301|4094|2125|2942|4313|141270
|State Senate 26|658624|325884|126757|16322|2818|5474|1804|3022|5684|170859
|State Senate 27|392551|182794|89728|10373|1551|2944|1602|2016|3148|98395
|State Senate 29|90091|34330|21341|1887|240|426|464|593|674|30136
|State Senate 30|545033|349248|36496|11357|2209|2760|3774|3563|4340|131286
|State Senate 32|491234|241203|100850|12196|1565|3155|3301|2587|3420|122957
|State Senate 33|439252|249408|51625|10117|1912|3003|4328|2912|3353|112594
|State Senate 34|45620|19106|13791|1308|224|450|129|157|353|10102
|State Senate 35|515102|296392|63190|11398|1657|2839|3983|3287|4088|128268

|State Assembly 36|223104|93767|63279|7904|634|1790|1203|1530|1643|51354
|State Assembly 38|225293|84702|72351|6924|683|1946|677|1163|1843|55004
|State Assembly 39|244380|128481|34386|5825|1092|1685|1675|1427|2071|67738
|State Assembly 41|240699|117070|54773|5893|1088|1814|910|1114|1811|56226
|State Assembly 43|294001|142165|54646|6670|1269|2105|1187|1709|2390|81860
|State Assembly 44|6344|2259|2257|197|12|44|11|24|69|1471
|State Assembly 45|285523|138888|58337|7408|1130|2018|1352|1585|2275|72530
|State Assembly 46|261154|140985|35491|6478|1119|2003|1316|1480|2142|70140
|State Assembly 48|239440|112985|50175|6176|802|1657|1923|1483|1799|62440
|State Assembly 49|225979|96977|41184|4441|772|1245|1447|1917|1470|76526
|State Assembly 50|341073|184462|50881|8123|1631|2624|972|1552|3044|87784
|State Assembly 51|239331|145677|19871|4325|1270|1425|1998|1614|1597|61554
|State Assembly 52|69517|35148|10482|1846|263|520|1043|479|569|19167
|State Assembly 53|201581|117553|16745|3888|992|1274|1653|1717|1488|56271
|State Assembly 54|310723|194955|26511|6309|1268|1826|1401|1530|2457|74466
|State Assembly 55|90090|34330|21341|1887|240|426|464|593|674|30135
|State Assembly 57|255044|123239|54767|6490|808|1670|1697|1275|1772|63326
|State Assembly 58|250822|131529|41806|5675|797|1469|1885|1456|1736|64469
|State Assembly 59|210566|135358|10616|4282|758|915|2091|1762|1510|53274
|State Assembly 62|283027|167601|30332|6453|1106|1878|1571|1691|2482|69913
|State Assembly 63|220210|122713|29538|4943|725|1349|2184|1402|1525|55831
|State Assembly 64|248831|152553|20601|5282|739|1066|2534|1678|2046|62332
|State Assembly 66|301171|126014|82623|7754|970|2436|893|1455|2306|76720
|State Assembly 70|278882|140266|52140|7694|1551|2446|2030|1536|2424|68795

|State Board of Equalization 1|773110|352520|177386|22673|2669|5860|4798|4819|6035|196350
|State Board of Equalization 3|4773675|2517157|757747|110194|19050|31771|29319|28353|37108|1242976

  Cities
|Agoura Hills|14615|6192|4198|424|56|140|20|54|131|3400
|Alhambra|44807|21678|6686|873|199|246|304|342|306|14173
|Arcadia|30294|9857|7903|540|93|128|96|207|187|11283
|Artesia|8145|3753|1584|157|14|54|63|78|72|2370
|Avalon|1927|767|593|55|17|14|16|3|14|448
|Azusa|22829|10674|4611|617|93|206|202|139|158|6129
|Baldwin Park|32813|17878|3878|669|106|181|322|234|235|9310
|Bell|13882|8444|1203|236|47|69|151|91|79|3562
|Bell Gardens|15368|9275|1123|301|48|80|180|128|107|4126
|Bellflower|39340|19970|6817|1114|133|250|324|258|312|10162
|Beverly Hills|21857|9544|5086|504|61|120|62|119|172|6189
|Bradbury|592|162|218|17|0|5|3|1|3|183
|Burbank|69535|33172|14264|1892|296|582|244|355|661|18069
|Calabasas|16202|7204|4150|444|53|131|44|76|135|3965
|Carson|61919|35246|7718|1296|152|251|421|364|439|16032
|Cerritos|34460|13918|8359|594|67|152|148|170|232|10820
|Claremont|22486|10710|5629|579|128|176|74|99|173|4918
|Commerce|7031|4426|631|122|43|39|77|55|33|1605
|Compton|46681|30967|2287|989|140|168|419|336|461|10914
|Covina|28365|12543|7059|812|85|229|210|164|228|7035
|Cudahy|8577|5165|660|131|23|50|112|67|61|2308
|Culver City|28614|17282|3203|581|130|203|60|112|236|6807
|Diamond Bar|31982|11673|8442|701|97|166|118|196|219|10370
|Downey|62219|31640|12019|1589|209|455|403|342|428|15134
|Duarte|12623|6039|2643|334|42|89|65|70|95|3246
|El Monte|41098|20727|5145|956|129|238|383|407|266|12847
|El Segundo|12234|4680|3509|438|52|142|26|48|114|3225
|Gardena|35389|20822|4688|704|91|159|193|221|255|8256
|Glendale|112558|48096|23758|2590|419|705|493|841|871|34785
|Glendora|33114|10821|12815|1022|101|317|156|158|263|7461
|Hawaiian Gardens|5653|2971|717|137|20|31|71|53|37|1616
|Hawthorne|41871|24412|4407|933|133|263|275|298|356|10794
|Hermosa Beach|14211|5807|3527|432|53|180|29|66|134|3983
|Hidden Hills|1363|497|438|29|3|13|3|5|14|361
|Huntington Park|21353|13102|1650|355|67|128|208|142|135|5566
|Industry|106|31|37|4|2|0|0|0|0|32
|Inglewood|65039|43788|3135|1328|212|285|419|421|473|14978
|Irwindale|975|585|130|30|3|4|8|7|4|204
|La Canada Flintridge|15220|5442|5285|316|37|111|20|54|98|3857
|La Habra Heights|3884|1064|1697|113|6|39|13|10|27|915
|La Mirada|29627|11417|9672|868|75|210|126|132|217|6910
|La Puente|17894|10084|2151|384|60|100|174|107|106|4728
|La Verne|21546|7534|8204|659|70|163|92|82|154|4588
|Lakewood|53209|23521|13919|1632|181|449|285|264|419|12539
|Lancaster|85193|37059|23235|3124|209|677|490|654|626|19119
|Lawndale|15507|8214|2219|386|62|107|99|106|117|4197
|Lomita|12840|5366|3552|404|60|124|42|58|91|3143
|Long Beach|265255|137016|45057|7179|1409|2222|2344|1592|2282|66154
|Los Angeles|2151065|1208933|267740|48296|9523|14302|13130|13079|17110|558952
|Lynwood|28006|17650|1778|531|82|132|298|175|207|7153
|Malibu|8401|3648|2060|239|49|70|23|31|102|2179
|Manhattan Beach|26435|10383|8050|679|65|249|36|87|225|6661
|Maywood|10061|6149|689|160|40|58|101|66|80|2718
|Monrovia|21201|9386|5370|586|111|202|103|112|137|5194
|Montebello|32417|18440|4345|661|130|158|257|186|231|8009
|Monterey Park|30636|13530|4732|572|113|153|200|309|191|10836
|Norwalk|52628|27930|8345|1175|143|313|466|327|327|13602
|Palmdale|82767|39482|18469|2662|218|598|465|582|546|19745
|Palos Verdes Estates|10348|3019|4296|256|20|59|11|31|69|2587
|Paramount|23803|14078|2372|486|65|134|236|170|167|6095
|Pasadena|88333|47228|15266|1917|411|632|330|480|661|21408
|Pico Rivera|35036|21266|4309|717|106|161|248|130|216|7883
|Pomona|69207|35001|10406|1841|261|518|1040|477|566|19097
|Rancho Palos Verdes|29112|10188|10138|671|86|199|56|130|248|7396
|Redondo Beach|46750|19602|11946|1370|162|494|103|195|396|12482
|Rolling Hills|1521|364|741|29|3|13|1|8|16|346
|Rolling Hills Estates|5997|1883|2394|127|22|37|6|24|44|1460
|Rosemead|22073|10218|2834|436|63|150|236|261|152|7723
|San Dimas|22335|7882|7979|748|87|182|99|110|198|5050
|San Fernando|11783|6834|1226|229|51|71|86|66|91|3129
|San Gabriel|18111|7781|3202|351|49|101|128|159|111|6229
|San Marino|8719|2429|2838|141|15|46|11|66|50|3123
|Santa Clarita|139524|50510|47492|4583|391|1251|406|683|1176|33032
|Santa Fe Springs|10504|5733|1735|264|42|64|74|43|63|2486
|Santa Monica|73285|40985|8882|1839|478|568|235|311|682|19305
|Sierra Madre|8274|3597|2351|220|36|79|14|34|75|1868
|Signal Hill|7045|3533|1169|212|31|49|44|36|54|1917
|South El Monte|8356|4667|876|188|28|49|56|46|66|2380
|South Gate|44519|26927|4161|809|146|233|416|278|238|11311
|South Pasadena|17143|9099|2849|333|71|119|37|60|144|4431
|Temple City|18926|7066|4221|380|59|113|91|145|127|6724
|Torrance|89219|35252|26235|2343|307|714|286|421|654|23007
|Vernon|107|57|9|3|0|1|1|2|1|33
|Walnut|18391|6695|4303|369|42|71|85|110|137|6579
|West Covina|58472|27597|11777|1451|184|315|464|352|549|15783
|West Hollywood|28291|17616|2374|607|118|209|71|126|232|6938
|Westlake Village|6344|2259|2257|197|12|44|11|24|69|1471
|Whittier|51328|23880|12958|1503|213|418|286|195|380|11495

|Unincorporated Area|548010|279665|100048|13092|1900|3451|3783|3259|4119|138693
Los Angeles Totals||5546785|2869677|935133|132867|21719|37631|34117|33172|43143|1439326
     Percent|||0.5173586010932922|0.16859009861946106|0.02395387552678585|0.003915601409971714|0.006784290540963411|0.006150770001113415|0.005980401299893856|0.007778019178658724|0.2594883441925049

Madera
  Districts
|County Supervisorial 1|12962|3919|5664|422|24|96|59|79|57|2642
|County Supervisorial 2|11653|3640|4534|383|37|91|63|102|60|2743
|County Supervisorial 3|12817|4857|4082|404|42|103|73|102|64|3090
|County Supervisorial 4|7255|3480|1129|209|17|72|87|68|45|2148
|County Supervisorial 5|17164|4160|8750|738|55|204|43|77|95|3042

|US Congressional 4|17207|4171|8776|739|55|204|43|77|95|3047
|US Congressional 16|44644|15885|15383|1417|120|362|282|351|226|10618

|State Senate 8|17207|4171|8776|739|55|204|43|77|95|3047
|State Senate 12|44644|15885|15383|1417|120|362|282|351|226|10618

|State Assembly 5|61851|20056|24159|2156|175|566|325|428|321|13665

|State Board of Equalization 1|61851|20056|24159|2156|175|566|325|428|321|13665

  Cities
|Chowchilla|5088|1470|2094|186|15|39|27|38|21|1198
|Madera|20353|8622|5120|621|54|163|167|175|103|5328

|Unincorporated Area|36410|9964|16945|1349|106|364|131|215|197|7139
Madera Totals||61851|20056|24159|2156|175|566|325|428|321|13665
     Percent|||0.32426315546035767|0.3905999958515167|0.034857966005802155|0.0028293803334236145|0.00915102381259203|0.0052545634098351|0.00691985571756959|0.005189891904592514|0.2209341824054718

Marin
  Districts
|County Supervisorial 1|34074|20133|4822|777|222|247|55|99|114|7605
|County Supervisorial 2|36875|22755|4189|904|312|245|64|98|110|8198
|County Supervisorial 3|36968|21778|4454|903|191|255|56|102|124|9105
|County Supervisorial 4|26656|15945|3480|652|225|209|58|62|105|5920
|County Supervisorial 5|31687|16610|6025|921|187|256|86|120|100|7382

|US Congressional 2|166260|97221|22970|4157|1137|1212|319|481|553|38210

|State Senate 2|166260|97221|22970|4157|1137|1212|319|481|553|38210

|State Assembly 10|166260|97221|22970|4157|1137|1212|319|481|553|38210

|State Board of Equalization 2|166260|97221|22970|4157|1137|1212|319|481|553|38210

  Cities
|Belvedere|1503|688|356|60|3|8|1|2|7|378
|Corte Madera|6881|4044|879|162|23|59|19|15|26|1654
|Fairfax|5774|3990|339|103|115|36|15|12|13|1151
|Larkspur|9138|5405|1240|234|44|54|16|28|23|2094
|Mill Valley|10474|6777|896|216|51|82|10|21|31|2390
|Novato|32336|17053|6078|967|184|272|75|115|108|7484
|Ross|1639|768|350|55|2|7|1|4|8|444
|San Anselmo|9209|6085|805|215|74|64|10|22|27|1907
|San Rafael|32153|19117|4218|730|229|228|68|91|106|7366
|Sausalito|5594|3199|666|155|34|40|10|15|18|1457
|Tiburon|6510|3306|1131|187|20|35|3|18|27|1783

|Unincorporated Area|45049|26789|6012|1073|358|327|91|138|159|10102
Marin Totals||166260|97221|22970|4157|1137|1212|319|481|553|38210
     Percent|||0.5847527980804443|0.13815709948539734|0.02500300668179989|0.006838686298578978|0.0072897872887551785|0.0019186815479770303|0.0028930590488016605|0.0033261156640946865|0.22982075810432434

Mariposa
  Districts
|County Supervisorial 1|1859|768|575|81|26|19|7|1|21|361
|County Supervisorial 2|2003|455|947|110|6|20|6|5|26|428
|County Supervisorial 3|2327|594|1150|101|6|30|5|9|25|407
|County Supervisorial 4|2140|638|968|77|11|21|7|8|13|397
|County Supervisorial 5|2587|646|1291|95|10|35|8|11|24|467

|US Congressional 4|10916|3101|4931|464|59|125|33|34|109|2060

|State Senate 8|10916|3101|4931|464|59|125|33|34|109|2060

|State Assembly 5|10916|3101|4931|464|59|125|33|34|109|2060

|State Board of Equalization 1|10916|3101|4931|464|59|125|33|34|109|2060

  Cities
|Unincorporated Area|10916|3101|4931|464|59|125|33|34|109|2060
Mariposa Totals||10916|3101|4931|464|59|125|33|34|109|2060
     Percent|||0.2840784192085266|0.45172223448753357|0.04250641167163849|0.005404910072684288|0.01145108137279749|0.003023085417225957|0.003114694030955434|0.009985342621803284|0.18871381878852844

Mendocino
  Districts
|County Supervisorial 1|10128|3957|2924|368|141|124|45|85|22|2462
|County Supervisorial 2|9355|4436|1925|298|96|107|52|82|13|2346
|County Supervisorial 3|10942|4980|2139|489|268|132|79|93|46|2716
|County Supervisorial 4|10521|5520|1847|368|193|100|57|83|21|2332
|County Supervisorial 5|11656|6437|1809|379|231|124|48|87|22|2519

|US Congressional 2|52602|25330|10644|1902|929|587|281|430|124|12375

|State Senate 2|52602|25330|10644|1902|929|587|281|430|124|12375

|State Assembly 2|52602|25330|10644|1902|929|587|281|430|124|12375

|State Board of Equalization 2|52602|25330|10644|1902|929|587|281|430|124|12375

  Cities
|Fort Bragg|3879|2027|631|146|64|34|23|47|8|899
|Point Arena|282|171|23|6|8|1|1|4|1|67
|Ukiah|8700|4109|1804|270|90|102|49|76|13|2187
|Willits|2772|1241|568|113|58|27|16|33|11|705

|Unincorporated Area|36969|17782|7618|1367|709|423|192|270|91|8517
Mendocino Totals||52602|25330|10644|1902|929|587|281|430|124|12375
     Percent|||0.48154062032699585|0.2023497223854065|0.03615831956267357|0.017660925164818764|0.01115927193313837|0.005342002026736736|0.0081745944917202|0.002357324818149209|0.23525720834732056

Merced
  Districts
|County Supervisorial 1|15976|8396|2875|437|31|114|85|25|15|3998
|County Supervisorial 2|25353|10689|7500|973|115|227|102|22|57|5668
|County Supervisorial 3|23134|9144|7100|851|62|188|101|30|47|5611
|County Supervisorial 4|18555|6816|6429|652|43|168|85|34|38|4290
|County Supervisorial 5|21688|10045|5457|745|59|177|128|32|42|5003

|US Congressional 16|104706|45090|29361|3658|310|874|501|143|199|24570

|State Senate 12|104706|45090|29361|3658|310|874|501|143|199|24570

|State Assembly 21|104706|45090|29361|3658|310|874|501|143|199|24570

|State Board of Equalization 1|104706|45090|29361|3658|310|874|501|143|199|24570

  Cities
|Atwater|12774|5103|3829|473|39|109|66|16|27|3112
|Dos Palos|2083|827|591|69|4|16|14|4|3|555
|Gustine|2277|947|669|98|8|22|11|2|5|515
|Livingston|5057|2829|613|105|7|35|22|9|0|1437
|Los Banos|15913|7896|3506|545|46|134|102|23|31|3630
|Merced|33090|15358|8087|1216|124|285|153|38|73|7756

|Unincorporated Area|33512|12130|12066|1152|82|273|133|51|60|7565
Merced Totals||104706|45090|29361|3658|310|874|501|143|199|24570
     Percent|||0.43063434958457947|0.2804137170314789|0.03493591398000717|0.0029606707394123077|0.008347181603312492|0.004784826189279556|0.0013657287927344441|0.0019005596404895186|0.23465703427791595

Modoc
  Districts
|County Supervisorial 1|1008|236|518|38|4|10|6|0|2|194
|County Supervisorial 2|1061|222|560|59|2|18|1|2|4|193
|County Supervisorial 3|962|210|501|48|4|10|3|2|7|177
|County Supervisorial 4|1045|216|552|59|2|9|6|2|4|195
|County Supervisorial 5|908|176|536|46|3|7|3|1|0|136

|US Congressional 1|4984|1060|2667|250|15|54|19|7|17|895

|State Senate 1|4984|1060|2667|250|15|54|19|7|17|895

|State Assembly 1|4984|1060|2667|250|15|54|19|7|17|895

|State Board of Equalization 1|4984|1060|2667|250|15|54|19|7|17|895

  Cities
|Alturas|1422|354|668|93|5|22|5|3|7|265

|Unincorporated Area|3562|706|1999|157|10|32|14|4|10|630
Modoc Totals||4984|1060|2667|250|15|54|19|7|17|895
     Percent|||0.21268057823181152|0.5351123809814453|0.05016051232814789|0.0030096308328211308|0.01083467062562704|0.003812198992818594|0.0014044943964108825|0.0034109149128198624|0.1795746386051178

Mono
  Districts
|County Supervisorial 1|975|405|205|36|10|11|5|1|0|302
|County Supervisorial 2|1782|620|649|71|8|25|7|2|1|399
|County Supervisorial 3|1622|609|473|52|13|19|4|0|3|449
|County Supervisorial 4|1454|451|582|56|7|11|5|0|2|340
|County Supervisorial 5|1262|542|269|48|12|13|8|0|1|369

|US Congressional 8|7095|2627|2178|263|50|79|29|3|7|1859

|State Senate 8|7095|2627|2178|263|50|79|29|3|7|1859

|State Assembly 5|7095|2627|2178|263|50|79|29|3|7|1859

|State Board of Equalization 1|7095|2627|2178|263|50|79|29|3|7|1859

  Cities
|Mammoth Lakes|3669|1493|868|127|33|40|18|1|4|1085

|Unincorporated Area|3426|1134|1310|136|17|39|11|2|3|774
Mono Totals||7095|2627|2178|263|50|79|29|3|7|1859
     Percent|||0.37026074528694153|0.3069767355918884|0.037068359553813934|0.007047216407954693|0.011134602129459381|0.004087385255843401|0.0004228329926263541|0.0009866103064268827|0.2620154917240143

Monterey
  Districts
|County Supervisorial 1|26356|15286|3239|528|78|115|170|314|50|6576
|County Supervisorial 2|41844|21657|7973|1075|187|305|205|368|53|10021
|County Supervisorial 3|29103|15823|5031|623|93|154|176|270|41|6892
|County Supervisorial 4|41982|20460|8551|1255|214|379|180|377|32|10534
|County Supervisorial 5|55960|25661|14810|1736|351|503|114|316|39|12430

|US Congressional 20|195245|98887|39604|5217|923|1456|845|1645|215|46453

|State Senate 12|85861|47529|13468|1788|273|468|496|872|127|20840
|State Senate 17|109384|51358|26136|3429|650|988|349|773|88|25613

|State Assembly 29|101075|48494|22985|3153|583|905|320|719|80|23836
|State Assembly 30|94170|50393|16619|2064|340|551|525|926|135|22617

|State Board of Equalization 2|195245|98887|39604|5217|923|1456|845|1645|215|46453

  Cities
|Carmel-by-the-Sea|2503|1108|736|79|14|20|4|17|2|523
|Del Rey Oaks|1153|514|301|44|5|13|3|10|1|262
|Gonzales|3279|1997|406|64|8|18|23|22|6|735
|Greenfield|5137|3199|507|77|13|21|43|58|9|1210
|King City|3535|1837|644|101|10|21|19|27|4|872
|Marina|11204|5448|2024|369|54|104|49|98|6|3052
|Monterey|15493|7847|3133|463|93|168|43|125|13|3608
|Pacific Grove|10131|5410|1919|323|69|88|19|50|5|2248
|Salinas|61661|33831|9838|1301|191|342|350|648|95|15065
|Sand City|208|89|44|6|4|5|2|2|1|55
|Seaside|13675|7051|2239|397|83|135|66|123|13|3568
|Soledad|7093|4234|758|117|27|37|41|72|10|1797

|Unincorporated Area|60173|26322|17055|1876|352|484|183|393|50|13458
Monterey Totals||195245|98887|39604|5217|923|1456|845|1645|215|46453
     Percent|||0.5064764618873596|0.202842578291893|0.02672027423977852|0.004727393854409456|0.007457297295331955|0.00432789558544755|0.008425312116742134|0.0011011805618181825|0.2379215806722641

Napa
  Districts
|County Supervisorial 1|14855|7346|2982|507|110|184|66|98|44|3518
|County Supervisorial 2|17245|8146|4079|555|94|140|45|101|53|4032
|County Supervisorial 3|15626|7214|3736|541|90|180|36|80|73|3676
|County Supervisorial 4|15458|7019|3639|543|108|150|65|94|52|3788
|County Supervisorial 5|17483|8703|3058|551|84|125|63|139|49|4711

|US Congressional 5|80667|38428|17494|2697|486|779|275|512|271|19725

|State Senate 3|80667|38428|17494|2697|486|779|275|512|271|19725

|State Assembly 4|80667|38428|17494|2697|486|779|275|512|271|19725

|State Board of Equalization 2|80667|38428|17494|2697|486|779|275|512|271|19725

  Cities
|American Canyon|12061|6072|1780|354|41|75|52|119|35|3533
|Calistoga|2548|1375|415|85|17|26|6|14|3|607
|Napa|44952|21947|9477|1519|306|445|156|279|146|10677
|St. Helena|3436|1700|723|99|16|22|9|22|15|830
|Yountville|1934|920|470|84|9|17|5|10|8|411

|Unincorporated Area|15736|6414|4629|556|97|194|47|68|64|3667
Napa Totals||80667|38428|17494|2697|486|779|275|512|271|19725
     Percent|||0.4763782024383545|0.2168668657541275|0.03343374654650688|0.006024768576025963|0.00965698529034853|0.003409076714888215|0.006347081158310175|0.003359490307047963|0.2445237785577774

Nevada
  Districts
|County Supervisorial 1|15089|6543|4570|521|182|192|37|7|1445|1592
|County Supervisorial 2|14304|4231|6309|612|71|182|31|9|1272|1587
|County Supervisorial 3|12632|4928|4058|483|120|187|39|6|1263|1548
|County Supervisorial 4|14237|4966|5305|529|172|202|50|8|1410|1595
|County Supervisorial 5|11889|5483|2454|442|119|144|36|14|1477|1720

|US Congressional 1|58172|21415|20787|2223|570|790|169|33|5621|6564
|US Congressional 4|9979|4736|1909|364|94|117|24|11|1246|1478

|State Senate 1|68151|26151|22696|2587|664|907|193|44|6867|8042

|State Assembly 1|68151|26151|22696|2587|664|907|193|44|6867|8042

|State Board of Equalization 1|68151|26151|22696|2587|664|907|193|44|6867|8042

  Cities
|Grass Valley|7517|3093|2198|301|71|101|26|2|736|989
|Nevada City|2275|1266|385|59|47|31|8|1|207|271
|Truckee|9818|4681|1861|359|90|117|23|11|1227|1449

|Unincorporated Area|48541|17111|18252|1868|456|658|136|30|4697|5333
Nevada Totals||68151|26151|22696|2587|664|907|193|44|6867|8042
     Percent|||0.3837214410305023|0.333025187253952|0.03795982524752617|0.009743070229887962|0.013308682478964329|0.0028319465927779675|0.0006456251721829176|0.1007615476846695|0.11800266802310944

Orange
  Districts
|County Supervisorial 1|248041|107542|61328|5835|739|2085|1577|437|820|67678
|County Supervisorial 2|363096|117270|139191|11210|1179|4027|977|528|1163|87551
|County Supervisorial 3|350787|119217|121865|9358|998|3467|837|569|906|93570
|County Supervisorial 4|287183|119981|82420|7651|833|2495|1181|412|769|71441
|County Supervisorial 5|385300|118352|153469|12690|1110|4065|891|472|1088|93163

|US Congressional 38|8675|3269|2806|222|12|55|23|21|16|2251
|US Congressional 39|239180|84091|86718|6648|653|2146|648|324|629|57323
|US Congressional 45|440760|146498|157064|12370|1172|4340|1005|687|1140|116484
|US Congressional 46|269160|129670|57914|6493|861|2350|1575|388|806|69103
|US Congressional 47|145195|53217|46557|3900|417|1291|723|259|483|38348
|US Congressional 48|423952|135618|160713|13335|1412|4767|1231|629|1340|104907
|US Congressional 49|107485|29999|46501|3776|332|1190|258|110|332|24987

|State Senate 29|347029|132408|113781|9325|940|2930|1229|522|935|84959
|State Senate 32|28324|12444|7321|717|88|214|116|42|74|7308
|State Senate 34|390505|158256|112017|10063|1211|3588|2027|635|1270|101438
|State Senate 36|298244|87990|123149|9953|848|3189|664|352|860|71239
|State Senate 37|570305|191264|202005|16686|1772|6218|1427|867|1607|148459

|State Assembly 55|129848|40700|52998|3750|303|1161|294|188|346|30108
|State Assembly 65|222864|92953|63668|5754|653|1796|910|353|593|56184
|State Assembly 68|278033|92934|98491|7829|803|2925|746|436|705|73164
|State Assembly 69|163430|83916|29186|3632|547|1395|1053|221|520|42960
|State Assembly 72|252810|86440|88575|7069|744|2409|1126|442|828|65177
|State Assembly 73|298244|87990|123149|9953|848|3189|664|352|860|71239
|State Assembly 74|289178|97429|102206|8757|961|3264|670|426|894|74571

|State Board of Equalization 4|1634407|582362|558273|46744|4859|16139|5463|2418|4746|413403

  Cities
|Aliso Viejo|29221|10018|9698|941|97|334|66|37|80|7950
|Anaheim|149264|63968|41257|3943|432|1292|725|220|409|37018
|Brea|26264|8430|10327|766|52|242|51|33|69|6294
|Buena Park|38299|16088|10471|960|126|281|147|66|98|10062
|Costa Mesa|56827|20087|18513|1979|257|864|181|80|195|14671
|Cypress|27703|9747|9410|759|77|230|87|51|104|7238
|Dana Point|22226|6316|9525|839|71|259|65|17|71|5063
|Fountain Valley|34222|10755|13141|884|97|309|111|61|106|8758
|Fullerton|71370|28073|22436|1934|232|680|213|81|186|17535
|Garden Grove|76860|29381|22546|1884|218|666|461|154|282|21268
|Huntington Beach|123048|37531|49490|4098|439|1480|312|177|435|29086
|Irvine|133989|51783|33867|3100|377|1164|298|296|319|42785
|La Habra|29404|11898|9093|859|80|278|93|47|84|6972
|La Palma|8675|3269|2806|222|12|55|23|21|16|2251
|Laguna Beach|17254|7026|5073|564|95|219|43|12|60|4162
|Laguna Hills|18697|5930|7142|576|54|192|57|23|69|4654
|Laguna Niguel|41541|12915|16426|1450|130|451|94|52|105|9918
|Laguna Woods|14202|5383|5194|427|22|62|14|4|35|3061
|Lake Forest|47729|15278|17870|1519|139|544|147|80|121|12031
|Los Alamitos|6523|2247|2376|217|24|76|21|10|27|1525
|Mission Viejo|61042|18522|25036|1978|143|594|137|78|174|14380
|Newport Beach|57408|14097|27472|1749|132|624|98|78|162|12996
|Orange|71381|24495|26178|2121|229|811|209|88|188|17062
|Placentia|27970|9374|10462|799|75|256|87|37|74|6806
|Rancho Santa Margarita|29122|8391|12217|922|72|306|56|37|68|7053
|San Clemente|40772|10892|18222|1521|137|480|93|34|124|9269
|San Juan Capistrano|20521|6229|8471|692|80|204|53|22|65|4705
|Santa Ana|110548|57880|18661|2265|353|891|748|149|348|29253
|Seal Beach|17952|6204|7343|515|50|156|28|17|41|3598
|Stanton|15183|6981|3653|373|40|110|97|23|44|3862
|Tustin|37063|14224|10595|1019|117|386|140|55|93|10434
|Villa Park|4362|912|2390|96|5|43|2|4|13|897
|Westminster|45229|15128|14790|1299|120|398|289|97|149|12959
|Yorba Linda|43989|10413|22025|1253|90|369|61|68|106|9604

|Unincorporated Area|78547|22497|34097|2221|185|833|156|109|226|18223
Orange Totals||1634407|582362|558273|46744|4859|16139|5463|2418|4746|413403
     Percent|||0.35631394386291504|0.3415752649307251|0.028599975630640984|0.0029729437083005905|0.009874529205262661|0.003342496696859598|0.0014794357120990753|0.0029038055799901485|0.2529376149177551

Placer
  Districts
|County Supervisorial 1|56218|18001|21892|1916|156|927|129|314|225|12658
|County Supervisorial 2|50154|14397|22007|1750|125|856|89|235|222|10473
|County Supervisorial 3|47690|13057|21152|1700|153|978|96|237|201|10116
|County Supervisorial 4|48700|14159|20684|1648|142|776|105|216|196|10774
|County Supervisorial 5|45170|14387|17645|1637|265|738|141|221|252|9884

|US Congressional 1|30489|8278|13893|1107|138|523|73|146|154|6177
|US Congressional 4|217443|65723|89487|7544|703|3752|487|1077|942|47728

|State Senate 1|155487|45142|66576|5434|582|2746|340|730|729|33208
|State Senate 4|92445|28859|36804|3217|259|1529|220|493|367|20697

|State Assembly 1|37421|11731|14727|1363|222|603|114|196|201|8264
|State Assembly 5|14651|4544|5933|537|71|256|44|61|86|3119
|State Assembly 6|195860|57726|82720|6751|548|3416|402|966|809|42522

|State Board of Equalization 1|247932|74001|103380|8651|841|4275|560|1223|1096|53905

  Cities
|Auburn|9426|3210|3480|346|50|170|33|35|61|2041
|Colfax|1054|308|404|45|6|28|5|6|8|244
|Lincoln|30919|9206|13498|1111|78|463|65|150|149|6199
|Loomis|4676|1039|2286|174|12|109|11|14|20|1011
|Rocklin|41382|12219|17062|1381|122|855|75|224|167|9277
|Roseville|85071|26922|33289|2970|250|1423|206|453|342|19216

|Unincorporated Area|75404|21097|33361|2624|323|1227|165|341|349|15917
Placer Totals||247932|74001|103380|8651|841|4275|560|1223|1096|53905
     Percent|||0.29847297072410583|0.4169691801071167|0.03489263355731964|0.0033920591231435537|0.017242630943655968|0.0022586837876588106|0.00493280403316021|0.004420566838234663|0.21741849184036255

Plumas
  Districts
|County Supervisorial 1|2224|576|1023|121|2|33|12|0|5|452
