contest_id2	contest_id1	district_id
372	1802	0
373	1803	0
374	1804	0
375	1805	0
376	1807	0
403	1310	ASSM17
404	1210	ASSM19
443	2280	CITY1
444	1020	CONG12
445	1040	CONG14
446	1701	0
448	1806	0
451	1050	CONG13
553	4000	CITY1
554	4010	CITY1
555	4050	CITY1
557	4020	CITY1
558	4030	CITY1
559	4040	CITY1
563	4080	CITY1
584	1702	0
585	1703	0
586	1704	0
587	1705	0
594	1808	0
595	1809	0
596	1810	0
597	5108	SUPV8
598	5000	CITY1
599	2230	CITY1
600	2302	CITY1
601	2306	CITY1
605	1010	0
607	4070	EQUAL2
608	4060	CITY1
617	1801	0
