sequence	cont_external_id	cand_external_ids	bts
010	334	0101 0102 0103 0104 0105 0106	008 003
010	334	0102 0103 0104 0105 0106 0101	009 004
010	334	0103 0104 0105 0106 0101 0102	010 005
010	334	0104 0105 0106 0101 0102 0103	011 002
010	334	0105 0106 0101 0102 0103 0104	001 006
010	334	0106 0101 0102 0103 0104 0105	007
021	91e909f7-cfae-4478-952a-dd0ff37dd9ce	0218 0219 02110 02111	006
041	aa114170-bb7f-477a-ac90-f5b343adcd1a	04113	009 007 011 008 010 004 005 002 001 003 006
051	e56eaea1-da96-41f9-8d4b-a3f1733480bd	05115 05116 05117 05118	010 003 006
051	e56eaea1-da96-41f9-8d4b-a3f1733480bd	05116 05117 05118 05115	007 004 002
051	e56eaea1-da96-41f9-8d4b-a3f1733480bd	05117 05118 05115 05116	008 005 001
051	e56eaea1-da96-41f9-8d4b-a3f1733480bd	05118 05115 05116 05117	009 011
061	479e7108-5b99-4821-966a-b78eabcfc581	06120	009 007 011 008 010 004 005 002 001 003 006
071	f0f07583-b641-47d3-9b9f-1c51dc824513	07122	009 007 011 008 010 004 005 002 001 003 006
081	1c0b6535-0a11-4c7e-9075-233f0a5fc211	08124	009 007 011 008 010 004 005 002 001 003 006
100	361	10026 10027 10028	011 008 002 003
100	361	10027 10028 10026	009 004 001 006
100	361	10028 10026 10027	007 010 005
110	351	11030	009 007 011 008 010 004 005 002 001 003 006
130	342	13032 13033	009 007 011 008 010 004 005 002 001 003 006
140	343	14032 14033	009 007 011 008 010 004 005 002 001 003 006
150	344	15032 15033	009 007 011 008 010 004 005 002 001 003 006
160	345	16032 16033	009 007 011 008 010 004 005 002 001 003 006
170	346	17032 17033	009 007 011 008 010 004 005 002 001 003 006
180	354	18032 18033	009 007 011 008 010 004 005 002 001 003 006
