contest_id	total_precincts	processed_done	processed_started	contest_total	undervote	overvote
001	604	604	604	361362	11236	144
002	604	604	604	326474	45920	348
003	604	604	604	352905	19728	109
004	604	604	604	354580	18077	85
005	604	604	604	352697	19947	98
006	604	604	604	352571	20077	94
007	604	604	604	337663	34922	157
008	604	604	604	340726	31941	75
009	604	604	604	352121	20247	374
010	529	529	529	317072	15225	107
011	1	1	1	0	0	0
012	74	74	74	38119	2211	8
013	353	353	353	185864	28709	192
014	251	251	251	149042	8898	37
015	604	604	604	817920	282075	16041
016	604	604	604	239243	133261	238
017	604	604	604	234826	137808	108
018	604	604	604	226462	146150	130
019	604	604	604	229094	143534	114
020	604	604	604	221850	150802	90
021	604	604	604	224333	148241	168
022	604	604	604	221797	150859	86
023	604	604	604	220275	152378	89
024	604	604	604	223591	149000	151
025	604	604	604	225053	147640	49
026	604	604	604	291180	80051	1511
027	604	604	604	627845	487621	2760
028	266	266	266	124809	39920	1610
029	604	604	604	316116	52051	411
032	604	604	604	291358	77150	70
035	62	62	62	35315	4515	76
036	48	48	48	28397	2840	175
037	48	48	48	25338	3460	74
038	71	71	71	42079	5933	37
039	53	53	53	23169	2936	152
040	604	604	604	353151	18594	161
041	604	604	604	353552	18230	124
042	604	604	604	345210	26417	279
043	604	604	604	347639	24028	239
044	604	604	604	346248	25364	294
045	604	604	604	351662	19912	332
046	604	604	604	348126	23666	114
047	604	604	604	352227	20107	232
048	604	604	604	360438	11904	224
049	604	604	604	350237	22063	266
050	604	604	604	353681	18717	168
051	604	604	604	348422	23854	290
052	604	604	604	324350	48069	147
053	604	604	604	351326	20958	282
054	604	604	604	346065	26332	169
055	604	604	604	343928	28488	150
